"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"1",35.410788,-99.057569,"OAES","OAES_045","M","OAES_045-M-20160809-COMP-DNA1",2016-08-09
"2",40.814769,-104.748078,"CPER","CPER_006","M","CPER_006-M-20180702-COMP-DNA1",2018-07-02
"3",63.88224,-145.739248,"DEJU","DEJU_047","O","DEJU_047-O-20180621-COMP-DNA1",2018-06-21
"4",35.68601,-83.503985,"GRSM","GRSM_060","O","GRSM_060-O-20160719-COMP-DNA1",2016-07-19
"5",40.810934,-104.729248,"CPER","CPER_002","M","CPER_002-M-20160719-COMP-DNA1",2016-07-19
"6",47.127465,-99.246302,"WOOD","WOOD_045","O","WOOD_045-O-20170711-COMP-DNA1",2017-07-11
"7",31.196458,-84.461913,"JERC","JERC_048","M","JERC_048-M-20170725-COMP-DNA1",2017-07-26
"8",37.3607,-80.524992,"MLBS","MLBS_001","M","MLBS_001-M-20180611-COMP-DNA1",2018-06-11
"9",68.585776,-149.54318,"TOOL","TOOL_001","M","TOOL_001-M-20170721-COMP-DNA1",2017-07-22
"10",35.691954,-83.505443,"GRSM","GRSM_058","O","GRSM_058-O-20170718-COMP-DNA1",2017-07-18
"11",39.215287,-96.599283,"KONA","KONA_003","M","KONA_003-M-20170807-COMP-DNA1",2017-08-07
"12",40.474713,-103.0243,"STER","STER_026","M","STER_026-M-20160816-COMP-DNA1",2016-08-16
"13",35.67661,-83.474563,"GRSM","GRSM_003","O","GRSM_003-O-20160720-COMP-DNA1",2016-07-20
"14",29.692504,-81.989891,"OSBS","OSBS_029","M","OSBS_029-M-20180710-COMP-DNA1",2018-07-10
"15",31.814261,-88.187361,"LENO","LENO_006","M","LENO_006-M-20160830-COMP-DNA1",2016-08-30
"16",39.038041,-95.187902,"UKFS","UKFS_044","M","UKFS_044-M-20170802-COMP-DNA1",2017-08-02
"17",28.099732,-81.399974,"DSNY","DSNY_004","O","DSNY_004-O-20160713-COMP-DNA3",2016-07-13
"18",38.883308,-78.120371,"SCBI","SCBI_003","M","SCBI_003-M-2.5-0.5-20151113-GEN-DNA2",2015-11-13
"19",37.376631,-80.5198,"MLBS","MLBS_061","M","MLBS_061-M-20180612-COMP-DNA1",2018-06-12
"20",40.184944,-112.529543,"ONAQ","ONAQ_012","M","ONAQ_012-M-20160728-COMP-DNA1",2016-07-28
"21",35.670427,-83.587378,"GRSM","GRSM_002","O","GRSM_002-O-20160718-COMP-DNA1",2016-07-18
"22",47.12829,-99.243528,"WOOD","WOOD_044","O","WOOD_044-O-20170711-COMP-DNA1",2017-07-11
"23",44.041571,-71.28692,"BART","BART_004","M","BART_004-M-12-7-20140520-GEN-DNA2",2014-05-20
"24",40.818931,-104.748858,"CPER","CPER_048","M","CPER_048-M-20170710-COMP-DNA1",2017-07-10
"25",32.974426,-87.42694,"TALL","TALL_007","O","TALL_007-O-20170612-COMP-DNA1",2017-06-12
"26",31.870334,-110.856598,"SRER","SRER_002","M","SRER_002-M-20170815-COMP-DNA1",2017-08-15
"27",35.930248,-84.270109,"ORNL","ORNL_001","M","ORNL_001-M-20170619-COMP-DNA1",2017-06-19
"28",32.534942,-87.815024,"DELA","DELA_003","M","DELA_003-M-20160824-COMP-DNA1",2016-08-24
"29",40.480827,-103.018821,"STER","STER_027","M","STER_027-M-20160817-COMP-DNA1",2016-08-17
"30",45.802505,-90.062109,"STEI","STEI_008","O","STEI_008-O-20160721-COMP-DNA1",2016-07-21
"31",32.952869,-87.397606,"TALL","TALL_044","M","TALL_044-M-20180618-COMP-DNA1",2018-06-18
"32",39.036615,-95.192035,"UKFS","UKFS_031","M","UKFS_031-M-20160718-COMP-DNA1",2016-07-18
"33",40.055052,-105.561551,"NIWO","NIWO_006","O","NIWO_006-O-20180730-COMP-DNA1",2018-07-30
"34",32.977665,-87.432705,"TALL","TALL_001","M","TALL_001-M-20170612-COMP-DNA1",2017-06-12
"35",31.82786,-88.181484,"LENO","LENO_005","M","LENO_005-M-20160830-COMP-DNA1",2016-08-30
