"","uid","domainID","siteID","plotID","namedLocation","laboratoryName","collectDate","analysisDate","sampleMaterial","geneticSampleID","geneticSampleCode","dnaSampleID","dnaSampleCode","internalLabID","downloadFileUrl","downloadFileName","codeVersion","targetGene","targetTaxonGroup","processedBy","reviewedBy","remarks","sampleFilteredReadNumber","sequenceCountQF","dataQF","publicationDate","release","sequencerRunID"
"1","77a39049-10a4-4c3e-ba78-f22d71c48711","D16","ABBY","ABBY_006","ABBY_006.basePlot.bgc","NEON HQ","2017-10-19 18:48:00","2020-10-19","soil","ABBY_006-M-25-30.5-20171019-GEN",NA,"ABBY_006-M-25-30.5-20171019-GEN-DNA1",NA,"BMI_Plate56WellE3","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_006-M-25-30.5-20171019-GEN-DNA1_16S_20201204T143652.349Z.csv","ABBY_006-M-25-30.5-20171019-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,22070,"OK",NA,"20210115T211224Z","undetermined",NA
"2","8ea73b07-f43d-49a4-bb8b-c8d06a8e5dbf","D16","ABBY","ABBY_006","ABBY_006.basePlot.bgc","NEON HQ","2017-05-10 18:52:00","2020-10-19","soil","ABBY_006-O-10.5-6-20170510-GEN",NA,"ABBY_006-O-10.5-6-20170510-GEN-DNA1",NA,"BMI_Plate56WellE5","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_006-O-10.5-6-20170510-GEN-DNA1_16S_20201204T143652.413Z.csv","ABBY_006-O-10.5-6-20170510-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,27650,"OK",NA,"20210113T180340Z","undetermined",NA
"3","ccc80a72-6cb0-4f2d-99ed-f5094a27cddb","D16","ABBY","ABBY_006","ABBY_006.basePlot.bgc","NEON HQ","2017-05-10 19:18:00","2020-10-19","soil","ABBY_006-O-7.5-21.5-20170510-GEN",NA,"ABBY_006-O-7.5-21.5-20170510-GEN-DNA1",NA,"BMI_Plate56WellF1","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_006-O-7.5-21.5-20170510-GEN-DNA1_16S_20201204T143652.768Z.csv","ABBY_006-O-7.5-21.5-20170510-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,26719,"OK",NA,"20210113T180340Z","undetermined",NA
"4","90b382d3-018b-46ec-8d23-e3c11ae1695a","D16","ABBY","ABBY_006","ABBY_006.basePlot.bgc","NEON HQ","2016-10-04 21:54:00","2020-10-19","soil","ABBY_006-O-11.5-2.5-20161004-GEN",NA,"ABBY_006-O-11.5-2.5-20161004-GEN-DNA1",NA,"BMI_Plate56WellE6","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_006-O-11.5-2.5-20161004-GEN-DNA1_16S_20201204T143652.457Z.csv","ABBY_006-O-11.5-2.5-20161004-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,31766,"OK",NA,"20210113T180353Z","undetermined",NA
"5","b1748a9d-fcf7-47ba-93e4-8a2c7c8aacd6","D16","ABBY","ABBY_061","ABBY_061.basePlot.bgc","NEON HQ","2017-06-06 17:34:00","2020-10-19","soil","ABBY_061-M-1-14-20170606-GEN",NA,"ABBY_061-M-1-14-20170606-GEN-DNA1",NA,"BMI_Plate56WellG3","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_061-M-1-14-20170606-GEN-DNA1_16S_20201204T143653.190Z.csv","ABBY_061-M-1-14-20170606-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,28815,"OK",NA,"20210113T180302Z","undetermined",NA
"6","a0c58a1c-4a7f-4eb0-93ee-b269c78f17cb","D16","ABBY","ABBY_061","ABBY_061.basePlot.bgc","NEON HQ","2017-06-06 18:06:00","2020-10-19","soil","ABBY_061-M-17-31.5-20170606-GEN",NA,"ABBY_061-M-17-31.5-20170606-GEN-DNA1",NA,"BMI_Plate55WellE3","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_061-M-17-31.5-20170606-GEN-DNA1_16S_20201204T143653.290Z.csv","ABBY_061-M-17-31.5-20170606-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,29690,"OK",NA,"20210113T180302Z","undetermined",NA
"7","bbce5d38-9453-418e-bb72-1ccc519faa2c","D16","ABBY","ABBY_061","ABBY_061.basePlot.bgc","NEON HQ","2017-05-15 17:16:00","2020-10-19","soil","ABBY_061-M-1.5-4-20170515-GEN",NA,"ABBY_061-M-1.5-4-20170515-GEN-DNA1",NA,"BMI_Plate56WellG2","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_061-M-1.5-4-20170515-GEN-DNA1_16S_20201204T143653.227Z.csv","ABBY_061-M-1.5-4-20170515-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,27963,"OK",NA,"20210113T180340Z","undetermined",NA
"8","9b701c39-eb73-47de-bc7c-ae4d5f964f4b","D16","ABBY","ABBY_061","ABBY_061.basePlot.bgc","NEON HQ","2017-10-17 21:21:00","2020-10-19","soil","ABBY_061-M-29.5-9.5-20171017-GEN",NA,"ABBY_061-M-29.5-9.5-20171017-GEN-DNA1",NA,"BMI_Plate55WellE6","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_061-M-29.5-9.5-20171017-GEN-DNA1_16S_20201204T143653.401Z.csv","ABBY_061-M-29.5-9.5-20171017-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,41374,"OK",NA,"20210115T211224Z","undetermined",NA
"9","050aa758-d286-417c-9e63-d96ec3188c79","D16","ABBY","ABBY_061","ABBY_061.basePlot.bgc","NEON HQ","2016-10-04 23:48:00","2020-10-19","soil","ABBY_061-M-38.5-0.5-20161004-GEN",NA,"ABBY_061-M-38.5-0.5-20161004-GEN-DNA1",NA,"BMI_Plate55WellE9","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_061-M-38.5-0.5-20161004-GEN-DNA1_16S_20201204T143653.542Z.csv","ABBY_061-M-38.5-0.5-20161004-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,20522,"OK",NA,"20210113T180353Z","undetermined",NA
"10","c52ad789-8c9c-4e14-a1a4-b8f179cfc52a","D16","ABBY","ABBY_062","ABBY_062.basePlot.bgc","NEON HQ","2016-10-05 22:48:00","2020-10-19","soil","ABBY_062-M-22-7.5-20161005-GEN",NA,"ABBY_062-M-22-7.5-20161005-GEN-DNA1",NA,"BMI_Plate55WellF4","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_062-M-22-7.5-20161005-GEN-DNA1_16S_20201204T143653.726Z.csv","ABBY_062-M-22-7.5-20161005-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,14590,"OK",NA,"20210113T180353Z","undetermined",NA
"11","f9941e2b-ea6e-4858-bbf4-be00006c3b68","D16","ABBY","ABBY_062","ABBY_062.basePlot.bgc","NEON HQ","2017-05-15 16:03:00","2020-10-19","soil","ABBY_062-M-14-2-20170515-GEN",NA,"ABBY_062-M-14-2-20170515-GEN-DNA1",NA,"BMI_Plate55WellE12","https://s3.data.neonscience.org/neon-os-data/data-frame/ABBY_062-M-14-2-20170515-GEN-DNA1_16S_20201204T143653.607Z.csv","ABBY_062-M-14-2-20170515-GEN-DNA1_16S.csv","NEON_mcc_sequenceVariant_analysis_v1","16S rRNA","bacteria and archaea","vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=",NA,NA,25334,"OK",NA,"20210113T180340Z","undetermined",NA
