KEGG,kegg_sum
K00003,89.59309999999999
K00010,31.7372
K00012,150.2847
K00013,45.694
K00014,61.075900000000004
K00018,46.5146
K00020,120.0574
K00021,2.3367
K00022,20.9887
K00023,11.5216
K00024,41.807500000000005
K00027,8.5219
K00029,74.4143
K00030,38.8129
K00031,107.4349
K00033,472.4901
K00034,4.7919
K00035,11.3622
K00036,241.33989999999997
K00038,16.823500000000003
K00040,12.7098
K00046,9.2767
K00052,47.43299999999999
K00053,236.1183
K00054,5.5047
K00055,16.5569
K00057,103.1118
K00058,78.61619999999999
K00059,561.0956000000002
K00060,97.78910000000002
K00064,40.8725
K00065,73.2757
K00066,10.8416
K00067,227.77569999999994
K00074,50.1644
K00075,193.1504
K00076,11.5454
K00077,466.6347999999999
K00088,164.34030000000004
K00091,114.2658
K00097,13.8587
K00099,254.6673
K00104,11.4148
K00108,98.98610000000002
K00109,12.2622
K00111,248.31189999999998
K00113,15.9464
K00116,37.500899999999994
K00118,23.4281
K00121,26.8086
K00122,19.0794
K00123,25.205199999999998
K00124,76.39529999999999
K00126,14.670000000000002
K00127,124.16559999999998
K00128,106.3721
K00130,42.42830000000001
K00133,125.92170000000002
K00134,119.6041
K00135,107.452
K00138,36.8619
K00140,97.5067
K00145,133.5715
K00146,42.829899999999995
K00147,20.1077
K00148,8.6773
K00153,6.2704
K00154,27.075899999999997
K00156,47.7949
K00161,54.8348
K00162,19.3051
K00163,611.2244
K00166,15.0695
K00169,22.3679
K00170,22.3679
K00172,4.279
K00174,138.038
K00175,125.7434
K00176,6.5792
K00179,12.7798
K00180,43.7513
K00208,143.73210000000003
K00215,147.1722
K00227,9.520900000000001
K00228,131.36790000000002
K00231,150.2005
K00232,12.0165
K00234,11.5031
K00239,29.0112
K00240,231.9781
K00241,210.55800000000005
K00242,44.019099999999995
K00243,4.5561
K00248,21.1711
K00249,329.05019999999996
K00252,97.80770000000001
K00253,22.5529
K00254,67.24170000000001
K00259,109.8772
K00261,33.3733
K00266,9.5784
K00273,12.4799
K00275,169.70049999999998
K00276,19.098
K00278,8.2765
K00279,7.3887
K00281,23.3176
K00282,73.84320000000001
K00283,47.5606
K00285,28.0491
K00286,225.53460000000004
K00287,56.859500000000004
K00294,28.509900000000002
K00297,108.63820000000001
K00299,34.7185
K00300,21.3141
K00302,14.0215
K00303,62.034000000000006
K00304,44.249700000000004
K00305,23.8734
K00311,120.7792
K00315,14.0215
K00316,74.22749999999999
K00318,4.0408
K00320,10.8937
K00322,52.9392
K00324,44.6703
K00325,31.761599999999998
K00326,22.6104
K00330,284.9446
K00331,236.4689
K00332,54.8495
K00333,78.0457
K00334,210.29830000000004
K00335,32.564
K00337,111.7128
K00338,136.0913
K00339,141.6667
K00340,298.50090000000006
K00341,77.5798
K00342,40.551500000000004
K00343,132.48290000000003
K00344,345.6532000000001
K00354,11.094
K00355,6.3356
K00359,8.9825
K00363,26.265400000000003
K00365,37.8923
K00368,3.3211
K00375,192.0659
K00381,14.887
K00382,97.6527
K00384,191.09149999999997
K00389,85.59460000000003
K00390,196.7601
K00406,86.5515
K00411,77.1389
K00412,112.02080000000001
K00413,71.2562
K00425,276.9145
K00426,205.2126
K00428,280.64619999999996
K00432,359.8683
K00433,518.6423
K00435,53.59949999999999
K00446,9.7395
K00448,54.0827
K00449,60.2278
K00450,15.4325
K00451,330.5868
K00452,95.7184
K00453,139.27679999999995
K00456,39.6453
K00457,332.4071
K00459,328.0511000000001
K00463,7.0633
K00469,71.2748
K00472,5.238
K00474,5.2067
K00476,27.741500000000002
K00477,10.4454
K00479,64.55720000000001
K00480,5.7362
K00481,62.374399999999994
K00483,8.746
K00485,7.9669
K00486,34.4551
K00496,35.825900000000004
K00499,19.7368
K00500,53.5017
K00505,9.3209
K00507,335.4621
K00508,39.8649
K00518,19.2909
K00523,13.4799
K00525,374.63839999999993
K00526,29.4807
K00528,64.009
K00529,39.1518
K00537,24.3749
K00540,86.3167
K00543,9.8775
K00544,32.2046
K00547,32.9206
K00548,630.9026999999999
K00549,339.24800000000005
K00554,198.23250000000004
K00558,45.973
K00560,128.7257
K00563,21.202199999999998
K00564,15.783100000000001
K00566,57.4128
K00567,98.0467
K00568,23.9419
K00569,38.7482
K00570,19.704099999999997
K00571,33.6637
K00573,227.7707
K00574,152.0139
K00575,144.60700000000003
K00588,108.458
K00594,41.7645
K00595,32.5775
K00598,123.69179999999999
K00600,426.9882000000001
K00602,426.02959999999996
K00603,19.1229
K00604,81.97319999999999
K00605,102.43359999999998
K00606,218.52689999999998
K00609,165.27730000000005
K00611,49.5482
K00612,102.01879999999998
K00615,332.5758
K00616,285.4024
K00619,70.69420000000001
K00620,134.6075
K00625,7.285
K00626,811.9610999999998
K00627,31.532899999999998
K00631,12.3902
K00632,66.8442
K00635,51.673
K00639,68.9426
K00640,224.7656
K00641,658.4908000000003
K00645,89.8152
K00647,45.3556
K00648,180.18249999999998
K00651,18.6703
K00652,55.998599999999996
K00655,367.4071
K00657,88.61889999999998
K00658,80.0233
K00661,57.5007
K00662,14.1359
K00663,15.442400000000001
K00666,91.8252
K00674,174.51720000000006
K00675,7.6415
K00677,236.38070000000002
K00681,128.3145
K00682,10.405999999999999
K00683,106.94019999999999
K00684,66.8515
K00688,914.5893000000002
K00694,91.3304
K00697,19.2173
K00700,210.25939999999997
K00702,14.4317
K00703,250.11950000000004
K00705,145.9618
K00720,318.5850999999999
K00721,92.3765
K00728,8.9421
K00729,45.365899999999996
K00737,5.672000000000001
K00748,145.6881
K00754,75.55539999999999
K00756,21.3885
K00758,21.3885
K00759,197.5944
K00760,193.8765
K00761,9.7235
K00762,195.56440000000003
K00763,90.52939999999998
K00764,407.0696999999998
K00765,142.4895
K00766,272.82
K00767,103.45429999999999
K00768,104.0279
K00769,20.114
K00772,41.4189
K00773,152.9398
K00782,49.184000000000005
K00783,177.07869999999997
K00784,87.8714
K00788,79.6074
K00789,550.1173
K00790,357.22559999999993
K00791,157.2433
K00793,245.61099999999996
K00794,294.45880000000005
K00795,53.235200000000006
K00796,112.98019999999997
K00797,85.9032
K00798,233.09720000000004
K00799,1060.8012999999999
K00800,174.75940000000003
K00801,57.4124
K00803,20.9752
K00805,10.2871
K00806,63.3621
K00808,40.7969
K00809,50.358799999999995
K00812,57.23179999999999
K00817,101.3733
K00819,5.1621
K00820,494.05469999999997
K00821,32.487
K00822,32.098
K00823,13.9949
K00824,32.9683
K00826,145.85029999999998
K00830,47.5565
K00831,114.7084
K00833,18.0328
K00845,125.10690000000001
K00847,26.4989
K00848,68.72800000000001
K00849,65.0967
K00851,111.29979999999998
K00852,68.6905
K00853,33.7033
K00854,50.4975
K00855,19.8033
K00856,39.5555
K00857,93.62380000000002
K00858,298.97559999999993
K00859,253.65290000000002
K00860,15.081199999999999
K00864,91.62710000000001
K00865,22.223600000000005
K00867,43.2888
K00872,122.80699999999999
K00873,454.32009999999997
K00874,55.624900000000004
K00876,46.5799
K00883,10.7498
K00886,115.2522
K00891,159.104
K00899,15.173200000000001
K00903,8.3053
K00906,29.9075
K00912,166.14709999999997
K00919,203.75580000000002
K00925,281.0358999999999
K00926,9.4676
K00927,448.5294
K00928,62.9664
K00930,121.6566
K00931,61.7675
K00936,124.83979999999997
K00937,212.9864
K00939,169.34799999999996
K00940,152.3864
K00942,113.42590000000001
K00943,181.2578
K00945,264.2197
K00946,182.82809999999998
K00948,537.4497999999999
K00949,5.7694
K00950,165.4952
K00954,258.03130000000004
K00955,24.115099999999998
K00956,72.1024
K00957,221.5963
K00958,25.388
K00962,283.67150000000004
K00963,180.95010000000008
K00965,59.405
K00969,156.9316
K00970,45.6494
K00971,380.3381999999999
K00973,164.3173
K00974,39.5592
K00975,242.46219999999997
K00978,79.5692
K00979,138.26510000000002
K00980,19.8367
K00981,229.3968
K00982,146.3674
K00986,2290.3267
K00989,121.2742
K00990,330.78589999999997
K00991,100.52220000000001
K00992,56.772999999999996
K00995,108.5326
K00997,118.64550000000001
K01000,227.75630000000007
K01003,10.5976
K01005,72.6549
K01006,137.5632
K01007,44.9488
K01008,110.8188
K01011,34.1231
K01012,116.12559999999999
K01021,14.932
K01023,91.64720000000001
K01028,55.2907
K01029,43.2775
K01039,32.999900000000004
K01040,31.172199999999997
K01042,45.3247
K01046,36.1605
K01047,4.8239
K01048,13.5866
K01051,113.1077
K01053,105.51459999999999
K01054,13.1135
K01055,80.4349
K01056,293.1621999999999
K01057,163.91129999999998
K01060,22.5176
K01061,748.2399000000001
K01066,84.37920000000001
K01068,37.34
K01069,204.31939999999994
K01070,73.527
K01071,29.0236
K01075,58.407700000000006
K01079,39.553
K01082,49.9837
K01087,24.6204
K01089,18.3761
K01091,177.69550000000007
K01092,126.3546
K01093,31.1653
K01095,112.4296
K01104,68.9954
K01113,96.25410000000001
K01114,929.9915000000002
K01118,310.5104
K01126,176.7904
K01129,250.96429999999998
K01142,105.11840000000001
K01151,114.4239
K01153,90.895
K01154,50.294
K01156,4.7106
K01158,3.4393
K01159,208.12139999999997
K01166,16.9355
K01167,7.2329
K01176,34.0402
K01178,162.5876
K01179,64.6631
K01181,174.01690000000002
K01183,165.71789999999996
K01185,128.4904
K01187,163.98619999999997
K01190,144.5736
K01191,31.951
K01192,50.2882
K01194,116.43549999999999
K01195,66.3169
K01198,8.7404
K01200,22.692600000000002
K01201,151.3435
K01205,12.8357
K01206,709.5188000000003
K01207,163.34529999999995
K01209,336.41650000000004
K01214,47.2671
K01218,74.9023
K01222,6.7766
K01224,33.6452
K01235,64.5523
K01236,85.72160000000001
K01239,266.8451
K01241,20.8218
K01243,44.98350000000001
K01246,248.98200000000003
K01247,119.74100000000001
K01251,597.662
K01254,13.0415
K01255,124.4316
K01256,19.7943
K01258,83.2764
K01259,229.1993
K01262,74.5389
K01265,324.5095
K01266,232.76219999999995
K01271,115.99490000000002
K01273,423.9109999999997
K01278,22.5212
K01283,42.857000000000006
K01284,39.1661
K01286,491.40320000000025
K01295,112.2243
K01297,135.0391
K01299,61.8984
K01301,111.9469
K01302,170.90770000000003
K01303,343.0868
K01304,16.2971
K01322,106.8687
K01337,10.7102
K01338,43.944500000000005
K01354,39.9592
K01356,212.0286
K01358,456.229
K01392,18.252
K01409,285.373
K01419,259.32160000000005
K01421,7.4663
K01423,104.83349999999999
K01424,13.8961
K01425,30.708899999999996
K01426,728.0525000000004
K01428,7.11
K01429,24.4469
K01430,20.7135
K01431,32.9582
K01432,49.87650000000001
K01433,113.4356
K01434,81.89429999999999
K01438,62.8635
K01439,41.4083
K01443,203.4877
K01444,23.6625
K01447,86.91509999999998
K01448,409.47299999999996
K01449,23.9225
K01455,50.8431
K01457,10.3737
K01458,36.0132
K01462,388.4633
K01463,82.4632
K01464,37.947700000000005
K01465,60.970200000000006
K01466,16.726
K01467,3.3665
K01468,88.9661
K01469,12.2745
K01470,189.78249999999994
K01473,36.2798
K01474,14.1129
K01475,20.7432
K01476,116.2807
K01477,16.2949
K01478,42.43470000000001
K01480,55.016799999999996
K01482,67.04990000000001
K01483,34.2735
K01484,5.7756
K01485,2.9086
K01488,99.122
K01489,141.97740000000002
K01491,43.6285
K01493,12.5838
K01494,275.4448
K01495,245.85410000000002
K01496,20.8911
K01497,241.56970000000004
K01500,24.9721
K01501,44.1214
K01505,8.9958
K01507,337.9929
K01512,132.9359
K01515,146.9519
K01518,24.1976
K01520,176.0641
K01521,46.088499999999996
K01523,6.9742
K01524,146.7572
K01525,56.393899999999995
K01529,5.3108
K01531,8.9771
K01533,23.9676
K01535,6.404
K01545,66.33699999999999
K01546,499.3738
K01547,270.003
K01548,232.3078
K01551,53.107299999999995
K01554,10.8502
K01555,129.18869999999998
K01556,172.43989999999997
K01560,183.0165
K01561,61.3591
K01563,49.0632
K01565,10.8004
K01569,337.8017
K01574,30.4715
K01575,110.6944
K01576,66.3324
K01577,8.0204
K01579,19.249399999999998
K01581,35.067099999999996
K01586,114.09430000000002
K01588,220.61350000000004
K01589,131.8396
K01591,123.584
K01593,59.944100000000006
K01595,868.0992999999996
K01596,194.99449999999996
K01599,188.53210000000004
K01601,7.063
K01602,28.22
K01607,404.1405000000001
K01609,62.5694
K01610,69.4436
K01611,16.8798
K01613,229.44330000000002
K01619,252.37419999999997
K01620,278.92120000000006
K01621,538.1693
K01623,149.8857
K01624,104.2367
K01625,146.17180000000005
K01626,408.0649
K01627,146.6828
K01628,62.8814
K01633,54.8423
K01635,103.8416
K01637,122.73920000000001
K01638,216.17589999999998
K01640,166.1594
K01644,97.3884
K01647,49.0177
K01649,38.3547
K01652,100.18050000000001
K01653,255.85210000000004
K01654,16.3997
K01657,49.3656
K01658,78.9135
K01659,10.0401
K01662,183.29389999999998
K01664,40.268
K01666,37.7882
K01673,397.2685000000001
K01674,47.3874
K01676,101.4187
K01679,61.566599999999994
K01684,18.299799999999998
K01685,13.201
K01686,55.499500000000005
K01687,33.572199999999995
K01689,501.5756
K01690,7.9165
K01692,355.00540000000007
K01693,21.2452
K01695,227.20999999999995
K01696,33.3358
K01697,10.931
K01698,302.37170000000003
K01703,59.706100000000006
K01704,219.23630000000003
K01707,7.193099999999999
K01708,2.8508
K01709,45.1692
K01710,71.67500000000001
K01711,123.87500000000001
K01712,199.6892
K01713,7.5994
K01714,149.1058
K01715,102.75219999999999
K01716,17.2197
K01719,301.9109
K01720,155.1499
K01721,39.180899999999994
K01724,237.6817
K01725,30.656100000000002
K01726,88.993
K01730,81.89119999999998
K01733,294.9958
K01734,6.6114999999999995
K01735,105.0653
K01736,222.64319999999998
K01737,425.6844999999999
K01738,82.78490000000001
K01739,71.5444
K01740,104.1207
K01745,78.7699
K01749,215.40040000000005
K01750,18.8108
K01751,9.706
K01752,311.4638999999999
K01753,21.5943
K01754,335.76269999999994
K01755,245.84519999999992
K01756,105.9906
K01759,77.7721
K01760,19.6879
K01768,19.7041
K01772,313.94140000000004
K01775,239.95730000000003
K01776,154.52650000000003
K01778,242.16129999999998
K01779,148.02960000000002
K01782,12.1611
K01783,133.0723
K01784,140.0215
K01785,422.40199999999993
K01788,9.986
K01790,175.35420000000002
K01791,8.2673
K01792,82.70450000000001
K01793,7.1063
K01796,30.148000000000003
K01799,21.2238
K01800,60.1423
K01801,5.7121
K01802,60.808400000000006
K01803,272.6838
K01804,86.4416
K01805,98.7185
K01807,192.6808
K01808,59.745
K01809,212.17770000000002
K01810,397.68390000000005
K01811,62.023300000000006
K01812,105.7867
K01814,14.0719
K01815,119.15110000000001
K01816,136.37929999999997
K01817,34.510999999999996
K01818,9.0295
K01820,93.79509999999999
K01821,189.6271
K01822,20.6593
K01823,95.09330000000001
K01826,9.278
K01834,111.46049999999998
K01835,59.8133
K01838,33.4077
K01839,28.2781
K01840,23.272100000000002
K01841,40.2193
K01844,8.6623
K01845,222.48770000000002
K01846,11.1676
K01848,20.0411
K01849,74.745
K01854,20.2161
K01857,29.6582
K01858,306.1288
K01865,22.962200000000003
K01866,359.5190000000001
K01867,262.09060000000005
K01868,509.20519999999993
K01869,172.0128
K01870,76.01450000000001
K01872,557.3124999999999
K01873,88.0444
K01874,194.01070000000004
K01875,389.1357000000001
K01876,147.4722
K01878,14.0423
K01879,45.7215
K01880,19.034200000000002
K01881,338.526
K01883,91.5192
K01885,152.0323
K01886,29.8894
K01887,366.29640000000006
K01889,209.2442
K01890,275.61220000000003
K01892,47.341499999999996
K01893,47.7152
K01895,42.0621
K01897,46.2933
K01902,109.86340000000001
K01903,39.8417
K01911,10.1925
K01912,160.9244
K01915,1100.5303999999999
K01918,192.6159
K01919,127.75249999999997
K01920,94.34020000000001
K01921,267.1447
K01923,255.24999999999994
K01924,80.58
K01925,59.0235
K01926,12.197000000000001
K01928,76.2461
K01929,68.1655
K01933,259.71040000000005
K01934,172.8704
K01935,53.589800000000004
K01937,748.9946000000001
K01938,15.6169
K01939,346.67369999999994
K01940,349.0305000000001
K01945,260.7004
K01950,19.1817
K01951,476.88450000000006
K01952,56.7184
K01953,549.6056999999998
K01955,20.0999
K01956,82.9273
K01961,41.2098
K01962,73.08989999999999
K01963,71.5408
K01966,31.169
K01969,19.2655
K01971,295.6785
K01972,562.0868
K01974,20.2855
K01975,98.45790000000001
K01989,4.5476
K01990,910.0459000000002
K01991,826.4310999999997
K01992,270.04389999999995
K01993,9.2822
K01995,54.138999999999996
K01996,71.62049999999999
K01997,185.99679999999998
K01998,56.4876
K01999,61.7291
K02000,12.6623
K02001,24.0806
K02002,34.1573
K02003,678.6074999999998
K02004,10254.57370000002
K02005,346.4635
K02007,12.3185
K02008,3.1338
K02009,7.8952
K02010,9.0409
K02012,7.193
K02013,58.7462
K02014,751.5753000000001
K02015,231.1793
K02016,148.6959
K02017,18.5787
K02018,96.1694
K02019,56.7358
K02020,184.8503
K02025,60.5496
K02026,60.340599999999995
K02027,48.7251
K02028,9.0597
K02029,9.1023
K02030,37.9277
K02031,120.1511
K02032,150.5746
K02033,285.8914000000001
K02034,406.61440000000005
K02035,147.50189999999998
K02036,147.86990000000003
K02037,109.67699999999999
K02038,81.7423
K02039,331.99929999999995
K02040,333.2227999999999
K02042,21.9297
K02044,3.7046
K02045,19.9218
K02046,24.0894
K02047,25.931400000000004
K02049,230.94800000000004
K02050,429.867
K02051,194.6993
K02052,9.0409
K02053,19.4841
K02054,19.4841
K02056,12.2152
K02065,276.5889
K02066,850.8828000000003
K02067,364.6564999999999
K02071,27.0893
K02072,44.810900000000004
K02073,23.9325
K02077,7.5559
K02078,531.8521999999998
K02081,69.4665
K02082,44.0841
K02083,9.9784
K02100,21.1899
K02103,10.166
K02106,18.798299999999998
