KEGG,kegg_sum
K00003,56.204800000000006
K00012,49.6568
K00013,22.6807
K00014,70.459
K00018,10.189
K00019,12.3366
K00020,58.4666
K00024,36.7692
K00027,19.8809
K00029,77.90809999999999
K00030,14.4075
K00031,60.490399999999994
K00033,273.70009999999996
K00036,96.6678
K00038,15.7057
K00052,30.4895
K00053,144.9605
K00057,62.96790000000001
K00058,50.839299999999994
K00059,194.23930000000001
K00060,58.039
K00064,53.2166
K00065,7.4219
K00066,12.9815
K00067,157.92499999999998
K00074,37.441
K00075,122.54139999999998
K00077,418.6774000000003
K00082,23.0434
K00088,118.08349999999999
K00091,55.6063
K00096,34.289
K00097,9.5988
K00099,182.9737
K00102,8.0256
K00104,33.533
K00108,53.1926
K00109,8.84
K00111,213.36419999999993
K00113,6.4402
K00116,50.204899999999995
K00119,46.0519
K00122,7.5419
K00124,129.0953
K00126,18.6783
K00127,54.5342
K00128,16.0606
K00133,35.4962
K00134,70.4777
K00135,20.4676
K00140,49.267199999999995
K00141,16.3976
K00145,126.32499999999997
K00146,16.0606
K00148,19.1441
K00153,15.7086
K00161,5.8989
K00162,16.0715
K00163,729.5985000000001
K00164,23.1698
K00166,11.8899
K00169,24.246000000000002
K00174,103.4482
K00175,51.044599999999996
K00176,5.9873
K00180,14.3396
K00208,46.1139
K00215,134.37040000000002
K00217,15.8415
K00228,43.229099999999995
K00230,6.1925
K00231,106.6132
K00240,135.41940000000002
K00241,92.3507
K00242,9.4461
K00249,232.31140000000002
K00252,23.627
K00254,34.865
K00259,68.05009999999999
K00261,9.4899
K00263,8.9836
K00266,12.9576
K00271,19.1485
K00273,27.5724
K00274,15.2804
K00275,140.5073
K00276,14.252
K00278,12.697
K00281,20.1885
K00282,26.255399999999998
K00285,23.660800000000002
K00286,192.9674
K00287,15.513200000000001
K00294,15.5786
K00297,93.6006
K00299,82.7119
K00303,47.211099999999995
K00304,22.454700000000003
K00311,62.3204
K00314,19.468
K00316,38.216
K00318,7.881
K00320,53.3063
K00322,41.8771
K00324,24.8444
K00330,198.2955
K00331,107.5755
K00332,90.28479999999999
K00334,132.04410000000001
K00335,31.576299999999996
K00337,27.6806
K00338,153.42319999999998
K00339,86.8814
K00340,205.2029
K00343,74.84129999999999
K00344,159.63160000000002
K00365,46.873799999999996
K00375,90.92099999999999
K00382,31.8932
K00383,7.473
K00384,68.9034
K00389,121.2557
K00390,158.15469999999996
K00392,15.0483
K00406,38.2866
K00411,32.8628
K00412,31.876800000000003
K00413,30.7825
K00425,419.3324000000002
K00426,268.23190000000005
K00428,29.1652
K00432,176.22749999999994
K00433,253.7015
K00435,41.0508
K00446,66.8309
K00448,23.311899999999998
K00449,49.637800000000006
K00450,55.6488
K00451,206.09149999999994
K00452,56.2041
K00453,165.6112
K00456,51.9631
K00457,281.9026999999999
K00459,294.79949999999997
K00467,28.7931
K00468,20.9014
K00469,20.6053
K00477,4.8203
K00479,17.1017
K00481,41.9409
K00483,31.749000000000002
K00486,16.4751
K00499,5.6507
K00500,19.981
K00507,414.5184000000001
K00518,61.323800000000006
K00523,8.3561
K00525,224.1668
K00526,30.590199999999996
K00528,41.3227
K00529,73.8616
K00537,10.3346
K00540,297.00440000000003
K00544,45.9557
K00547,19.7909
K00548,284.53970000000004
K00549,1144.4071999999996
K00554,157.6962
K00558,58.38759999999999
K00560,76.6088
K00561,11.8778
K00564,38.3347
K00566,31.9835
K00567,109.91020000000002
K00568,6.0329
K00570,47.401799999999994
K00571,24.511899999999997
K00573,168.9136
K00574,176.93940000000003
K00575,62.4722
K00588,104.79349999999998
K00594,13.986
K00595,14.178
K00598,78.1168
K00600,415.84250000000003
K00602,300.8232
K00603,17.261400000000002
K00604,46.6235
K00605,31.6363
K00606,268.35790000000003
K00609,107.15670000000001
K00611,65.6144
K00612,36.258700000000005
K00615,269.4365
K00616,161.4989
K00619,43.5886
K00620,103.0112
K00626,655.6100000000004
K00632,24.052100000000003
K00635,187.59099999999998
K00639,9.899
K00640,97.89310000000002
K00641,261.88089999999994
K00645,50.8119
K00648,83.94449999999999
K00652,9.899
K00655,293.12479999999994
K00657,90.26789999999998
K00658,20.4876
K00661,2.6726
K00662,39.611999999999995
K00663,15.2189
K00673,4.5633
K00674,138.1857
K00675,32.401300000000006
K00677,91.54
K00681,12.9263
K00682,47.15520000000001
K00683,44.28509999999999
K00684,21.6323
K00688,587.3883999999998
K00694,11.1168
K00700,289.35360000000003
K00702,8.3396
K00703,145.6525
K00705,105.19009999999999
K00720,149.79630000000003
K00721,67.8829
K00728,18.6408
K00729,56.1072
K00748,105.24090000000001
K00754,25.396200000000004
K00756,15.7348
K00758,17.1447
K00759,155.56580000000002
K00760,186.11010000000002
K00761,14.2411
K00762,151.92669999999998
K00763,148.8165
K00764,318.1597000000001
K00765,83.77239999999999
K00766,224.5321
K00767,50.6696
K00768,105.04459999999999
K00769,4.4273
K00772,75.59689999999999
K00773,76.89920000000001
K00782,69.8616
K00783,69.8261
K00784,195.6305
K00788,66.333
K00789,625.8251
K00790,287.8003
K00791,114.10960000000001
K00793,169.4882
K00794,192.09290000000001
K00795,15.0945
K00796,71.7777
K00797,25.808199999999996
K00798,166.3937
K00799,229.56909999999996
K00800,173.89690000000002
K00801,12.5542
K00803,15.674199999999999
K00805,27.4432
K00806,39.2599
K00808,12.7262
K00809,38.0589
K00812,26.027299999999997
K00817,35.45
K00820,366.3075
K00821,9.033
K00823,19.1319
K00826,146.67779999999996
K00831,68.4182
K00833,10.2564
K00845,37.2285
K00848,25.5418
K00849,30.956200000000003
K00851,107.10119999999999
K00852,69.37069999999999
K00853,14.353000000000002
K00855,27.342799999999997
K00857,44.4881
K00858,303.6923
K00859,196.06230000000005
K00860,8.9876
K00864,12.377
K00865,88.0762
K00867,21.7051
K00872,49.52550000000001
K00873,276.4803
K00876,16.9317
K00883,19.4376
K00886,68.18139999999998
K00891,87.1929
K00899,2.9704
K00906,9.9352
K00912,101.4046
K00917,14.6561
K00919,139.15009999999998
K00925,230.34220000000002
K00926,46.05599999999999
K00927,311.035
K00930,89.34720000000003
K00931,19.8923
K00936,84.6203
K00937,190.75929999999997
K00939,134.6998
K00940,92.1191
K00941,21.858
K00942,111.58789999999999
K00943,228.84109999999998
K00945,201.34420000000006
K00946,89.0837
