KEGG,kegg_sum
K00003,23.0917
K00010,12.756
K00033,36.812000000000005
K00064,2.8223
K00067,31.9985
K00075,14.4404
K00077,41.7177
K00099,20.4375
K00102,18.658
K00111,16.1334
K00124,24.907
K00163,129.0121
K00175,50.7715
K00230,8.3924
K00240,81.21629999999999
K00241,8.1978
K00242,19.1376
K00259,12.337
K00275,59.2885
K00286,12.9465
K00318,19.8217
K00320,5.9138
K00330,57.59530000000001
K00331,89.1535
K00338,82.7139
K00339,36.5323
K00340,14.9482
K00389,10.0673
K00390,13.765999999999998
K00425,85.7774
K00426,46.367999999999995
K00433,17.8336
K00448,6.7627
K00451,103.5159
K00453,20.7848
K00457,89.0683
K00459,17.0947
K00507,22.792299999999997
K00518,39.167500000000004
K00525,30.8132
K00540,54.2907
K00548,36.004400000000004
K00549,69.8853
K00566,18.0
K00567,11.5943
K00573,25.2471
K00574,11.1571
K00588,26.0254
K00598,11.6486
K00600,102.14559999999999
K00602,74.50619999999999
K00606,21.0552
K00615,29.7978
K00620,14.636
K00626,87.2977
K00635,81.1955
K00641,40.5879
K00645,20.3505
K00655,79.25059999999999
K00674,21.2786
K00684,24.2734
K00688,43.32330000000001
K00700,35.8727
K00705,10.0327
K00721,8.7533
K00759,31.2785
K00760,66.6397
K00762,15.2806
K00763,20.5991
K00764,72.5595
K00765,33.3763
K00766,57.999199999999995
K00768,8.7346
K00784,8.1258
K00788,17.1568
K00789,82.9828
K00790,51.5074
K00791,15.4092
K00793,31.774599999999996
K00794,39.3423
K00796,15.963
K00798,37.4726
K00799,3.3096
K00800,7.3081
K00820,38.3792
K00831,18.158
K00858,56.18579999999999
K00859,51.0826
K00865,51.2751
K00873,81.2323
K00891,6.3684
K00919,6.4019
K00925,2.4927
K00926,58.784400000000005
K00927,48.1744
K00930,27.209699999999998
K00936,38.0164
K00937,13.3643
K00939,35.5396
K00943,24.100499999999997
K00945,18.133300000000002
K00946,35.8603
K00948,49.1188
K00950,5.5779
K00954,33.2475
K00957,8.7273
K00965,11.9938
K00969,25.4486
K00975,6.5553
K00981,50.07299999999999
K00986,218.85640000000004
K00989,37.4636
K00990,19.0178
K00997,8.2505
K01000,31.325899999999997
K01005,191.4103
K01008,27.9022
K01011,6.6179
K01012,19.7918
K01040,19.6706
K01046,9.6217
K01053,9.3339
K01056,20.0666
K01057,11.2828
K01061,31.4339
K01066,18.2703
K01069,37.809
K01104,11.3987
K01113,48.685
K01114,12.5805
K01126,29.1544
K01129,18.2642
K01142,22.0959
K01151,30.1929
K01159,23.511400000000002
K01174,20.3914
K01239,3.4956
K01246,36.2693
K01247,4.2451
K01251,189.1545
K01259,14.2503
K01265,67.0398
K01266,25.659100000000002
K01273,8.814599999999999
K01286,5.6752
K01295,10.7
K01297,13.1586
K01356,34.6645
K01358,282.2869
K01406,17.1878
K01409,47.0487
K01417,11.0419
K01424,5.0881
K01426,53.546800000000005
K01431,12.526
K01443,5.6582
K01455,21.0032
K01462,20.493
K01470,7.1083
K01477,20.9825
K01478,101.5556
K01480,6.928
K01482,12.7453
K01486,13.7276
K01489,42.206
K01494,60.319199999999995
K01495,48.173100000000005
K01497,18.304000000000002
K01501,11.0795
K01507,43.4991
K01512,16.0581
K01520,30.4546
K01524,10.2212
K01545,9.4785
K01546,9.4785
K01548,9.1467
K01551,62.5467
K01561,29.8298
K01579,16.3379
K01588,44.8771
K01595,67.58000000000001
K01596,7.1385
K01599,24.6128
K01607,21.773600000000002
K01610,37.570499999999996
K01619,60.0445
K01620,20.5077
K01621,142.4878
K01623,31.358800000000002
K01624,21.774
K01625,5.4709
K01626,3.1281
K01633,19.1669
K01637,52.692099999999996
K01638,86.81540000000001
K01644,9.1962
K01653,32.6227
K01662,25.3065
K01666,17.334600000000002
K01673,52.6488
K01689,94.461
K01695,4.6907
K01697,34.0026
K01698,26.032600000000002
K01704,15.4584
K01719,32.7481
K01724,60.211000000000006
K01737,17.0376
K01749,35.077600000000004
K01752,2.0293
K01755,15.400599999999999
K01768,72.8039
K01772,27.2376
K01775,4.4854
K01776,27.4086
K01778,60.9747
K01785,49.077200000000005
K01790,12.1253
K01795,7.888
K01799,13.1244
K01803,57.4245
K01804,6.1842
K01805,15.2158
K01807,17.6569
K01808,10.2389
K01809,24.9865
K01810,64.67
K01820,34.014399999999995
K01823,34.1259
K01839,41.7082
K01849,36.6181
K01866,48.146499999999996
K01867,69.0659
K01868,75.0925
K01869,46.2732
K01872,28.3274
K01874,53.6314
K01875,70.2341
K01876,11.6295
K01880,53.1361
K01881,33.1746
K01887,55.1739
K01889,24.109699999999997
K01890,12.8113
K01912,79.8343
K01915,402.4830999999999
K01918,27.6866
K01921,14.4579
K01923,50.54410000000001
K01926,25.7718
K01933,29.07
K01937,120.57990000000001
K01939,57.9502
K01940,34.0133
K01945,25.719
K01951,143.84480000000002
K01971,52.4608
K01972,108.00639999999999
K01975,1.7162
K01990,36.5372
K01995,10.0916
K01997,62.0454
K01999,11.289
K02003,19.7673
K02004,232.56249999999997
K02015,52.4883
K02020,19.8594
K02025,20.3109
K02029,23.466099999999997
K02030,21.6022
K02034,53.844500000000004
K02037,16.8484
K02039,30.5783
K02040,62.365
K02042,5.9309
K02050,9.9643
K02051,16.7153
K02078,54.121
K02109,25.1244
K02110,48.5687
K02113,29.0701
K02116,18.8143
K02194,6.6304
K02195,36.5603
K02197,7.1072
K02199,45.2562
K02200,5.8847
K02221,15.6677
K02227,12.5992
K02228,6.3984
K02231,15.2747
K02232,19.0313
K02233,4.2099
K02237,7.9193
K02238,14.829899999999999
K02257,8.9912
K02259,32.3798
K02276,15.998
K02277,18.5535
K02279,11.318000000000001
K02303,15.7623
K02313,89.25609999999999
K02314,96.05089999999998
K02316,89.41230000000002
K02338,89.4864
K02342,35.4375
K02356,40.9584
K02357,19.275399999999998
K02380,11.8773
K02405,15.9259
K02410,5.7091
K02431,20.355800000000002
K02435,25.1787
K02437,55.2381
K02483,33.3582
K02492,35.7013
K02500,7.6559
K02503,29.221700000000002
K02510,26.2389
K02518,83.90509999999999
K02519,21.6384
K02520,98.6379
K02600,185.9014
K02601,60.0299
K02609,37.1488
K02610,8.5199
K02614,6.3085
K02616,4.5769
K02651,6.4313
K02654,8.7288
K02662,7.5
K02768,17.0685
K02782,22.913
K02784,3.351
K02800,16.8662
K02825,63.8996
K02834,6.0155
K02835,42.397
K02836,18.563
K02838,100.2451
K02860,2.1507
K02863,67.7899
K02864,24.3441
K02867,27.1469
K02871,67.4863
K02874,65.9246
K02876,64.4672
K02879,63.03
K02881,15.4737
K02884,5.3339
K02886,64.25919999999999
K02887,54.5206
K02888,64.8405
K02890,24.686300000000003
K02892,6.9030000000000005
K02895,50.1828
K02897,38.28489999999999
K02899,42.4092
K02904,30.454
K02907,57.6623
K02909,18.4158
K02911,26.089699999999997
K02913,51.843500000000006
K02916,30.4638
K02926,59.8876
K02931,70.1347
K02933,26.9652
K02935,8.7356
K02939,56.4337
K02945,101.0146
K02946,30.3495
K02948,88.328
K02950,114.4065
K02954,33.0682
K02956,39.6251
K02959,14.2417
K02961,30.029799999999998
K02963,41.2781
K02965,83.2199
K02967,29.3045
K02968,33.9272
K02982,109.15780000000001
K02986,105.3272
K02988,45.444199999999995
K02990,44.772999999999996
K02992,47.0244
K02996,30.5437
K03040,121.1202
K03060,21.011699999999998
K03070,73.1262
K03073,50.271
K03075,18.8743
K03076,19.3012
K03088,848.1293000000003
K03090,9.9853
K03092,14.2712
K03100,43.4603
K03101,28.731099999999998
K03106,7.4798
K03111,302.94039999999995
K03116,33.6098
K03118,45.9083
K03147,26.7398
K03149,14.6986
K03154,31.119500000000002
K03210,33.4842
K03217,43.3768
K03218,18.476399999999998
K03271,42.807
K03273,9.5444
K03282,9.6756
K03284,92.3611
K03303,22.7319
K03313,39.6796
K03315,40.6408
K03320,48.9471
K03335,31.2195
K03337,32.4059
K03338,4.7325
K03380,10.3146
K03402,5.7417
K03406,17.142400000000002
K03424,18.564
K03433,16.0606
K03437,9.262
K03438,7.0848
K03455,5.0427
K03464,4.3905
K03466,98.00539999999998
K03470,22.7363
K03496,128.3638
K03497,31.276699999999998
K03498,10.875
K03501,9.4563
K03517,32.5514
K03518,6.6265
K03519,3.9174
K03521,38.164
K03522,48.9591
K03523,19.1918
K03525,26.967
K03526,123.6985
K03527,41.817099999999996
K03530,19.2958
K03531,95.7234
K03534,19.5179
K03536,10.5487
K03544,51.0785
K03545,51.618100000000005
K03550,46.893899999999995
K03551,52.4803
K03553,87.5944
K03556,189.22080000000003
K03564,24.6554
K03569,128.9431
K03570,19.9553
K03571,14.6337
K03574,23.081200000000003
K03575,2.878
K03581,27.0865
K03584,58.617599999999996
K03588,10.0161
K03593,75.578
K03594,8.525
K03595,36.7502
K03601,20.856900000000003
K03605,8.0449
K03621,8.0974
K03625,7.6775
K03628,88.4434
K03629,19.7687
K03631,39.7982
K03635,21.8737
K03636,9.7792
K03637,48.18
K03639,64.624
K03641,10.2
K03642,8.867799999999999
K03644,69.6069
K03651,19.7648
K03652,28.7131
K03664,46.07469999999999
K03665,10.088799999999999
K03671,55.1784
K03684,13.4093
K03685,20.3531
K03687,66.144
K03703,30.4532
K03704,148.0984
K03705,25.6259
K03709,22.770799999999998
K03710,14.8535
K03718,14.6055
K03719,17.5762
K03724,71.5608
K03734,4.052
K03741,51.8814
K03742,27.8708
K03744,57.1904
K03750,36.8622
K03781,14.1568
K03783,20.7536
K03786,4.4563
K03789,36.3589
K03790,30.3649
K03799,65.52590000000001
K03802,19.4832
K03809,17.3094
K03817,7.0031
K03820,16.2124
K03821,36.4143
K03824,4.0184
K03885,28.650599999999997
K03889,21.997799999999998
K03924,310.3602
K03925,31.467599999999997
K03926,56.7777
K03928,8.1536
K03932,8.9161
K03937,2.9839
K03969,37.12
K03973,30.073100000000004
K03975,37.8092
K03976,8.874
K03979,46.841499999999996
K04063,12.5876
K04066,28.086100000000002
K04074,4.5155
K04075,1.8209
K04077,382.75629999999995
K04078,24.6195
K04085,11.1073
K04096,9.3803
K04343,11.9761
K04485,76.1174
K04488,17.3864
K04564,55.8061
K04654,47.3217
K04655,21.9213
K04656,30.8552
K04749,67.4153
K04750,81.23870000000001
K04751,18.8344
K04757,40.5219
K04762,16.2295
K04763,26.464399999999998
K04766,16.209
K05337,6.8044
K05343,35.2957
K05501,2.885
K05520,36.4638
K05558,11.8368
K05567,5.0472
K05595,2.2779
K05602,15.8398
K05710,7.4635
K05794,9.5484
K05808,7.0525
K05810,11.5171
K05833,1.995
K05838,26.1558
K05845,63.1666
K05846,16.5499
K05879,16.1788
K05881,25.0127
K05896,49.8371
K05913,4.0361
K05937,4.3591
K06001,35.5585
K06024,32.704299999999996
K06048,101.5095
K06133,2.6186
K06136,4.7415
K06137,8.6501
K06142,2.89
K06153,12.5684
K06178,14.6445
K06187,21.0527
K06196,8.0401
K06200,19.91
