KEGG,kegg_sum
K00031,38.667
K00053,12.1096
K00075,8.976
K00077,17.2933
K00088,14.4511
K00096,8.8527
K00122,4.3333
K00124,15.6323
K00134,14.1984
K00163,49.5824
K00175,19.5477
K00215,6.0142
K00228,5.6932
K00273,7.282
K00275,7.558700000000001
K00286,13.8984
K00299,5.2266
K00311,3.3839
K00330,11.9629
K00334,11.3677
K00338,23.002399999999998
K00389,8.6329
K00390,18.2543
K00425,49.104400000000005
K00426,23.9551
K00433,22.4166
K00450,6.5356
K00451,24.822899999999997
K00453,3.2354
K00457,13.2718
K00459,18.778399999999998
K00507,20.4222
K00518,16.7959
K00540,20.049799999999998
K00548,12.7451
K00549,44.422200000000004
K00560,4.578
K00570,4.9196
K00573,12.4704
K00574,20.1612
K00596,8.8331
K00598,7.908
K00600,13.4692
K00602,13.3551
K00606,13.3821
K00620,20.0118
K00626,28.5356
K00635,3.9438
K00640,4.4004
K00641,17.1932
K00677,2.5268
K00688,41.5567
K00720,1.495
K00759,3.5262
K00760,9.6927
K00761,7.5017
K00764,9.1318
K00765,13.6558
K00766,6.1489
K00768,7.9226
K00784,8.5036
K00788,4.0778
K00789,61.5952
K00790,4.781
K00793,15.7245
K00799,5.1771
K00820,6.7927
K00831,7.5021
K00851,3.7855
K00857,4.5352
K00858,8.4988
K00865,6.1007
K00886,7.8279
K00919,4.0607
K00925,8.2791
K00926,3.527
K00927,7.9386
K00936,4.1842
K00940,9.7625
K00943,5.995
K00948,48.474599999999995
K00957,6.5577
K00963,7.9505
K00981,8.9136
K00982,13.7752
K00986,333.31180000000006
K00990,8.7842
K01005,5.6075
K01008,6.7033
K01039,7.2205
K01053,4.0789
K01056,7.209300000000001
K01061,11.623
K01104,6.5773
K01159,4.5452
K01160,3.067
K01185,3.1275
K01194,3.5401
K01209,5.3168
K01239,9.1052
K01241,8.2261
K01247,6.016
K01251,33.469500000000004
K01265,7.4078
K01273,27.6717
K01297,10.0649
K01358,40.9302
