KEGG,kegg_sum
K00031,40.3519
K00033,27.2025
K00053,37.5933
K00067,5.3891
K00077,7.2331
K00099,3.2697
K00122,3.6356
K00145,3.3985
K00163,23.0938
K00175,16.0155
K00228,12.717600000000001
K00240,34.6796
K00241,2.9082
K00275,3.8511
K00299,2.8211
K00330,4.5845
K00331,32.9797
K00338,31.2544
K00340,6.7908
K00412,11.316
K00425,12.6785
K00426,2.704
K00428,7.099
K00432,3.7148
K00433,18.618
K00451,5.4146
K00496,7.5216
K00507,4.6527
K00525,5.4246
K00540,8.6281
K00549,7.334099999999999
K00574,4.9895
K00588,4.3252
K00600,19.4098
K00606,2.6447
K00609,9.9607
K00615,3.6441
K00626,3.644
K00635,11.671199999999999
K00645,13.6685
K00677,4.0361
K00688,8.6567
K00700,5.5568
K00703,5.2973
K00760,9.0637
K00764,22.354599999999998
K00765,5.5057
K00773,4.1748
K00789,55.8018
K00790,11.1852
K00793,9.7499
K00794,6.420999999999999
K00797,1.6781
K00799,14.1306
K00800,8.092600000000001
K00820,9.635200000000001
K00851,3.9085
K00857,3.8473
K00859,3.4439
K00865,3.9306
K00873,20.108800000000002
K00906,4.5013
K00927,10.8567
K00929,2.6955
K00930,27.4948
K00936,4.5368
K00945,4.2896
K00946,3.5376
K00948,14.863900000000001
K00954,5.8643
K00957,2.5593
K00962,15.2157
K00969,7.2462
K00981,4.7247
K00986,356.32030000000003
K00989,4.1811
K00995,6.0824
K01008,8.3913
K01012,3.4299
K01029,6.3396
K01056,2.6132
K01057,3.7458
K01077,3.806
K01079,4.7575
K01104,1.9545
K01129,15.998999999999999
K01160,66.4078
K01174,4.1453
K01206,2.4959
K01239,2.9501
K01246,12.3317
K01251,45.0471
K01265,17.637999999999998
K01266,2.1469
K01356,14.2485
K01358,52.584
K01372,4.4604
K01406,19.5259
K01409,4.9782
K01419,3.2413
K01425,5.1185
K01426,4.3676
K01433,6.4066
K01443,3.8242
K01448,12.4617
K01455,6.9712
K01462,23.8194
K01494,5.8208
K01495,16.9955
K01496,8.2762
K01507,14.74
K01520,9.063
K01546,25.770200000000003
K01547,17.5058
K01569,4.7628
K01595,3.1356
K01610,40.9529
K01611,4.5969
K01619,2.0898
K01621,33.3254
K01624,30.287099999999995
K01626,9.9095
K01627,8.0456
K01640,7.5041
K01673,8.9092
K01689,6.1991
K01698,21.122100000000003
K01704,20.738300000000002
K01711,7.9086
K01719,3.3913
K01725,9.9552
K01726,6.3541
K01733,9.2638
K01736,2.756
K01737,4.4902
K01749,10.813500000000001
K01755,11.5746
K01759,4.4432
K01778,10.1602
K01785,3.5639
K01790,10.746099999999998
K01807,3.4647
K01810,27.9472
K01838,4.2077
K01854,3.1663
K01858,20.9698
K01866,2.6342
K01867,15.4936
K01868,11.044
K01872,6.455
K01875,4.9063
K01881,10.5426
K01887,9.222100000000001
K01912,2.1104
K01915,34.039199999999994
K01919,23.900100000000002
K01920,12.5027
K01926,13.030100000000001
K01934,6.1784
K01937,12.3217
K01940,28.533
K01945,5.5979
K01951,11.1741
K01953,3.7379
K01971,3.3159
K01972,10.7028
K01975,4.3074
K01992,4.0661
K01997,4.6073
K01999,6.4235
K02004,48.89170000000001
K02015,3.8634
K02034,4.5563
K02039,2.9366
K02040,13.292
K02046,8.7647
K02050,5.1892
K02066,15.5137
K02067,10.2286
K02078,11.1562
K02110,3.4187
K02113,25.764400000000002
K02171,2.522
K02188,4.2976
K02192,3.7727
K02194,2.5381
K02195,4.4223
K02199,6.7786
K02227,3.7927
K02238,2.7226
K02242,6.4140999999999995
K02257,13.6024
K02304,8.381
K02313,7.1073
K02314,76.2624
K02316,5.8289
K02338,15.722100000000001
K02340,5.9333
K02343,9.4787
K02356,9.370899999999999
K02372,4.9366
K02377,6.2973
K02386,4.4777
K02408,2.203
K02414,4.3424
K02435,9.5998
K02456,3.8262
K02459,4.8052
K02460,4.1343
K02483,6.7298
K02496,3.5667
K02503,8.9924
K02510,4.4925
K02520,18.2261
K02536,3.2813
K02556,2.7409
K02600,8.465499999999999
K02601,5.8511
K02609,6.4658
K02650,2.9602
K02654,3.2328
K02655,2.9602
K02657,11.0051
K02659,4.9779
K02662,2.7558
K02665,2.9526
K02687,3.0819
K02742,3.0646
K02784,2.1077
K02838,11.552
K02844,3.7175
K02851,6.858
K02863,14.856
K02864,14.2156
K02867,19.1946
K02871,17.5372
K02874,27.346000000000004
K02876,5.6079
K02878,16.348100000000002
K02879,4.2504
K02881,5.5332
K02884,8.0681
K02887,13.570999999999998
K02888,13.9346
K02890,4.3034
K02895,10.441
K02897,4.6326
K02899,13.9606
K02904,8.5993
K02911,3.0346
K02916,7.9958
K02931,12.8973
K02933,5.262
K02935,4.9976
K02939,2.5972
K02945,51.86789999999999
K02948,5.7647
K02950,10.1127
K02954,20.1103
K02956,6.5974
K02959,4.0067
K02961,15.282699999999998
K02963,4.4272
K02965,28.641499999999997
K02982,22.6092
K02986,18.374
K02992,5.8058
K02994,5.6078
K03040,7.8554
K03060,10.6583
K03070,11.0963
K03071,6.4282
K03075,8.4621
K03076,12.0672
K03088,35.711
K03092,15.160900000000002
K03100,6.523199999999999
K03116,9.9287
K03117,2.8725
K03118,14.3735
K03147,67.0024
K03149,23.920900000000003
K03153,6.215
K03154,5.5834
K03177,1.6825
K03210,19.5471
K03216,3.8378
K03269,3.5974
K03284,9.333300000000001
K03303,5.4409
K03320,11.1542
K03385,4.0754
K03406,4.3419
K03426,3.3642
K03438,6.8339
K03455,4.9941
K03465,1.8305
K03466,34.381
K03469,10.2915
K03474,2.6855
K03495,5.8744
K03496,28.7576
K03497,18.8062
K03499,10.2757
K03501,5.626
K03517,9.854
K03521,11.8278
K03524,4.1712
K03526,13.6089
K03527,11.9117
K03531,27.7572
K03534,3.2243
K03536,4.5175
K03544,105.8474
K03545,6.5846
K03549,11.5999
K03550,10.4839
K03551,17.741999999999997
K03553,51.0851
K03556,19.903399999999998
K03558,3.1792
K03559,11.0381
K03561,8.8735
K03569,9.6731
K03571,3.6701
K03584,3.6204
K03598,3.79
K03602,4.8562
K03605,2.9159
K03610,3.9298
K03621,6.6995000000000005
K03628,63.1436
K03630,3.9159
K03634,10.6422
K03635,5.8631
K03636,7.7763
K03644,4.5608
K03650,4.0722
K03664,3.9534
K03665,10.687
K03666,5.0464
K03671,7.262700000000001
K03672,3.5011
K03687,5.7659
K03698,4.147
K03704,11.5786
K03705,2.9604
K03741,5.7032
K03746,4.0654
