KEGG,kegg_sum
K00228,1.9205
K00240,10.7617
K00330,8.6208
K00433,12.5114
K00549,3.0943
K00573,1.7912
K00600,6.978
K00688,5.5419
K00759,2.1716
K00789,20.1241
K00799,4.8242
K00957,7.0446
K00986,127.64310000000002
K01077,3.0852
K01118,3.261
K01251,29.0409
K01429,5.3041
K01430,8.1742
K01448,2.0716
K01470,7.9921
K01497,2.2049
K01507,6.6807
K01524,4.2538
K01575,5.978
K01607,4.2925
K01621,25.9277
K01711,8.7266
K01719,4.6347
K01752,3.5031
K01810,15.8806
K01815,1.461
K01854,3.055
K01866,3.8208
K01889,22.0498
K01890,2.2783
K01915,11.8739
K01919,9.8738
K01937,4.9219
K01940,5.3941
K01951,5.5335
K01997,3.2655
K02004,15.2776
K02034,5.1258
K02109,3.8344
K02110,3.8344
K02113,2.3626
K02197,9.2782
K02204,3.1612
K02257,5.9002
K02258,4.4883
K02313,7.9579
K02358,28.2928
K02377,2.7662
K02380,2.0947
K02510,5.5032
K02601,3.446
K02864,2.73
K02881,5.796
K02897,3.6939
K02931,9.8126
K02945,10.6043
K02946,9.5684
K02948,3.9628
K02954,9.8126
K02982,11.6155
K02986,12.4604
K03040,12.1447
K03060,6.1498
K03088,30.115
K03118,3.8775
K03189,2.8301
K03217,3.4161
K03396,4.3862
K03496,3.4103
K03497,5.4988
K03521,6.9632000000000005
K03526,9.1966
K03527,3.4425
K03545,7.2095
K03551,9.9619
K03559,13.092199999999998
K03563,3.848
K03569,4.5511
K03595,5.0052
K03628,31.3358
K03635,1.4265
K03644,2.0695
K03664,1.8484
K03665,3.1717
K03671,12.2765
K03702,24.5523
K03704,7.3462
K03919,3.6521
K03924,12.8291
K04047,3.4221
K04077,119.3338
K04078,4.6003
K04749,2.1941
K05524,5.5788
K05936,5.2073
K06041,3.6939
K06152,2.4976
K06204,1.9977
K06400,10.2912
K06864,3.1358
K06888,13.3289
K06891,4.9215
K06901,3.0874
K06998,6.8509
K07042,3.2391
K07052,2.8061
K07054,3.9139
K07058,3.652
K07089,7.0965
K07130,2.1656
K07147,5.4403
K07274,2.0347
K07302,16.3303
K07304,5.6417
K07391,5.4019
K07393,3.344
K07402,4.7981
K07450,8.5756
K07481,27.3592
K07483,53.822700000000005
K07484,4.1833
K07485,1.3612
K07486,155.5773
K07487,11.1551
K07491,13.2803
K07492,28.3518
K07493,53.648300000000006
K07494,54.7898
K07496,9.009
K07497,147.0603
K07499,9.3804
K07735,5.4916
K07793,7.9102
K07795,7.8681
K09019,4.1612
K09761,2.1321
K09826,4.2432
K09862,3.2602
K09983,6.8855
K10773,2.7194
K10914,4.8513
K10947,3.9669
K12234,2.7926
K12574,3.4841
K13985,3.3274
K15977,3.3
K16079,5.2347
K19221,6.3357
K19267,3.3267
K21395,2.6212
K21700,2.4891
K22278,1.4245
K22622,2.7433
K23264,2.1576
