KEGG,kegg_sum
K00033,75.01989999999999
K00039,2.0992
K00053,81.394
K00075,13.3002
K00077,6.9129
K00096,7.2291
K00099,16.5934
K00112,7.1509
K00122,13.6229
K00124,13.5541
K00134,21.3117
K00145,13.2655
K00163,140.6621
K00174,27.2213
K00175,38.1894
K00215,34.4824
K00240,68.9868
K00241,7.8654
K00242,9.0941
K00249,17.5529
K00259,11.6678
K00275,34.106700000000004
K00283,13.26
K00286,16.6059
K00331,41.3321
K00332,11.5459
K00334,9.5493
K00338,36.337999999999994
K00339,13.5539
K00340,23.741
K00368,12.3672
K00389,9.9485
K00412,13.4421
K00425,17.0164
K00426,28.886
K00428,2.2571
K00432,4.9658
K00433,15.7534
K00446,9.9716
K00451,99.67190000000001
K00453,72.6278
K00457,42.9037
K00459,9.4351
K00507,17.4902
K00518,13.1148
K00525,39.5816
K00537,3.6424
K00540,12.995000000000001
K00548,28.4619
K00549,167.2023
K00554,9.2667
K00560,1.7512
K00573,38.0054
K00574,11.2113
K00588,20.7234
K00598,9.8907
K00600,96.2626
K00602,34.693
K00609,29.002000000000002
K00620,8.5187
K00626,57.0265
K00635,46.7354
K00641,22.6154
K00648,10.6371
K00655,27.2101
K00661,3.7943
K00674,8.7694
K00688,45.209500000000006
K00700,14.7151
K00759,31.400100000000002
K00760,30.0151
K00762,5.7119
K00763,28.8061
K00764,73.0219
K00766,39.952299999999994
K00773,4.2071
K00782,4.3696
K00784,22.0282
K00788,10.2079
K00789,103.49439999999998
K00790,16.5354
K00793,5.3356
K00794,14.0014
K00796,13.8583
K00798,52.549200000000006
K00799,14.166899999999998
K00800,13.0418
K00820,49.6864
K00826,9.0603
K00858,30.2291
K00859,9.9052
K00865,13.5451
K00867,2.2433
K00873,65.3276
K00891,11.581
K00919,11.5528
K00925,10.5725
K00926,40.8369
K00930,11.4634
K00937,12.1241
K00939,15.5137
K00940,21.202199999999998
K00942,14.2927
K00943,8.2594
K00945,13.0418
K00948,89.41249999999998
K00954,20.8964
K00958,8.916
K00963,16.960700000000003
K00969,13.1322
K00971,3.0158
K00981,25.427999999999997
K00986,315.8013000000001
K00990,3.7986
K00997,19.8881
K01000,32.252
K01005,58.7181
K01008,34.183499999999995
K01011,11.4157
K01039,19.0286
K01040,34.0825
K01042,26.6473
K01056,6.5915
K01061,12.715900000000001
K01066,10.1798
K01070,2.9347
K01092,9.2422
K01113,24.9071
K01114,7.3499
K01126,24.7333
K01129,57.5877
K01151,15.028499999999998
K01183,11.5866
K01185,3.3996
K01246,32.865
K01251,39.3408
K01265,30.0869
K01266,4.9232
K01286,5.2754
K01297,7.6531
K01356,18.352600000000002
K01358,203.9008
K01372,7.553
K01406,23.2992
