KEGG,kegg_sum
K00003,18.3407
K00012,11.9585
K00018,7.885
K00020,6.2599
K00029,50.1165
K00031,12.8978
K00033,73.9527
K00036,49.70870000000001
K00038,10.1504
K00052,10.5456
K00053,57.5479
K00054,11.0404
K00058,22.3434
K00059,64.34
K00067,23.976
K00074,10.1713
K00075,44.927
K00076,8.8914
K00077,114.79850000000002
K00088,16.412100000000002
K00091,9.9488
K00099,47.0254
K00111,65.0773
K00116,28.564700000000002
K00118,6.9489
K00122,10.6609
K00124,40.469300000000004
K00126,9.5718
K00127,20.2084
K00134,14.5616
K00145,22.988100000000003
K00150,12.1641
K00156,10.4884
K00162,11.9022
K00163,239.60620000000006
K00166,10.044
K00167,11.9022
K00174,76.2104
K00175,39.763
K00208,11.007
K00215,34.030699999999996
K00231,23.933500000000002
K00239,12.4238
K00240,88.85000000000001
K00241,20.6941
K00249,39.8017
K00252,10.9301
K00253,9.6496
K00254,18.6413
K00259,15.8226
K00261,12.1805
K00273,8.4464
K00275,23.8206
K00278,6.7922
K00283,27.7856
K00286,29.1722
K00297,22.2903
K00299,11.5867
K00303,11.8183
K00311,10.703
K00316,6.4744
K00320,21.2155
K00322,8.174
K00330,63.2261
K00331,27.896900000000002
K00332,15.0671
K00334,40.2403
K00338,36.0549
K00339,22.2195
K00340,69.0155
K00341,12.0437
K00343,20.4473
K00344,4.4326
K00365,10.2233
K00384,30.6661
K00389,35.016299999999994
K00390,36.2601
K00394,10.0598
K00395,10.0598
K00406,18.032500000000002
K00412,19.9894
K00425,145.0396
K00426,76.49170000000001
K00428,8.9574
K00432,8.9782
K00433,193.889
K00448,17.3158
K00449,10.4384
K00451,48.97650000000001
K00452,12.4215
K00453,52.8771
K00456,19.0532
K00457,36.7011
K00459,101.94640000000001
K00463,7.4678
K00469,12.8329
K00477,6.8765
K00479,25.3766
K00480,9.9559
K00481,12.027
K00485,8.462
K00499,12.6883
K00507,95.7572
K00518,13.6009
K00525,41.29130000000001
K00528,7.1143
K00537,10.5175
K00540,83.90210000000002
K00544,27.277299999999997
K00548,46.514300000000006
K00549,339.74819999999994
K00554,50.3643
K00555,11.7865
K00558,4.6555
K00561,6.9642
K00564,18.9346
K00566,15.500499999999999
K00567,40.63309999999999
K00570,12.2195
K00571,7.9905
K00573,43.5593
K00574,39.3716
K00575,25.3962
K00588,49.077200000000005
K00595,6.1405
K00598,34.0388
K00600,68.745
K00602,72.7226
K00603,9.9533
K00604,20.9818
K00605,15.9945
K00606,47.8158
K00609,62.6815
K00610,8.9143
K00611,15.7922
K00612,25.7308
K00615,66.4503
K00616,55.315200000000004
K00619,6.9887
K00620,28.2412
K00626,145.71050000000002
K00627,11.9022
K00635,59.693
K00639,8.1124
K00640,30.684599999999996
K00641,75.1589
K00645,8.7679
K00648,14.6202
K00652,8.1124
K00655,67.6663
K00657,13.2329
K00661,10.9827
K00674,17.811
K00677,3.3327
K00682,24.6918
K00688,146.56279999999998
K00700,71.5076
K00703,52.952200000000005
K00705,15.47
K00720,68.2626
K00721,17.7953
K00728,17.8735
K00729,6.6499
K00748,17.622700000000002
K00759,38.3716
K00760,32.2357
K00762,21.6824
K00763,54.8968
K00764,28.406399999999998
K00765,20.9012
K00766,50.8609
K00767,10.4631
K00768,21.7393
K00772,21.2955
K00773,22.4262
K00783,17.244999999999997
K00784,19.7449
K00788,5.7429
K00789,215.24669999999998
K00790,70.5503
K00791,12.958400000000001
K00793,47.3855
K00794,45.272999999999996
K00796,17.2834
K00798,29.316000000000003
K00799,160.57049999999998
K00800,47.7966
K00803,8.8111
K00806,12.3561
K00809,38.636300000000006
K00817,10.0093
K00820,33.1715
K00823,7.2955
K00826,57.56420000000001
K00831,5.242
K00836,20.386400000000002
K00845,21.0336
K00848,14.834700000000002
K00851,43.3463
K00855,3.1381
K00858,89.4078
K00859,25.974800000000002
K00865,5.4673
K00867,4.2696
K00873,90.4665
K00886,29.6499
K00891,15.779
K00912,24.7991
K00919,32.0955
K00925,32.8489
K00926,10.0994
K00927,86.60010000000001
K00936,24.2399
K00937,30.781100000000002
K00939,50.824200000000005
K00940,41.7932
K00941,7.6869
K00942,9.1077
K00943,98.616
K00945,59.0374
K00946,37.6717
K00948,141.2035
K00950,28.7147
K00952,11.0241
K00954,44.1473
K00957,51.2121
K00958,7.7782
K00962,9.8057
K00963,30.917600000000004
K00969,21.272000000000002
K00971,44.15959999999999
K00975,35.3639
K00978,7.3872
K00979,13.3448
K00981,34.1026
K00982,34.28189999999999
K00986,890.3615000000001
K00989,21.401699999999998
K00990,19.7917
K00995,4.6653
K00997,18.1471
K01000,39.2469
K01005,81.7999
K01006,29.441899999999997
K01007,11.2726
K01008,46.509600000000006
K01011,29.2065
K01012,9.8056
K01023,14.889800000000001
K01039,44.530300000000004
K01040,29.007400000000004
K01042,11.613399999999999
K01046,21.9237
K01053,16.2529
K01054,12.4085
K01055,28.5073
K01056,50.3662
K01057,41.8202
K01060,8.602
K01061,211.40229999999997
K01066,52.48329999999999
K01068,5.8897
K01069,53.287699999999994
K01075,5.9632
K01079,22.019199999999998
K01082,17.1683
K01091,31.1881
K01092,23.0303
K01095,15.914800000000001
K01104,10.3858
K01113,5.7654
K01114,140.8528
K01118,54.941
K01126,7.251
K01129,36.4041
K01142,9.5194
K01151,28.1297
K01153,7.0874
K01154,2.848
K01159,48.00790000000001
K01160,6.0158
K01170,10.5108
K01178,22.026899999999998
K01183,20.3584
K01185,7.1847
K01187,8.9301
K01194,10.649799999999999
K01206,61.53360000000001
K01207,7.0933
K01209,28.5578
K01214,7.6245
K01224,5.3385
K01236,5.9662
K01239,61.4645
K01241,12.9781
K01246,68.33890000000001
K01247,37.1997
K01251,185.07670000000005
K01255,10.9805
K01258,11.800899999999999
K01259,45.6327
K01265,83.37100000000001
K01266,136.43750000000003
K01273,115.63170000000002
K01283,15.6469
K01286,12.1289
K01295,14.9308
K01297,83.92509999999999
K01302,19.2587
K01303,6.7968
K01304,8.5221
K01354,5.0222
K01356,66.63929999999999
K01358,213.10150000000002
K01372,9.0341
K01385,12.2321
K01409,62.660599999999995
K01419,37.7185
K01425,19.9228
K01426,107.2238
K01428,8.4608
K01429,11.9208
K01430,11.7422
K01432,7.4911
K01433,38.27120000000001
K01438,10.8497
K01443,33.6286
K01448,67.21279999999999
K01462,84.53400000000002
K01463,3.0572
K01468,12.683
K01470,51.391400000000004
K01476,4.1157
K01477,14.9147
K01478,60.1102
K01480,25.5603
K01482,17.9452
K01483,8.3581
K01485,5.4037
K01488,7.5442
K01489,22.7177
K01494,69.4887
K01495,93.5438
K01496,7.396
K01497,37.0266
K01507,90.30440000000002
K01512,30.2326
K01518,10.1523
K01520,47.7069
K01521,3.3733
K01524,27.496299999999998
K01545,9.7823
K01546,190.4073
K01547,153.31570000000002
K01548,94.2158
K01551,20.3086
K01552,8.6821
K01555,22.1947
K01556,30.668100000000003
K01560,33.2115
K01561,39.1611
K01569,73.7039
K01575,7.8595
K01576,9.3485
K01580,9.3219
K01586,5.3821
K01588,40.296899999999994
K01591,24.2909
K01593,17.130000000000003
K01595,87.22459999999998
K01596,13.830400000000001
K01597,12.9087
K01599,40.286899999999996
K01601,7.7108
K01607,210.97729999999993
K01610,2.371
K01613,39.4322
K01619,38.4296
K01620,56.68400000000001
K01621,129.31169999999997
K01623,20.416
K01624,34.9092
K01625,6.0146
K01626,35.4332
K01627,26.2938
K01628,2.5369
K01637,48.9612
K01638,60.968599999999995
K01640,33.87
K01644,20.9317
K01647,9.5653
K01653,39.39439999999999
K01658,7.185
K01661,13.4532
K01666,6.6611
K01673,145.9975
K01676,14.4774
K01686,12.7904
K01689,155.7624
K01692,68.1806
K01693,9.8831
K01695,36.113600000000005
K01697,15.837700000000002
K01698,59.176899999999996
K01703,11.5021
K01704,28.7581
K01711,12.5873
K01712,25.143
K01714,9.241
K01719,36.256
K01720,26.1463
K01724,33.275999999999996
K01726,13.398900000000001
K01733,45.1181
K01734,10.6588
K01736,40.06999999999999
K01737,87.0197
K01739,21.8491
K01740,23.5675
K01745,19.3062
K01749,43.8157
K01752,20.7754
K01754,31.1663
K01755,74.7006
K01756,18.448900000000002
K01759,51.75730000000001
K01768,35.7727
K01772,62.438100000000006
K01775,36.5333
K01776,17.5118
K01778,20.501
K01779,11.3307
K01783,21.747500000000002
K01785,119.49490000000002
K01790,27.0998
K01800,10.6765
K01802,19.6028
K01803,57.7779
K01804,6.1088
K01805,5.1289
K01807,53.9165
K01809,22.749
K01810,115.0699
K01811,7.7862
K01812,6.3888
K01815,12.768
K01816,10.6912
K01817,5.2478
K01820,14.0549
K01821,44.4537
K01834,10.8856
K01839,25.1038
K01845,69.7563
K01848,26.785899999999998
K01849,35.9015
K01854,7.8681
K01858,95.41999999999999
K01865,6.9946
K01866,92.7862
K01867,85.0543
K01868,142.60829999999999
K01869,8.9773
K01870,12.3592
K01872,112.15520000000001
K01873,11.4251
K01874,72.88850000000001
K01875,86.3925
K01876,26.5141
K01880,39.1162
K01881,72.4311
K01883,21.0064
K01885,18.8247
K01887,38.3019
K01889,42.49400000000001
K01890,60.3078
K01892,15.695900000000002
K01893,11.6
K01902,31.0999
K01912,20.3602
K01915,346.0961
K01918,22.9473
K01919,91.38360000000002
K01920,7.232
K01921,24.587899999999998
K01923,61.9475
K01924,7.2811
K01926,23.7646
K01928,6.7809
K01933,46.426100000000005
K01934,48.938700000000004
K01935,13.456
K01937,196.58249999999998
K01938,11.7242
K01939,106.23150000000001
K01940,75.6939
K01945,48.32939999999999
K01951,100.41099999999999
K01953,179.00909999999993
K01963,7.6499
K01966,9.6511
K01971,40.371900000000004
K01972,120.8733
K01975,21.7191
K01990,213.6016
K01991,90.48429999999998
K01992,58.3117
K01997,8.8674
K02003,69.97590000000001
K02004,1764.067000000001
K02013,28.3853
K02015,69.9463
K02016,30.093700000000002
K02018,7.9049000000000005
K02019,12.5692
K02020,33.7033
K02025,11.0756
K02030,4.6317
K02031,30.973399999999998
K02032,45.6934
K02033,153.6878
K02034,183.7057
K02035,10.2511
K02036,16.6446
K02037,41.4941
K02038,20.5299
K02039,65.5481
K02040,134.35630000000003
K02046,6.7135
K02047,6.8316
K02049,18.9583
K02050,29.492799999999995
K02065,25.126199999999997
K02066,183.28570000000005
K02067,54.434200000000004
K02078,79.0191
K02082,6.9535
K02108,4.7947
K02109,32.8688
K02110,23.3173
K02111,28.2384
K02113,27.7427
K02114,11.6952
K02116,14.314
K02117,12.8253
K02118,12.8253
K02119,12.8253
K02120,12.8253
K02121,12.8253
K02122,12.8253
