KEGG,kegg_sum
K00031,42.0375
K00067,3.5979
K00075,1.5449
K00077,7.372
K00099,12.6708
K00116,12.451
K00145,5.0022
K00163,60.8195
K00175,4.5492
K00283,3.9704
K00330,2.7062
K00338,48.6583
K00340,24.567300000000003
K00368,2.2205
K00413,4.7929
K00425,45.143299999999996
K00426,14.9263
K00428,4.189
K00433,47.486
K00451,8.9153
K00457,10.7376
K00463,5.9502
K00507,21.4446
K00525,33.6003
K00526,21.2362
K00528,9.7421
K00540,5.611700000000001
K00549,52.9935
K00554,4.1659
K00560,5.4468
K00570,9.5845
K00573,4.5223
K00600,21.3122
K00602,26.739
K00609,11.0085
K00613,12.0845
K00616,17.0459
K00620,6.773
K00626,20.964100000000002
K00635,11.2545
K00640,8.6885
K00641,4.4827
K00655,5.1979
K00677,4.5914
K00684,3.6362
K00688,86.81859999999999
K00700,31.1281
K00703,12.817499999999999
K00759,5.5737
K00760,16.7765
K00763,7.8787
K00764,6.6278
K00766,9.8147
K00768,3.9022
K00769,3.5711
K00783,1.951
K00784,12.6939
K00789,69.5225
K00790,4.1165
K00791,8.8275
K00793,2.3356
K00797,4.1604
K00798,4.7728
K00799,60.876200000000004
K00801,6.1229
K00851,3.7476
K00858,15.2195
K00859,7.9159
K00873,8.7018
K00886,8.8792
K00925,13.689
K00927,11.893899999999999
K00943,11.5393
K00945,11.2371
K00948,45.370999999999995
K00969,11.9169
K00971,5.953
K00981,9.4325
K00982,4.1288
K00986,711.9539000000001
K00990,13.8552
K01005,3.0465
K01006,4.8319
K01012,8.1598
K01040,7.359
K01046,3.9719
K01056,7.0077
K01057,24.2506
K01058,3.6573
K01061,31.9975
K01077,7.4969
K01113,7.4398
K01118,16.859
K01126,3.4589
K01154,1.3713
K01159,3.2546
K01194,4.558
K01239,4.6083
K01246,22.0157
K01251,85.50580000000001
K01304,2.2391
K01356,3.5335
K01358,41.5676
K01372,2.8861
K01406,3.9341
K01424,2.8843
K01425,9.3566
K01426,4.9908
K01448,19.582099999999997
K01455,3.6437
K01458,6.2162
K01462,10.169300000000002
K01470,4.0389
K01495,50.2564
K01507,12.8369
K01512,3.7092
K01546,51.8058
K01547,117.3645
K01569,36.5052
K01579,5.9527
K01595,15.6831
K01596,7.663
K01607,15.3066
K01610,9.7629
K01611,10.4343
K01619,2.4147
K01621,56.7648
K01623,25.8949
K01624,3.8507
K01626,18.2056
K01627,13.1196
K01638,6.0371
K01644,2.6055
K01653,7.016
K01666,8.0176
K01673,18.7801
K01689,3.1531
K01698,19.992
K01719,6.0829
K01724,21.347299999999997
K01725,13.3315
K01736,18.522
K01749,9.744299999999999
K01752,6.7002
K01755,12.4161
K01772,10.049299999999999
K01776,7.3088
K01778,7.9413
K01785,6.7022
K01799,10.0129
K01803,4.702
K01807,3.8747
K01808,12.9274
K01810,45.558800000000005
K01823,1.8839
K01834,3.9171
K01854,5.5483
K01858,8.6926
K01866,11.8762
K01867,49.047
K01868,15.1242
K01875,12.9148
K01881,8.1487
K01887,17.6676
K01912,13.8961
K01915,89.503
K01919,10.1275
K01921,7.9936
K01926,9.7218
K01934,9.0617
K01937,9.487
K01939,32.018100000000004
K01940,24.8799
K01945,6.4667
K01951,43.3838
K01953,6.4988
K01972,20.126
K01989,4.2117
K01997,24.124699999999997
K02003,13.5727
K02004,59.957499999999996
K02033,3.3019
K02039,5.8031
K02040,8.0445
K02042,3.8258
K02050,57.802699999999994
K02051,9.095300000000002
K02066,40.567800000000005
K02078,26.3987
K02109,3.4931
K02111,15.5855
K02113,9.3611
K02160,4.9084
K02171,3.0089
K02194,2.8774
K02195,1.7736
K02197,6.6167
K02221,14.646299999999998
K02227,5.1425
K02233,3.9022
K02257,12.0099
K02277,8.338000000000001
K02278,3.4282
K02313,23.5958
K02314,6.3964
K02316,7.5826
K02338,12.1338
K02342,5.2069
K02343,5.1775
K02356,3.8257
K02357,3.7877
K02372,12.688
K02380,2.3633
K02388,2.3333
K02389,1.0894
K02410,13.2564
K02435,10.071100000000001
K02437,5.1436
K02492,20.0357
K02498,2.4776
K02503,6.1837
K02510,8.2121
K02518,31.097999999999995
K02520,36.3789
K02527,13.7426
K02536,13.177
K02570,2.0022
K02573,6.411
K02600,19.548099999999998
K02609,17.8789
K02610,3.9579
K02651,14.0049
K02662,4.5425
K02664,6.1482
K02687,1.4779
K02825,11.9833
K02834,8.130700000000001
K02838,5.1255
K02863,33.5683
K02864,11.6714
K02867,31.7671
K02874,31.354599999999998
K02879,14.9715
K02881,25.661700000000003
K02884,29.7104
K02886,12.4369
K02887,3.7184
K02890,6.8605
K02892,11.2758
K02895,3.6814
K02897,28.497700000000002
K02902,9.8113
K02906,5.8607
K02907,4.7947
K02914,3.2294
K02916,1.7471
K02919,9.1454
K02926,15.1411
K02931,59.15899999999999
K02935,15.8612
K02945,163.27519999999998
K02946,43.100899999999996
K02950,46.536
K02954,14.0496
K02956,17.2893
K02959,3.846
K02961,3.8443
K02963,2.5828
K02965,13.1763
K02967,31.1456
K02968,6.3232
K02982,11.5443
K02986,8.7867
K02988,35.4961
K02990,9.737
K02992,18.1429
K02994,3.7294
K02996,5.709
K03040,113.94069999999998
K03060,3.9502
K03070,12.437
K03073,4.3455
K03075,12.0169
K03076,22.958
K03088,98.9432
K03092,29.064
K03101,5.1279
K03110,4.006
K03111,25.6612
K03116,14.642
K03118,31.6828
K03147,60.5891
K03149,10.1396
K03151,6.4448
K03179,3.5439
K03186,3.774
K03187,2.793
K03188,3.5108
K03189,16.3785
K03210,6.0012
K03216,5.2121
K03270,5.7176
K03271,3.552
K03282,15.4003
K03284,28.278
K03286,7.199999999999999
K03297,2.7559
K03301,5.7558
K03337,2.2117
K03396,10.7556
K03406,35.1791
K03424,5.6238
K03427,4.5618
K03438,13.199200000000001
K03455,3.6682
K03465,11.3439
K03466,52.8995
K03469,12.4383
K03474,2.3828
K03478,3.3036
K03496,29.663
K03497,6.0335
K03517,6.2089
K03518,5.1357
K03521,12.363800000000001
K03522,22.1116
K03526,7.0046
K03527,10.1394
K03530,4.3175
K03531,15.6309
K03536,4.2111
K03544,22.2833
K03545,7.9283
K03549,4.5985
K03550,4.6109
K03551,22.8
K03553,69.6156
K03556,8.3093
K03558,2.0451
K03559,28.1144
K03561,29.5148
K03567,5.4773
K03569,61.06679999999999
K03571,4.0643
K03589,5.099
K03590,24.744100000000003
K03594,19.2431
K03608,6.7221
K03621,11.072600000000001
K03624,10.6004
K03625,5.6812
K03628,112.2251
K03629,2.666
K03630,6.3373
K03634,5.9093
K03636,5.9518
K03637,6.0407
K03638,16.601100000000002
K03639,6.1690000000000005
K03641,4.5877
K03642,4.2995
K03644,9.6984
K03648,6.2629
K03651,8.6343
K03664,11.5851
K03665,21.8754
K03671,23.973
K03687,11.779300000000001
K03698,3.3075
K03702,19.6917
K03704,49.178399999999996
K03705,11.2611
K03719,11.943
K03724,8.0507
K03734,5.0868
K03744,16.7839
K03746,3.5451
K03752,3.1205
K03772,11.3507
K03781,33.3759
K03797,38.319900000000004
K03808,7.75
K03809,28.1616
K03814,6.038
K03821,36.646300000000004
K03832,7.113099999999999
K03885,8.6952
K03924,51.966
K03925,2.4153
K03926,3.7644
K03928,3.7857
K03937,2.7537
K03973,2.1359
K03975,10.0134
K03978,5.5321
K03979,4.9887
K04047,15.9732
K04063,13.6711
K04065,8.3826
K04066,4.696
K04070,10.8628
K04074,8.7484
K04075,4.0591
K04077,530.5755
K04078,54.250600000000006
K04079,3.9976
K04083,2.8416
K04085,6.6672
K04087,5.8199
K04088,13.160599999999999
K04485,5.6127
K04486,6.3085
K04518,4.2851
K04654,4.7756
K04655,3.7385
K04656,1.7938
K04712,10.4855
K04749,5.5662
K04750,22.5896
K04751,23.6799
K04763,36.7137
K04764,9.6067
K04773,4.0769
K04782,2.8269
K05337,6.9479
K05501,9.5669
K05555,15.0504
K05589,2.4388
K05595,7.3629
K05606,3.2488
K05788,11.2026
K05794,16.3034
K05800,11.943
K05807,10.2578
K05845,5.9227
K05846,9.0635
K05896,16.9834
K05913,6.8602
K05979,2.4123
K06015,5.963
K06023,6.2139
K06041,4.9878
K06048,12.2187
K06075,3.6557
K06132,13.2652
K06136,15.1801
K06142,10.8321
K06152,8.6849
K06164,7.3705
K06199,3.363
K06204,17.1818
K06206,3.493
K06208,2.6235
