KEGG,kegg_sum
K00003,5.344
K00010,7.4788
K00012,7.3416
K00014,32.9468
K00021,28.421
K00029,26.0163
K00031,83.1801
K00033,212.6246
K00036,6.209
K00038,9.9735
K00053,92.6963
K00054,6.867
K00055,14.0127
K00057,5.4159
K00058,14.3802
K00059,60.6345
K00064,11.1402
K00067,43.657700000000006
K00074,16.5337
K00075,101.029
K00077,104.83950000000002
K00088,13.504999999999999
K00091,5.3806
K00096,7.2739
K00099,4.2468
K00108,9.6016
K00111,149.11010000000002
K00112,26.4157
K00113,12.6262
K00116,51.47880000000001
K00124,91.6421
K00145,45.4078
K00161,7.2369
K00162,13.6509
K00163,370.12359999999995
K00169,18.8897
K00170,8.3279
K00175,8.9703
K00176,9.8314
K00215,60.0997
K00230,34.0179
K00231,60.431599999999996
K00232,6.1897
K00240,60.9128
K00241,13.266100000000002
K00249,90.25750000000001
K00254,33.9173
K00262,35.3555
K00273,54.663
K00275,144.09439999999998
K00276,31.2226
K00286,95.8345
K00297,50.3307
K00299,91.0238
K00313,19.0777
K00320,21.8447
K00324,5.9796
K00330,81.3334
K00331,79.5
K00332,58.5402
K00334,38.9482
K00339,6.9362
K00340,72.4464
K00344,26.9825
K00365,18.8846
K00375,15.1121
K00389,117.6995
K00390,75.0856
K00395,9.6033
K00425,547.0684999999999
K00426,327.1947000000001
K00428,21.9486
K00432,50.2666
K00433,74.4405
K00435,65.039
K00442,6.2538
K00446,95.5754
K00448,8.5913
K00449,23.889999999999997
K00450,7.4495
K00451,124.11690000000002
K00453,125.53429999999999
K00456,10.0466
K00457,144.4794
K00459,166.46940000000004
K00469,3.8845
K00477,8.6321
K00479,8.8939
K00481,4.9697
K00507,187.05329999999998
K00518,85.8253
K00525,51.919200000000004
K00528,5.7599
K00537,5.8395
K00540,206.08750000000003
K00544,34.5146
K00548,61.397099999999995
K00549,645.0731000000001
K00554,121.0224
K00558,7.5259
K00563,4.0326
K00564,61.604
K00567,61.130500000000005
K00570,8.2116
K00573,129.63909999999998
K00574,180.7338
K00595,45.6908
K00598,59.96809999999999
K00600,200.3206
K00602,234.25770000000003
K00606,85.91399999999999
K00609,61.9402
K00611,16.162
K00612,3.8963
K00615,32.3137
K00616,38.4335
K00619,39.2024
K00620,26.7306
K00626,356.1424999999999
K00635,563.4758
K00640,24.3625
K00641,211.26049999999998
K00655,187.47
K00657,7.1353
K00661,9.0981
K00662,4.0777
K00663,14.7564
K00666,16.6033
K00674,80.14519999999999
K00677,10.5391
K00682,48.754
K00683,6.7445
K00684,24.0895
K00688,345.58239999999995
K00700,160.66729999999998
K00703,85.7041
K00705,30.1488
K00720,11.934099999999999
K00721,84.2457
K00728,92.75019999999999
K00748,4.6589
K00754,5.9379
K00759,107.8168
K00760,73.3144
K00762,56.4409
K00763,124.30760000000001
K00764,58.2442
K00765,107.5854
K00766,108.19460000000001
K00768,43.5583
K00772,7.7768
K00782,31.2896
K00783,3.5436
K00784,90.70779999999999
K00788,49.0203
K00789,398.3564999999999
K00790,7.4528
K00791,23.675
K00793,126.86250000000001
K00794,52.6953
K00796,26.1529
K00798,97.07400000000001
K00799,2.6997
K00800,120.40099999999998
K00820,238.5233
K00826,19.6983
K00831,7.414999999999999
K00848,6.0877
K00849,3.2874
K00851,83.4673
K00855,53.414199999999994
K00858,239.5692
K00859,112.5498
K00864,24.281
K00865,91.7499
K00867,8.0395
K00873,32.7516
K00886,64.9127
K00891,65.4353
K00899,2.5568
K00912,16.2733
K00919,79.1864
K00925,172.86679999999998
K00926,159.95849999999996
K00927,296.4232
K00930,61.5971
K00931,29.5623
K00936,96.53110000000001
K00937,40.9592
K00939,65.0978
K00940,35.4927
K00942,66.7644
K00943,90.54769999999999
K00945,119.3529
K00946,59.7718
K00947,16.947
K00948,307.69640000000004
K00950,44.339600000000004
K00954,113.658
K00957,145.91609999999997
K00963,54.3819
K00969,103.56110000000001
K00971,11.2471
K00973,5.6292
K00975,25.0902
K00981,125.1087
K00982,164.2181
K00986,3409.4558999999977
K00989,90.0442
K00990,146.7362
K00995,21.9152
K00997,12.523
K01000,57.623099999999994
K01005,328.9766
K01006,7.2245
K01008,89.9167
K01011,21.3423
K01012,4.5131
K01026,13.1768
K01029,16.6033
K01039,150.7143
K01040,172.3222
K01042,40.8407
K01046,48.609300000000005
K01053,5.3031
K01055,27.1735
K01056,106.8905
K01057,141.81369999999998
K01060,50.6704
K01061,286.18420000000003
K01066,24.4511
K01068,4.1614
K01069,76.0504
K01079,120.0526
K01091,3.0494
K01095,2.8179
