KEGG,kegg_sum
K00014,9.2047
K00019,13.3854
K00029,14.6792
K00033,105.5522
K00036,28.6868
K00053,53.0614
K00054,12.3394
K00057,15.310599999999999
K00059,27.6187
K00067,21.3527
K00075,45.8611
K00077,152.38940000000002
K00088,35.28
K00096,11.082
K00099,30.9923
K00111,35.9881
K00116,5.273
K00122,16.8635
K00124,6.2966
K00127,20.040300000000002
K00133,35.2883
K00134,43.3195
K00145,31.2663
K00163,232.3372
K00169,19.1941
K00171,3.9308
K00172,29.1634
K00174,7.2506
K00175,73.5814
K00176,14.299100000000001
K00177,6.0695
K00200,5.8898
K00202,6.7346
K00208,33.959599999999995
K00215,27.9095
K00228,32.6088
K00230,14.3204
K00231,16.2282
K00232,5.75
K00240,97.0244
K00241,33.1411
K00242,28.560000000000002
K00247,14.5287
K00249,26.1005
K00254,15.242799999999999
K00259,6.0666
K00275,65.517
K00286,43.0985
K00287,14.893
K00294,17.4671
K00297,12.3773
K00299,6.3092
K00311,40.645700000000005
K00320,5.1366
K00330,94.17949999999999
K00331,55.1357
K00334,82.1769
K00338,72.0269
K00339,26.4063
K00340,41.758700000000005
K00355,1.7287
K00363,21.2997
K00368,17.2164
K00371,51.529399999999995
K00373,27.676099999999998
K00374,13.531500000000001
K00384,20.8356
K00389,16.064700000000002
K00390,23.1646
K00395,17.0462
K00406,25.2965
K00407,8.9963
K00411,32.137
K00412,33.4956
K00413,30.266800000000003
K00425,97.4276
K00426,99.6145
K00428,6.7835
K00432,9.9257
K00433,28.2247
K00441,17.5343
K00446,6.4447
K00448,6.5578
K00449,7.1141
K00450,22.044600000000003
K00451,151.8901
K00453,49.1971
K00456,23.532799999999998
K00457,85.68180000000001
K00459,25.5785
K00481,9.1049
K00507,60.917899999999996
K00523,14.9601
K00525,103.44630000000001
K00526,15.6562
K00528,9.7162
K00540,74.4718
K00548,90.5929
K00549,664.2233000000001
K00554,37.6933
K00560,75.9654
K00563,5.089
K00566,7.1344
K00567,20.0231
K00571,21.0318
K00573,124.68490000000001
K00574,35.4898
K00588,38.8684
K00596,4.6937
K00598,10.1021
K00600,166.9607
K00602,85.06920000000001
K00606,99.35500000000002
K00609,34.6804
K00615,66.57169999999999
K00616,34.8304
K00620,27.821599999999997
K00626,202.7816
K00635,54.8441
K00640,33.3258
K00641,85.03329999999998
K00647,7.4316
K00648,20.5008
K00655,62.796400000000006
K00657,6.287
K00661,5.392
K00662,13.0076
K00674,25.2752
K00677,14.2223
K00684,32.8976
K00688,133.7809
K00700,38.4006
K00703,40.3262
K00720,9.2759
K00721,10.293000000000001
K00728,5.0548
K00748,30.4421
K00759,67.1857
K00760,71.0097
K00762,44.9136
K00763,52.6465
K00764,75.9764
K00765,20.0572
K00766,36.403400000000005
K00768,34.536300000000004
K00769,10.6878
K00773,19.572699999999998
K00782,11.456199999999999
K00783,29.594900000000003
K00784,22.0676
K00789,233.90979999999996
K00790,18.6617
K00791,17.2201
K00793,45.845600000000005
K00794,74.9071
K00796,13.9599
K00797,69.0719
K00798,21.783700000000003
K00799,218.98989999999998
K00800,25.3171
K00809,5.4456
K00812,13.6364
K00817,12.1709
K00820,151.8159
K00824,12.6929
K00826,9.6311
K00831,33.7631
K00848,5.6884
K00851,11.8016
K00855,4.8684
K00857,28.8733
K00858,78.2589
K00859,52.072700000000005
K00865,10.7105
K00867,12.1912
K00868,10.0223
K00873,134.96890000000002
K00874,9.8709
K00886,5.2996
K00891,23.292299999999997
K00912,18.4847
K00919,20.822400000000002
K00925,53.982000000000006
K00926,45.671
K00927,104.60600000000001
K00930,13.6095
K00931,11.6504
K00936,26.1993
K00937,60.022
K00939,39.277
K00940,22.600099999999998
K00941,10.2375
K00942,14.569600000000001
K00943,38.279500000000006
K00945,62.69639999999999
K00948,153.87980000000002
K00950,32.72109999999999
K00954,87.6056
K00957,11.786
K00962,18.0779
K00963,7.3299
K00969,26.188399999999998
K00971,34.4831
K00975,16.2221
K00979,25.774900000000002
K00981,61.62
K00982,48.001599999999996
K00986,596.9259000000001
K00989,12.4635
K00990,55.395
K00992,10.8792
K00997,5.9121
K01000,64.3397
K01005,123.88160000000002
K01006,40.8502
K01007,14.0705
K01008,47.14020000000001
K01012,10.3101
K01034,10.8331
K01039,49.9667
K01040,30.254800000000003
K01042,31.4809
K01046,6.8373
K01053,17.0734
K01055,19.6166
K01056,49.8346
K01057,26.0244
K01058,11.9612
K01060,7.4109
K01061,60.1105
K01068,5.5016
K01069,44.2978
K01079,19.933500000000002
K01091,14.8524
K01092,9.6532
K01095,19.4116
K01104,14.997399999999999
K01113,22.6667
K01115,9.2199
K01126,6.287
K01129,38.6379
K01151,59.6482
K01153,6.8306
K01154,3.2902
K01155,5.7798
K01159,101.23369999999997
K01160,24.8773
K01174,22.8458
K01181,3.0529
K01183,5.8228
K01185,4.1754
K01198,4.5519
K01206,9.9799
K01209,7.3692
K01239,21.103700000000003
K01241,9.6826
K01246,71.83330000000001
K01247,7.4629
K01251,194.67760000000004
K01258,8.5434
K01259,11.5132
K01262,10.8792
K01265,53.2654
K01266,33.4792
K01273,24.5094
K01281,23.5337
K01283,12.8273
K01286,3.6115
K01297,51.05940000000001
K01299,20.2433
K01356,38.4589
K01358,309.17220000000003
K01372,7.2525
K01406,94.31460000000001
K01409,47.5617
K01419,33.0705
K01423,11.5768
K01425,20.4721
K01426,29.9668
K01429,3.7159
K01430,3.7159
K01432,7.1246
K01438,11.7888
K01439,11.7888
K01443,21.4201
K01448,50.513999999999996
K01455,37.2871
K01458,19.2586
K01462,72.283
K01470,40.8602
K01477,4.6194
K01478,70.2214
K01482,11.3793
K01483,2.7769
K01485,6.0715
K01486,5.4163
K01489,37.0011
K01491,12.2375
K01493,13.201
K01494,117.7522
K01495,63.542
K01497,28.968
K01501,11.1057
K01507,46.8951
K01512,27.1804
K01520,26.314500000000002
K01523,19.0792
K01524,5.7143
K01525,17.4311
K01545,3.6801
K01546,37.37220000000001
K01547,36.6513
K01548,23.711
K01551,75.89020000000001
K01555,38.47390000000001
K01556,16.659100000000002
K01560,45.4678
K01561,9.8519
K01563,14.2723
K01569,4.5627
K01578,15.4118
K01579,16.799300000000002
K01588,83.11630000000001
K01589,6.7982
K01591,21.2906
K01595,117.14480000000002
K01596,14.2699
K01599,27.5105
K01607,102.1103
K01610,68.5453
K01611,13.0843
K01613,12.6857
K01619,102.9847
K01620,18.9225
K01621,211.3502
K01622,21.7552
K01623,68.6446
K01624,8.963
K01625,17.5901
K01626,138.18619999999999
K01627,34.0587
K01628,7.2286
K01633,29.2977
K01637,78.7471
K01638,132.8471
K01640,34.495400000000004
K01644,20.106099999999998
K01653,122.1606
K01657,10.7257
K01658,14.2893
K01662,23.3943
K01673,44.9489
K01677,12.6994
K01689,236.29950000000005
K01695,43.111700000000006
K01698,75.2752
K01704,37.1941
K01711,51.6971
K01712,54.9821
K01714,5.1377
K01719,56.7394
K01720,37.45179999999999
K01721,10.3904
K01724,60.5017
K01725,3.3806
K01730,13.0979
K01733,64.5509
K01735,3.3521
K01736,35.6359
K01737,29.9459
K01740,40.1616
K01749,27.069300000000002
K01752,8.3532
K01754,47.8653
K01755,45.499100000000006
K01756,15.1571
K01759,40.0924
K01768,4.7279
K01772,44.9512
K01775,43.3331
K01776,52.7299
K01778,40.876000000000005
K01779,5.309
K01781,7.6383
K01783,8.1397
K01785,50.2051
K01790,10.4896
K01799,39.550799999999995
K01800,13.7287
K01803,55.83620000000001
K01804,8.7148
K01807,24.3046
K01808,12.665600000000001
K01809,17.840600000000002
K01810,144.4852
K01816,11.7872
K01817,13.5198
K01820,4.6801
K01821,45.4975
K01826,8.027
K01834,18.5897
K01839,39.830799999999996
K01841,6.6105
K01845,5.4587
K01849,21.9169
K01854,12.721
K01858,105.35659999999999
K01866,73.858
K01867,114.273
K01868,154.01839999999999
K01869,5.7424
K01872,142.7539
K01874,19.7838
K01875,72.1425
K01876,8.5553
K01880,17.0618
K01881,107.2181
K01883,7.9871
K01887,110.51639999999999
K01889,99.4478
K01890,39.6733
K01912,86.74310000000001
K01915,470.47130000000004
K01918,53.356100000000005
K01919,16.8502
K01920,24.4591
K01921,34.6502
K01923,66.74040000000001
K01926,75.62039999999999
K01933,80.5834
K01934,38.0236
K01935,13.590200000000001
K01937,248.37589999999997
K01939,117.91329999999999
K01940,50.370900000000006
K01945,43.7916
K01951,200.36299999999997
K01953,145.16700000000003
K01971,37.0492
K01972,205.3728
K01974,9.6631
K01975,8.6293
K01989,13.2291
K01990,64.5358
K01991,21.0946
K01992,27.4825
K01995,21.6003
K01996,21.9547
K01997,188.63249999999996
K01998,35.609899999999996
K01999,41.270599999999995
K02003,34.4148
K02004,473.77230000000014
K02007,20.3142
K02011,13.2146
K02015,75.333
K02016,12.607
K02018,12.0123
K02019,9.0495
K02020,17.3551
K02026,6.477
K02028,8.0957
K02030,22.7901
K02032,9.9478
K02033,58.857600000000005
K02034,144.728
K02036,37.6772
K02039,76.23910000000001
K02040,122.804
K02044,14.0582
K02047,18.5479
K02049,17.4052
K02050,156.47160000000002
K02051,52.01840000000001
K02053,4.1976
K02066,156.91539999999998
K02067,26.7055
K02078,171.51760000000004
K02086,5.9719
K02108,10.8149
K02109,60.83949999999999
K02110,18.2089
K02113,15.479400000000002
K02114,14.622200000000001
K02116,15.5164
K02122,8.9008
K02160,33.6
K02169,11.4421
K02171,49.3678
K02188,4.7988
K02189,3.7984
K02192,4.8663
K02194,32.816500000000005
K02195,61.0672
K02196,4.1366
K02197,39.8393
K02199,45.7738
K02200,31.3138
K02204,24.0455
K02221,51.68240000000001
K02224,15.711
K02227,13.7344
K02231,20.110300000000002
K02232,12.7372
K02233,11.291
K02237,16.201999999999998
K02238,76.81700000000001
K02242,18.2204
K02257,57.7318
K02258,20.352600000000002
K02259,43.3925
K02275,8.014
K02276,29.0202
K02277,25.6307
K02279,38.86270000000001
K02283,11.8739
K02291,10.5642
K02303,13.5717
K02305,3.8365
K02313,122.03500000000001
K02314,117.45750000000002
K02316,112.26140000000002
K02338,123.4427
K02339,9.5679
K02340,23.8585
K02341,14.0501
K02342,58.3246
K02343,44.09740000000001
K02348,7.5008
K02356,64.15629999999999
K02357,69.40889999999999
K02358,40.5952
K02372,33.3251
K02377,18.728
K02379,24.0381
K02380,5.5572
K02396,6.9022
K02405,32.3116
K02409,3.0
K02415,4.0837
K02417,10.0231
K02426,4.6371
K02427,12.2477
K02428,6.5193
K02435,19.5262
K02437,112.32240000000002
K02452,12.5156
K02456,33.4502
K02458,11.8413
K02460,17.861
K02461,7.5397
K02463,10.855
K02471,8.2626
K02477,5.524
K02483,38.2998
K02492,100.80380000000001
K02496,8.396
K02503,37.5571
K02510,42.218900000000005
K02517,10.1101
K02518,84.23389999999999
K02519,42.001599999999996
K02520,51.842000000000006
K02527,22.809
K02536,29.671200000000002
K02553,3.6997
K02557,13.8938
K02564,11.206
