KEGG,kegg_sum
K00003,27.1931
K00010,2.5851
K00020,6.8127
K00031,8.9722
K00033,54.4631
K00038,7.4042
K00053,161.29469999999998
K00057,18.5883
K00059,4.1711
K00067,6.3232
K00075,43.5319
K00077,67.01259999999999
K00088,11.8351
K00111,20.8898
K00116,6.0109
K00122,1.8737
K00124,80.28880000000001
K00127,3.6723
K00133,22.1777
K00134,23.9005
K00153,21.9684
K00163,417.7088
K00174,2.3481
K00175,69.8452
K00215,36.743399999999994
K00228,13.9367
K00232,4.4351
K00240,103.0342
K00241,32.658300000000004
K00247,4.1202
K00254,17.84
K00273,5.3271
K00275,15.450000000000001
K00286,29.831
K00287,9.3611
K00297,2.2573
K00299,16.2829
K00304,2.2954
K00330,56.148399999999995
K00331,66.3833
K00334,43.9648
K00338,134.31349999999998
K00339,23.580599999999997
K00340,59.1347
K00368,7.9564
K00371,11.0783
K00384,27.08
K00390,19.891
K00406,13.135
K00407,4.19
K00411,8.0521
K00413,10.5114
K00425,124.2724
K00426,50.8575
K00428,3.2133
K00432,11.6604
K00433,27.064
K00435,31.3613
K00446,13.6024
K00448,5.3133
K00449,43.63
K00450,22.637999999999998
K00451,49.681700000000006
K00452,1.4104
K00453,34.952600000000004
K00457,73.45349999999999
K00459,22.768700000000003
K00469,4.8874
K00496,4.9194
K00507,30.2174
K00518,33.0775
K00525,65.9649
K00526,14.5583
K00528,12.4066
K00540,8.775599999999999
K00548,97.38359999999999
K00549,197.94140000000002
K00554,72.3552
K00560,56.6799
K00564,9.7723
K00566,6.093
K00567,4.4356
K00570,8.4382
K00573,35.080000000000005
K00574,41.263799999999996
K00588,4.3942
K00595,9.1888
K00598,3.367
K00600,230.1364
K00602,122.47650000000002
K00606,66.6559
K00609,49.8625
K00615,36.422
K00616,8.4482
K00620,25.225299999999997
K00626,91.6213
K00635,141.1913
K00640,31.258399999999998
K00641,85.6446
K00655,64.9383
K00657,11.0571
K00661,7.823
K00673,3.6082
K00674,90.35779999999998
K00677,8.8582
K00682,6.5239
K00684,21.2654
K00688,101.72589999999998
K00700,111.3491
K00703,8.0991
K00705,13.4867
K00720,1.9545
K00721,2.9369
K00759,29.8022
K00760,25.2678
K00762,38.9623
K00763,10.961300000000001
K00764,161.51289999999997
K00765,30.254600000000003
K00766,17.0904
K00767,8.5965
K00769,5.6792
K00773,2.2775
K00782,10.3333
K00783,25.7497
K00784,4.767
K00788,2.4844
K00789,306.6389
K00790,70.97800000000001
K00793,59.165600000000005
K00794,48.064400000000006
K00797,46.6409
K00798,48.4189
K00799,101.8458
K00800,7.164199999999999
K00809,30.7286
K00820,64.8206
K00826,44.6234
K00831,21.5281
K00851,11.3781
K00855,4.7526
K00857,24.220399999999998
K00858,74.62719999999999
K00859,24.674699999999998
K00865,8.0021
K00867,49.388400000000004
K00868,13.9869
K00873,115.7748
K00876,11.591899999999999
K00891,8.6915
K00899,3.3616
K00912,3.8235
K00919,17.5162
K00925,30.2937
K00926,9.434700000000001
K00927,39.6049
K00930,33.9258
K00936,42.14020000000001
K00937,60.6144
K00939,7.9164
K00940,20.7335
K00942,3.0543
K00943,14.9939
K00945,22.6506
K00946,19.3585
K00948,146.66649999999998
K00950,5.0927
K00954,49.22640000000001
K00957,86.14659999999999
K00962,14.696
K00963,6.1346
K00969,33.6731
K00971,11.538599999999999
K00975,16.7459
K00978,5.168
K00979,5.0201
K00981,28.9949
K00982,20.1811
K00986,367.0354999999999
K00988,2.2181
K00989,38.2012
K00990,32.6542
K00997,19.92
K01000,38.3411
K01005,98.84200000000001
K01008,26.3206
K01012,5.2336
K01026,3.2033
K01032,5.9899
K01039,2.6264
K01040,2.9153
K01042,8.9071
K01046,4.4577
K01051,6.0889
K01056,39.2201
K01057,9.8391
K01061,62.231
K01066,3.4437
K01077,5.517
K01079,1.7525
K01083,1.7815
K01092,3.2891
K01095,7.9214
K01104,1.3881
K01113,40.203
K01114,4.7956
K01118,5.105
K01126,4.0632
K01129,64.2739
K01151,39.716
K01159,41.4256
K01167,5.5412
K01173,1.0415
K01174,4.454
K01178,7.4732
K01181,13.4241
K01183,4.1156
K01185,2.361
K01187,11.4847
K01206,20.9142
K01209,29.0443
K01239,9.3277
K01241,16.6011
K01246,36.3793
K01247,8.3028
K01251,442.4726
K01255,12.7977
K01259,12.532
K01262,14.2772
K01265,59.066900000000004
K01266,39.4094
K01273,21.2518
K01283,30.497999999999998
K01295,3.5568
K01297,4.6259999999999994
K01299,5.4874
K01304,2.8595
K01354,3.9037
K01356,73.3228
K01358,302.0901
K01372,3.1479
K01406,4.3459
K01409,19.233700000000002
K01419,56.18430000000001
K01424,5.759
K01426,5.0907
K01430,8.408
K01432,2.7227
K01443,5.1091
K01447,2.7709
K01448,46.59
K01449,14.0766
K01455,72.4856
K01458,2.9052
