KEGG,kegg_sum
K00003,4.9554
K00012,2.9324
K00029,7.737399999999999
K00031,12.8885
K00033,18.5214
K00045,5.2615
K00053,6.4815
K00057,8.2438
K00059,15.7371
K00075,6.5112
K00077,22.7583
K00099,14.315499999999998
K00111,14.0705
K00116,4.0698
K00124,11.6175
K00133,6.7564
K00134,3.5894
K00163,96.10230000000001
K00174,6.8713
K00208,4.3404
K00228,11.0624
K00232,2.0887
K00240,19.7317
K00241,2.569
K00242,6.8746
K00286,7.2238
K00311,4.7682
K00330,15.0043
K00331,3.8025
K00334,16.200400000000002
K00338,7.4066
K00339,7.0626
K00340,4.4962
K00343,4.1771
K00390,12.8845
K00406,7.6579999999999995
K00411,3.4343
K00412,10.4538
K00413,3.5137
K00425,43.3557
K00426,21.83
K00433,25.459400000000002
K00449,7.0367999999999995
K00451,14.8488
K00452,1.365
K00453,2.6362
K00457,10.6903
K00459,30.3578
K00469,2.398
K00496,19.667800000000003
K00500,2.3914
K00507,27.005899999999997
K00525,3.6193
K00526,3.6384
K00537,9.1934
K00540,22.3018
K00548,20.4784
K00549,55.9185
K00554,5.2926
K00560,15.6685
K00567,2.9508
K00570,2.21
K00573,2.7401
K00574,27.0059
K00588,2.8064
K00598,2.299
K00600,12.455099999999998
K00602,8.9598
K00606,17.252200000000002
K00609,6.9735
K00619,2.4243
K00626,18.205000000000002
K00635,54.3093
K00640,10.5503
K00641,3.4827
K00652,3.9223
K00655,10.7719
K00661,1.7333
K00674,10.7105
K00677,9.2844
K00682,4.8255
K00688,50.353699999999996
K00700,8.3959
K00720,3.9607
K00721,6.1489
K00748,4.6102
K00759,2.0314
K00760,12.4956
K00763,6.5297
K00764,12.2775
K00765,2.7878
K00768,5.2217
K00769,3.8861
K00773,3.8418
K00788,3.7126
K00789,69.7118
K00793,10.4529
K00794,12.417200000000001
K00798,12.3206
K00799,21.168699999999998
K00820,18.415699999999998
K00826,4.286
K00858,11.1797
K00859,8.042
K00864,5.5053
K00873,21.781699999999997
K00878,4.2569
K00912,6.8580000000000005
K00919,4.1343
K00927,9.754100000000001
K00930,4.7046
K00936,5.5058
K00937,10.765
K00939,5.6319
K00942,3.815
K00946,8.4327
K00948,17.8146
K00954,3.2568
K00969,4.6375
K00971,5.993
K00973,3.9813
K00975,2.4465
K00978,4.9482
K00981,7.9144000000000005
K00986,166.17020000000005
K00990,8.707699999999999
K00995,3.0899
K00997,6.8164
K01000,9.0107
K01005,19.0004
K01006,6.503
K01012,3.9223
K01039,4.0917
K01056,3.8476
K01061,54.4747
K01066,4.3038
K01069,3.4893
K01070,3.6164
K01079,5.5796
K01092,4.3971
K01095,4.2464
K01104,6.5609
K01113,5.9517
K01114,10.689499999999999
K01118,42.47580000000001
K01126,5.2644
K01129,2.5305
K01142,5.6796
K01159,7.942
K01166,3.5856
K01179,5.7139
K01181,2.7939
K01183,2.0201
K01206,7.925
K01239,12.2718
K01246,4.2786
K01247,2.3922
K01251,57.023799999999994
K01265,23.843899999999998
K01266,6.9529
K01273,5.7655
K01297,3.6592
K01304,1.9781
K01358,43.9302
K01372,9.3738
K01409,19.038800000000002
K01419,8.8518
K01426,21.7517
K01433,2.5598
K01443,11.508499999999998
K01447,3.5882
K01448,10.6659
K01455,2.9686
K01462,6.0502
K01470,3.6293
K01478,8.1014
K01483,2.255
K01485,3.0576
K01488,4.5265
K01489,3.3597
K01491,2.935
K01494,4.9807
K01495,32.3097
K01497,20.036
K01507,5.9681
K01520,10.073
K01523,3.9924
K01524,2.8074
K01525,3.8799
K01546,10.994499999999999
K01551,12.5253
K01555,5.1111
K01556,5.576
K01569,36.7382
K01574,1.9528
K01575,2.9442
K01579,2.8424
K01588,4.0022
K01595,10.4887
K01596,11.191
K01599,4.8827
K01607,46.5742
K01610,9.2058
K01613,7.0341
K01621,38.415400000000005
K01623,14.7175
K01624,32.0323
K01626,16.856099999999998
K01628,3.4191
K01635,7.2694
K01637,39.9277
K01638,21.739299999999997
K01640,4.9599
K01644,9.4292
K01647,3.866
K01653,19.7644
K01666,3.2643
K01673,15.961300000000001
K01689,23.838099999999997
K01695,17.7469
K01696,6.0127
K01698,12.0561
K01704,9.2346
K01709,2.6568
K01711,7.6344
K01714,4.515
K01719,16.5692
K01720,15.3582
K01724,18.4846
K01725,4.8967
K01733,4.1955
K01736,11.412099999999999
K01737,10.2864
K01740,7.4942
K01749,11.5137
K01752,6.2419
K01755,4.9499
K01759,8.225
K01772,6.7459
K01775,14.9309
K01776,5.5952
K01778,9.2547
K01783,4.4888
K01785,11.9478
K01790,8.718
K01803,10.52
K01807,13.3919
K01809,11.0201
K01810,19.9504
K01821,6.9428
K01822,15.558
K01823,7.6796
K01834,4.2814
K01858,38.5214
K01866,12.9879
K01867,13.7865
K01868,52.3019
K01870,4.3155
K01872,28.3788
K01874,28.150000000000002
K01875,16.8346
K01880,4.1667
K01881,19.687
K01885,5.9277
K01887,10.9348
K01889,2.6158
K01912,4.2895
K01915,108.783
K01918,14.103200000000001
K01919,9.0911
K01920,3.3254
K01921,5.1017
K01923,7.095700000000001
K01933,3.0743
K01934,5.1325
K01937,45.64770000000001
K01939,23.954
K01940,33.1201
K01951,18.0373
K01953,16.653399999999998
K01962,3.6627
K01972,37.9515
K01975,4.0529
K01991,2.2005
K01996,8.5281
K01997,6.6861
K02003,3.7176
K02004,87.11400000000002
K02020,5.7625
K02030,3.6371
K02033,9.1845
K02039,19.8096
K02040,23.2448
K02042,2.1524
K02050,11.5099
K02051,3.2555
K02065,2.731
K02066,83.19360000000002
K02067,62.9467
K02072,11.332899999999999
K02073,7.0359
K02078,42.5796
K02109,8.5093
K02111,12.6419
K02113,3.7376
K02114,2.5776
K02160,6.2593000000000005
K02164,5.076
K02169,3.5928
K02171,22.2035
K02194,4.1735
K02195,8.842400000000001
