KEGG,kegg_sum
K00003,17.7907
K00010,5.875
K00012,19.8408
K00013,5.8562
K00014,7.5878
K00020,21.561099999999996
K00022,9.7738
K00024,8.3907
K00029,6.389
K00030,7.006
K00031,35.2928
K00033,107.3493
K00036,44.4587
K00052,6.3486
K00053,71.70009999999999
K00057,20.8443
K00058,22.6032
K00059,74.0071
K00060,10.2009
K00065,8.6582
K00066,5.4279
K00067,23.569499999999998
K00074,20.7133
K00075,22.264499999999998
K00077,37.2329
K00088,40.551500000000004
K00091,14.030100000000001
K00099,44.0571
K00108,8.4073
K00111,35.215999999999994
K00113,9.9245
K00116,4.3238
K00119,18.9844
K00124,34.183699999999995
K00127,11.5985
K00128,24.4277
K00130,16.7991
K00133,16.2909
K00134,45.4027
K00135,24.3821
K00140,8.301
K00145,17.2651
K00146,7.6286
K00147,6.9432
K00153,16.7213
K00161,3.2155
K00162,8.8257
K00163,272.30519999999996
K00174,26.238200000000003
K00175,23.005
K00176,2.2225
K00208,21.8934
K00215,13.8556
K00231,8.8716
K00240,52.069599999999994
K00241,24.3788
K00249,34.5137
K00252,15.567499999999999
K00254,3.4793
K00259,6.4571
K00261,15.3479
K00275,29.4927
K00283,8.4779
K00286,45.005
K00287,3.4807
K00297,14.9551
K00299,6.5681
K00311,7.2825
K00316,11.5164
K00320,14.627600000000001
K00322,7.3829
K00324,15.215700000000002
K00330,69.31909999999999
K00331,68.1263
K00332,14.0916
K00333,26.017
K00334,49.637499999999996
K00335,16.8168
K00337,14.493500000000001
K00338,72.5718
K00339,60.9144
K00340,71.8559
K00341,23.7262
K00342,16.027
K00343,29.675200000000004
K00344,13.1663
K00375,12.1816
K00382,19.5433
K00384,25.2258
K00389,38.3974
K00390,30.4418
K00406,8.4764
K00411,1.9532
K00413,1.6613
K00425,93.7562
K00426,60.5108
K00428,10.1506
K00432,65.52780000000001
K00433,46.165400000000005
K00435,11.0551
K00446,23.499000000000002
K00448,32.6374
K00449,35.4381
K00450,5.6262
K00451,45.2101
K00452,21.4189
K00453,47.04509999999999
K00456,14.543999999999999
K00457,37.1479
K00459,60.75750000000001
K00469,4.5545
K00476,6.4612
K00479,8.2556
K00481,35.3362
K00486,12.4887
K00499,14.636800000000001
K00507,111.61300000000001
K00508,21.317700000000002
K00518,22.7425
K00525,63.4929
K00528,14.9931
K00529,5.0257
K00540,42.0386
K00544,34.225899999999996
K00548,137.18019999999996
K00549,261.41330000000005
K00554,30.759
K00560,3.3911
K00563,3.0152
K00564,7.9853
K00566,6.7986
K00567,6.5714
