KEGG,kegg_sum
K00012,8.4592
K00014,8.3757
K00015,5.8863
K00020,15.040300000000002
K00029,5.0456
K00031,44.946
K00033,50.019200000000005
K00053,50.68010000000001
K00057,7.059699999999999
K00059,61.7299
K00067,30.6339
K00075,33.4197
K00077,187.64180000000005
K00088,7.9315
K00099,48.4451
K00111,49.4253
K00116,5.405
K00122,18.5878
K00124,105.56580000000001
K00127,64.16449999999999
K00133,19.4231
K00134,29.662300000000002
K00145,48.60039999999999
K00163,215.71809999999996
K00174,8.0126
K00175,19.400599999999997
K00180,7.4415
K00200,4.9159
K00202,5.4629
K00208,6.5
K00209,4.2715
K00215,13.4937
K00217,25.2926
K00228,17.8615
K00231,9.4671
K00240,102.8181
K00241,31.985500000000002
K00242,7.1606
K00249,7.1382
K00254,8.6212
K00275,52.851
K00283,4.835
K00286,26.6569
K00287,14.1527
K00297,29.429
K00311,21.726499999999998
K00330,76.24290000000002
K00331,47.0965
K00332,9.1722
K00334,31.3415
K00338,45.901999999999994
K00339,38.407
K00340,37.054899999999996
K00344,57.669
K00363,5.2379
K00375,6.8984
K00384,28.404400000000003
K00389,43.6882
K00390,20.287799999999997
K00395,3.1566
K00405,6.0668
K00411,26.483999999999998
K00412,16.2723
K00413,30.076600000000003
K00425,200.24129999999997
K00426,108.5981
K00428,55.505500000000005
K00432,34.135200000000005
K00433,33.5597
K00446,14.351600000000001
K00449,14.4344
K00450,24.5796
K00451,66.4345
K00452,3.1686
K00453,16.7101
K00456,20.6496
K00457,41.3695
K00459,81.89510000000001
K00469,5.5139
K00507,114.67509999999997
K00525,47.6789
K00526,14.1034
K00528,2.902
K00537,3.9532
K00540,50.46679999999999
K00548,66.2919
K00549,386.92490000000004
K00554,35.2859
K00560,65.4877
K00564,6.205399999999999
K00566,4.8115
K00567,11.0043
K00570,17.442
K00573,104.3261
K00574,45.5173
K00575,10.0732
K00588,20.357000000000003
K00598,4.512
K00600,141.01600000000002
K00602,76.32549999999999
K00606,74.66359999999999
K00609,24.5084
K00611,16.7474
K00613,14.5773
K00615,21.8202
K00616,6.4933
K00620,49.016999999999996
K00625,6.0067
K00626,97.79680000000002
K00635,77.10280000000002
K00640,33.870200000000004
K00641,153.857
K00648,3.0531
K00655,55.642599999999995
K00657,17.7451
K00661,3.6158
K00663,2.7895
K00674,37.858200000000004
K00677,40.666599999999995
K00682,6.6525
K00683,18.843799999999998
K00684,21.3081
K00688,156.5634
K00700,86.66220000000001
K00703,86.776
K00720,47.026399999999995
K00721,4.6868
K00729,2.7672
K00748,27.2545
K00759,34.1503
K00760,40.0811
K00762,10.3368
K00763,24.3731
K00764,74.11
K00765,21.5989
K00766,66.497
K00768,21.806199999999997
K00769,12.8815
K00773,4.9601
K00782,13.509
K00783,35.9799
K00784,39.254599999999996
K00788,4.1273
K00789,194.0543
K00790,78.28329999999998
K00791,8.7192
K00793,46.7779
K00794,42.6501
K00796,2.2051
K00797,20.320800000000002
K00798,62.383199999999995
K00799,297.7981
K00800,48.774
K00801,3.8202
K00808,6.6183
K00820,76.7536
K00824,9.3042
K00826,16.7916
K00831,30.014400000000002
K00851,34.7474
K00852,8.7747
K00855,9.0628
K00857,29.6877
K00858,56.8518
K00859,26.2289
K00865,8.3173
K00867,18.0027
K00868,7.0293
K00873,178.10060000000004
K00876,3.0291
K00883,2.8942
K00886,2.8392
K00891,19.2591
K00912,47.397499999999994
K00919,16.3767
K00925,74.3295
K00926,21.9955
K00927,82.8009
K00930,14.144400000000001
K00936,27.9823
K00937,25.5806
K00939,7.780799999999999
K00940,2.1645
K00942,13.7665
K00943,17.5418
K00945,36.690400000000004
K00946,14.883999999999999
K00948,164.12889999999996
K00950,25.862199999999998
K00954,64.597
K00957,51.113299999999995
K00962,19.048000000000002
K00963,25.6518
K00965,7.5771
K00969,3.5189
K00971,48.8262
K00973,4.7869
K00975,45.109
K00978,2.6355
K00979,25.773300000000003
K00981,31.037699999999997
K00982,17.371299999999998
K00986,2721.7032999999997
K00989,37.179
K00990,94.541
K00995,3.021
K00997,30.4839
K01000,70.4713
K01004,2.5695
K01005,28.122099999999996
K01006,49.210499999999996
K01007,8.7104
K01008,27.237700000000004
K01012,47.6954
K01026,6.0358
K01029,14.6218
K01039,5.7385
K01040,24.310299999999998
K01042,17.5707
K01053,24.2917
K01055,10.0414
K01056,71.99860000000001
K01057,35.2768
K01058,4.4154
K01061,195.7483
K01066,22.0959
K01068,3.1812
K01069,26.789099999999998
K01070,5.7305
K01079,4.2617
K01091,17.6069
K01092,20.8228
K01095,52.6381
K01104,20.728299999999997
K01113,28.592
K01114,31.0049
K01118,39.2104
K01126,6.5423
K01129,37.7629
K01142,7.7226
K01151,14.6203
K01159,52.04269999999999
K01166,3.3186
K01174,9.8731
K01179,4.3545
K01181,4.6893
K01187,11.3503
K01194,12.694700000000001
K01206,64.5123
K01207,13.970300000000002
K01209,22.5808
K01233,2.587
K01239,50.3175
K01241,13.5935
K01246,126.23760000000001
K01247,14.442499999999999
K01251,165.19150000000002
K01259,17.1222
K01262,17.2924
K01265,70.06290000000001
K01266,65.2488
K01271,3.5081
K01273,81.6606
K01283,48.4225
K01286,14.8752
K01295,5.5042
K01297,24.7536
K01299,2.914
K01302,3.6072
K01303,30.832
K01304,4.3152
K01356,50.361999999999995
K01358,188.1031
K01372,11.3539
K01406,2.1346
K01409,54.717600000000004
K01419,68.95259999999999
K01423,17.5011
K01424,27.750600000000002
K01425,14.6087
K01426,51.7544
K01429,6.4348
K01430,8.4917
K01432,10.6934
K01433,21.7627
K01443,32.7295
K01444,6.4396
K01447,12.3366
K01448,123.24630000000002
K01449,4.7385
K01455,28.919800000000002
K01458,16.848399999999998
K01459,6.2942
K01462,58.885099999999994
K01463,6.1498
K01470,27.765500000000003
K01476,11.9678
K01477,3.4238
K01478,8.418299999999999
K01480,16.1186
K01482,22.2681
K01483,14.9925
K01485,29.8983
K01488,8.0072
K01489,24.0884
K01493,15.263
K01494,44.7288
K01495,67.3509
K01496,23.3917
K01497,38.1165
K01501,5.4393
K01507,141.0008
K01512,4.773
K01515,19.727
K01520,5.9495000000000005
K01523,18.6133
K01524,17.7633
K01525,5.6582
K01529,3.2766
K01545,19.4315
K01546,185.68250000000003
K01547,28.2702
K01548,70.5719
K01551,2.0231
K01555,31.120400000000004
K01556,21.219
K01560,20.416400000000003
K01561,46.964000000000006
K01563,9.5435
K01569,82.0201
K01574,8.407900000000001
K01575,2.5188
K01578,3.962
K01579,3.0092
K01588,49.204
K01589,13.882
K01591,11.4518
K01595,94.55329999999998
K01596,24.7405
K01599,11.1352
K01607,184.49490000000003
K01610,60.4883
K01611,13.518799999999999
K01613,45.7199
K01619,28.561999999999998
K01620,58.102000000000004
K01621,148.5964
K01623,87.73800000000001
K01624,17.1648
K01626,56.44550000000001
K01627,16.5585
K01628,8.8538
K01635,15.5106
K01637,75.20850000000002
K01638,87.8523
K01640,23.302599999999998
K01644,14.7085
K01653,74.41890000000001
K01658,11.048300000000001
K01662,8.0043
K01673,202.27439999999999
K01674,9.7708
K01686,3.3531
K01689,138.1606
K01695,63.38289999999999
K01698,86.42940000000002
K01704,45.849900000000005
K01710,6.828
K01711,33.0824
K01712,23.2791
K01714,5.593
K01716,16.2478
K01719,49.0475
K01720,15.8338
K01721,9.5701
K01724,87.68
K01725,26.4268
K01733,15.2144
K01734,3.1561
K01735,6.4355
K01736,58.773300000000006
K01737,70.7512
K01749,71.4465
K01752,68.78000000000002
K01754,10.830300000000001
K01755,80.06370000000001
K01759,9.5008
K01768,17.691499999999998
K01770,4.5609
K01772,47.901
K01775,60.3312
K01776,20.086100000000002
K01778,36.1852
K01779,6.1287
K01783,19.878899999999998
K01784,2.9807
K01785,40.1532
K01790,13.956800000000001
K01792,6.5716
K01793,3.2506
K01799,18.551
K01800,28.053500000000003
K01802,5.9221
K01803,29.854
K01805,3.6364
K01807,41.683299999999996
K01808,15.0934
K01809,29.0393
K01810,72.3432
K01812,5.8355
K01816,23.523500000000002
K01817,5.4995
K01821,62.75980000000001
K01822,2.492
K01823,12.9194
K01826,6.4226
K01834,27.8007
K01839,23.938000000000002
