KEGG,kegg_sum
K00003,70.4712
K00010,26.3488
K00012,156.2319
K00013,83.0036
K00014,131.83859999999999
K00018,46.384100000000004
K00019,5.1263
K00020,118.0905
K00021,12.8488
K00023,19.9431
K00024,87.5021
K00029,87.68900000000001
K00030,15.0538
K00031,98.92519999999999
K00033,485.37649999999996
K00034,9.7848
K00036,357.7107
K00038,21.8718
K00045,6.1524
K00046,12.9212
K00052,59.39670000000001
K00053,174.0243
K00055,14.1471
K00057,68.6472
K00058,92.24200000000002
K00059,485.6406999999999
K00060,109.648
K00064,14.1306
K00065,82.27890000000002
K00067,177.24380000000002
K00074,73.45599999999999
K00075,157.0835
K00076,12.5839
K00077,404.4913
K00078,2.8479
K00088,179.7641
K00091,159.64070000000004
K00097,24.3021
K00099,184.83759999999998
K00104,29.9705
K00108,54.817800000000005
K00109,25.6124
K00111,204.23380000000006
K00113,30.5999
K00116,56.075199999999995
K00118,44.037
K00121,22.4522
K00122,17.8947
K00123,56.548300000000005
K00124,14.5329
K00126,33.3945
K00127,56.7581
K00128,16.9984
K00133,135.24139999999997
K00134,135.8816
K00135,80.2792
K00138,34.537
K00140,107.8737
K00145,133.3405
K00147,41.8662
K00148,22.3926
K00153,7.7302
K00154,13.2005
K00163,532.4825
K00164,22.4123
K00166,22.2887
K00167,22.2887
K00174,164.55919999999998
K00175,153.9983
K00179,23.3561
K00180,52.3335
K00200,4.156
K00202,6.565
K00206,26.3157
K00208,97.59290000000001
K00209,12.6013
K00215,152.88759999999996
K00217,4.1087
K00228,98.71
K00231,91.4585
K00232,5.9028
K00239,75.1125
K00240,171.7847
K00241,216.6054
K00242,59.71170000000001
K00248,22.4123
K00249,589.6987999999998
K00252,77.13109999999999
K00253,39.297
K00254,107.07880000000002
K00259,102.10499999999999
K00261,16.7364
K00265,40.3902
K00266,37.0544
K00273,34.822700000000005
K00274,7.2804
K00275,204.2849
K00276,12.5615
K00278,57.6164
K00281,32.3967
K00282,73.6172
K00283,89.8076
K00285,40.702
K00286,216.69280000000003
K00287,74.895
K00294,7.1319
K00297,105.83329999999998
K00299,86.30770000000001
K00300,27.0719
K00303,64.56960000000001
K00304,53.6455
K00305,23.4714
K00311,125.1731
K00315,7.8511
K00316,75.1498
K00317,5.3262
K00320,14.164200000000001
K00322,91.64120000000001
K00324,62.226000000000006
K00325,21.9598
K00330,273.26069999999993
K00331,206.8964
K00332,82.246
K00333,23.804599999999997
K00334,144.921
K00335,91.2987
K00336,30.160400000000003
K00337,121.65400000000001
K00338,184.52970000000002
K00339,179.04150000000004
K00340,253.43349999999998
K00341,131.59779999999998
K00342,53.0867
K00343,219.3568
K00344,307.0668999999999
K00351,13.792100000000001
K00355,10.1601
K00362,24.351200000000002
K00363,41.164100000000005
K00365,26.264899999999997
K00372,6.6786
K00375,103.44359999999999
K00380,6.8153
K00382,105.1523
K00383,56.1654
K00384,261.4271
K00386,4.7975
K00389,127.25459999999998
K00390,151.8889
K00406,73.31460000000001
K00411,117.11370000000001
K00412,88.1321
K00413,120.93469999999999
K00424,27.2934
K00425,384.7891
K00426,301.6623
K00428,379.82109999999994
K00432,375.32249999999993
K00433,414.7824999999999
K00435,19.8904
K00446,3.9877
