KEGG,kegg_sum
K00003,137.79589999999996
K00010,47.962900000000005
K00012,91.0548
K00013,30.1549
K00014,126.3373
K00015,29.641599999999997
K00019,14.7579
K00020,150.7566
K00021,48.367
K00022,35.3146
K00023,4.9961
K00024,73.2792
K00027,10.606
K00029,124.48989999999998
K00030,11.8166
K00031,98.3785
K00033,496.0706000000001
K00034,17.0338
K00036,186.93280000000007
K00038,7.7277
K00045,11.8247
K00052,75.14420000000001
K00053,283.94989999999996
K00054,47.036199999999994
K00057,105.25000000000001
K00058,178.6376
K00059,460.48300000000006
K00060,56.8561
K00064,14.0938
K00065,21.455
K00066,4.2743
K00067,233.71050000000005
K00074,68.5059
K00075,344.4834000000001
K00076,19.1903
K00077,658.8896000000002
K00082,18.086199999999998
K00088,172.23329999999999
K00091,69.29379999999999
K00096,42.2587
K00097,6.2678
K00099,278.24449999999996
K00101,10.7827
K00104,37.21
K00108,82.298
K00109,19.471899999999998
K00111,453.5502999999998
K00112,9.488199999999999
K00113,32.7808
K00116,22.131500000000003
K00118,5.0511
K00119,26.1477
K00121,9.0492
K00122,16.5551
K00124,197.6051
K00126,25.343700000000002
K00127,76.6908
K00128,31.2335
K00130,25.5272
K00132,12.1839
K00133,222.86990000000003
K00134,164.2913
K00135,46.5521
K00137,8.6865
K00138,9.9019
K00140,102.66669999999999
K00145,342.6949
K00147,13.168999999999999
K00148,9.6955
K00150,31.3934
K00153,28.764
K00154,8.2542
K00156,22.6969
K00161,77.6092
K00162,86.9313
K00163,1283.1559000000002
K00164,23.154899999999998
K00166,31.0489
K00167,18.2132
K00169,74.5133
K00170,39.615
K00171,45.553
K00172,150.46729999999997
K00174,375.1321000000001
K00175,273.09439999999995
K00176,39.4454
K00177,31.2497
K00180,9.0196
K00184,22.7524
K00185,8.2155
K00187,7.7702
K00198,3.391
K00200,6.6195
K00208,62.8819
K00209,25.0311
K00215,242.00770000000006
K00217,8.7079
K00219,5.7196
K00221,35.8792
K00226,37.382999999999996
K00228,57.0186
K00230,151.47680000000003
K00231,172.78470000000002
K00232,100.6032
K00239,49.9085
K00240,305.6658
K00241,123.1192
K00242,45.18879999999999
K00245,4.0697
K00247,12.9138
K00248,35.4171
K00249,644.2976
K00252,58.2656
K00253,39.3418
K00254,67.2563
K00259,61.7604
K00261,11.9383
K00262,20.9528
K00263,11.5416
K00266,21.9759
K00271,11.5416
K00273,24.7698
K00274,44.344699999999996
K00275,277.3414
K00276,5.2104
K00278,36.7469
K00282,62.777
K00283,52.126000000000005
K00285,16.2194
K00286,291.3786999999999
K00287,32.7006
K00294,50.64
K00297,163.7349
K00299,62.1678
K00301,36.8958
K00303,85.18699999999998
K00304,29.147000000000002
K00305,10.999600000000001
K00311,122.05450000000002
K00313,64.1258
K00316,51.227199999999996
K00318,12.1849
K00320,158.2219
K00322,46.115700000000004
K00324,101.466
K00325,23.6821
K00330,231.0281
K00331,121.3804
K00332,78.8641
K00333,25.6562
K00334,228.20849999999993
K00335,55.1084
K00337,75.6608
K00338,209.264
K00339,208.44299999999998
K00340,297.9564
K00341,56.0257
K00342,40.790000000000006
K00343,123.9267
K00344,204.1722
K00355,17.131899999999998
K00362,5.4777
K00363,25.2797
K00365,50.4805
K00368,95.6343
K00370,43.7062
K00371,193.89249999999998
K00373,143.60320000000002
K00374,103.70230000000001
K00375,82.8015
K00382,77.59479999999999
K00384,163.68920000000003
K00387,4.8612
K00389,205.9319
K00390,185.82479999999998
K00394,28.6265
K00395,69.2801
K00406,9.677900000000001
K00407,2.9099
K00411,40.0013
K00412,62.9551
K00413,66.8661
K00424,8.993500000000001
K00425,845.1397000000003
K00426,646.6793000000001
K00428,67.68339999999999
K00432,140.5215
K00433,211.33990000000003
K00435,29.139499999999998
K00441,44.0048
K00446,110.07449999999999
K00448,92.16899999999998
K00449,138.79540000000003
K00450,91.3606
K00451,417.4366
K00452,27.713900000000002
K00453,243.44010000000003
K00455,9.9383
K00456,44.3886
K00457,356.23220000000003
K00459,479.9383
K00463,6.3909
K00467,33.8142
K00469,12.667300000000001
K00471,17.9545
K00476,15.911000000000001
K00477,16.2278
K00479,75.4201
K00480,44.336
K00481,51.4609
K00483,29.6702
K00485,11.105
K00486,4.6532
K00496,47.257600000000004
K00499,58.69100000000001
K00500,35.75020000000001
K00507,540.6769999999999
K00518,129.5352
K00525,711.5072
K00526,5.3796
K00528,43.084199999999996
K00529,72.4806
K00537,33.981
K00540,607.6851999999998
K00544,82.163
K00545,16.0918
K00547,10.5638
K00548,399.23620000000005
K00549,1880.507399999999
K00554,342.10450000000003
K00555,45.7214
K00558,60.095600000000005
K00560,84.9915
K00563,9.2459
K00564,123.23719999999996
K00566,88.06450000000001
K00567,232.86829999999998
K00568,9.2924
K00570,57.89960000000001
K00571,35.1989
K00573,415.82250000000005
K00574,707.9537999999998
K00575,92.8784
K00588,246.10979999999998
K00594,21.8734
K00595,19.6875
K00598,136.5877
K00600,849.5728999999997
K00602,664.0516999999999
K00603,35.753099999999996
K00604,126.88580000000002
K00605,143.0806
K00606,467.9545999999999
K00609,196.26339999999996
K00610,19.3241
K00611,281.1737000000001
K00612,72.9262
K00613,15.562000000000001
K00615,411.4812000000001
K00616,200.30919999999998
K00619,54.4848
K00620,240.65289999999993
K00625,6.2176
K00626,1202.7835
K00627,32.9066
K00632,37.7185
K00635,1739.0902999999992
K00639,82.4939
K00640,175.56309999999996
K00641,416.7643
K00643,10.8504
K00645,90.73519999999999
K00648,211.30449999999996
K00652,53.32849999999999
K00655,616.0099000000001
K00657,93.62129999999999
K00658,48.637299999999996
K00661,43.5284
K00662,21.336799999999997
K00663,22.344700000000003
K00666,58.5331
K00673,2.3819
K00674,129.28369999999998
K00675,46.959399999999995
K00677,122.49650000000001
K00681,44.432300000000005
K00682,57.8458
K00683,20.1743
K00684,33.4374
K00688,735.1521999999998
K00694,26.375
K00697,5.8742
K00700,431.86639999999994
K00703,254.6902
K00705,108.8333
K00720,191.3121
K00721,182.96640000000002
K00728,73.76669999999999
K00729,34.2725
K00737,5.4444
K00748,92.84010000000002
K00752,19.0766
K00754,46.936
K00756,11.9327
K00757,6.5088
K00758,11.9327
K00759,320.6109
K00760,359.83779999999996
K00761,73.44349999999999
K00762,312.24559999999985
K00763,473.38899999999995
K00764,497.12559999999996
K00765,221.01340000000002
K00766,456.8809000000001
K00767,101.3774
K00768,178.47359999999998
K00769,11.6395
K00772,114.399
K00773,94.7439
K00782,73.9478
K00783,171.1916
K00784,428.70180000000005
K00788,176.11359999999996
K00789,1097.6982
K00790,349.08940000000007
K00791,132.3937
K00793,314.37640000000005
K00794,272.3653
K00795,56.51480000000001
K00796,297.9811000000001
K00797,83.92929999999998
K00798,421.4975000000001
K00799,464.5443
K00800,381.5118
K00801,8.8463
K00803,99.0124
K00805,7.6574
K00806,63.252500000000005
K00808,8.0988
K00809,101.91170000000001
K00812,34.6449
K00817,103.08210000000001
K00819,15.5429
K00820,612.3414
K00821,34.7434
K00823,33.8557
K00824,16.5208
K00826,253.31910000000005
K00827,12.7711
K00830,19.2306
K00831,144.5158
K00833,33.946099999999994
K00836,42.827099999999994
K00845,117.2545
K00847,12.8662
K00848,29.9846
K00849,45.916000000000004
K00851,117.0052
K00852,47.69630000000001
K00853,26.7023
K00854,14.4012
K00855,56.6914
K00856,2.9098
K00857,99.48660000000001
K00858,561.3672999999999
K00859,324.83259999999996
K00860,6.557
K00864,35.14
K00865,213.8732
K00867,37.8359
K00868,3.2969
K00869,26.327599999999997
K00872,78.19369999999999
K00873,786.0979999999997
K00874,11.905
K00876,18.4898
K00878,11.906600000000001
K00883,18.269599999999997
K00884,3.5891
K00886,174.89239999999998
K00891,212.4625
K00897,12.0448
K00899,9.6249
K00912,90.8125
K00917,13.1249
K00919,243.99620000000004
K00925,393.2814999999999
K00926,374.9217000000001
K00927,720.6136999999997
