KEGG,kegg_sum
K00003,37.3925
K00008,4.6603
K00009,44.2698
K00012,11.5077
K00013,4.2233
K00014,13.0424
K00015,10.3635
K00031,25.954500000000003
K00033,76.72529999999999
K00039,4.0022
K00053,112.27260000000001
K00058,10.9305
K00064,2.8028
K00067,42.684799999999996
K00075,50.7766
K00077,38.3634
K00078,3.5765
K00088,2.8043
K00099,93.82839999999999
K00102,6.2098
K00111,40.8897
K00112,30.901899999999998
K00113,12.7437
K00122,80.7222
K00124,22.7656
K00127,3.0295
K00133,24.023100000000003
K00134,11.8117
K00140,8.7372
K00145,4.7455
K00162,9.7378
K00163,286.9488
K00174,33.2164
K00175,18.3205
K00200,9.7222
K00215,14.2562
K00217,12.953000000000001
K00230,2.2906
K00231,7.7322
K00240,146.703
K00241,48.3049
K00242,15.3963
K00246,2.4384
K00247,10.2688
K00249,51.7155
K00259,10.3476
K00275,56.7058
K00282,12.1676
K00286,58.9059
K00287,7.632099999999999
K00297,25.9136
K00304,5.9069
K00322,11.5706
K00330,82.83160000000001
K00331,22.7344
K00332,28.055
K00334,35.50600000000001
K00337,14.7235
K00338,113.4989
K00339,32.5368
K00340,88.15509999999999
K00343,15.555800000000001
K00344,7.9605
K00363,12.7458
K00365,5.3573
K00371,1.98
K00373,2.0499
K00375,8.0243
K00384,24.6588
K00389,3.4548
K00390,31.6207
K00395,6.6725
K00407,3.8806
K00411,6.8236
K00425,147.54469999999995
K00426,61.1456
K00428,14.4921
K00432,2.3671
K00433,47.9199
K00441,9.0821
K00446,26.9078
K00450,23.1455
K00451,130.58360000000002
K00453,87.2387
K00456,6.4547
K00457,118.48500000000001
K00459,53.84479999999999
K00469,3.2183
K00481,10.7372
K00496,1.8429
K00507,56.596000000000004
K00518,13.796
K00525,13.5683
K00526,16.537300000000002
K00537,13.299499999999998
K00540,146.67650000000003
K00544,8.5832
K00548,65.6845
K00549,371.6767999999999
K00554,61.80630000000001
K00560,8.17
K00564,4.9091
K00566,3.77
K00567,8.610800000000001
K00570,10.7065
K00573,67.2345
K00574,45.1131
K00588,44.573100000000004
K00595,6.4767
K00598,12.3828
K00600,176.71479999999997
K00602,117.22339999999998
K00606,72.6636
K00609,43.0864
K00612,10.3666
K00615,24.637400000000003
K00616,17.4157
K00619,3.3556
K00620,31.5013
K00626,139.83270000000002
K00635,170.91170000000005
K00640,6.5487
K00641,45.653400000000005
K00645,7.027
K00648,5.3353
K00655,73.47430000000001
K00661,2.7146
K00662,2.7281
K00663,7.065799999999999
K00673,2.6095
K00674,12.4455
K00677,20.997700000000002
K00684,9.8158
K00688,201.14750000000004
K00700,50.165800000000004
K00703,15.4374
K00720,5.5827
K00721,26.3732
K00748,6.1446000000000005
K00759,34.6436
K00760,81.2004
K00762,38.9161
K00763,30.4318
K00764,120.10699999999999
K00765,23.463499999999996
K00766,69.2609
K00767,3.636
K00768,51.477199999999996
K00773,5.0468
K00782,13.2936
K00783,9.1142
K00784,48.8027
K00788,12.5808
K00789,271.2568
K00790,43.0077
K00791,18.1985
K00793,60.9022
K00794,44.7858
K00796,22.7735
K00797,29.5006
K00798,55.6879
K00799,89.80550000000001
K00800,27.974800000000002
K00820,77.3053
K00826,20.4945
K00831,10.743300000000001
K00845,3.5801
K00851,2.5747
K00855,9.548
K00857,4.5043
K00858,81.77059999999999
K00859,48.819500000000005
K00864,11.3558
K00865,51.202299999999994
K00867,16.1962
K00873,105.40909999999998
K00874,2.2193
K00878,7.6035
K00886,11.6657
K00891,12.671199999999999
K00899,3.1737
K00912,9.0034
K00919,30.052300000000002
K00925,40.811699999999995
K00926,103.65990000000001
K00927,75.9086
K00930,13.668099999999999
K00931,4.3755
K00936,62.608200000000004
K00937,47.1623
K00939,22.6619
K00940,20.8113
K00942,23.5312
K00943,11.4144
K00945,46.72969999999999
K00946,15.323500000000001
K00948,153.17720000000003
K00950,34.9038
K00954,51.402699999999996
K00957,46.5088
K00958,57.606100000000005
K00962,11.878499999999999
K00963,17.6202
K00965,6.5411
K00969,23.756700000000002
K00971,17.038700000000002
K00973,19.212400000000002
K00975,13.3269
K00978,16.3358
K00981,49.0037
K00982,16.1568
K00986,936.0624999999999
K00989,25.560000000000002
K00990,43.503600000000006
K00995,3.607
K00997,39.7285
K01000,18.5356
K01005,198.31190000000004
K01006,19.0971
K01008,29.8833
K01011,10.5327
K01012,39.2093
K01039,46.7234
K01040,50.886399999999995
K01042,5.3711
K01046,14.6719
K01053,6.5467
K01054,4.2845
K01056,55.0072
K01057,17.3563
K01060,11.9156
K01061,98.78740000000002
K01066,19.5266
K01069,43.03
K01070,6.5816
K01077,4.6499
K01079,3.3968
K01091,4.7626
K01092,9.6062
K01104,15.574300000000001
K01113,75.88139999999997
K01114,7.2887
K01118,8.6935
K01126,22.180600000000002
K01129,38.4515
K01151,29.746199999999998
K01159,71.6289
K01174,28.9542
K01179,6.5281
K01181,9.817
K01183,3.9538
K01206,14.008
K01207,2.4978
K01209,10.2029
K01239,36.863
K01241,4.2174
K01246,91.7033
K01247,6.6135
K01251,373.33859999999993
K01258,6.4611
K01259,20.5313
K01265,89.4993
K01266,22.2168
K01273,31.3525
K01286,27.506700000000002
K01297,39.1611
K01299,15.363
K01304,2.166
K01356,52.564899999999994
K01358,301.5314
K01406,40.9786
K01409,56.21589999999999
K01419,16.4281
K01423,3.8113
K01424,11.974
K01425,4.2918
K01426,37.2476
K01430,15.487099999999998
K01433,13.356300000000001
K01443,21.4953
K01447,4.8154
K01448,29.022199999999998
K01455,48.9514
K01458,6.1745
K01462,86.0651
K01466,8.8651
K01470,49.980999999999995
K01476,10.2389
K01478,83.3487
K01480,5.7103
K01485,3.1145
K01488,6.6756
K01489,75.3666
K01493,2.8606
K01494,101.0275
K01495,60.9535
K01496,13.7811
K01497,149.68529999999998
K01501,8.6742
K01507,60.0151
K01512,12.6185
K01515,13.678799999999999
K01520,41.97709999999999
K01523,5.6674
K01524,38.597
K01546,28.954900000000002
K01548,21.3378
K01551,97.8753
K01555,6.4988
K01556,2.4571
K01560,34.8662
K01561,32.0159
K01569,5.718
K01574,4.9587
K01579,20.333599999999997
K01588,40.1815
K01589,8.9131
K01591,5.7361
K01595,52.1378
K01596,48.2076
K01599,11.066600000000001
K01607,195.39800000000002
K01609,3.2915
K01610,80.6913
K01613,7.750400000000001
K01619,88.7944
K01620,59.5872
K01621,252.668
K01623,48.8082
K01624,48.9521
K01626,147.85289999999998
K01627,3.6667
K01628,6.9591
K01633,10.4969
K01637,46.346900000000005
K01638,99.9786
K01640,29.4969
K01644,25.006499999999996
K01653,111.3973
K01658,7.1924
K01662,17.7257
K01666,14.3366
K01673,29.895899999999997
K01676,7.8215
K01678,5.9123
K01689,144.7871
K01692,21.2864
K01695,38.243
K01698,103.56510000000002
K01704,71.05850000000001
K01711,10.8229
K01712,8.15
K01719,47.004400000000004
K01720,13.0388
K01721,10.6884
K01724,69.0224
K01725,16.5228
K01733,30.2707
K01736,40.446200000000005
K01737,42.107899999999994
K01749,43.228199999999994
K01752,27.7879
K01754,35.874399999999994
K01755,64.70370000000001
K01759,28.675
K01768,41.492200000000004
K01772,33.5989
K01775,35.2143
K01776,74.46289999999999
K01778,43.504999999999995
K01779,8.6719
K01784,7.6353
K01785,48.6991
K01790,10.2993
K01796,22.3784
K01799,47.172700000000006
K01800,3.9932
K01803,96.22840000000001
K01804,16.9107
K01805,56.9799
K01807,26.604699999999998
K01809,8.4991
K01810,108.5936
K01816,20.480000000000004
K01817,2.6926
K01821,21.3513
K01822,3.8014
K01823,18.9031
K01834,27.935900000000004
K01839,57.674800000000005
K01845,21.618
K01846,3.2233
K01849,8.6225
K01854,11.6009
K01858,102.30779999999999
K01866,44.4579
K01867,94.1922
K01868,141.504
K01869,15.6914
K01872,135.2208
K01874,63.90220000000001
K01875,96.29099999999998
K01880,22.0533
K01881,76.89620000000001
K01884,3.0045
K01887,119.49159999999998
K01889,122.12749999999998
K01890,77.3859
K01912,66.229
K01915,627.4460000000001
K01918,38.7676
K01919,23.9855
K01920,18.5808
K01921,44.828700000000005
K01923,73.31880000000001
K01926,78.778
K01933,41.5504
K01934,42.44239999999999
K01937,281.92150000000004
K01939,138.1116
K01940,107.16770000000001
K01945,70.2801
K01951,231.2277
K01953,103.73130000000002
K01971,65.7974
K01972,194.23739999999992
K01975,17.3779
K01990,149.06159999999997
K01991,3.1663
K01992,56.58849999999999
K01996,25.81
K01997,141.94289999999998
K01999,21.9028
K02002,2.6275
K02003,6.3205
K02004,762.5851
K02006,3.2114
K02007,18.2215
K02008,9.014
K02015,63.68379999999999
K02016,20.437199999999997
K02018,9.3338
K02019,7.852399999999999
K02020,38.525099999999995
K02025,16.3045
K02028,18.5379
K02029,12.657699999999998
K02030,24.181800000000003
K02032,10.0592
K02033,63.364799999999995
K02034,100.4433
K02035,9.032
K02038,15.6549
K02039,74.21549999999999
K02040,98.37920000000001
K02042,8.523
K02044,23.1974
K02046,14.5009
K02047,13.6961
K02050,113.1597
K02051,24.059800000000003
K02066,138.21269999999996
K02067,15.3547
K02069,6.061
K02078,134.23200000000003
K02106,2.3359
K02108,16.019
K02109,46.8482
K02110,40.8711
K02111,11.0805
K02113,83.72269999999999
K02114,44.006699999999995
K02116,15.0144
K02160,29.452799999999996
K02167,3.2164
K02171,9.1905
K02189,4.2271
K02192,5.9048
K02194,39.1959
K02195,49.9038
K02196,5.9075
K02197,31.8575
K02199,50.068200000000004
K02200,28.940599999999996
K02204,1.0936
K02221,39.5698
K02224,12.4402
K02227,19.1627
K02228,3.424
K02231,3.6608
K02232,3.6355
K02233,29.728700000000003
K02237,28.015099999999997
K02238,91.34810000000002
K02242,18.5291
K02257,88.48859999999999
K02258,6.4817
K02259,43.9266
K02275,12.4033
K02276,30.794900000000002
K02277,21.647199999999998
K02279,15.614999999999998
K02281,2.9017
K02282,15.3689
K02283,17.8779
K02291,12.61
K02303,5.3621
K02304,9.436399999999999
K02313,131.73399999999998
K02314,180.59800000000004
K02316,124.74100000000001
K02338,86.69600000000001
K02339,3.2643
K02340,5.2773
K02342,40.128499999999995
K02343,42.6475
K02346,6.8319
K02347,18.6697
K02348,7.930999999999999
K02351,19.505
K02356,62.366299999999995
K02357,49.865899999999996
K02358,69.71000000000001
K02362,1.983
K02372,40.0645
K02377,15.825500000000002
K02379,27.161700000000003
K02380,9.009
K02388,3.4244
K02389,3.979
K02394,8.8486
K02398,4.5425
K02405,38.183899999999994
K02406,6.5443
K02407,3.3842
K02410,19.3437
K02413,2.3716
K02415,2.9781
K02421,3.3444
K02427,2.652
K02428,17.1083
K02429,4.5506
K02431,2.6598
K02435,38.70740000000001
K02437,72.79769999999999
K02440,12.9148
K02448,3.256
K02456,5.4121
K02483,60.1402
K02488,5.0114
K02492,69.6777
K02503,45.7371
K02510,49.576699999999995
K02518,114.2857
K02519,36.4293
K02520,95.8168
K02527,25.4845
K02533,1.9934
K02536,1.4014
K02548,7.7934
K02553,10.6644
K02564,3.6426
K02566,16.4902
K02600,210.44869999999997
K02601,101.9997
K02609,57.09120000000001
K02610,28.8848
K02611,9.4556
K02612,18.4026
K02614,20.9303
K02616,31.2064
K02624,12.9429
K02626,4.1397
K02650,5.2662
K02651,23.0521
K02654,3.46
K02657,8.8102
K02662,6.4384999999999994
K02665,4.4425
