KEGG,kegg_sum
K00003,4.1355
K00012,18.404600000000002
K00031,21.6779
K00033,42.0387
K00036,11.627500000000001
K00038,14.6958
K00053,47.6583
K00059,10.6556
K00060,12.349
K00067,8.1675
K00075,24.7078
K00077,60.96079999999999
K00088,13.8071
K00099,20.3724
K00111,28.8186
K00116,3.6227
K00122,22.3904
K00124,35.1824
K00126,4.0365
K00127,6.9635
K00134,5.2393
K00145,11.3239
K00163,188.44699999999995
K00166,5.3008
K00174,3.4909
K00175,21.6683
K00208,12.4221
K00215,10.073
K00227,2.819
K00228,8.8288
K00231,2.7351
K00240,61.8615
K00241,10.0713
K00242,11.1934
K00245,3.6038
K00246,2.6008
K00254,7.1952
K00275,13.0173
K00282,3.4061
K00286,17.906
K00287,6.8992
K00297,8.4037
K00305,3.1802
K00311,13.6265
K00316,3.7748
K00320,2.3034
K00330,45.407900000000005
K00331,23.678600000000003
K00332,24.2107
K00338,49.91799999999999
K00339,5.7357
K00340,30.305
K00344,34.465
K00384,3.5129
K00389,3.335
K00390,8.2728
K00411,14.457
K00412,7.3261
K00413,7.5572
K00424,5.9602
K00425,107.32139999999998
K00426,63.9389
K00428,5.8375
K00432,5.7745999999999995
K00433,8.2959
K00448,2.2946
K00450,4.7373
K00451,43.309900000000006
K00453,18.31
K00456,6.1081
K00457,50.840599999999995
K00459,87.15659999999998
K00481,2.4343
K00507,42.6107
K00518,3.1208
K00525,41.01049999999999
K00526,7.0455
K00544,9.496500000000001
K00548,40.56420000000001
K00549,150.2196
K00554,12.346
K00560,30.2096
K00566,4.5604
K00567,3.2207
K00571,4.3734
K00573,42.7759
K00574,21.7633
K00588,3.7268
K00598,2.6733
K00600,94.4486
K00602,43.2697
K00606,58.4362
K00609,10.9985
K00611,3.1561
K00613,6.6403
K00615,8.7805
K00619,3.2282
K00620,5.987500000000001
K00626,50.5783
K00635,21.4058
K00640,20.273
K00641,64.31840000000001
K00645,6.6399
K00648,6.3879
K00655,8.3947
K00657,8.4153
K00674,30.3056
K00677,14.1894
K00684,11.2957
K00688,80.32100000000001
K00694,3.7887
K00700,22.4557
K00703,20.918699999999998
K00720,11.2186
K00748,5.819100000000001
K00759,22.6439
K00760,14.8402
K00762,10.9433
K00764,35.8916
K00765,3.6855
K00766,22.089100000000002
K00769,2.6513
K00773,3.0239
K00783,4.619
K00788,10.8157
K00789,86.18890000000002
K00790,23.087400000000002
K00791,7.505599999999999
K00793,17.107499999999998
K00794,7.722799999999999
K00796,2.5773
K00797,2.0044
K00798,18.735
K00799,122.73860000000002
K00800,27.9827
K00805,5.0089
K00808,13.900300000000001
K00809,6.1912
K00820,49.57
K00824,4.9229
K00831,15.2494
K00855,3.8129
K00857,4.1783
K00858,38.6036
K00859,10.9341
K00865,4.7535
K00867,13.1308
K00873,31.361500000000007
K00883,3.1205
K00891,2.77
K00912,11.347100000000001
K00919,3.1673
K00925,19.564100000000003
K00926,8.7682
K00927,32.4262
K00930,17.5084
K00936,7.8697
K00937,16.2378
K00940,10.7085
K00942,3.5919
K00945,14.531500000000001
K00948,77.8566
K00950,8.378
K00954,32.8699
K00957,22.386899999999997
K00958,3.7265
K00962,19.8754
K00963,14.9588
K00969,10.3994
K00971,12.1954
K00975,22.2469
K00979,8.8216
K00981,15.1611
K00982,6.3601
K00986,1332.6871000000006
K00989,19.4126
K00990,13.891399999999997
K00997,6.1589
K01000,6.9801
K01004,2.4988
K01005,18.9678
K01006,23.0141
K01007,4.8031
K01008,15.094700000000003
K01012,18.7232
K01023,2.4819
K01040,7.8775
K01042,11.6665
K01053,11.292300000000001
K01056,24.0319
K01057,1.3528
K01061,136.58059999999998
K01066,4.3317
K01069,7.8282
K01077,3.0991
K01082,3.2419
K01091,7.5144
K01092,9.5456
K01095,9.1042
K01113,16.418799999999997
K01114,8.6394
K01118,35.6127
K01129,43.1323
K01142,4.4484
K01151,2.2598
K01153,3.366
K01154,5.7531
K01159,10.115499999999999
K01178,5.4936
K01181,2.8479
K01192,4.3495
K01206,6.2821
K01209,1.5367
K01224,2.3878
K01236,4.3123
K01239,30.264
K01241,5.3737
K01246,44.8929
K01247,13.2562
K01251,183.06410000000002
K01259,13.8825
K01262,5.1378
K01265,39.90899999999999
K01266,26.4696
K01273,40.806599999999996
K01283,18.2695
K01295,2.7074
K01297,13.9219
K01299,6.9061
K01302,3.4906
K01304,3.167
K01356,13.6007
K01358,95.64449999999998
K01372,2.1991
K01409,29.7027
K01419,29.762800000000002
K01424,3.746
K01425,6.744
K01426,16.2492
K01429,12.7683
K01430,5.0486
K01431,8.2226
K01432,2.3051
K01433,8.8485
K01443,15.1649
K01447,5.548500000000001
K01448,33.2596
K01455,11.8069
K01458,2.7313
K01459,2.8356
K01462,30.7389
K01463,3.525
K01470,15.4312
K01476,5.8824
K01477,2.9199
K01478,3.8162
K01482,4.3905
K01483,3.2518
K01485,5.3062
K01489,8.0402
K01493,11.3328
K01494,22.7937
K01495,28.1991
K01496,1.9112
K01497,15.716000000000001
K01507,16.0412
K01512,3.4188
K01515,15.750699999999998
K01520,14.0351
K01525,6.4994
K01529,3.1291
K01545,6.1518
K01546,67.55469999999998
K01547,3.3399
K01548,14.735999999999999
K01551,14.1774
K01554,3.1482
K01555,11.476500000000001
K01556,6.137
K01560,15.2939
K01561,5.8083
K01569,27.3375
K01574,5.2757
K01575,1.8329
K01576,4.228
K01579,4.8799
K01588,24.193099999999998
K01591,3.4476
K01595,49.923300000000005
K01596,14.9773
K01599,3.18
K01607,55.11909999999999
K01610,28.318699999999996
K01613,22.353099999999998
K01620,16.2821
K01621,53.3151
K01623,23.0909
K01624,13.120899999999999
K01626,22.6753
K01627,2.3885
K01635,7.2667
K01637,42.7549
K01638,46.565400000000004
K01640,5.3878
K01644,3.0166
K01653,22.7295
K01658,8.5744
K01662,10.3521
K01673,4.1856
K01686,8.2896
K01689,50.6913
K01692,5.3616
K01695,21.647100000000002
K01698,29.3253
K01704,19.288800000000002
K01711,13.1286
K01712,14.6296
K01715,5.3616
K01716,2.4569
K01719,28.358400000000003
K01720,8.4981
K01724,15.8165
K01725,24.1543
K01733,23.858699999999995
K01735,3.7577
K01736,30.4723
K01737,22.599300000000003
K01749,12.9204
K01750,4.9685
K01752,21.691999999999997
K01754,10.1449
K01755,15.4194
K01756,4.8052
K01759,15.056999999999999
K01772,17.123800000000003
K01775,37.4563
K01776,2.8356
K01778,5.7532
K01779,3.2203
K01783,3.6947
K01785,14.4012
K01790,3.3191
K01799,2.8852
K01800,7.9969
K01802,3.5048
K01803,27.2032
K01804,1.4625
K01805,10.6622
K01807,5.5845
K01808,3.9016
K01809,2.2818
K01810,57.156099999999995
K01816,7.2546
K01821,17.428700000000003
K01823,13.2711
K01826,2.5386
K01834,9.2543
K01839,8.6739
K01849,3.7687
K01858,27.2213
K01866,13.544099999999998
K01867,71.2279
K01868,58.431000000000004
K01872,84.63220000000001
K01874,29.376600000000003
K01875,30.439899999999998
K01876,9.932500000000001
K01881,18.7498
K01883,9.6459
K01887,27.481800000000003
K01889,44.540200000000006
K01890,8.5854
K01902,8.2055
K01912,13.4095
K01915,257.50429999999994
K01918,7.412
K01919,4.181
K01920,12.681999999999999
K01921,23.2378
K01923,16.0898
K01925,3.3147
K01926,6.1272
K01933,23.2359
K01934,19.8851
K01935,9.2034
K01937,130.37400000000002
K01939,57.99529999999999
K01940,51.65599999999999
K01945,21.635900000000003
K01951,72.2483
K01953,82.67729999999999
K01972,69.00810000000001
K01975,16.0589
K01990,6.7463999999999995
K01991,31.844299999999997
K01992,20.7497
K01996,3.3369
K01997,55.81379999999999
K01999,14.9434
K02003,6.3498
K02004,253.9824
K02015,23.7009
K02016,4.9797
K02018,3.4448
K02019,8.5788
K02020,17.4168
K02025,3.6612
K02028,7.4297
K02029,7.4416
K02030,2.9508
K02031,3.7863
K02033,15.6115
K02034,40.4942
K02036,7.899900000000001
K02038,2.9057
K02039,25.8481
K02040,40.2863
K02044,4.46
K02049,5.7698
K02050,11.1558
K02051,13.302
K02065,3.9126
K02066,104.04809999999998
K02067,17.9162
K02069,3.452
K02078,53.062000000000005
K02108,10.126299999999999
K02109,22.314899999999998
K02110,10.990200000000002
K02113,13.3859
K02114,14.2208
K02115,5.0877
K02116,2.2569
K02160,21.4857
K02167,7.2767
K02171,26.1107
K02172,2.5483
K02188,3.2562
K02193,3.4207
K02194,14.925099999999999
K02195,22.8129
K02197,4.7797
K02198,5.8729
K02199,27.626399999999997
K02200,2.6897
K02204,20.1312
K02221,12.288599999999999
K02224,3.6981
K02227,7.6213
K02231,2.1197
K02233,2.1121
K02238,36.1866
K02257,22.330700000000004
K02258,8.4633
K02259,9.7307
K02275,4.2243
K02276,8.2496
K02277,21.0981
K02279,21.9143
K02280,7.843399999999999
K02282,4.1013
K02283,3.3696
K02300,3.9145
K02304,2.7506
K02313,62.63669999999999
K02314,45.569900000000004
K02316,93.2711
K02335,6.4555
K02338,69.8866
K02340,4.6543
K02342,8.4142
K02343,15.4014
K02351,2.9765
K02356,23.7137
K02357,32.973
K02358,144.1496
K02372,32.199
K02379,22.168300000000002
K02380,7.4084
K02389,9.1786
K02393,8.7134
K02394,19.137900000000002
K02395,4.2264
K02405,4.8513
K02408,4.914899999999999
K02410,14.7222
K02416,17.2733
K02418,2.0988
K02419,8.5011
K02422,1.415
K02426,2.1975
K02428,2.7962
K02429,1.3839
K02435,15.7238
K02437,7.7127
K02440,3.8783
K02448,4.0959
K02451,1.5391
K02452,4.1689
K02456,11.415500000000002
K02460,2.7485
K02462,3.2006
K02463,3.2006
K02477,6.0748
K02483,13.336399999999998
K02492,16.0646
K02494,5.5601
K02495,7.8088999999999995
K02498,2.7719
K02500,10.754999999999999
K02503,7.1388
K02510,62.369400000000006
K02517,4.4811
K02518,34.0955
K02519,3.7055
K02520,72.637
K02527,18.2275
K02536,15.570699999999999
K02556,4.027200000000001
K02563,6.0252
K02564,3.3183
K02575,4.4028
K02600,67.15759999999999
K02601,55.0722
K02609,53.4696
K02610,4.5575
K02611,7.8847000000000005
K02612,3.833
K02614,2.7033
K02616,9.0291
K02624,6.1684
K02626,24.189999999999998
K02636,3.6103
K02638,10.983699999999999
K02650,12.6691
K02651,44.19890000000001
K02656,7.1693
K02657,3.6548
K02658,6.4258
K02659,4.3582
K02662,33.21210000000001
K02663,7.9947
K02664,14.3208
K02665,11.3113
K02670,6.7663
K02673,6.2091
K02674,2.8137
K02687,11.5581
K02784,3.8
K02793,2.3702
K02800,3.3045
K02825,30.858399999999996
K02834,14.5035
K02838,50.355399999999996
K02860,5.3503
K02863,20.0285
K02864,40.962900000000005
K02867,33.1649
K02871,31.9949
K02874,52.647999999999996
K02876,23.8379
K02878,40.315599999999996
K02879,19.2716
K02881,18.2844
K02884,34.9662
K02886,39.3499
K02887,33.7915
K02888,16.923199999999998
K02890,23.7866
K02892,7.7409
K02895,16.4526
K02897,34.7773
K02899,20.364
K02902,15.6937
K02904,24.3866
K02906,25.4671
K02907,20.404700000000002
K02909,22.597399999999997
K02911,4.1424
K02913,3.469
K02914,7.3692
K02916,22.8382
K02919,22.3348
K02926,38.5411
K02931,32.6875
K02933,28.766299999999998
K02935,43.541599999999995
K02939,28.2901
K02945,107.09719999999999
K02946,83.2937
K02948,59.5233
K02950,56.250299999999996
K02952,52.77680000000001
K02954,42.3908
K02956,34.310900000000004
K02959,19.3208
K02961,24.630000000000003
K02963,10.6434
K02965,34.763000000000005
K02967,19.6773
K02968,21.8029
K02970,29.6226
K02982,53.0365
K02986,78.3325
K02988,18.2129
K02990,36.041599999999995
K02992,55.4381
K02994,39.7473
K02996,22.340000000000003
K03040,159.3083
K03060,21.6948
K03070,80.16250000000001
K03071,2.4306
K03073,9.4176
K03075,21.2599
K03076,32.1836
K03088,512.0243
K03089,21.0542
K03092,62.59329999999999
K03100,34.4611
K03101,7.1775
K03106,5.3149
K03111,31.698300000000003
K03116,21.4587
K03117,4.4609000000000005
K03118,26.476399999999998
K03147,128.9631
K03149,16.939400000000003
K03151,3.0829
K03154,4.9672
K03177,3.837
K03179,3.6137
K03186,7.724
K03187,6.8195
K03189,25.7355
K03190,6.7051
K03198,3.0284
K03210,27.085900000000002
K03216,12.529399999999999
K03217,32.8188
K03269,9.0992
K03271,2.1703
K03273,3.3745
K03282,24.151300000000003
K03284,3.1978
K03286,18.913500000000003
K03301,20.2244
K03303,71.0447
K03313,13.8486
K03320,37.5858
K03324,4.9098
K03325,6.8062
K03327,3.698
K03335,5.3975
K03337,6.0789
K03365,2.3071
K03394,3.9709
K03396,10.4424
K03402,11.7052
K03405,4.625
K03406,30.9135
K03409,8.8247
K03412,2.3664
K03413,10.8834
K03424,7.343599999999999
K03426,8.445699999999999
K03427,3.5683
K03430,4.281
K03438,38.688900000000004
K03439,5.5532
K03455,20.5976
K03457,6.5619
K03464,3.5504
K03465,16.108
K03466,125.26020000000001
K03469,16.636
K03470,8.2725
K03474,3.922
K03478,3.7573999999999996
K03495,15.825299999999999
K03496,36.987
K03497,38.2839
K03498,11.6015
K03499,5.4902
K03501,12.523299999999999
K03517,20.7057
K03518,15.0564
K03519,6.772600000000001
K03521,58.033
K03522,21.495099999999997
K03525,29.859299999999998
K03526,57.7896
K03527,61.212599999999995
K03528,6.3819
K03530,24.061999999999998
K03531,62.482
K03534,9.651599999999998
K03536,15.2008
K03544,257.37469999999996
K03545,42.5734
K03549,36.4021
K03550,27.060699999999997
K03551,21.9347
K03552,3.9981
K03553,111.6422
K03556,71.67110000000001
K03557,9.8981
K03558,15.5389
K03559,76.69529999999999
K03560,5.0791
K03561,23.2465
K03563,4.8752
K03564,12.350200000000001
K03565,6.013
K03566,3.6582
K03569,169.1095
K03570,18.381999999999998
K03571,9.1431
K03574,12.720300000000002
K03575,12.623400000000002
K03581,8.465
K03584,31.8346
K03586,10.788499999999999
K03589,6.4897
K03590,49.165
K03593,53.95399999999999
K03594,21.9786
K03595,15.540700000000001
K03598,5.0482
K03599,4.0091
K03600,10.3585
K03601,39.9037
K03602,8.0868
K03607,8.004
K03608,3.3903
K03610,6.39
K03611,5.1696
K03616,4.6118
K03621,26.670799999999996
K03624,8.1831
K03625,12.3455
K03628,178.68939999999998
K03629,11.9962
K03630,24.846
K03631,4.7063
K03634,2.1253
K03635,15.505299999999998
K03636,27.761899999999997
K03637,30.8235
K03638,4.3039
K03639,33.2923
K03641,17.684900000000003
K03642,12.535
K03643,5.2209
K03644,26.171
K03648,9.1804
K03650,21.090200000000003
K03651,10.6304
K03652,11.3458
K03653,2.1779
K03664,34.664500000000004
K03665,40.3572
K03666,14.793
K03667,17.6194
K03669,4.2511
K03670,4.0617
K03671,42.5754
K03672,8.6848
K03673,12.115
K03676,2.453
K03683,3.2056
K03684,4.5
K03685,2.8403
K03687,39.28000000000001
K03698,7.6557
K03699,2.8216
K03701,7.7355
K03702,12.7198
K03703,8.051499999999999
K03704,98.93330000000002
K03705,41.9933
K03709,8.6704
K03711,6.1123
K03718,4.8908
K03719,24.715400000000002
K03724,3.9448
K03732,6.0092
K03734,7.3802
K03741,3.9908
K03744,39.87179999999999
K03747,5.1287
K03750,7.145
K03770,3.817
K03772,4.685
K03781,132.0942
K03782,17.368
K03783,11.853200000000001
K03786,5.2858
K03787,5.5534
K03789,12.4925
K03790,12.6476
K03797,53.72469999999999
K03799,19.2807
K03805,3.3878
K03808,3.7672
K03809,19.7359
K03811,3.1616
K03814,22.0899
K03820,11.174100000000001
K03821,54.168299999999995
K03824,2.4915
K03828,6.9038
K03829,2.5973
K03832,78.7938
K03841,2.3743
K03855,4.2646
K03885,36.3223
K03886,3.7983
K03889,3.1283
K03892,2.891
K03924,49.8872
K03925,38.0395
K03926,8.4082
K03930,3.2555
K03932,9.6037
K03937,2.5498
K03969,2.9015
K03973,8.9251
K03975,40.4016
K03976,4.4053
K03978,1.9817
K03979,21.310299999999998
K03980,3.9092
K03981,4.436
K04027,4.2082
K04028,2.9021
K04042,3.5529
K04047,24.8087
K04063,70.4621
K04065,10.8851
K04066,30.1834
K04069,5.993499999999999
K04070,3.5785
K04074,3.2798
K04075,7.0634999999999994
K04077,661.4487
K04078,116.97699999999999
K04079,19.2233
K04083,2.4334
K04085,8.857000000000001
K04088,19.488300000000002
K04095,2.4845
K04096,23.1935
K04102,2.3174
K04343,3.3931
K04485,22.1695
K04487,3.3541
K04488,3.234
K04518,6.0726
K04561,6.3395
K04564,47.359899999999996
K04565,7.8368
K04566,6.7
K04653,15.0978
K04654,2.6674
K04656,16.578699999999998
K04712,5.5243
K04744,13.9032
K04749,41.0959
K04750,20.467299999999998
K04751,50.1506
K04752,12.1406
K04754,4.3946000000000005
K04755,3.4226
K04756,5.9985
K04757,17.39
K04758,6.5123
K04759,21.0719
K04760,4.1908
K04762,9.4361
K04763,82.8167
K04764,13.8192
K04773,11.4077
K04775,2.098
K05281,5.1392
K05337,9.1432
K05501,2.6956
K05524,39.1634
K05527,5.1437
K05539,2.474
K05555,23.914
K05558,2.9048
K05589,3.9334
K05594,13.746500000000001
K05595,27.917599999999997
K05606,10.0712
K05710,13.876999999999999
K05773,1.8366
K05786,4.4529
K05788,17.9471
K05794,3.399
K05799,7.946200000000001
K05801,4.9797
K05807,9.0962
K05808,3.2082
K05810,24.924799999999998
K05817,19.9842
K05820,9.9114
K05826,5.872400000000001
K05845,3.9800000000000004
K05846,25.7605
K05881,4.606
K05895,1.4517
K05896,25.815
K05913,16.9359
K05937,8.7776
K05972,2.1
K05973,11.456199999999999
K05995,3.0674
K06006,2.9602
K06013,3.1299
K06015,12.758600000000001
K06023,1.4085
K06024,17.9624
K06041,35.3179
K06048,27.216800000000003
K06076,3.0095
K06077,9.3262
K06118,5.0088
K06132,2.4106
K06136,11.278
K06137,21.4454
K06138,6.3305
K06142,28.7225
K06152,11.6494
K06153,34.217299999999994
K06162,4.5379
K06167,2.3303
K06186,4.0557
K06187,10.5618
K06190,8.1806
K06195,6.4994
K06196,3.2423
K06199,4.1479
K06200,6.2278
K06201,1.8084
K06203,2.7788
K06204,31.8665
K06207,2.6114
K06208,3.0421
K06213,25.4646
K06215,33.7045
K06217,29.3291
K06218,11.4224
K06219,5.4251
K06287,21.4829
K06346,4.0044
K06381,6.7787999999999995
K06384,9.445699999999999
K06400,166.4769
