KEGG,kegg_sum
K00003,8.7676
K00010,5.2778
K00012,31.792500000000004
K00014,20.8399
K00021,4.636
K00024,8.0851
K00029,2.6556
K00031,101.8005
K00033,203.73670000000004
K00036,59.078700000000005
K00039,10.8456
K00052,3.9106
K00053,126.26380000000003
K00057,3.0962
K00058,29.6289
K00059,87.253
K00060,11.5966
K00067,38.0542
K00075,76.4641
K00076,5.8735
K00077,167.61209999999994
K00088,41.6474
K00091,6.1851
K00099,61.8592
K00102,4.3199
K00108,9.6373
K00111,97.61769999999999
K00113,10.0979
K00116,27.798099999999998
K00122,30.7741
K00124,80.7675
K00126,11.5364
K00127,30.5343
K00133,26.1366
K00134,27.9695
K00140,10.861
K00145,46.61899999999999
K00161,30.8161
K00162,4.714
K00163,451.35179999999986
K00166,5.7718
K00167,4.714
K00172,6.873799999999999
K00174,27.228299999999997
K00175,44.0309
K00176,2.9328
K00180,3.3246
K00202,4.6918
K00208,37.8733
K00209,6.6083
K00215,67.1919
K00217,3.4582
K00228,57.14869999999999
K00230,10.9803
K00231,2.3404
K00232,7.299300000000001
K00240,172.04339999999996
K00241,78.03940000000001
K00242,12.0504
K00246,4.5551
K00249,99.10719999999999
K00252,9.0798
K00254,36.89880000000001
K00259,26.5044
K00262,16.533
K00266,3.5976
K00273,12.5549
K00275,87.3561
K00278,4.7341
K00283,9.2754
K00285,2.9344
K00286,70.8416
K00287,14.450600000000001
K00297,41.8493
K00299,3.8873
K00303,4.2953
K00311,64.67830000000001
K00320,12.7212
K00324,14.5609
K00325,9.1396
K00330,120.18429999999998
K00331,22.5352
K00332,14.3354
K00334,47.4131
K00337,2.8856
K00338,91.0573
K00339,45.6803
K00340,96.84400000000001
K00343,16.7552
K00344,60.58540000000001
K00355,3.0658
K00363,15.9391
K00365,6.0777
K00375,30.443099999999998
K00384,34.994
K00389,41.0482
K00390,56.8835
K00406,4.2422
K00407,4.2422
K00411,32.2948
K00412,27.317800000000005
K00413,31.389100000000003
K00424,9.3758
K00425,315.392
K00426,255.48209999999997
K00428,79.873
K00432,88.912
K00433,123.1752
K00435,5.822
K00446,24.5833
K00448,11.565
K00449,17.6088
K00450,73.4105
K00451,172.36889999999997
K00452,25.4266
K00453,77.56800000000001
K00456,3.6061
K00457,158.98219999999998
K00459,186.00010000000006
K00468,9.5284
K00469,7.6851
K00472,6.0828
K00479,6.2308
K00485,8.8624
K00491,6.8316
K00496,15.9568
K00499,6.2308
K00500,12.493400000000001
K00507,196.58030000000002
K00518,29.979799999999997
K00525,136.1869
K00526,31.403200000000002
K00528,24.125700000000002
K00529,7.4418
K00537,1.9253
K00540,80.13329999999999
K00544,8.3507
K00548,204.5122
K00549,635.0819000000002
K00554,80.8798
K00558,2.497
K00560,98.15059999999998
K00566,8.1928
K00567,58.1759
K00568,9.1111
K00570,20.6309
K00571,43.2367
K00573,130.6218
K00574,138.76869999999997
K00588,47.5381
K00598,21.7403
K00600,257.3085
K00602,169.24020000000002
K00605,5.0241
K00606,129.5855
K00609,98.9485
K00611,7.5448
K00612,3.1899
K00613,17.837
K00615,44.87409999999999
K00616,47.9492
K00619,4.3213
K00620,46.4477
K00626,250.7114
K00632,10.0366
K00635,205.96270000000004
K00639,5.4568
K00640,79.5568
K00641,242.59009999999995
K00643,9.3453
K00645,4.8385
K00648,35.0261
K00652,7.2732
K00655,135.90040000000002
K00657,48.468300000000006
K00658,13.6388
K00661,8.8149
K00662,2.9785
K00663,7.030900000000001
K00673,4.3672
K00674,47.19369999999999
K00675,9.4749
K00677,78.6664
K00682,15.343100000000002
K00683,16.0933
K00684,47.6411
K00688,340.04859999999985
K00694,7.0251
K00700,88.19510000000002
K00703,95.26330000000002
K00705,5.4411000000000005
K00720,49.1257
K00721,18.0555
K00728,7.3498
K00748,42.642199999999995
K00754,6.9488
K00759,92.28650000000002
K00760,68.6051
K00761,12.196200000000001
K00762,69.93140000000001
K00763,30.5718
K00764,148.54410000000001
K00765,56.8002
K00766,128.4758
K00767,21.7671
K00768,18.704700000000003
K00769,5.9155
K00773,57.278999999999996
K00782,9.091700000000001
K00783,41.7051
K00784,48.8648
K00788,17.735599999999998
K00789,374.3434000000001
K00790,175.75250000000005
K00791,13.808
K00793,99.4318
K00794,72.6821
K00796,41.425599999999996
K00797,65.5503
K00798,84.7124
K00799,506.4399
K00800,69.36200000000001
K00801,3.0162
K00803,6.7673
K00808,33.9511
K00809,16.2997
K00817,28.233999999999995
K00820,169.3627
K00824,4.367
K00826,37.758700000000005
K00827,4.6274
K00830,4.7275
K00831,66.60260000000001
K00833,7.2795
K00845,20.139699999999998
K00851,48.345099999999995
K00852,3.9318
K00855,16.5324
K00857,48.4332
K00858,113.2013
K00859,71.64040000000001
K00865,55.158699999999996
K00867,51.5516
K00868,3.9836
K00872,8.7478
K00873,289.96759999999995
K00876,2.9982
K00878,3.812
K00883,7.3378
K00886,26.351100000000002
K00891,40.6148
K00906,4.4204
K00912,55.8013
K00919,58.80329999999999
K00925,84.1017
K00926,8.0185
K00927,160.4101
K00930,47.6618
K00931,14.880699999999997
K00936,106.69719999999998
K00937,63.208
K00939,43.068299999999994
K00940,43.09530000000001
K00941,4.0196
K00942,54.2321
K00943,72.6317
K00945,108.02510000000002
K00946,41.68169999999999
K00948,307.4904
K00950,51.9982
K00954,124.61690000000002
K00957,98.36870000000002
K00958,16.8833
K00962,84.935
K00963,59.58609999999999
K00965,7.0718
K00969,23.9411
K00971,112.1271
K00973,46.04580000000001
