KEGG,kegg_sum
K00003,41.293099999999995
K00012,48.6635
K00014,68.42360000000001
K00015,36.294500000000006
K00019,15.1433
K00020,38.428999999999995
K00022,8.6418
K00024,61.5243
K00029,28.267100000000003
K00030,18.0948
K00031,108.47040000000001
K00033,268.4721
K00034,8.1278
K00036,90.0463
K00052,29.0587
K00053,129.29260000000002
K00057,34.6557
K00058,84.7676
K00059,165.4595
K00060,26.1772
K00067,65.0929
K00074,24.9133
K00075,143.0152
K00077,318.38919999999996
K00088,85.8683
K00091,65.8397
K00099,145.13439999999997
K00101,7.6222
K00108,11.0018
K00111,144.09900000000002
K00113,5.5281
K00116,55.1949
K00122,12.5358
K00124,169.39839999999998
K00126,4.1383
K00127,154.9235
K00128,8.2456
K00133,62.1229
K00134,33.5983
K00135,12.7351
K00140,17.8389
K00145,119.30279999999999
K00147,9.0
K00156,23.777700000000003
K00162,11.2571
K00163,660.3809999999999
K00174,74.34219999999999
K00175,107.0858
K00180,2.7639
K00200,3.5703
K00208,69.13680000000001
K00209,13.0596
K00215,51.656800000000004
K00228,37.4056
K00231,75.64269999999999
K00240,183.3793
K00241,134.4057
K00242,19.9574
K00248,21.752000000000002
K00249,108.033
K00252,30.0966
K00254,39.0957
K00259,9.9072
K00261,9.4744
K00266,7.7196
K00273,12.1864
K00275,48.008100000000006
K00282,26.470399999999998
K00283,38.1944
K00286,99.6078
K00287,19.9942
K00297,62.941300000000005
K00299,8.368400000000001
K00311,75.88419999999999
K00316,45.436
K00320,4.669
K00322,37.778
K00324,9.5062
K00330,183.71729999999994
K00331,124.79050000000001
K00332,60.809999999999995
K00333,21.1606
K00334,80.9537
K00337,17.7683
K00338,143.9694
K00339,94.6394
K00340,205.40300000000002
K00341,14.8002
K00342,13.8847
K00343,50.5269
K00344,144.83380000000002
K00355,7.7178
K00363,5.1602
K00365,34.6687
K00368,9.3205
K00375,24.3381
K00384,24.4281
K00389,136.1126
K00390,64.4417
K00406,46.7707
K00411,41.50940000000001
K00412,38.7542
K00413,55.81400000000001
K00424,5.292
K00425,313.2260000000001
K00426,182.867
K00428,128.2156
K00432,229.5139
K00433,258.6011
K00435,28.026200000000003
K00448,53.233700000000006
K00449,103.4234
K00450,22.3125
K00451,111.15930000000002
K00452,112.7079
K00453,160.1423
K00456,83.7875
K00457,132.09369999999998
K00459,252.109
K00463,7.8918
K00469,26.775499999999997
K00477,9.6756
K00481,73.5882
K00486,43.128699999999995
K00496,14.0699
K00499,42.79410000000001
K00507,320.63140000000004
K00508,12.4404
K00523,6.2239
K00525,187.1561
K00528,9.4919
K00529,7.1339
K00537,26.1211
K00540,69.91879999999999
K00544,37.5063
K00548,276.9127
K00549,578.6762000000002
K00554,132.78140000000002
K00558,2.5772
K00560,65.0695
K00563,5.1794
K00564,5.3956
K00566,20.3158
K00567,79.39670000000001
K00570,10.456499999999998
K00573,210.87319999999994
K00574,75.8486
K00575,84.6674
K00588,87.27189999999999
K00598,32.6102
K00600,438.0839
K00602,360.52220000000005
K00603,8.7778
K00604,33.139700000000005
K00605,37.9236
K00606,147.083
K00609,107.82629999999999
K00611,48.8598
K00612,73.4151
K00615,132.7076
K00616,66.07130000000001
K00619,43.1609
K00620,86.75999999999999
K00626,520.5549
K00632,26.5679
K00635,70.29329999999999
K00639,10.9319
K00640,81.40800000000002
K00641,279.43120000000005
K00645,14.673399999999999
K00648,69.9724
K00652,10.9319
K00655,242.3771
K00657,38.812900000000006
K00658,13.7298
K00661,4.06
K00674,63.745999999999995
K00677,145.53060000000002
K00682,14.8568
K00683,104.94540000000002
K00684,13.773200000000001
K00688,625.6650999999999
K00700,218.8762
K00703,228.9868
K00705,77.04839999999999
K00720,225.86839999999998
K00721,21.3853
K00729,27.0808
K00748,99.3479
K00754,22.791800000000002
K00756,29.1259
K00758,20.0896
K00759,121.6467
K00760,169.7568
K00762,114.843
K00763,139.1325
K00764,277.94609999999994
K00765,87.2798
K00766,188.3285
K00767,14.7726
K00768,29.3562
K00769,9.1989
K00772,21.3565
K00773,101.9462
K00782,5.3024
K00783,135.54799999999997
K00784,72.8874
K00788,90.5537
K00789,541.267
K00790,264.8045000000001
K00791,61.7552
K00793,164.5949
K00794,149.0471
K00795,10.63
K00796,43.577400000000004
K00797,71.54220000000001
K00798,118.24729999999997
K00799,364.95220000000006
K00800,145.91989999999998
K00801,4.6289
K00803,18.625
K00806,33.6071
K00808,23.113599999999998
K00809,65.40780000000001
K00812,20.4394
K00817,70.6191
K00819,4.0468
K00820,468.33600000000007
K00823,34.2062
K00826,53.175
K00831,76.2696
K00845,33.1413
K00847,8.0687
K00848,8.3476
K00849,10.6295
K00851,68.1117
K00852,32.584300000000006
K00853,8.2611
K00856,12.2467
K00857,106.02959999999999
K00858,214.8377
K00859,177.37869999999998
K00864,37.7582
K00865,4.3525
K00867,23.2023
K00868,4.276
K00872,17.9131
K00873,318.11769999999996
K00874,9.8242
K00876,33.9848
K00883,12.655999999999999
K00886,84.9916
K00891,69.4151
K00903,24.7823
K00906,10.0803
K00912,124.25180000000002
K00919,177.58450000000002
K00925,145.6608
K00926,2.527
K00927,288.9733999999999
K00930,48.1407
K00936,27.1042
K00937,152.27549999999997
K00939,84.42530000000001
K00940,136.53140000000002
K00941,37.317099999999996
K00942,83.1618
K00943,208.0574
K00945,209.8313
K00946,151.97109999999998
K00948,417.3332000000001
K00950,93.14270000000002
K00954,231.56289999999993
K00957,97.0105
K00958,31.223100000000002
K00962,66.0041
K00963,92.91939999999998
K00965,17.6086
K00969,135.3951
K00970,11.8108
K00971,204.00889999999998
K00973,51.5823
K00974,25.933799999999998
K00975,116.2096
K00978,39.502700000000004
K00979,76.0832
K00980,4.9428
K00981,174.3639
K00982,42.740700000000004
K00986,1080.9472999999998
K00989,76.0603
K00990,181.7048
K00991,14.6414
K00995,39.6199
K00997,80.7255
K01000,151.79649999999998
K01004,2.3397
K01005,74.5215
K01006,137.2009
K01007,14.1649
K01008,130.2253
K01011,80.22609999999999
K01012,49.3412
K01023,24.8947
K01029,8.1984
K01039,68.225
K01040,88.7096
K01042,96.2523
K01046,5.7659
K01047,5.4281
K01051,38.3406
K01053,16.5713
K01055,58.4571
K01056,264.6069
K01057,146.1483
K01060,5.4749
K01061,510.6253
K01066,4.1817
K01068,23.991
K01069,66.9265
K01070,46.464200000000005
K01071,3.1386
K01075,44.757400000000004
K01079,26.1334
K01082,10.6967
K01091,114.28249999999998
K01092,29.185900000000004
K01095,124.2466
K01104,24.4826
K01113,51.0197
K01114,331.0538
K01118,206.38429999999997
K01126,53.2175
K01129,159.29330000000002
K01141,4.5584
K01142,6.5991
K01151,143.6344
K01153,5.6746
K01154,2.6578
K01159,141.23409999999998
K01166,2.3964
K01167,4.3621
K01178,24.3495
K01179,20.516999999999996
K01180,8.5705
K01181,45.212900000000005
K01183,61.056799999999996
K01185,6.3302
K01192,13.398
K01194,61.2403
K01195,14.4488
K01201,8.8812
K01206,204.30170000000007
K01207,47.8201
K01209,143.76500000000001
K01224,3.0
K01236,28.3891
K01239,296.7069
K01241,11.3006
K01243,2.8071
K01246,199.07239999999996
K01247,91.1079
K01251,420.42060000000004
K01255,28.3975
K01256,10.1418
K01258,52.547900000000006
K01259,88.90769999999999
K01262,10.7674
K01265,215.637
K01266,226.88050000000004
K01271,36.8441
K01273,356.9514
K01283,98.9528
K01286,127.81660000000001
K01295,55.000400000000006
K01297,109.86970000000001
K01299,21.284399999999998
K01301,44.0066
K01302,125.07020000000001
K01303,114.9241
K01304,16.8093
K01322,43.1841
K01354,7.0618
K01356,139.01110000000003
K01358,443.80370000000005
K01406,3.0589
K01409,237.55100000000002
K01419,167.373
K01423,52.9975
K01424,11.3774
K01425,51.1815
K01426,232.0749
K01428,23.9782
K01429,34.6045
K01430,22.573999999999998
K01431,32.1226
K01432,37.4339
K01433,117.79209999999999
K01434,6.3686
K01443,156.4099
K01444,28.4618
K01447,31.792399999999997
K01448,370.29459999999995
K01449,27.1244
K01455,30.900299999999998
K01458,19.079500000000003
K01462,308.35059999999993
K01463,30.753099999999996
K01464,22.953400000000002
K01465,11.0423
K01466,19.853
K01468,8.8686
K01470,113.47559999999999
K01475,15.147400000000001
K01476,52.1313
K01477,25.920299999999997
K01478,37.5537
K01480,24.6971
K01482,23.186600000000002
K01483,8.2419
K01484,3.8138
K01485,10.1913
K01488,31.2225
K01489,102.6655
K01491,18.8094
K01493,14.549600000000002
K01494,169.99689999999998
K01495,238.81439999999995
K01496,14.8605
K01497,162.75670000000002
K01499,5.7079
K01507,259.9784
K01512,75.9483
K01515,68.52120000000001
K01520,39.4689
K01524,107.8009
K01525,16.0125
K01529,47.50920000000001
K01545,30.7817
K01546,388.7148999999999
K01547,101.31159999999998
K01548,251.7192
K01551,26.668300000000002
K01554,9.555
K01555,35.0229
K01556,148.8807
K01560,64.2876
K01561,75.90090000000002
K01563,8.074100000000001
K01569,336.6558
K01574,21.336700000000004
K01575,66.4851
K01579,6.6813
K01580,19.3086
K01586,10.2997
K01588,123.66519999999998
K01589,21.657400000000003
K01591,84.46839999999999
K01593,37.717099999999995
K01595,362.6646
K01596,101.4919
K01599,96.0824
K01602,9.9533
K01607,531.8952999999999
K01609,32.2594
K01610,38.6726
K01611,7.8718
K01613,123.40609999999997
K01619,205.06389999999993
K01620,148.9359
K01621,456.52829999999994
K01623,60.63799999999999
K01624,142.1007
K01625,67.5044
K01626,212.81839999999997
K01627,136.5572
K01628,81.02700000000002
K01633,18.1139
K01635,100.49719999999999
K01637,167.4024
K01638,210.39320000000006
K01640,45.7328
K01644,88.28800000000001
K01647,23.1963
K01649,22.6132
K01653,125.79360000000001
K01657,17.9055
K01658,84.2018
K01662,37.557900000000004
K01664,49.8232
K01666,24.3302
K01669,9.1592
K01673,440.77329999999984
K01674,71.472
K01676,18.3092
K01679,21.8755
K01684,3.5758
K01686,17.542099999999998
K01689,472.18150000000014
K01692,41.08330000000001
K01695,144.41029999999998
K01696,17.1727
K01697,29.1037
K01698,195.4715
K01703,9.8393
K01704,167.98940000000002
K01709,21.5522
K01710,21.000799999999998
K01711,85.09809999999999
K01712,71.3715
K01714,30.7436
K01716,11.1191
K01719,169.45409999999998
K01720,56.83749999999999
K01721,19.0402
K01724,125.2403
K01725,14.1497
K01726,24.3375
K01730,32.202
K01733,139.9345
K01735,29.7432
K01736,121.7118
K01737,410.93419999999986
K01738,26.7513
K01739,9.5381
K01740,18.8795
K01745,20.6896
K01749,178.20589999999999
K01752,159.28220000000005
K01753,6.1068
K01754,125.98489999999998
K01755,259.30769999999995
K01756,7.0956
K01759,45.593199999999996
K01760,9.5381
K01768,73.9828
K01770,41.8236
K01771,2.65
K01772,273.1939
K01775,208.09769999999997
K01776,82.3653
K01778,79.2849
K01779,54.755399999999995
K01783,101.90720000000002
K01784,62.5028
K01785,190.0662000000001
K01788,5.132099999999999
K01790,60.8515
K01791,16.0065
K01792,34.372
K01793,10.6081
K01799,4.2058
K01800,33.8677
K01802,39.889
K01803,181.1118
K01804,41.273900000000005
K01805,43.867
K01807,244.9451
K01808,14.2665
K01809,141.87339999999998
K01810,274.6114999999999
K01811,10.1026
K01812,17.3806
K01815,17.744899999999998
K01816,26.3168
K01817,29.242399999999996
K01820,23.3309
K01821,243.2061
K01822,3.8525
K01823,27.3782
K01826,12.1274
K01834,63.311499999999995
K01838,19.4765
K01839,92.62289999999999
K01843,7.8721
K01845,169.604
K01846,3.2138
K01848,13.3874
K01849,62.1383
K01854,19.635600000000004
K01857,25.415399999999998
K01858,261.6769
K01865,14.4357
K01866,254.89229999999995
K01867,186.22730000000004
K01868,448.94000000000005
K01869,38.8036
K01870,31.0829
K01872,276.32970000000006
K01873,23.497300000000003
K01874,156.0943
K01875,258.8515
K01876,40.4848
K01879,8.2908
K01881,331.6190000000001
K01883,18.4634
K01885,49.9991
K01887,219.37890000000002
K01889,227.7633
K01890,185.8788
K01893,28.1719
K01897,23.6093
K01902,74.84740000000001
K01903,11.8281
K01907,9.3862
K01912,79.5219
K01915,905.4582
K01918,152.1689
K01919,50.85189999999999
K01920,39.0382
K01921,144.92619999999997
K01923,146.2948
K01924,18.6556
K01926,18.3985
K01928,19.2042
K01929,34.6257
K01933,215.36540000000002
K01934,76.49380000000001
K01935,21.941499999999998
K01937,569.0647000000001
K01939,306.9011
K01940,349.53600000000006
K01945,206.68329999999995
K01951,407.3348
K01953,716.8154
K01962,51.658899999999996
K01963,37.934999999999995
K01971,171.6728
K01972,375.62199999999996
K01975,103.48500000000001
K01990,353.86209999999994
K01991,517.0720999999999
K01992,184.28879999999998
K01995,8.2981
K01997,68.96600000000001
K01998,4.1451
K01999,28.5371
K02002,11.7045
K02003,198.43040000000002
K02004,7635.5147
K02005,79.4948
K02007,13.131599999999999
K02013,42.4047
K02014,39.9324
K02015,220.8186
K02016,123.49010000000001
K02017,14.626000000000001
K02018,74.69129999999998
K02019,8.1447
K02020,123.76690000000004
K02026,6.7406
K02030,5.6928
K02031,25.890900000000002
K02032,6.4842
K02033,197.8497
K02034,250.019
K02035,57.4096
K02036,93.04009999999998
K02037,45.654900000000005
K02038,49.5081
K02039,215.9051
K02040,297.85519999999997
K02044,27.169000000000004
K02046,22.2035
K02047,15.428
K02049,9.9984
K02050,96.17579999999998
K02051,70.07639999999999
K02053,45.1244
K02065,75.1487
K02066,666.4976999999997
K02067,176.44770000000003
K02072,4.3158
K02073,9.0847
K02078,537.6161
K02081,39.1545
K02082,9.1152
K02108,43.78699999999999
K02109,160.96509999999998
K02110,70.3104
K02111,86.03729999999999
K02112,34.3557
K02113,157.87249999999997
K02114,123.28529999999998
K02115,30.476799999999997
K02116,46.8006
K02160,132.0834
K02167,16.280700000000003
K02171,376.46930000000003
K02172,64.75489999999999
K02189,11.584900000000001
K02193,10.1593
K02194,121.4745
K02195,165.71009999999998
K02196,17.910800000000002
K02197,107.8105
K02199,407.3842000000001
K02200,56.2142
K02204,19.2648
K02221,30.5836
K02224,14.9522
K02227,56.81309999999999
K02228,6.323799999999999
K02231,31.6216
K02232,52.923199999999994
K02233,29.9961
K02234,4.8553
K02237,59.12200000000001
K02238,293.83820000000003
K02242,87.333
K02257,222.00230000000002
K02258,43.214400000000005
K02259,108.71650000000001
K02275,154.2824
K02276,72.9907
K02277,164.734
K02278,34.8079
K02279,80.1747
K02280,39.4062
K02281,6.737299999999999
K02282,10.3499
K02283,40.4617
K02291,50.9493
K02297,13.0989
K02300,26.2145
K02303,58.0681
K02304,51.9017
K02313,410.5131999999999
K02314,374.10220000000004
K02315,41.0584
K02316,424.63359999999983
K02334,14.9401
K02335,22.619
K02337,8.6428
K02338,433.9924999999999
K02339,30.932499999999997
K02340,125.4889
K02341,12.8743
K02342,50.1089
K02343,141.00680000000003
K02346,25.1748
K02347,35.4673
K02348,4.0651
K02351,53.01349999999999
K02355,15.2494
K02356,306.5658000000001
K02357,170.562
K02358,109.70819999999999
K02362,2.8004
K02372,170.1482
K02377,36.488699999999994
K02379,63.48080000000001
K02380,88.8921
K02385,16.0062
K02386,30.2533
K02387,27.896400000000003
K02388,53.3485
K02389,59.72800000000001
K02390,25.4247
K02391,7.9243
K02393,54.1697
K02394,89.73020000000001
K02395,69.24990000000001
K02396,62.040299999999995
K02397,14.415199999999999
K02398,32.0025
K02401,21.456400000000002
K02404,8.572799999999999
K02405,52.6529
K02406,32.4932
K02407,24.6667
K02408,46.27740000000001
K02409,48.73210000000001
K02410,160.57
K02411,11.350100000000001
K02413,20.6341
K02415,32.5518
K02416,33.8362
K02417,55.629599999999996
K02418,27.418899999999997
K02419,7.5957
K02420,4.459
K02421,9.0084
K02422,17.7127
K02426,4.8742
K02427,4.0805
K02428,55.849
K02429,164.4095
K02433,48.1498
K02434,20.2824
K02435,124.86170000000001
K02437,206.98389999999995
K02440,17.5519
K02450,15.7079
K02451,13.6088
K02452,15.3382
K02456,100.57679999999998
K02458,4.8829
K02459,4.3601
K02460,19.733600000000003
K02462,6.9846
K02463,2.0887
K02474,12.4887
K02477,46.8973
K02478,63.98660000000001
K02480,49.8115
K02481,25.697499999999998
K02482,132.52179999999998
K02483,115.23469999999999
K02484,19.814700000000002
K02488,86.4738
K02492,255.4809
K02493,51.712
K02494,7.4121
K02495,15.9768
K02496,6.1652
K02498,3.5117
K02500,34.770199999999996
K02501,30.4725
K02503,64.18320000000001
K02510,93.96790000000001
K02517,49.46710000000001
K02518,172.48930000000004
K02519,115.9556
K02520,247.6827
K02523,15.543499999999998
K02527,222.0746
K02528,15.6045
K02529,111.39030000000001
K02533,5.8363
K02535,37.4155
K02536,188.16400000000002
K02548,11.3789
K02549,44.3114
K02556,139.1564
K02557,57.50500000000001
K02558,19.7056
K02563,59.414699999999996
K02564,23.5306
K02575,25.301000000000002
K02600,549.661
K02601,304.82180000000005
K02609,88.35430000000001
K02610,36.9965
K02611,19.9485
K02612,7.3944
K02614,38.4938
K02616,51.390299999999996
K02624,43.3301
K02626,120.6129
K02636,35.025800000000004
K02638,71.39320000000001
K02650,15.3141
K02651,224.85259999999997
K02653,20.0998
K02654,73.2504
K02655,12.9604
K02657,32.575
K02659,18.1521
K02662,178.0046
K02663,41.442099999999996
K02664,114.32929999999999
K02665,27.9897
K02666,9.1865
K02668,12.1786
K02671,34.321600000000004
K02672,62.277
K02673,26.1843
K02674,15.9221
K02676,9.7468
K02687,19.552
K02769,10.1578
K02784,5.4654
K02793,14.0833
K02803,1.7554
K02825,120.46359999999999
K02834,177.1255
K02835,44.7639
K02836,23.0997
K02838,256.9416999999999
K02843,9.4528
K02844,8.8041
K02847,9.2524
K02851,30.308300000000003
K02856,29.970100000000002
K02858,14.072
K02860,134.4337
K02863,290.61639999999994
K02864,286.33539999999994
K02867,356.3388999999999
K02871,274.74140000000006
K02874,194.2464
K02876,226.0315
K02878,291.37100000000004
K02879,213.7858
K02881,219.89249999999998
K02884,273.63999999999993
K02886,203.50659999999993
K02887,237.4908
K02888,290.01899999999995
K02890,173.5405
K02892,231.80300000000003
K02895,181.00960000000003
K02897,269.01349999999996
K02899,212.61929999999998
K02902,169.69759999999997
K02904,116.75619999999999
K02906,229.37219999999996
K02907,109.3916
K02909,198.94320000000002
K02911,107.35429999999997
K02913,96.5514
K02914,50.3271
K02916,214.52999999999997
K02919,49.5573
K02926,219.27450000000002
K02931,302.40130000000005
K02933,204.31399999999996
K02935,413.1309999999999
K02939,238.3695
K02945,518.4574
K02946,271.9964
K02948,219.75789999999998
K02950,272.1595000000001
K02952,183.02620000000002
K02954,230.40369999999996
K02956,224.76729999999998
K02959,217.06799999999998
K02961,211.0382
K02963,144.49460000000002
K02965,135.26690000000002
K02967,244.6651
K02968,120.3024
K02970,185.94879999999998
K02982,329.5574
K02986,315.2701
K02988,178.45100000000002
K02990,199.21639999999994
K02992,177.19480000000001
K02994,240.7555
K02996,171.94009999999997
K03040,546.0847
K03060,143.8774
K03070,326.14339999999993
K03071,42.1287
K03073,206.6539
K03074,45.949000000000005
K03075,165.9838
K03076,155.18920000000003
K03077,31.3721
K03079,15.389800000000001
K03086,27.186799999999998
K03088,3806.7466000000013
K03089,32.7021
K03092,499.2993
K03098,4.2735
K03100,362.5802
K03101,202.92590000000004
K03106,27.2157
K03110,13.9361
K03111,373.525
K03113,15.379100000000001
K03116,303.03389999999996
K03117,15.6034
K03118,269.6469000000001
K03147,418.0504
K03149,142.93020000000004
K03151,130.44490000000002
K03153,34.548700000000004
K03154,142.9305
K03168,46.0331
K03177,74.49279999999999
K03179,51.5903
K03182,40.9315
K03183,4.9662
K03186,99.18589999999999
K03187,41.8826
K03188,73.60560000000001
K03189,109.43140000000001
K03190,65.2054
K03196,4.471
K03198,11.347100000000001
K03204,8.4672
K03208,68.2889
K03210,197.32410000000002
K03215,26.5933
K03216,5.2028
K03217,187.0523
K03218,56.3343
K03269,22.1774
K03270,29.8395
K03271,31.627
K03273,36.175599999999996
K03281,64.9809
K03282,150.25360000000003
K03284,11.138
K03286,206.50610000000006
K03291,3.6923
K03294,17.028
K03299,20.0986
K03301,80.051
K03303,260.3574
K03307,20.4212
K03313,51.079600000000006
K03317,9.0363
K03320,209.91959999999997
K03322,7.4647
K03324,4.6573
K03325,11.2215
K03327,93.30309999999999
K03335,51.385600000000004
K03336,11.6629
K03337,32.9614
K03365,65.9019
K03366,8.3748
K03367,15.5426
K03392,83.7838
K03394,10.0933
K03395,2.7839
K03396,19.3144
K03402,150.12610000000004
K03405,16.816200000000002
K03406,489.05019999999996
K03407,38.955200000000005
K03408,105.804
K03409,149.3457
K03410,4.3215
K03411,32.4251
K03412,149.29590000000002
K03413,96.73579999999998
K03414,6.3705
K03424,151.65449999999998
K03426,42.178799999999995
K03427,2.4477
K03429,10.0754
K03431,17.2416
K03433,26.9212
K03436,65.3218
K03437,27.057199999999998
K03438,293.66319999999996
K03439,44.0351
K03442,29.333
K03446,158.39759999999998
K03449,7.0933
K03455,149.59570000000002
K03457,65.1332
K03462,9.27
K03464,6.006
K03465,106.17590000000001
K03466,445.8077000000002
K03469,46.1188
K03470,135.238
K03474,34.5282
K03476,18.0534
K03478,196.93910000000002
K03495,65.3122
K03496,322.9869999999999
K03497,387.32109999999994
K03498,10.3031
K03499,18.6201
K03500,19.1641
K03501,180.4844
K03503,4.291
K03517,65.1477
K03518,29.070800000000002
K03521,251.1304
K03522,236.33000000000004
K03523,73.2072
K03524,42.278400000000005
K03525,175.19409999999996
K03526,347.0902
K03527,430.6774000000001
K03528,9.4153
K03530,162.80629999999996
K03531,295.232
K03534,66.252
K03536,56.9999
K03543,80.1495
K03544,459.7868
K03545,279.0807
K03549,98.2211
K03550,154.00310000000002
K03551,211.48819999999998
K03553,334.629
K03555,11.8757
K03556,247.91309999999996
K03557,5.2318
K03558,82.8936
K03559,825.0197000000001
K03560,10.3353
K03561,509.0342999999999
K03563,52.574999999999996
K03564,197.68229999999997
K03565,113.19349999999999
K03566,22.0696
K03567,27.596899999999998
K03568,28.1723
K03569,499.42389999999995
K03570,129.30360000000002
K03571,107.8413
K03572,6.0632
K03574,167.71569999999997
K03575,63.0592
K03576,18.497500000000002
K03584,213.0591
K03585,133.14600000000002
K03586,35.647
K03587,8.3256
K03588,18.3605
K03589,159.5412
K03590,252.85949999999997
K03591,8.9435
K03592,42.467600000000004
K03593,211.58969999999994
K03594,179.47219999999996
K03595,156.40649999999997
K03597,13.1429
K03598,16.491999999999997
K03599,5.753
K03600,19.392000000000003
K03601,259.0518
K03602,139.8489
K03605,12.216000000000001
K03606,9.0142
K03608,28.468600000000002
K03610,5.0629
K03611,16.4317
K03616,10.887
K03621,221.4286
K03624,21.616
K03625,76.5036
K03628,495.60820000000007
K03629,48.2256
K03630,46.0353
K03631,73.8168
K03634,157.41320000000007
K03635,106.1438
K03636,233.24700000000004
K03637,123.09559999999999
K03639,161.6759
K03640,85.9374
K03641,162.52
K03642,293.8586000000001
K03643,59.6335
K03644,321.42060000000004
K03648,12.3698
K03649,13.6157
K03650,53.968799999999995
K03651,63.950100000000006
K03652,182.0715
K03655,11.5797
K03657,50.210699999999996
K03664,220.38270000000003
K03665,253.05769999999995
K03666,256.23550000000006
K03667,135.5861
K03668,10.7747
K03670,32.1972
K03671,169.46919999999997
K03672,28.597899999999996
K03673,12.918800000000001
K03675,4.0496
K03676,29.8317
K03683,8.6729
K03684,18.870800000000003
K03685,68.2396
K03686,32.7175
K03687,169.74829999999997
K03690,13.4364
K03698,101.9367
K03699,17.6369
K03701,241.5549
K03702,89.7452
K03703,86.276
K03704,456.4624000000001
K03705,252.2548
K03709,84.3786
K03710,60.384499999999996
K03711,44.7562
K03719,94.1254
K03722,118.09620000000002
K03723,40.7909
K03724,109.29740000000001
K03732,7.5224
K03733,55.8609
K03734,76.473
K03735,18.2877
K03736,4.8815
K03741,82.9606
K03742,47.927400000000006
K03743,15.953700000000001
K03744,388.29940000000005
K03745,16.7306
K03746,8.5325
K03747,15.5183
K03749,4.3568
K03750,64.60589999999999
K03752,116.45020000000001
K03753,7.3039
K03764,7.8023
K03765,19.5054
K03767,33.5514
K03768,85.2861
K03769,23.676000000000002
K03770,83.3641
K03771,17.3278
K03772,69.9469
K03773,39.056
K03775,4.6727
K03781,355.02840000000003
K03782,32.2097
K03783,117.2825
K03786,25.892200000000003
K03787,102.55709999999998
K03789,101.93040000000002
K03790,124.37670000000001
K03793,10.2526
K03795,9.8352
K03797,422.47659999999985
K03799,111.48640000000002
K03801,28.801699999999997
K03806,9.2902
K03808,82.3107
K03809,36.2364
K03811,13.8344
K03818,8.4104
K03820,177.5435
K03821,119.4523
K03823,4.5685
K03824,8.2851
K03825,8.1041
K03828,23.0552
K03829,6.7829999999999995
K03830,11.8348
K03832,1511.4183999999998
K03833,21.5518
K03856,47.721999999999994
K03885,168.6311
K03886,93.80930000000002
K03890,12.5756
K03892,186.5112
K03893,26.6108
K03924,440.32189999999997
K03925,251.86660000000006
K03926,118.64330000000001
K03930,37.7995
K03932,17.7863
K03939,2.8109
K03969,137.7644
K03972,55.492700000000006
K03973,139.9919
K03975,236.79999999999998
K03976,16.647299999999998
K03977,105.37979999999999
K03978,91.61679999999998
K03979,224.08859999999999
K03980,61.714
K04027,7.3851
K04028,6.5413
K04034,70.3966
K04042,86.89920000000001
K04046,10.1047
K04047,144.1534
K04062,7.6957
K04063,333.7806
K04065,261.117
K04066,303.0869
K04068,9.4619
K04069,70.4995
K04074,28.8902
K04075,88.05399999999997
K04077,848.7993000000001
K04078,371.4265000000001
K04079,159.50959999999998
K04080,26.558299999999996
K04082,107.16430000000001
K04083,41.1746
K04085,21.5445
K04087,14.9249
K04088,33.640299999999996
K04091,11.5155
K04092,1.9483
K04093,14.1328
K04094,19.784399999999998
K04095,15.155100000000001
K04096,248.0023
K04100,9.8904
K04102,5.485
K04127,20.1081
K04343,30.911400000000008
K04485,90.24950000000001
K04486,6.3504
K04487,166.7233
K04488,8.5837
K04517,15.285900000000002
K04518,30.922
K04561,22.513
K04564,271.802
K04565,67.91080000000001
K04566,14.2179
K04567,106.42660000000001
K04651,33.5214
K04652,37.299299999999995
K04653,42.60170000000001
K04654,57.107600000000005
K04655,41.279199999999996
K04656,88.77079999999998
K04719,8.4984
K04744,172.01319999999998
K04749,688.8174999999998
K04750,382.2166999999999
K04751,129.2562
K04752,18.483400000000003
K04754,40.7827
K04755,35.7282
K04756,6.9624
K04757,293.3462999999999
K04758,20.7198
K04759,93.34919999999998
K04760,19.3846
K04761,6.7657
K04762,52.4964
K04763,229.34439999999995
K04764,41.8979
K04767,9.2632
K04771,66.3098
K04773,59.9526
K05275,94.65760000000002
K05281,40.44499999999999
K05303,17.7935
K05306,17.4169
K05337,43.988499999999995
K05343,22.1251
K05349,31.879099999999998
K05365,13.4634
K05366,13.4634
K05375,12.5058
K05515,7.5625
K05518,14.5425
K05520,47.9162
K05522,8.4236
K05524,121.71989999999998
K05527,24.0116
K05539,3.6572
K05540,65.0133
K05555,235.41960000000003
K05558,12.2422
K05589,63.269400000000005
K05594,26.4282
K05595,208.0082
K05596,4.4476
K05602,10.5321
K05606,62.48909999999999
K05710,24.611
K05770,24.6382
K05772,5.6851
K05785,51.9896
K05788,94.0167
K05794,119.48469999999999
K05797,6.614
K05799,46.867999999999995
K05801,13.8436
K05805,22.850299999999997
K05807,178.30749999999998
K05808,56.767799999999994
K05810,102.69169999999998
K05814,9.1809
K05817,9.3802
K05818,19.823500000000003
