Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,350.9085999999999,235671.87979999994,468268.20349999995,65695.92010000002,116621.5433,1310.6907,0.6428297927854029
 Archaea,1193.9115000000004,846413.3012,1680980.5390999997,240110.69430000006,419938.0661999998,5261.7975,0.6217689777762666
 Bacteria,506840.7984000045,365839540.0702,730216054.1592093,104087152.67760049,181849260.82640222,2276320.275999995,0.6374973638488272
 Baculoviridae,3.6781,2883.6304,5719.4455,739.2981,1382.9656,55.1715,0.422
 Duplodnaviria,61.12750000000001,31767.062899999997,61623.853,8780.534,15752.119100000002,216.18920000000003,0.5910099009766203
 Eukaryota,3230.2948000000038,2335872.5471,4612201.125000004,649305.5473999997,1138304.3330999995,14232.65640000002,0.545586953846427
 Riboviria,6.7807,3064.8764,6109.4107,847.5875000000001,1634.1487000000002,33.9035,0.631
 Varidnaviria,17.9772,13926.3368,27467.0956,3847.2018,7102.6446,85.93440000000001,0.5948097659861
 environmental samples,12.5658,19828.8324,39544.5726,5214.807,9537.4422,113.09219999999999,0.698
 unclassified viruses,4.5861,2224.2585,4329.2784,715.4316,1128.1806,36.6888,0.57
Unclassified,104652.74920000057,42712870.181499764,85751672.83849977,12271256.36549997,21397428.361800075,289255.53590000025,0.6183253359990664
