Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,1349.7538000000002,1156869.5256,2302493.9886,326282.50360000005,583076.9519000001,6305.376700000003,0.6173238824531125
 Archaea,3505.8979000000004,3413511.474700001,6790116.116500004,957653.2329000004,1705240.683999999,20004.746199999998,0.6306388968837101
 Bacteria,1186034.7731999909,1109714844.3429055,2215006883.9984055,313463619.5190047,555102053.664096,6698812.578499997,0.6363474334721053
 Duplodnaviria,497.585,481588.6249000001,950189.3146000003,131387.0526,242730.3887,3153.452699999999,0.5020912627960918
 Eukaryota,7388.170199999994,7259618.024800002,14446119.20709999,2032589.465900001,3630962.155299995,42206.163700000005,0.6043952963529546
 Riboviria,13.025,23158.45,45887.075000000004,6343.175,12751.475,117.22500000000001,0.546
 Varidnaviria,51.692699999999995,83890.06,166631.67179999998,22956.4326,40952.4641,508.1622,0.6147599076251099
 environmental samples,18.8437,11792.8995,23115.414,3300.6234,5660.903499999999,117.3127,0.5610827558589064
 unclassified viruses,60.58090000000001,98986.13609999997,190512.09459999998,26119.2844,46869.071500000005,969.8045,0.3325879763520108
Unclassified,238313.45699999906,120935163.50460063,242471756.37909913,34382896.66790002,60934977.566799775,808486.7276999981,0.6160759683703559
