Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,387.3768,254167.49280000012,503414.3084999999,71710.91070000002,126553.28330000001,1455.7958999999996,0.6253614635390028
 Archaea,2297.9957999999992,1494317.5039000004,2961537.4540999993,414676.3796999996,743577.4825000002,9050.508999999998,0.5577695172057272
 Bacteria,394976.9915000047,270472946.1917011,539273044.3906989,76714984.28729977,134378022.14379916,1695571.1429000162,0.6595978455133585
 Baculoviridae,5.9634,5593.6692,10877.2416,1574.3376,2665.6398,29.817,0.63
 Duplodnaviria,822.1683000000002,740187.754,1466743.1775,206704.48390000002,375436.4003999999,4470.68,0.5441108336624951
 Eukaryota,4043.8787999999977,2852649.958299999,5656833.163899999,811228.6996999996,1412505.7648,17660.756599999986,0.5587518273000613
 Riboviria,6.643,2861.4112999999998,5769.8292,770.1156,1437.9216,20.2999,0.4494566097521844
 Varidnaviria,4.2062,3941.2093999999997,7693.1398,1005.2818,1943.2644,25.2372,0.626
 environmental samples,2.6527,588.8994,1127.3975,145.89849999999998,291.79699999999997,5.3054,0.4920000000000001
 unclassified viruses,90.18549999999998,92109.9746,179258.22700000004,25382.756200000003,46379.8381,534.2042,0.5844593993392748
Unclassified,116406.44969999921,52772341.65049996,105449960.2618011,15055020.7202,26483356.76780002,345827.4561000011,0.6235353481220668
