,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00033,,,0.7062738440542305,,,,,55.635999999999996,,
1,K00053,,,0.6786249165028032,,,,,67.4104,,
2,K00067,,,0.696,,,,,9.2698,,
3,K00075,,,0.612,,,,,2.9302,,
4,K00077,,,0.6617362575556236,,0.664,,,17.200000000000003,,1.3219
5,K00096,,,0.747,,,,,4.0374,,
6,K00099,,,0.703427095762274,,,,,42.9455,,
7,K00111,,,0.7130321737112072,,,,,17.6663,,
8,K00112,,,0.7857723932269873,,,,,11.667,,
9,K00124,,,0.6902583319423987,,,,,24.3826,,
10,K00126,,,0.593,,,,,8.0341,,
11,K00133,,,0.6559999999999999,,,,,6.3761,,
12,K00140,,,0.713,,,,,10.182,,
13,K00145,,,0.7268336053614927,,,,,11.363299999999999,,
14,K00163,,,0.6820551170212049,,,,,163.988,,
15,K00175,,,0.6243779746443029,,,,,37.1752,,
16,K00208,,,0.66,,,,,14.8615,,
17,K00215,,,0.7331637854486848,,,,,10.9434,,
18,K00217,,,0.774,,,,,6.1242,,
19,K00228,,,0.647,,,,,2.9415,,
20,K00232,,,0.639,,,,,4.5615,,
21,K00240,,,0.6416095770730804,,,,,46.82809999999999,,
22,K00242,,,0.6859999999999999,,,,,11.3435,,
23,K00247,,,0.608,,,,,2.7485,,
24,K00249,,,0.6641734936986542,,,,,21.048099999999998,,
25,K00254,,,0.596,,,,,2.3063,,
26,K00259,,,0.723,,,,,9.5079,,
27,K00274,,,0.7340000000000001,,,,,6.1218,,
28,K00275,,,0.6745528396357645,,,,,16.1341,,
29,K00286,,,0.639,,,,,3.5675,,
30,K00287,,,0.6396991163662001,,,,,9.7244,,
31,K00297,,,0.6746243807247474,,,,,9.9319,,
32,K00299,,,0.722,,,,,3.1057,,
33,K00311,,,0.654,,,,,6.9631,,
34,K00320,,,0.703,,,,,5.6513,,
35,K00330,,,0.6133015743178979,,,,,37.5403,,
36,K00332,,,0.696,,,,,7.3723,,
37,K00334,,,0.691,,,,,8.8923,,
38,K00338,,,0.6598620921434067,,,,,32.2363,,
39,K00339,,,0.6669380565059395,,,,,15.918099999999999,,
40,K00340,,,0.6146751992932293,,,,,42.078599999999994,,
41,K00343,,,0.713,,,,,8.5083,,
42,K00363,,,0.6809999999999999,,,,,2.6041,,
43,K00365,,,0.67,,,,,6.8826,,
44,K00384,,,0.7120000000000001,,,,,6.4324,,
45,K00389,,,0.7068926276345558,,0.726,,,13.142900000000001,,3.8646
46,K00390,,0.406,0.6659550813778163,,,,2.0067,8.8308,,
47,K00395,,,0.607,,,,,3.4899,,
48,K00411,,,0.6434645108505971,,,,,18.9663,,
49,K00412,,,0.617,,,,,13.9936,,
50,K00413,,,0.6460620594357251,,,,,13.322199999999999,,
