Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,290.03060000000005,175198.2761,346590.67419999995,47719.69019999999,85566.4894,1052.6779000000001,0.529009370051542
 Archaea,792.6762999999995,528626.6322999997,1049486.1489,149860.52950000006,264460.35860000004,3428.005199999999,0.5996180786027406
 Bacteria,420618.99419999676,293802941.2577987,583988189.6524992,82750736.81789844,145465363.64799955,1899064.4585000123,0.604672228522949
 Duplodnaviria,93.51520000000001,52085.89589999999,103158.7202,14848.662400000001,26055.767300000003,393.59149999999994,0.5955527825845689
 Eukaryota,3741.6887999999944,2458956.4200999998,4816270.165899993,665497.1730999998,1187331.7502999995,16545.182300000004,0.4722877698861841
 Riboviria,6.3468,3928.6726,7448.6836,1076.508,1848.4456,9.0838,0.5698560808367156
 Varidnaviria,13.3884,9368.908500000001,18856.6032,2653.9472,4831.988600000001,17.281399999999998,0.520836877537043
 environmental samples,3.9119,2304.1091,4346.1209,520.2827,974.0631000000001,39.119,0.5589999999999999
 unclassified viruses,22.8588,10662.2042,21244.104799999997,3021.4719999999998,5036.5738,73.26559999999999,0.5561065562180143
Unclassified,78992.26119999986,30204453.299900033,60335990.38400031,8587272.471799972,15015490.535399983,222907.52409999963,0.5782733594452755
