Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,1099.7741999999996,641484.0406000002,1273959.8899000008,180533.6147000001,313264.88869999995,3493.5659999999984,0.5964345245465881
 Archaea,8263.4655,5455221.015099995,10832477.405800013,1496148.4281999995,2701233.6969,36045.599900000016,0.4863765119723234
 Bacteria,968995.666699988,657470497.7102953,1312334693.3636043,187208204.77899778,327336991.39130527,3945007.9685998857,0.6548792550739502
 Duplodnaviria,148.15349999999998,107333.0754,210554.1976,30353.1284,53114.75779999999,746.4772,0.6132478540222652
 Eukaryota,11496.6991,7388267.667900009,14488467.381300006,2026098.2569000032,3582576.577900002,50114.69860000011,0.45632796359715744
 Monodnaviria,2.027,1686.4640000000002,3271.5780000000004,417.562,741.8820000000001,14.189,0.626
 Riboviria,53.525,23517.915,44781.96369999999,5881.2737,10773.579500000002,156.5567,0.6197320875502695
 Varidnaviria,6.7356,3632.3917,7413.5892,1036.7359999999999,1998.4071,14.9896,0.5565576085118358
 environmental samples,10.4179,9192.4042,18358.4815,2500.9011,4790.2624000000005,62.507400000000004,0.5379881164764246
 unclassified viruses,37.8608,21060.5563,41767.85199999999,6014.6474,11012.381899999998,146.2721,0.6292686722668775
Unclassified,209618.08869999906,82154667.47349988,165168660.40009984,23729117.309700012,41143337.59790008,508318.6388999971,0.6361938668374244
