,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.588,,,,,,5.0146,,,
1,K00009,,,0.7170000000000001,,,,,,11.0683,,,
2,K00012,,,0.5856978312438449,,,,,,20.5244,,,
3,K00014,,0.361,0.6530131842786607,,,,,4.5195,14.540000000000001,,,
4,K00018,,,0.591,,,,,,8.2857,,,
5,K00020,,,0.5820000000000001,,,,,,6.7017,,,
6,K00023,,,0.591,,,,,,7.0928,,,
7,K00024,,,0.627,,,,,,14.5278,,,
8,K00029,,,0.615,,,,,,4.0052,,,
9,K00031,,,0.6134898178477559,,,,,,44.2845,,,
10,K00033,,,0.6308006942461309,,,,,,111.28389999999999,,,
11,K00036,,,0.6729999999999999,,,,,,12.0287,,,
12,K00038,,,0.688,,,,,,7.8103,,,
13,K00039,,,0.607,,,,,,4.0496,,,
14,K00042,,,0.5820000000000001,,,,,,6.7017,,,
15,K00053,,0.404,0.6627981198122943,,,,,5.9358,206.4194,,,
16,K00054,,0.447,0.5643194496013717,,,,,2.2991,14.1366,,,
17,K00058,,,0.627,,,,,,5.8062,,,
18,K00059,,,0.5468611510491698,,,,,,24.1661,,,
19,K00067,,0.746,0.5933341999854775,,,,,11.0548,26.8153,,,
20,K00075,,,0.6414033650602685,,,,,,71.845,,,
21,K00077,,,0.6223365682109957,,,0.607,,,82.36090000000002,,,2.6122
22,K00088,,0.4139999999999999,0.5612732205124007,,,,,4.0496,23.0603,,,
23,K00099,,,0.6782171375700221,,,,,,69.2333,,,
24,K00102,,,0.599,,,,,,6.3536,,,
25,K00111,,,0.6226291941938086,,,,,,68.9253,,,
26,K00112,,,0.703,,,,,,4.2437,,,
27,K00116,,,0.655,,,,,,4.4124,,,
28,K00122,,0.413,0.6594593034565728,,,,,5.7972,56.6053,,,
29,K00124,,,0.6020981003833492,,,,,,29.2055,,,
30,K00127,,,0.6093936439816994,,,,,,40.3959,,,
31,K00133,,,0.6619994533834505,,,,,,11.7376,,,
32,K00134,,0.379,0.5935041858901073,,,,,3.8074,44.539699999999996,,,
33,K00145,,0.371907612911617,0.6087880274266385,,,,,8.7774,25.9733,,,
34,K00163,,,0.6442933692418785,,,,,,456.6918999999999,,,
35,K00166,,,0.611,,,,,,6.6911,,,
36,K00167,,,0.618,,,,,,6.8423,,,
37,K00170,,,0.6679999999999999,,,,,,5.4924,,,
38,K00174,,,0.6067722962177158,,,,,,33.5757,,,
39,K00175,,0.366,0.6187513288658594,,,,,5.5978,72.5557,,,
40,K00180,,,0.6329121228131246,,,,,,14.985399999999998,,,
41,K00200,,,0.5973649378132236,,,,,,11.060599999999999,,,
42,K00201,,,0.607,,,,,,4.9047,,,
43,K00202,,,0.637,,,,,,5.8702,,,
44,K00208,,,0.6336005514161323,,,,,,54.5572,,,
45,K00215,,,0.63092852235745,,,,,,23.4848,,,
46,K00217,,,0.7859999999999999,,,,,,9.0729,,,
47,K00228,,,0.6365153017956713,,,,,,43.2742,,,
48,K00230,,,0.5770000000000001,,,,,,3.5135,,,
49,K00240,,0.384,0.6396229911723532,,,,,6.1272,191.659,,,
50,K00241,,,0.6330221541738729,,,0.7340000000000001,,,58.217499999999994,,,7.0
51,K00242,,,0.6110786591191161,,,,,,19.579300000000003,,,
52,K00243,,,0.446,,,,,,3.3155,,,
53,K00245,,,0.654,,,,,,3.9071,,,
54,K00246,,,0.5687508857847187,,,,,,7.0177000000000005,,,
55,K00247,,,0.6692219520380156,,,,,,7.0027,,,
56,K00249,,,0.5874885226320367,,,,,,21.2592,,,
57,K00252,,,0.667,,,,,,20.7273,,,
58,K00254,,,0.5396889656414499,,,,,,21.828800000000005,,,
59,K00259,,,0.697,,,,,,19.1497,,,
60,K00274,,,0.659,,,,,,5.8466,,,
61,K00275,,,0.6469099314608486,,,0.506,,,60.0891,,,3.6279
62,K00285,,,0.590653340731428,,,,,,12.9326,,,
63,K00286,,0.657,0.6593317734776296,,,,,1.6957,72.608,,,
64,K00287,,,0.5942363292942148,,,,,,26.874000000000002,,,
65,K00297,,,0.6230044967203373,,,,,,18.63,,,
66,K00299,,,0.6520529620097042,,,,,,9.3168,,,
67,K00304,,,0.7066237451344872,,,,,,9.332,,,
68,K00311,,,0.6326723349938118,,,,,,38.2229,,,
69,K00322,,,0.525,,,,,,4.8014,,,
70,K00330,,,0.5939852299790039,,,,,,131.95999999999998,,,
71,K00331,,,0.6518223074243364,,,,,,77.3044,,,
72,K00332,,,0.652,,,,,,7.7188,,,
73,K00334,,,0.5946981489018045,,,,,,26.7542,,,
74,K00337,,,0.5820000000000001,,,,,,9.6372,,,
75,K00338,,,0.6397002932529299,,,,,,133.1095,,,
76,K00339,,,0.6314784948589599,,,,,,58.668000000000006,,,
77,K00340,,0.3461518876586552,0.6048431616532051,,,0.645,,9.2575,113.2976,,,12.2469
78,K00342,,,0.5920000000000001,,,,,,15.3388,,,
79,K00343,,,0.6585160798847071,,,,,,30.6456,,,
80,K00344,,,0.6742155058534122,,,,,,20.6185,,,
81,K00348,,,0.4169999999999999,,,,,,3.459,,,
82,K00355,,,0.621,,,,,,1.7346,,,
83,K00363,,,0.65,,,,,,3.7385,,,
84,K00365,,,0.7120000000000001,,,,,,6.3104,,,
85,K00368,,0.417,0.546875617472903,,,,,9.9382,29.813299999999998,,,
86,K00371,,,0.6479696041623763,,,,,,41.684000000000005,,,
87,K00374,,,0.61,,,,,,4.652,,,
88,K00383,,,0.5670000000000001,,,,,,7.0739,,,
89,K00389,,,0.6532825812349701,,,0.615,,,24.0825,,,2.7249
90,K00390,,0.34485518245230506,0.6092345821288384,,,,,23.907799999999998,74.4234,,,
91,K00395,,,0.6409999999999999,,,,,,10.1039,,,
92,K00405,,,0.65,,,,,,6.8173,,,
93,K00406,,,0.625173489677644,,,,,,8.573599999999999,,,
94,K00407,,,0.577661914347958,,,,,,8.0653,,,
95,K00411,,,0.591,,,,,,2.6579,,,
96,K00412,,,0.5846736587333603,,,,,,31.8985,,,
97,K00413,,,0.6122962322118836,,,,,,16.146500000000003,,,
98,K00425,,,0.6253279532164221,,,,,,230.14990000000003,,,
99,K00426,,,0.6515531009088813,,,0.659,,,116.34479999999999,,,5.5721
100,K00428,,,0.5703855121572892,,,,,,52.2232,,,
101,K00432,,,0.6018738919633224,,0.636,,,,41.31699999999999,,1.7908,
102,K00433,,,0.6295075120550361,,,,,,27.4234,,,
