Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,437.3408999999998,242431.2764,480274.93159999995,65913.05599999998,118486.1493,1518.2599999999998,0.5552693084168343
 Archaea,882.6282999999997,580729.9095,1155450.0603000007,162122.75570000004,288390.4967000002,3609.885500000001,0.6132884064159225
 Bacteria,622422.0779000028,425728065.46090245,850244850.9634138,120253467.93859963,212963961.44450173,2705704.239499984,0.6357441562280761
 Duplodnaviria,117.94139999999997,191122.7096,375036.6563999999,52361.479599999984,95497.7446,1415.1545999999994,0.5899260917365097
 Eukaryota,6453.628499999997,4185701.252000007,8241918.711499993,1138910.6894999987,2038699.6032000002,27933.8896,0.5058979054090887
 Monodnaviria,5.2873,4330.2987,8872.0894,1332.3996,2310.5501,26.436500000000002,0.738
 Nimaviridae,1.8884,796.9048,1523.9388000000001,213.38920000000002,406.00600000000003,1.8884,0.516
 Varidnaviria,21.0139,9961.739800000001,19725.4535,2667.9081,5097.0214000000005,44.414699999999996,0.6636520216160889
 unclassified viruses,9.320400000000001,6224.2986,12570.397,1604.3278000000003,2930.552,23.5244,0.6293554818489254
Unclassified,101195.80080000013,39490567.48570001,79340936.06160007,11274679.905600008,19841048.25780008,264416.2528000006,0.609518256485971
