,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6624940974976831,,,,,,20.4455,,,
1,K00012,,,0.6763139261292616,,,,,,23.333,,,
2,K00014,,,0.6548591139496228,,,,,,21.8974,,,
3,K00015,,,0.748,,,,,,8.475,,,
4,K00020,,,0.6620284964756241,,,,,,13.135100000000001,,,
5,K00024,,,0.6589999999999999,,,,,,9.0855,,,
6,K00029,,,0.6530233854238172,,,,,,9.0866,,,
7,K00031,,,0.6210114877227136,,,,,,54.97880000000001,,,
8,K00033,0.5870000000000001,,0.6333043015660468,,,,7.6576,,186.42209999999997,,,
9,K00035,,,0.662,,,,,,7.2799,,,
10,K00039,,,0.605,,,,,,7.4486,,,
11,K00052,,,0.6759999999999999,,,,,,6.708,,,
12,K00053,,,0.6547116606250082,,,,,,100.4658,,,
13,K00055,,,0.647,,,,,,7.5109,,,
14,K00057,,,0.647023487300291,,,,,,34.9381,,,
15,K00059,,,0.6630858415741014,,,,,,30.070099999999996,,,
16,K00064,,,0.5647562771692372,,,,,,17.992800000000003,,,
17,K00065,,,0.6119324324391376,,,,,,9.599699999999999,,,
18,K00067,,,0.6872185175347881,,,,,,32.766400000000004,,,
19,K00075,,,0.6694388501425627,,,,,,76.6504,,,
20,K00076,,,0.683,,,,,,10.651,,,
21,K00077,,,0.6492213634743601,,0.4320000000000001,,,,122.92599999999996,,2.5705,
22,K00078,,,0.698,,,,,,9.8352,,,
23,K00088,,,0.6570482425361025,,,,,,44.1146,,,
24,K00099,,,0.6414426819314902,,,,,,85.2637,,,
25,K00111,,,0.6759836590610069,,,,,,136.41859999999997,,,
26,K00116,,,0.5392924548257588,,,,,,25.429299999999998,,,
27,K00122,,,0.6555868946676694,,,,,,31.806800000000003,,,
28,K00124,,,0.6075367347302137,,,,,,32.5071,,,
29,K00126,,,0.657,,,0.623,,,8.4774,,,4.0267
30,K00127,,,0.5878566347337298,,,,,,8.1399,,,
31,K00133,,,0.6417501244003022,,,,,,46.6372,,,
32,K00134,,,0.6414618848086681,,,,,,27.947000000000003,,,
33,K00135,,,0.7070000000000001,,,,,,8.1719,,,
34,K00140,,,0.6702758971985577,,,,,,32.1862,,,
35,K00145,,,0.6912142628065655,,,,,,17.5197,,,
36,K00161,,,0.7226454748456587,,,,,,15.96,,,
37,K00162,,,0.7016763310850977,,,,,,18.7839,,,
38,K00163,,,0.6288637658746224,,,,,,317.06109999999995,,,
39,K00174,,,0.6710361539476258,,,,,,37.9206,,,
40,K00175,,,0.6430908118739657,,,,,,40.7439,,,
41,K00180,,,0.7040000000000001,,,,,,5.6487,,,
42,K00200,,,0.629,,,,,,3.0241,,,
43,K00208,,,0.6872851429104995,,,,,,21.5521,,,
44,K00215,,,0.6759396986758807,,,,,,35.1106,,,
45,K00228,,,0.6392893469799815,,,,,,36.284299999999995,,,
46,K00232,,,0.6719906410121516,,,,,,20.9179,,,
47,K00240,,,0.6182899498297085,,,,,,83.27890000000002,,,
48,K00241,,,0.6321838515611881,,,,,,78.94839999999999,,,
49,K00242,,,0.6463367393655258,,,,,,26.902,,,
50,K00249,,,0.667610783613749,,,,,,121.97870000000002,,,
51,K00252,,,0.67,,,,,,6.9238,,,
52,K00254,,,0.6174476683978056,,,,,,11.727699999999999,,,
53,K00257,,,0.6679999999999999,,,,,,7.826,,,
54,K00259,,,0.6747325981059277,,,,,,38.7075,,,
55,K00266,,,0.743,,,,,,6.161,,,
56,K00275,,,0.6887560395600996,,0.677,,,,50.810300000000005,,1.4188,
57,K00282,,,0.67,,,,,,7.706,,,
58,K00283,,,0.684,,,,,,11.5782,,,
59,K00286,,,0.660008729130765,,,0.718,,,45.18490000000001,,,3.2517
60,K00287,,,0.6467463466589656,,,,,,18.2357,,,
61,K00297,,,0.6803307254810927,,,,,,28.768800000000002,,,
62,K00299,,,0.7245173857881833,,,,,,13.204799999999999,,,
63,K00304,,,0.637,,,,,,5.7831,,,
64,K00305,,,0.657,,,,,,3.0081,,,
65,K00311,,,0.6590684931372867,,,,,,27.7705,,,
66,K00330,,,0.5871485720576946,,,,,,29.087000000000003,,,
67,K00331,,,0.6709999999999999,,,,,,22.8996,,,
68,K00332,,,0.647,,,,,,10.3719,,,
69,K00334,,,0.6102464000109535,,,,,,43.5866,,,
70,K00337,,,0.645,,,,,,8.2433,,,
71,K00338,,,0.6191799568056864,,,,,,93.3328,,,
72,K00339,,,0.5964585857040794,,,,,,39.0924,,,
73,K00340,,,0.5805365943669428,,,,,,71.7036,,,
74,K00341,,,,,0.247,,,,,,8.1964,
75,K00343,,,0.6348764375528289,,0.226,,,,18.9112,,11.823,
76,K00344,,,0.6423191215483418,,,,,,34.0847,,,
77,K00355,,,0.642,,,,,,4.1578,,,
78,K00363,,,0.6499999999999999,,,,,,5.373,,,
79,K00382,,,0.6829999999999999,,,,,,5.8045,,,
80,K00384,,,0.568,,,,,,7.0213,,,
81,K00389,,,0.6982029425278528,,,,,,10.668700000000001,,,
82,K00390,,,0.6713238825498068,,,,,,40.7734,,,
83,K00406,,,0.5531971855603752,,,,,,15.9555,,,
