Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,696.6626000000005,422123.5614999999,841396.9411000002,118883.49530000002,210802.58160000003,2938.2357,0.5908121446583271
 Anelloviridae,4.1577,2120.427,4278.2733,511.3971,1139.2098,24.9462,0.5489999999999999
 Archaea,1749.9199999999998,1201871.0523999995,2385507.500300002,338525.0913000001,599841.9342000001,7783.501100000007,0.5980818594626716
 Bacteria,927035.3931999826,692679263.4247171,1379802259.229712,195469611.42309752,343649896.84300506,4371818.397600086,0.6056883116067114
 Duplodnaviria,455.0217,385759.8075999999,761502.8866999998,107617.19289999998,195390.23209999994,2528.4456999999998,0.5390532121693379
 Eukaryota,4632.575500000004,3222233.8738000044,6365111.226399999,888838.4846000008,1584923.188100002,20863.990299999994,0.5371778206689097
 Riboviria,4.0145,1736.5656,3455.4708,449.32860000000005,804.3207,18.6008,0.5459068025180045
 Varidnaviria,10.3414,10485.882,19609.7666,2760.6018,5232.6438,47.0498,0.49220052120922153
 environmental samples,3.8581,2272.4209,4471.5379,613.4379,1138.1395,15.4324,0.604
 unclassified viruses,23.3845,20069.1771,38990.474200000004,5581.9938,9897.2404,137.33530000000002,0.4460276330691517
Unclassified,182206.5747000008,77219703.27600016,154647728.56690124,22020445.915300135,38641585.59439962,543780.952000002,0.5888967952691924
