Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,586.3760000000002,385363.4391999999,767291.1816999997,109134.16670000003,192142.8344,2610.027600000001,0.6305437026583229
 Archaea,1772.4448999999997,1319352.5547999993,2625380.0455000023,373930.87409999984,653739.0056000003,7731.329000000001,0.590463500922503
 Bacteria,801782.6966000055,584813408.2568008,1167149682.8456962,166150211.36949944,290736772.78280205,3693617.783699999,0.6344945654347409
 Duplodnaviria,757.0941999999995,739829.8588000009,1454765.3374000003,204930.21019999983,372648.52770000004,5441.6127000000015,0.5384969299920921
 Eukaryota,4598.137099999998,3049968.626799996,6035565.684199993,857235.0840000012,1505277.3866000003,20067.673500000004,0.5684476854221217
 Monodnaviria,5.0969999999999995,3140.55,6144.909,828.1890000000001,1646.4899999999998,20.387999999999998,0.47753401658992845
 Riboviria,16.549,7477.717799999999,15029.3924,1959.9268000000002,3794.5231999999996,27.524199999999997,0.6696174890534461
 Varidnaviria,25.272800000000004,10465.5468,20560.904599999998,2937.9764,5188.245,97.0443,0.5768941294728833
 environmental samples,10.264800000000001,9680.307400000002,19391.047300000002,2692.5439000000006,4982.270700000001,77.45100000000001,0.584520234695107
 unclassified viruses,26.564100000000003,34963.900799999996,70919.80889999999,10083.202099999999,18562.580299999998,106.7073,0.6161253702813289
Unclassified,175712.3670999988,72321157.77390024,145216009.8852992,20801550.097899936,36327573.86200032,508285.61910000385,0.6151565537040936
