Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,2371.6040000000003,1678028.0863999997,3344050.4771999996,460598.9674,829017.2198999998,10384.940200000005,0.5808777196547594
 Anelloviridae,2.2055,681.4994999999999,1389.465,189.67299999999997,357.29099999999994,6.616499999999999,0.7290000000000001
 Archaea,4731.9355,3426922.1254000003,6838294.583000005,966613.1531999994,1730622.8187000009,21055.639500000016,0.6367939157182219
 Bacteria,2562238.914799903,1939551484.664312,3874459101.7530084,548234120.4276974,971996801.0117124,12043282.491899868,0.6462203874420029
 Duplodnaviria,290.2822999999999,206235.93080000003,410417.0852999999,57185.335299999984,105592.66879999998,1310.9330000000002,0.5658150281212874
 Eukaryota,38155.04090000002,29378564.104499992,57762376.28650002,8021829.138899997,14323942.906499991,200582.56120000052,0.49916495939575645
 Monodnaviria,17.7729,6796.054,13623.827099999999,2026.9043000000001,3424.4009,47.9648,0.5197777429660491
 Polydnaviridae,14.988700000000001,10328.8469,20099.275700000002,2751.0575,4837.861,83.7945,0.44733782133031696
 Riboviria,102.12340000000002,87426.18759999999,174644.7698,25438.6008,45298.0823,640.1596000000001,0.558717070687463
 Varidnaviria,61.872099999999996,88088.4208,171856.89409999998,24748.3429,43445.6218,531.1324000000001,0.542796006476
 environmental samples,21.193599999999996,15176.615899999999,29605.702999999998,4090.0267999999996,7538.474999999999,102.83819999999999,0.6150077858184074
 unclassified virophages,5.5195,1335.719,2665.9184999999998,336.6895,678.8985,11.039,0.278
 unclassified viruses,51.90210000000001,34062.526999999995,66709.9091,9328.5531,16506.9856,225.87069999999997,0.5496730586986109
Unclassified,563108.7887999968,236865628.68050605,475466662.4690036,67429834.08220021,119262658.76299927,1611983.3733999818,0.6186982725328599
