Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,597.6247999999999,418164.8127999998,840812.5934000005,122102.95079999995,211661.5339,1983.7343000000003,0.6944054550495673
 Archaea,6593.3714,4376209.7228000015,8711115.323200006,1185674.1234000004,2172671.2435000036,29176.791800000028,0.44316754459337193
 Bacteria,468262.27919999644,303527740.61819977,607320427.7880976,86846749.29170172,151878712.78440002,1754514.6298000235,0.6761422438613088
 Duplodnaviria,71.5599,66161.85160000001,131012.5041,19031.8273,32762.416999999994,470.8037,0.6140751659153872
 Eukaryota,2352.9959999999996,1441731.9804999996,2882218.8161999993,410504.30379999964,717872.5853999999,8504.143099999996,0.6333973072547423
 Monodnaviria,11.1974,3056.8902,6561.6764,918.1868,1545.2412,22.3948,0.706
 Riboviria,33.5131,16622.497600000002,33513.1,5496.1484,8445.3012,0.0,0.715
 Varidnaviria,3.6415,2807.5965,5542.363,713.734,1252.6760000000002,10.9245,0.693
 unclassified viruses,2.9127,2178.6996,4386.5262,646.6194,1103.9133,14.563500000000001,0.621
Unclassified,88361.22679999989,33982500.67369994,68746514.92630024,9956241.657299927,17118549.174999956,196247.34269999954,0.6850876545930904
