Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,589.9445999999999,406053.1658,808819.8322000001,115304.76919999998,202305.36349999998,2613.3744999999985,0.6247729540164519
 Archaea,1756.271,1199745.0765999989,2387650.4255000004,339588.2981,599061.7054999998,8092.6173,0.6129776431796996
 Bacteria,882210.1031000132,622085861.348092,1239248266.2085066,175481860.76010102,308980907.7686054,4041155.484800013,0.620815197239767
 Duplodnaviria,2490.831000000001,2253911.059599997,4435158.1451,620546.0619000003,1140036.116199998,14854.379900000002,0.5066078500391753
 Eukaryota,5057.588399999996,3552618.989800002,7062742.033799987,1002285.2587999994,1781152.4376000022,23447.07160000001,0.5919368243384008
 Monodnaviria,8.5099,7398.9419,15019.026300000001,2161.3814999999995,4032.0384000000004,25.1479,0.5964884097300057
 Riboviria,18.925900000000002,12679.4017,25694.7845,3497.6817,6742.3997,83.89940000000001,0.5643226768206839
 Varidnaviria,12.6799,9045.1948,17738.7026,2506.9898,4608.0056,46.000299999999996,0.6439571208629529
 environmental samples,7.4621,10618.5683,21498.310100000002,2992.3021000000003,5611.4992,89.54520000000001,0.6349999999999999
 unclassified viruses,57.55679999999999,42654.34290000001,85657.7629,12366.6445,22089.6801,304.1848,0.5960559982689503
Unclassified,204222.9533999994,90003856.91609927,180308895.48289943,25650803.58790009,45348330.81009948,636790.3528000035,0.6066511400264765
