,Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj,ID,total_atm
0, ,68.10929999999999,0.26567749097836263,0.5259323742763716,0.07574143950731176,0.13083390854731225,0.001814786690641585,0.6847399749595267,BMI_Plate19WellE10_mms,167034.5069
1, Archaea,388.58560000000006,0.26384621924494167,0.5254622262412603,0.07500401735132997,0.1340084887066494,0.0016790484558187467,0.6119628671460444,BMI_Plate19WellE10_mms,980209.8886999999
2, Bacteria,60949.521200000105,0.26404711683495924,0.5270167146889478,0.07519104029320034,0.13216857142515626,0.0015765567577363175,0.6779415983755904,BMI_Plate19WellE10_mms,151084794.3984
3, Duplodnaviria,372.0047,0.2664735656142669,0.5232614558254118,0.073951252586062,0.13453243898051914,0.001781286993740161,0.5419155563606199,BMI_Plate19WellE10_mms,1288634.2335999997
4, Eukaryota,453.7857,0.2651432518726304,0.5260990490456063,0.07443676582332204,0.13264084040145513,0.0016800928569861303,0.6254129436823381,BMI_Plate19WellE10_mms,1015101.3933000002
5, Monodnaviria,6.7211,0.2657820667470849,0.5287494973864094,0.0735826296743064,0.1306795335745879,0.0012062726176115804,0.669,BMI_Plate19WellE10_mms,16715.375699999997
6, unclassified viruses,77.36439999999997,0.26870772326367925,0.5195697786323563,0.07363129125977655,0.13603999265951405,0.0020512141846739337,0.5130567542533676,BMI_Plate19WellE10_mms,222034.34599999996
7,Unclassified,17885.414200000043,0.2633275218773483,0.526352755928052,0.07572607528312059,0.13286088823544467,0.0017327586760344893,0.6300804726311237,BMI_Plate19WellE10_mms,30423952.23820002
0, ,825.2754999999994,0.2613983324545534,0.528827840713576,0.07748427646827342,0.13098789047257559,0.0013016598910215982,0.7134224591508842,BMI_Plate72WellF1,2007195.8259
1, Anelloviridae,7.239,0.2555831265508685,0.5295994328252392,0.07656859269762495,0.13470400567174762,0.003544842254519674,0.765,BMI_Plate72WellF1,20421.219
2, Archaea,5097.088599999998,0.26456398458173014,0.5279685553820819,0.07424808064643465,0.13163297586483602,0.0015864035249173016,0.5665472005687331,BMI_Plate72WellF1,12074171.986600008
3, Bacteria,584835.7099000118,0.2628675056968584,0.527759865228131,0.07636396031739666,0.131615130495613,0.001393538262000935,0.7115462589231183,BMI_Plate72WellF1,1451366523.8698997
4, Duplodnaviria,71.2392,0.26252676595671726,0.5269243456513518,0.07660928807551909,0.13293842401095893,0.0010011763054529306,0.7051266796519874,BMI_Plate72WellF1,202070.30359999998
5, Eukaryota,3732.136999999999,0.2609128110689573,0.5284700083064392,0.07797082567784103,0.13135739970332258,0.0012889552434399657,0.7249087537534442,BMI_Plate72WellF1,8706101.516800005
6, Riboviria,15.2294,0.26080420316180897,0.5282362930522795,0.07928851145206484,0.1307296825766076,0.000941309757239242,0.7334583754358279,BMI_Plate72WellF1,26152.921299999998
7, Varidnaviria,46.5437,0.2597666472521858,0.5246969153523603,0.0830204213266156,0.13197397121796706,0.0005420448508712166,0.7276791987322632,BMI_Plate72WellF1,118466.21160000002
8, unclassified viruses,14.0765,0.26281697160569567,0.5212659109768758,0.07945974650670534,0.13458668465610246,0.0018706862546207285,0.7241021107409654,BMI_Plate72WellF1,35349.4873
9,Unclassified,174789.330699999,0.2606021728448657,0.5292174542330452,0.07759958552479128,0.13123443940372984,0.0013463479935680916,0.7249739403799623,BMI_Plate72WellF1,275985281.57290006
0, ,846.1328,0.26429611990515034,0.5282135261986054,0.07388656077813768,0.13208038670039302,0.0015234064177134827,0.6122744715603688,BMI_Plate42WellG2,1956660.0647999998
1, Anelloviridae,3.4954,0.26458208057726995,0.5303668069753458,0.0781719783523752,0.12447384245339745,0.0024052916416115446,0.617,BMI_Plate42WellG2,5812.850200000002
2, Archaea,4726.331800000003,0.2638252150892676,0.5275154557262312,0.07487905818687486,0.1322418896280434,0.001538381369582955,0.6440957330095552,BMI_Plate42WellG2,13293760.184800006
3, Bacteria,889104.6474999838,0.26466784841030416,0.527075055364395,0.07445363761383106,0.1321686763638903,0.0016347822475794257,0.6228745086530786,BMI_Plate42WellG2,2417203182.8404145
4, Duplodnaviria,175.81130000000005,0.2637558290928346,0.526089039507782,0.07227012872305061,0.1362555152449371,0.001629487431395694,0.485070487481785,BMI_Plate42WellG2,572604.6007000001
5, Eukaryota,4953.0261,0.26433581690220914,0.5266110383042792,0.0739285268749098,0.13349368996133704,0.0016309279572648326,0.6006719138241002,BMI_Plate42WellG2,12175071.137599995
6, Riboviria,10.9573,0.267988582016156,0.5164891093172066,0.0756854032684564,0.13890845667381088,0.0009284487243701057,0.6382789047186702,BMI_Plate42WellG2,28008.762700000003
7, Varidnaviria,63.1292,0.2651639610058566,0.5261761261233983,0.0719622701309062,0.13441655707730987,0.00228108566252911,0.5028610040835809,BMI_Plate42WellG2,198515.7802
8, unclassified viruses,108.5458,0.27398745029650723,0.5211079100278407,0.07302188076132748,0.1304107004401664,0.00147205847415832,0.4286497979957671,BMI_Plate42WellG2,318678.5091999999
9,Unclassified,194007.24020000073,0.2636376196142432,0.5275779400470676,0.07445977814138563,0.13256160555016952,0.001763056647134052,0.6045165065977166,BMI_Plate42WellG2,319066296.7150995
0, Archaea,3.5605,0.26136829168373615,0.5231462515362556,0.07824662023760753,0.1356001638672675,0.0016386726751331422,0.562,BMI_Plate28WellF9,8691.1805
1, Bacteria,1324.9817999999989,0.2646049242476752,0.5276834802989998,0.0748672960840452,0.13106171477947928,0.0017825845898006645,0.6140828495907983,BMI_Plate28WellF9,2959287.6153999995
