ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN,siteID,collectDate,dnaSampleID,sampleTotalReadNumber,sampleFilteredReadNumber,soilID,plotID,year,nlcdClass,horizon,Nuc_CN,Genome_CN,Genome_C,Genome_N,mean_pH_CaCl,mean_pH_water,sd_pH_CaCl,sd_pH_water,domainID.x,mean_cn,mean_OrgC,mean_Org13C,mean_15n,mean_N,root_d15N_m,root_d13C_m,root_NPerc,root_CPerc,root_CN,root_live_mass,root_dead_mass,root_liveC,root_liveN,root_d15N_m_Coarse,root_d15N_m_Fine,root_d13C_m_Coarse,root_d13C_m_Fine,root_NPerc_Coarse,root_NPerc_Fine,root_CPerc_Coarse,root_CPerc_Fine,root_CN_Coarse,root_CN_Fine,root_live_mass_Coarse,root_live_mass_Fine,root_dead_mass_Coarse,root_dead_mass_Fine,root_liveN_Coarse,root_liveN_Fine,root_liveC_Coarse,root_liveC_Fine,field_mean_elevation_m,field_mean_annual_precipitation_mm,field_mean_annual_temperature_C,field_avg_number_of_green_days,domainID.y,ltr_sum_g_litt_per_m_per_d,ltr_mean_g_litt_per_m_per_d,ltr_sd_g_litt_per_m_per_d,ltr_mean_carbon,ltr_mean_nitrogen,ltr_mean_CNratio,ltr_sum_leafdryMass,ltr_mean_g_leaf_per_m_per_d,ltr_sd_g_leaf_per_m_per_d,ltr_gCperDay,ltr_gNperDay,ltr_mean_lignin,ltr_mean_cellulose,ltr_site_mean_gCperDay,ltr_site_se_gCperDay,ltr_site_mean_gNperDay,ltr_site_se_gNperDay,ltr_site_mean_CN_inputs,ltr_site_se_CN_inputs,ltr_site_mean_litterRate,ltr_site_se_litterRate,sandTotal,siltTotal,clayTotal,bulkDensThirdBar,bulkDensOvenDry,waterRetentionThirdBar,caco3Conc,gypsumConc,phCacl2,phH2o,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,so4Satx,alKcl,feKcl,mnKcl,alSatCecd33,carbonTot,nitrogenTot,ctonRatio,estimatedOC,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,soil_OrgCtoN,long,lat,spi30d,spi90d,spi180d,spi270d,spi1y,spi2y,spi5y,spei30d,spei90d,spei180d,spei270d,spei1y,spei2y,spei5y,test,X,verticalPosition,VSWC_ann_mean,VSWC_ann_var,VSWC_max,VSWC_min,VSWC_median,VSWC_range,VSIC_ann_mean,VSIC_ann_var,VSIC_max,VSIC_min,VSIC_median,VSIC_range,days,FtoB,GC_adj,lipids_total,lipid_fungi_perc,lipid_gram_pos_perc,lipid_gram_neg_perc,lipid_FtoB,mega_coarseFrag2To5,mega_coarseFrag5To20,mega_sandTotal,mega_siltTotal,mega_clayTotal,mega_carbonateClay,mega_clayFineContent,mega_siltFineContent,mega_siltCoarseContent,mega_sandVeryFineContent,mega_sandFineContent,mega_sandMediumContent,mega_sandCoarseContent,mega_sandVeryCoarseContent,mega_carbonTot,mega_nitrogenTot,mega_sulfurTot,mega_estimatedOC,mega_airDryOvenDry,mega_alMjelm,mega_caMjelm,mega_feMjelm,mega_kMjelm,mega_mgMjelm,mega_mnMjelm,mega_naMjelm,mega_pMjelm,mega_siMjelm,mega_srMjelm,mega_tiMjelm,mega_zrMjelm,mega_phCacl2,mega_phH2o,mega_ec12pre,mega_gypsumConc,mega_caco3Conc,mega_caNh4d,mega_kNh4d,mega_mgNh4d,mega_naNh4d,mega_cecdNh4,mega_alSatCecd33,mega_baseSumCecd10,mega_bsesatCecd10,mega_ececCecd33,mega_alKcl,mega_feKcl,mega_mnKcl,mega_bSatx,mega_brSatx,mega_caSatx,mega_clSatx,mega_co3Satx,mega_ecSatp,mega_flSatx,mega_waterSatx,mega_hco3Sx,mega_kSatx,mega_mgSatx,mega_naSatx,mega_no2Satx,mega_no3Satx,mega_pSatx,mega_phSp,mega_so4Satx,mega_cton,AGS_marker,GC_marker,Coding_density_marker,num_taxa_marker,refPlotID,fourth_plot
BMI_Plate10WellA2,6113683.90291,2188103613,357.902640658,2000000,0.7043064284622915,0.7048011416778197,3.478027464256241,OAES,2016-08-09,OAES_045-M-20160809-COMP-DNA1,10480503,7259093,OAES_045-M,OAES_045,2016,shrubScrub,M,1.214613939133519,7425765.6879307,56827907.63447172,47104718.714998275,7.52,NA,0.282842712474619,NA,NA,NA,NA,NA,NA,NA,-2.17249797182683,-22.355262187477,1.45679696142783,41.9591983184601,29.0934582196327,0.67795,0.09705,0.284462385,0.009876355,-2,-2.19641417534431,-27.9,-21.5865048706752,1.68,1.4258506886127,37.74,42.5441745045348,22.4,30.0214813570709,0.08255,0.5954,0.0593,0.03775,0.00138684,0.008489515,0.03115437,0.253308015,519,779,15.5,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.107747747747742,-99.057569,35.410788,-0.23999999463558197,-1.0099999904632568,-0.8999999761581421,-0.5400000214576721,-1.4500000476837158,-0.029999999329447746,-1.1299999952316284,-0.46000000834465027,-0.6200000047683716,-0.800000011920929,-0.5400000214576721,-0.7099999785423279,-0.10000000149011612,-1.1299999952316284,-99.057569,2,502,0.207711926146512,0.0599324508133848,0.37951801242236,0.123822239583333,0.206092395833333,0.255695772839027,1402.18697812773,61.1006871559391,1638.014953125,1323.1333234375,1382.2913252769,314.8816296875,307,0.00569137627790448,0.706104230058252,159.79833333333335,11.773333333333333,19.823333333333334,9.078333333333333,0.4008333333333333,196.33333333333334,459.3333333333333,15.833333333333334,67.2,16.966666666666665,0,NA,41.43333333333334,25.766666666666666,4.833333333333333,2.1,2.5,4.333333333333333,2.066666666666667,38.833333333333336,1.6333333333333333,0.3333333333333333,15.666666666666666,1.0203333333333333,60940,50336.333333333336,28963,23414.666666666668,20332,542.3333333333334,10260,1274.3333333333333,227389.33333333334,167.66666666666666,3712,139,7.666666666666667,8.233333333333334,0.41333333333333333,NA,193.33333333333334,47.33333333333333,0.36666666666666664,8.1,0,16.366666666666667,NA,55.800000000000004,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.775510204081634,5309679.09447518,0.6084541158394634,0.8790977040877839,48.5,NA,NA
BMI_Plate81WellG4,5893983.17843,3000016122,508.996383461,2000000,0.6790510460796256,0.7028092039886628,3.4503457611844763,CPER,2018-07-02,CPER_006-M-20180702-COMP-DNA1,11322834,5754740,CPER_006-M,CPER_006,2018,grasslandHerbaceous,M,1.2152186345034417,7162478.18987796,54797486.15834504,45400227.87496496,5.63333333333333,6.57666666666667,0.237135685491099,0.0585946527708232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1654,344,8.6,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.95643939393939,-104.748078,40.814769,-0.6200000047683716,0.3199999928474426,0.6299999952316284,0.23999999463558197,0.38999998569488525,0.10000000149011612,2.0899999141693115,-0.7099999785423279,-0.23999999463558197,-0.17000000178813934,-0.6200000047683716,-0.23999999463558197,-0.5400000214576721,1.1299999952316284,-104.748078,6,502,0.145129233999176,0.0569095563352344,0.286230833333333,0.0626,0.132742708333333,0.223630833333333,1992.48894636257,296.575896221204,2789.02314583333,1574.1231875,1913.45662631899,1214.89995833333,318,NA,NA,NA,NA,NA,NA,NA,8.5,4.5,72.65,15.450000000000001,11.9,NA,NA,7.15,8.3,16.15,33.2,19.950000000000003,2.75,0.6,7.35,0.85,0.35,7,1.0114999999999998,41497.5,4493.5,13308,21625.5,2401.5,463,6021,440.5,334975.5,142.5,2247,86.5,6.699999999999999,7.35,0.135,NA,0,9.3,0.45,1.55,0,9.3,NA,11.3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.647058823529411,6069472.772248437,0.6258890552378601,0.8740179272898576,54.25,NA,NA
BMI_Plate81WellF1,8574827.07887,2172643387,253.374600679,2000000,0.5376432413604207,0.6095774458632621,3.564059654523523,DEJU,2018-06-21,DEJU_047-O-20180621-COMP-DNA1,8108381,4973772,DEJU_047-O,DEJU_047,2018,evergreenForest,O,1.2435211325057955,10662978.680157786,80521249.59924328,65250810.74154672,4.11,4.72333333333333,0.615873363606513,0.438786204584116,D19,37.15,35.4725,-27.65,1.275,0.9525,-0.0206064115204423,-28.911432851664,0.916986936735711,48.3004423986836,54.5748487043936,7.59425833333333,4.07825,1.6383125125,0.0311009633333333,NA,-0.0206064115204423,NA,-28.911432851664,NA,0.916986936735711,NA,48.3004423986836,NA,54.5748487043936,3.5574,4.03685833333333,1.38935,2.6889,0,0.0311009633333333,0,1.6383125125,517,305,-3,120,D19,17.0740043433423,0.416439130325422,0.528802539027369,50.605,0.515,68.2,119.145,0.23068473760403,0.381755672088299,0.116738011464519,0.00118802639866075,NA,NA,0.0514233568318432,0.0106962310494951,3.58765237956682e-4,8.95010455427126e-5,166.219546022757,7.10518278321206,0.193973890221366,0.0343254209858393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.24146981627296,-145.739248,63.88224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145.739248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0527484108753765,0.616150241981913,5803.163333333333,16.683333333333334,10.92,10.7,0.739,0,0,34.2,60.1,5.7,NA,NA,27.3,32.8,19.3,9.9,3.3,1.1,0.6,169.7,6,0.5,170,1.065,59448,8493,28939,14705,6938,322,10106,185,217842,129,4352,30,3.7,4,0.68,0,NA,0.9,0.9,0.9,0,49.5,57,2.7,5,6.3,3.6,NA,0.4,NA,0,1.5,0.9,0,0.67,0,135.1,0,1.1,2.2,0,0,3.3,0,3.5,0.5,28.28333333333333,6291138.639918813,0.6033702027089265,0.8661414513688707,56.75,NA,NA
BMI_Plate72WellG4,7950295.406160001,4782868115,601.596276698,2000000,0.6130950544566546,0.6243177601013821,3.532099796897084,GRSM,2016-07-19,GRSM_060-O-20160719-COMP-DNA1,16978048,6507354,GRSM_060-O,GRSM_060,2016,deciduousForest,O,1.2390463942549377,9850784.856264144,74539443.44148189,60615578.46323813,3.62666666666667,4.71666666666667,0.197568553503166,0.168027775481714,NA,26.59642857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,1375,13.1,220,D07,126.685040152324,2.26223285986293,3.92619474597942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42842556892201,0.194587304847469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3186394557823,-83.503985,35.68601,0.10000000149011612,-0.6200000047683716,-1.0099999904632568,-0.46000000834465027,-0.6200000047683716,-0.3199999928474426,2.0899999141693115,0.10000000149011612,-0.6200000047683716,-1.1299999952316284,-0.6200000047683716,-0.5400000214576721,-0.3199999928474426,0.3199999928474426,-83.503985,18,501,0.169638521266991,0.0405251456852281,0.24439792532779,0.0681140923659674,0.171713098516949,0.176283832961823,1191.08458979795,52.9847492416981,1497.85306189694,1086.472921875,1187.53312708333,411.380140021944,345.5,0.0183099361097701,0.629346578033021,2787.963333333333,13.360000000000001,13.95,5.296666666666667,0.6736666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6774289.823198047,0.626688918436952,0.8688839740723602,56.75,NA,NA
BMI_Plate72WellF1,5889560.878719999,2970681281,504.397754293,2000000,0.7092597163643057,0.7100887735930126,3.4367860026386547,CPER,2016-07-19,CPER_002-M-20160719-COMP-DNA1,10632480,4572710,CPER_002-M,CPER_002,2016,grasslandHerbaceous,M,1.213008765159264,7144088.968826457,54713497.72582833,45409037.212411664,6.36333333333333,7.21,0.227449628123093,0.634980314655502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1654,344,8.6,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.6,8.766666666666666,16.633333333333333,1.3466666666666667,1.5833333333333333,11.1,0,NA,6,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0.8,10.333333333333334,7.666666666666667,0.06666666666666667,0.0033333333333333335,129.23333333333335,130.33333333333331,0.016666666666666666,10.95643939393939,-104.729248,40.810934,-0.23999999463558197,-0.10000000149011612,0.3199999928474426,0.7099999785423279,0.4699999988079071,1.2799999713897705,0.7099999785423279,-0.17000000178813934,0.17000000178813934,0.10000000149011612,0.23999999463558197,-0.029999999329447746,1.0099999904632568,-0.5400000214576721,-104.729248,6,502,0.145129233999176,0.0569095563352344,0.286230833333333,0.0626,0.132742708333333,0.223630833333333,1992.48894636257,296.575896221204,2789.02314583333,1574.1231875,1913.45662631899,1214.89995833333,318,0.006381513537602,0.711546258923118,NA,NA,NA,NA,NA,8.5,4.5,72.65,15.450000000000001,11.9,NA,NA,7.15,8.3,16.15,33.2,19.950000000000003,2.75,0.6,7.35,0.85,0.35,7,1.0114999999999998,41497.5,4493.5,13308,21625.5,2401.5,463,6021,440.5,334975.5,142.5,2247,86.5,6.699999999999999,7.35,0.135,NA,0,9.3,0.45,1.55,0,9.3,NA,11.3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.647058823529411,6121482.671057832,0.6127085729235415,0.8724986165159577,33.2,NA,NA
BMI_Plate25WellH11,5287121.30946,946528863,179.025372712,2000000,0.6378925939613621,0.6497810928305385,3.539136963882206,WOOD,2017-07-11,WOOD_045-O-20170711-COMP-DNA1,6420868,2924037,WOOD_045-O,WOOD_045,2017,grasslandHerbaceous,O,1.231316453962158,6510119.462432048,49435741.632211454,40445320.62860855,8.92,8.88,NA,NA,NA,NA,NA,NA,NA,NA,0.25,-25.6,0.71,40.285,56.7,3.39666666666667,0.2,1.36834716666667,0.0241163333333333,NA,0.25,NA,-25.6,NA,0.71,NA,40.285,NA,56.7,NA,3.39666666666667,NA,0.2,NA,0.0241163333333333,NA,1.36834716666667,591,494,4.9,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.246302,47.127465,0.38999998569488525,-0.6200000047683716,-0.8999999761581421,0.38999998569488525,0.17000000178813934,-0.46000000834465027,-0.3199999928474426,-0.23999999463558197,-0.8999999761581421,-0.7099999785423279,-0.3199999928474426,-0.10000000149011612,-0.5400000214576721,-0.800000011920929,-99.246302,26,501,0.145055152743657,0.0893245586291342,0.396721052631579,0.00661666666666667,0.1096,0.390104385964912,1627.32145090467,251.940477493351,2387.847675,1190.753,1577.01795152311,1197.094675,284,0.0107545505343287,0.654349857917632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3873327.6396814864,0.5865889918613884,0.887046302936205,50,NA,NA
BMI_Plate35WellE5,7385026.11147,671773793,90.9643084345,2000000,0.6115029235078787,0.6166556771571771,3.5056427725864663,JERC,2017-07-26,JERC_048-M-20170725-COMP-DNA1,2331742,2134140,JERC_048-M,JERC_048,2017,evergreenForest,M,1.2413723837201427,9167567.46783101,69296242.83710803,56249201.057881966,4.79,5.875,0.0989949493661171,0.0636396103067892,NA,24.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1308,19.2,220,D03,102.791517614887,1.0935267831371,1.18164295845703,50.31,0.545,106.6,881.224,0.932034119525586,1.16910058335251,0.468906365533322,0.00507958595141444,27.555,24.375,0.582742880373708,0.0472653002340486,0.00692514535278727,8.53317532919514e-4,93.7450922945837,6.94889384284578,1.45767370840417,0.115263494971357,82.25,12.5,5.25,NA,NA,NA,0,NA,5.050000000000001,5.65,NA,0,1.75,0.45,0,0.44,0,29.15,0.35,0.15,1.05,0.5,0.6,1.7,0,5.300000000000001,0.25,0.05,NA,4.8,7,6.9,0.55,12.5,7,0.045,0.03,282.15,92.9,0.01,24.017769002961497,-84.461913,31.196458,0.17000000178813934,0.38999998569488525,-1.1299999952316284,-0.029999999329447746,-0.7099999785423279,-0.3199999928474426,2.0899999141693115,0.3199999928474426,0.38999998569488525,-1.0099999904632568,-0.38999998569488525,-0.800000011920929,-0.5400000214576721,2.0899999141693115,-84.461913,35,502,0.0991051259342423,0.0435979263428811,0.179942289361702,0.0225323643410853,0.1097109375,0.157409925020617,1245.50535008843,108.255250075628,1473.26698096348,1018.63919812956,1237.24847569444,454.627782833919,342.5,NA,NA,43.37222222222222,12.068888888888889,23,18.30777777777778,0.2887777777777778,70,0,85.35,12.1,2.55,NA,NA,5.65,6.449999999999999,9.6,23.3,27.65,19.25,5.55,8.4,0.5,0.1,8.5,1.0030000000000001,10441,306.5,3492,793,346,258,126.5,91,372341,0,2613.5,52.5,4.550000000000001,5.550000000000001,0.04,NA,NA,0.65,0,0.2,0,2.75,31,0.85,25.5,1.05,0.2,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,7225198.189765461,0.6365495605466222,0.865614342975012,58.75,JERC_048,NA
BMI_Plate88WellC6,7470090.4285,2092244833,280.082932466,2000000,0.5996057706065965,0.6024456560428033,3.527993007586532,MLBS,2018-06-11,MLBS_001-M-20180611-COMP-DNA1,7403924,2839596,MLBS_001-M,MLBS_001,2018,deciduousForest,M,1.2456861401298633,9305388.112299202,70200580.75610325,56790956.528396755,3.95,4.65333333333333,0.0519615242270662,0.116761865920914,D07,13.9,2.32,-26.3,6.7,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170,1227,8.8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.75,31.65,15.600000000000001,NA,NA,NA,NA,0,4.05,4.1,NA,0,2.7,0.2,0,1.54,0,97,0,0.6,1.2,0.3,0,12,0,3.9,0.2,3.9,NA,135.60000000000002,79,41.599999999999994,2.75,14.5,41.5,0.265,0.45,1469.65,232.95000000000002,0.02,13.919999999999972,-80.524992,37.3607,0.38999998569488525,1.1299999952316284,0.8999999761581421,0.38999998569488525,0.6299999952316284,0.800000011920929,0.7099999785423279,0.23999999463558197,1.1299999952316284,1.0099999904632568,0.38999998569488525,0.4699999988079071,0.6299999952316284,0.6299999952316284,-80.524992,43,502,0.179438684620228,0.0374415464150227,0.289502993782879,0.111601458333333,0.185888020833333,0.177901535449546,1172.816191446,61.3237404876648,1774.51415560772,1066.36235052083,1167.53765845404,708.151805086884,349,0.00317485609334562,0.606391997842004,552.64,10.855555555555556,14.806666666666667,6.966666666666667,0.5031111111111111,5,4,78.8,14.6,6.6,NA,NA,11.1,3.5,12.1,51.7,14.1,0.8,0.1,32.7,1.8,0,33,1.011,10660,264,1729,1740,532,13,251,283,378511,15,2031,127,3.6,4.3,0.05,NA,NA,0,0,0.1,0,14,99,0.1,1,6.9,6.8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.166666666666668,6408062.6697163675,0.645568968049975,0.871332137842454,40,NA,NA
BMI_Plate61WellF4,6085112.42325,4003276879,657.880512397,2000000,0.6175333394079189,0.6196297366746439,3.535944087781899,TOOL,2017-07-22,TOOL_001-M-20170721-COMP-DNA1,14702731,9678083,TOOL_001-M,TOOL_001,2017,dwarfScrub,M,1.2404695442237688,7548396.6342193205,57080607.62404599,46366303.571204,4.79,6.17,NA,NA,D18,24.7,3.35,-27.5,-1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,316,-9,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.928571428571427,-149.54318,68.585776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-149.54318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394737243350243,0.624159282001982,680.105,5.6,14.559999999999999,14.829999999999998,0.1805,30,35,45.1,36.9,18,NA,NA,24.1,12.8,10.9,14.6,10.4,5.2,4,15.2,0.7,0.1,15,1.007,33466,778,18899,5625,2430,82,3540,403,313761,41,3385,83,4,4.8,0.07,NA,NA,0.2,0.1,0.3,0,6.2,73,0.6,10,2.2,1.6,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.714285714285715,4733096.005573144,0.6046658509659484,0.8781393184266815,38,NA,NA
BMI_Plate41WellF2,7371755.79897,2990247482,405.635721468,2000000,0.6191312749860989,0.6281664347567181,3.5294434319335113,GRSM,2017-07-18,GRSM_058-O-20170718-COMP-DNA1,10640827,9443098,GRSM_058-O,GRSM_058,2017,deciduousForest,O,1.2378780465917107,9125334.6683801,69086868.43156385,56232980.15092614,4.50666666666667,5.28333333333333,0.631057313826037,0.501431284757277,NA,26.59642857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,1375,13.1,220,D07,166.133994924786,2.72350811352108,2.96517015247601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42842556892201,0.194587304847469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3186394557823,-83.505443,35.691954,0.23999999463558197,0.800000011920929,0.7099999785423279,-0.029999999329447746,-0.5400000214576721,-0.6200000047683716,2.0899999141693115,0.4699999988079071,1.0099999904632568,0.800000011920929,-0.10000000149011612,-0.7099999785423279,-0.6200000047683716,0.8999999761581421,-83.505443,18,501,0.169638521266991,0.0405251456852281,0.24439792532779,0.0681140923659674,0.171713098516949,0.176283832961823,1191.08458979795,52.9847492416981,1497.85306189694,1086.472921875,1187.53312708333,411.380140021944,345.5,NA,NA,1808.1499999999999,8.996666666666666,13.193333333333333,7.34,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6422928.466278605,0.6380630633829997,0.8736280328905597,37.4,NA,NA
