,ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN
0,BMI_Plate10WellA2_mms,6113683.90291,2188103613,357.902640658,2000000,0.7043064284622915,0.7048011416778197,3.478027464256241
1,BMI_Plate81WellG4,5893983.17843,3000016122,508.996383461,2000000,0.6790510460796256,0.7028092039886628,3.4503457611844763
2,BMI_Plate81WellF1,8574827.07887,2172643387,253.374600679,2000000,0.5376432413604207,0.6095774458632621,3.564059654523523
3,BMI_Plate72WellG4,7950295.406160001,4782868115,601.596276698,2000000,0.6130950544566546,0.6243177601013821,3.532099796897084
4,BMI_Plate72WellF1,5889560.878719999,2970681281,504.397754293,2000000,0.7092597163643057,0.7100887735930126,3.4367860026386547
5,BMI_Plate25WellH11,5287121.30946,946528863,179.025372712,2000000,0.6378925939613621,0.6497810928305385,3.539136963882206
6,BMI_Plate35WellE5,7385026.11147,671773793,90.9643084345,2000000,0.6115029235078787,0.6166556771571771,3.5056427725864663
7,BMI_Plate88WellC6,7470090.4285,2092244833,280.082932466,2000000,0.5996057706065965,0.6024456560428033,3.527993007586532
8,BMI_Plate61WellF4,6085112.42325,4003276879,657.880512397,2000000,0.6175333394079189,0.6196297366746439,3.535944087781899
9,BMI_Plate41WellF2,7371755.79897,2990247482,405.635721468,2000000,0.6191312749860989,0.6281664347567181,3.5294434319335113
10,BMI_Plate41WellG7,9112347.65931,343251744,37.6688595336,1411243,0.4011335380677428,0.5869329003795488,3.4760763545113385
11,BMI_Plate19WellA9_mms,5763905.29285,169325498,29.3768702637,725958,0.7000631283738356,0.7038186751979622,3.4544163812284685
12,BMI_Plate72WellH3,7407975.40765,7845173113,1059.01716478,2000000,0.6002234768659963,0.6173025164019454,3.542433847980899
13,BMI_Plate81WellF9,7422522.766260001,3032072760,408.496255987,2000000,0.5962098964752084,0.6051422272891619,3.5408095187931607
14,BMI_Plate71WellC1,7229243.71649,10076645958,1393.87276915,2000000,0.6413571338390872,0.6451116643944009,3.502660061641686
15,BMI_Plate42WellA11,7065885.2674,7632227609,1080.15164699,2000000,0.6345003199994209,0.6417335820650535,3.5139158649062696
16,BMI_Plate2WellD12_mms,7376658.631360001,2406697030,326.25842543,2000000,0.6824997744846162,0.6859576345263266,3.46212743551207
17,BMI_Plate4WellE2_mms,7009299.697110001,2099884637,299.585511783,2000000,0.6080585860781083,0.6111865669901321,3.5005065040655667
18,BMI_18S_05_0382,7980573.391369999,1836959598,230.178899174,2000000,0.6288965830755129,0.6328671811843446,3.512784718126344
19,BMI_Plate71WellH11,5510006.29743,6714989503,1218.689987,2000000,0.6343287622827298,0.653227629235,3.51401962737489
20,BMI_Plate72WellG3,7073075.796080001,3287539535,464.796310655,2000000,0.6305565977529553,0.6379733787334934,3.543748565825432
21,BMI_Plate25WellH9,6029086.76182,4421637400,733.384271065,2000000,0.6577852597581048,0.6702496503155688,3.517359945090524
22,BMI_Plate19WellG2,7270002.98337,1829146971,251.601956036,2000000,0.6059047028563423,0.6105136321589868,3.53034926696751
