"","domainID","siteID","plotID","ltr_sum_g_litt_per_m_per_d","ltr_mean_g_litt_per_m_per_d","ltr_sd_g_litt_per_m_per_d","ltr_mean_carbon","ltr_mean_nitrogen","ltr_mean_CNratio","ltr_sum_leafdryMass","ltr_mean_g_leaf_per_m_per_d","ltr_sd_g_leaf_per_m_per_d","ltr_gCperDay","ltr_gNperDay","ltr_mean_lignin","ltr_mean_cellulose","ltr_site_mean_gCperDay","ltr_site_se_gCperDay","ltr_site_mean_gNperDay","ltr_site_se_gNperDay","ltr_site_mean_CN_inputs","ltr_site_se_CN_inputs","ltr_site_mean_litterRate","ltr_site_se_litterRate"
"1","D01","BART","BART_032",161.641815848417,1.99557797343725,2.85807453356177,51.8,0.5,100.55,1084.94,1.79416533939919,2.76608936878661,0.92937764580878,0.00897082669699595,16.84,18.75,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"2","D01","BART","BART_033",219.140312451792,2.70543595619497,4.81544592606771,49.95,0.55,95.95,1426.18,2.42279390399552,4.54445859563818,1.21018555504576,0.0133253664719754,16.885,20.54,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"3","D01","BART","BART_034",209.177248178838,2.46090880210398,3.94274381569468,50.9,0.5,98.7,1262.47,2.07030507328705,3.73973009263073,1.05378528230311,0.0103515253664353,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"4","D01","BART","BART_036",209.739610501136,2.65493177849539,4.17933001448565,50.9,0.55,95.3,1229.78,2.29739730598558,3.90490752799903,1.16937522874666,0.0126356851829207,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"5","D01","BART","BART_037",211.272317578401,2.67433313390381,4.32673753055423,50.4,0.533333333333333,95.6,1007.275,2.03449572464138,3.32410022839841,1.02538584521926,0.010850643864754,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"6","D01","BART","BART_039",192.935817936035,2.35287582848823,3.56512858841663,51.05,0.45,107.85,825.41,1.65554315378755,2.86978300025532,0.845154780008542,0.00744994419204396,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"7","D01","BART","BART_040",219.983550043272,2.55794825631712,4.44959321561205,49.6,0.6,89.8,1098.66,2.38645748439828,4.0002766135511,1.18368291226155,0.0143187449063897,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"8","D01","BART","BART_041",239.507518578723,2.88563275396052,4.91196459262816,51.85,0.55,94.4,1061.365,2.27327126806662,3.78485616409619,1.17869115249254,0.0125029919743664,NA,NA,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"9","D01","BART","BART_042",220.333755187081,3.38975007980125,6.24910728629939,49.9,0.6,81.9,919.39,3.10908109640443,5.0362686053835,1.55143146710581,0.0186544865784266,18.76,22.12,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
"10","D01","BART","BART_044",121.115951593098,1.95348309021126,2.81294313785909,51.75,0.5,107.4,513.22,1.68458078900078,2.74680490265378,0.871770558307904,0.0084229039450039,19.19,20.83,1.10145153083783,0.049233352496489,0.0117007393415063,0.000706819898202735,96.0270355375619,2.44111985542418,2.46070099629095,0.0860638048467504
