"","siteID","horizon","mega_coarseFrag2To5","mega_coarseFrag5To20","mega_sandTotal","mega_siltTotal","mega_clayTotal","mega_carbonateClay","mega_clayFineContent","mega_siltFineContent","mega_siltCoarseContent","mega_sandVeryFineContent","mega_sandFineContent","mega_sandMediumContent","mega_sandCoarseContent","mega_sandVeryCoarseContent","mega_carbonTot","mega_nitrogenTot","mega_sulfurTot","mega_estimatedOC","mega_airDryOvenDry","mega_alMjelm","mega_caMjelm","mega_feMjelm","mega_kMjelm","mega_mgMjelm","mega_mnMjelm","mega_naMjelm","mega_pMjelm","mega_siMjelm","mega_srMjelm","mega_tiMjelm","mega_zrMjelm","mega_phCacl2","mega_phH2o","mega_ec12pre","mega_gypsumConc","mega_caco3Conc","mega_caNh4d","mega_kNh4d","mega_mgNh4d","mega_naNh4d","mega_cecdNh4","mega_alSatCecd33","mega_baseSumCecd10","mega_bsesatCecd10","mega_ececCecd33","mega_alKcl","mega_feKcl","mega_mnKcl","mega_bSatx","mega_brSatx","mega_caSatx","mega_clSatx","mega_co3Satx","mega_ecSatp","mega_flSatx","mega_waterSatx","mega_hco3Sx","mega_kSatx","mega_mgSatx","mega_naSatx","mega_no2Satx","mega_no3Satx","mega_pSatx","mega_phSp","mega_so4Satx","mega_cton"
"1","ABBY","M",163.5,38.5,25.8,38.05,36.15,NA,NA,28.25,9.8,7.85,8.6,5.6,2.35,1.4,74.75,3.6,0.2,75,1.074,91227.5,5575.5,61601,3315.5,3187.5,1163,5492.5,711.5,185316,86,7877,94,4.7,5.4,0.03,NA,NA,2.65,0.4,0.65,0,29.15,52,3.7,10.5,6,2.3,NA,25.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7638888888889
"2","ABBY","O",115,95,27.2,36.4,36.4,NA,NA,28,8.4,7.7,9.1,5.9,1.9,2.6,137.6,5.9,0.4,138,1.075,87085,6350,60108,3241,3477,1411,5325,819,179617,90,7553,85,4.7,5.5,0.12,NA,NA,5.4,0.6,1.2,0,36.2,28,7.2,20,10,2.8,NA,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3220338983051
"3","BARR","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.1,13.75,2.1,321,1.066,24805.5,5643,22038.5,6217,3374.5,433.5,2351.5,1163.5,108692,48,1606,43,4.85,5.4,2.75,0,NA,24.3,2.05,38.1,0.8,62.85,1,65.25,75,28.4,0.1,NA,19.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3527272727273
"4","BART","M",82.4,115.6,59.22,36.76,4.02,NA,NA,16.5,20.26,18.36,17.12,9.8,8.16,5.78,104.36,4.62,0.54,104.6,1.043,52644.6,3661,14697.2,21810.6,902,366.4,18069.2,315.8,267258.2,59.4,2236.2,248.6,4.32,4.98,0.116,NA,NA,0.54,0.44,0.2,0,19.98,74,1.18,2.8,4.7,1.96,NA,2.84,NA,0,0.06,0.34,0,0.2,0.02,107,0.02,0.4,0.1,0,0.02,0.04,0.36,4.52,0.3,22.5887445887446
"5","BART","O",0,0,34.3,53.9,11.8,NA,NA,30.3,23.6,12.1,11.6,3.2,3.1,4.3,447.5,18.2,1.5,448,1.121,15571,3104,4744,5433,584,465,4890,942,88148,23,815,101,3.4,4.5,1.38,NA,NA,9.3,3.3,1.5,0,66,11,14.1,21,15.8,1.7,NA,29.8,NA,0.1,0.8,0.7,0,0.78,2,361.1,0,2.8,0.4,0,0,0,4.3,3.8,1.1,24.5879120879121
"6","BLAN","M",132.333333333333,54.3333333333333,23.3666666666667,51.1333333333333,25.5,NA,NA,31.2666666666667,19.8666666666667,9.46666666666667,5.66666666666667,3.23333333333333,2.66666666666667,2.33333333333333,10.6,0.9,0,10.3333333333333,1.012,57996,1617.33333333333,32459.3333333333,20624,3582.66666666667,1312.66666666667,677.333333333333,382,313557,18.3333333333333,5285.66666666667,135.333333333333,5.3,5.96666666666667,0.143333333333333,NA,0,4.9,0.533333333333333,0.633333333333333,0,7.73333333333333,NA,6.06666666666667,78,NA,NA,NA,NA,NA,0,2.3,0.4,0,0.42,0.2,59.3,2,1,0.6,0,0,0,0,6,0.5,11.7777777777778
"7","BLAN","O",0,0,21.2,78.8,0,NA,NA,49.2,29.6,6.6,7.9,3.5,1.9,1.3,430.4,12.1,0.4,430,1.071,9936,18029,5484,4240,2028,437,36,681,65772,27,1038,33,NA,NA,NA,NA,NA,60.7,3.3,11.7,0,56.4,NA,75.7,100,NA,0,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5702479338843
"8","BONA","M",0,0,25.7,63,11.3,NA,NA,31.8,31.2,9.3,7.8,4.9,2.5,1.2,49.2,1.9,0.1,49,1.021,45376,7751,34595,9525,7391,301,8491,516,220248,100,3982,49,4.3,5.1,0.11,NA,NA,10.6,0.2,3.2,0,18.1,11,14,77,15.7,1.7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8947368421053
"9","BONA","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.4,9.2,0.55,325.5,1.0735,31551.5,8243,22154.5,7432.5,4881,291,4902.5,1062,122791,86,2238,37,3.95,4.7,0.88,0,0,4.9,0.8,3.2,0.05,68.5,60,8.95,12,6.2,3.25,NA,91.8,NA,0,0.95,0.5,0,0.37,0.1,509.75,0.2,0.45,0.7,0.55,0,0,0.15,4.5,0.55,35.3695652173913
"10","CLBJ","M",0,1,57.2,33.8,9,NA,NA,7.8,26,41.75,15.1,0.25,0.1,0,3.8,0.6,0,4,1.012,21640,718,6021,9014.5,1541.5,85,2067,49,418276,31.5,2495.5,180,4.7,5.55,0.035,NA,0,2.4,0.2,1.75,0,5.8,NA,4.35,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33333333333333
"11","CPER","M",8.5,4.5,72.65,15.45,11.9,NA,NA,7.15,8.3,16.15,33.2,19.95,2.75,0.6,7.35,0.85,0.35,7,1.0115,41497.5,4493.5,13308,21625.5,2401.5,463,6021,440.5,334975.5,142.5,2247,86.5,6.7,7.35,0.135,NA,0,9.3,0.45,1.55,0,9.3,NA,11.3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64705882352941
"12","DCFS","M",17.6666666666667,12,32.1,34.2666666666667,33.6333333333333,NA,NA,21.1333333333333,13.1333333333333,9.73333333333333,12.3,6.53333333333333,2.1,1.43333333333333,37.5333333333333,3.4,0.233333333333333,37,1.02566666666667,56791,9370.33333333333,26589,15722,6803,910.666666666667,8282.66666666667,601,283987.666666667,133,3014.33333333333,114,6.13333333333333,7,0.2,NA,3.33333333333333,20.2666666666667,1.63333333333333,7.06666666666667,0,29.2,NA,28.9666666666667,99,NA,NA,NA,NA,NA,0,4.5,0.6,0,0.71,1.9,93.2,3.9,1.2,2.5,0,0.1,0,0,6.4,0.5,11.0392156862745
"13","DEJU","M",21,46,32.8,58.75,8.45,NA,NA,29.65,29.1,17.3,8.1,3.3,2.1,2,16.05,1,0,16,1.0225,78136.5,8394.5,42467.5,18727,9258.5,420,11141.5,288.5,279741,140,5726,45.5,4.9,5.35,0.035,NA,NA,0.4,0.25,0.2,0,9.2,64,0.85,10,2.75,1.9,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05
"14","DEJU","O",0,0,34.2,60.1,5.7,NA,NA,27.3,32.8,19.3,9.9,3.3,1.1,0.6,169.7,6,0.5,170,1.065,59448,8493,28939,14705,6938,322,10106,185,217842,129,4352,30,3.7,4,0.68,0,NA,0.9,0.9,0.9,0,49.5,57,2.7,5,6.3,3.6,NA,0.4,NA,0,1.5,0.9,0,0.67,0,135.1,0,1.1,2.2,0,0,3.3,0,3.5,0.5,28.2833333333333
