uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotID,collectDate,processedDate,laboratoryName,sampleID,sampleCode,biomassID,internalLabID,batchID,testProtocolVersion,lipids_total,lipid_fungi_perc,lipid_gram_pos_perc,lipid_gram_neg_perc,lipid_FtoB
52647005-6729-4643-afa5-18006eb114aa,HARV_002.basePlot.bgc,D01,HARV,42.478565,-72.259572,WGS84,20.12,193.6,0.1,HARV_002,2018-04-17,12/10/19,EcoCore_CSU,HARV_002-M-9.5-1.5-20180417,A00000001239,HARV_002-M-9.5-1.5-20180417-BM,B12-15,20191210 Set 12-1,EcoCore_PLFA_SOP_v2,1218.36,13.27,12.47,9.26,0.611
5d328ece-194d-4f14-aee1-553e60dde228,HARV_002.basePlot.bgc,D01,HARV,42.478565,-72.259572,WGS84,20.12,193.6,0.1,HARV_002,2018-04-17,3/29/19,EcoCore_CSU,HARV_002-O-34.5-24-20180417,A00000001236,HARV_002-O-34.5-24-20180417-BM,B4-20,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,6835.6,19.2,8.87,9.15,0.997
7f60f728-33f3-4149-8161-d5f16d3c3732,HARV_002.basePlot.bgc,D01,HARV,42.478565,-72.259572,WGS84,20.12,193.6,0.1,HARV_002,2018-04-17,3/29/19,EcoCore_CSU,HARV_002-M-34.5-24-20180417,A00000001238,HARV_002-M-34.5-24-20180417-BM,B4-5,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,441.78,8.62,9.94,7.83,0.449
45988a82-311b-4a67-af4d-8a7879983f9b,HARV_002.basePlot.bgc,D01,HARV,42.478565,-72.259572,WGS84,20.12,193.6,0.1,HARV_002,2018-04-17,3/29/19,EcoCore_CSU,HARV_002-O-28.5-1.5-20180417,A00000001234,HARV_002-O-28.5-1.5-20180417-BM,B4-19,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,5365.91,11.98,9.96,17.61,0.417
cace7f59-4e3a-4717-ba6d-8fcb38bd6abe,HARV_002.basePlot.bgc,D01,HARV,42.478565,-72.259572,WGS84,20.12,193.6,0.1,HARV_002,2018-04-17,12/10/19,EcoCore_CSU,HARV_002-M-28.5-1.5-20180417,A00000001237,HARV_002-M-28.5-1.5-20180417-BM,B12-47,20191210 Set 12-1,EcoCore_PLFA_SOP_v2,312.92,15.16,12.32,6.55,0.803
cfca8337-c4cb-4338-803f-869180dd9bc2,HARV_005.basePlot.bgc,D01,HARV,42.489469,-72.275158,WGS84,20.12,189.8,0.3,HARV_005,2018-04-17,3/29/19,EcoCore_CSU,HARV_005-O-12.5-38-20180417,A00000001247,HARV_005-O-12.5-38-20180417-BM,B4-28,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,6173.12,14.89,9.72,13.11,0.604
420dd1f9-c805-4cfa-95f4-6d883c408595,HARV_005.basePlot.bgc,D01,HARV,42.489469,-72.275158,WGS84,20.12,189.8,0.3,HARV_005,2018-04-17,3/29/19,EcoCore_CSU,HARV_005-M-12.5-38-20180417,A00000001242,HARV_005-M-12.5-38-20180417-BM,B4-3,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,530.64,8.39,8.61,6.12,0.505
9955d95b-33bb-4ecf-82f2-69512b874fc5,HARV_021.basePlot.bgc,D01,HARV,42.45243,-72.250472,WGS84,20.1,175.1,0.1,HARV_021,2018-04-17,3/29/19,EcoCore_CSU,HARV_021-O-1-22.5-20180417,A00000001283,HARV_021-O-1-22.5-20180417-BM,B4-35,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,3910.48,12.18,9.88,14.19,0.479
365cffcb-9e1d-4d84-ad31-b0d808829261,HARV_005.basePlot.bgc,D01,HARV,42.489469,-72.275158,WGS84,20.12,189.8,0.3,HARV_005,2018-04-17,10/31/19,EcoCore_CSU,HARV_005-O-36-21-20180417,A00000001245,HARV_005-O-36-21-20180417-BM,B12-49,20191031 Set 12-2,EcoCore_PLFA_SOP_v2,770.55,17.38,10.57,8.93,0.891
bf0001ca-ebef-4a74-acea-98e339ea6540,HARV_005.basePlot.bgc,D01,HARV,42.489469,-72.275158,WGS84,20.12,189.8,0.3,HARV_005,2018-04-17,3/29/19,EcoCore_CSU,HARV_005-O-36-21-20180417,A00000001245,HARV_005-O-36-21-20180417-BM,B4-7,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,491.89,7.26,9.45,6.44,0.407
dc289254-3b03-48e5-8f05-f32483eef087,HARV_021.basePlot.bgc,D01,HARV,42.45243,-72.250472,WGS84,20.1,175.1,0.1,HARV_021,2018-04-17,3/29/19,EcoCore_CSU,HARV_021-M-1-22.5-20180417,A00000001262,HARV_021-M-1-22.5-20180417-BM,B4-11,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,475.85,9.05,10.58,10.89,0.375
cca3ec4f-c6a1-49eb-91f7-e1acf6096a4a,HARV_021.basePlot.bgc,D01,HARV,42.45243,-72.250472,WGS84,20.1,175.1,0.1,HARV_021,2018-04-17,3/29/19,EcoCore_CSU,HARV_021-O-16.5-6-20180417,A00000001282,HARV_021-O-16.5-6-20180417-BM,B4-38,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,2491.74,11.06,9.55,13.79,0.441
51574795-edbf-40bb-ab35-a2c43900a3cb,HARV_005.basePlot.bgc,D01,HARV,42.489469,-72.275158,WGS84,20.12,189.8,0.3,HARV_005,2018-04-17,3/29/19,EcoCore_CSU,HARV_005-M-21.5-5.5-20180417,A00000001246,HARV_005-M-21.5-5.5-20180417-BM,B4-2,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,888.74,9.48,9.09,6.82,0.533
ffda06fe-ad73-4664-ab5b-b5b3b29c5845,HARV_021.basePlot.bgc,D01,HARV,42.45243,-72.250472,WGS84,20.1,175.1,0.1,HARV_021,2018-04-17,3/29/19,EcoCore_CSU,HARV_021-M-16.5-6-20180417,A00000001261,HARV_021-M-16.5-6-20180417-BM,B4-10,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,278.39,7.66,10.06,15.04,0.284
c1e8a2fb-250d-4195-9d05-ad8430c72d0a,HARV_021.basePlot.bgc,D01,HARV,42.45243,-72.250472,WGS84,20.1,175.1,0.1,HARV_021,2018-04-17,3/29/19,EcoCore_CSU,HARV_021-O-28.5-1-20180417,A00000001281,HARV_021-O-28.5-1-20180417-BM,B4-34,20190329 Set 4-1,EcoCore_PLFA_SOP_v2,1367.95,8.82,10,7.62,0.464
