"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"1","ABBY_001","M",2016,2016-10-05,4.47,5.34,0.13,0.0435889894354066
"2","ABBY_001","M",2017,2017-05-10,4.36,5.295,0.254558441227157,0.388908729652602
"3","ABBY_001","M",2017,2017-06-07,4.64666666666667,5.54666666666667,0.208166599946613,0.177857620959388
"4","ABBY_001","M",2017,2017-10-20,4.83333333333333,5.76666666666667,0.17156145643277,0.124230967690561
"5","ABBY_001","M",2018,2018-04-18,4.74,5.81,NA,NA
"6","ABBY_001","M",2018,2018-07-03,4.42666666666667,5.45666666666667,0.164418166068514,0.168027775481714
"7","ABBY_001","M",2018,2018-10-24,4.74,5.81666666666667,0.0435889894354063,0.0642910050732863
"8","ABBY_001","M",2019,2019-04-18,4.73333333333333,5.79666666666667,0.196044212700435,0.0702376916856848
"9","ABBY_001","M",2019,2019-07-01,4.63,5.55333333333333,0.228691932520585,0.229419557434264
"10","ABBY_001","M",2019,2019-10-24,4.44333333333333,5.42,0.0513160143944687,0.0264575131106462
"11","ABBY_001","M",2020,2020-07-29,4.14,4.945,0.113137084989848,0.148492424049175
"12","ABBY_001","M",2020,2020-10-28,4.49,4.87,0.0565685424949239,0.395979797464467
"13","ABBY_001","O",2017,2017-05-10,4.29,5.13,NA,NA
"14","ABBY_001","O",2018,2018-04-18,4.57,5.63,NA,NA
"15","ABBY_001","O",2020,2020-07-29,3.31,4.15,NA,NA
"16","ABBY_001","O",2020,2020-10-28,4.18,4.93,NA,NA
"17","ABBY_002","M",2017,2017-05-11,4.525,5.395,0.00707106781186595,0.0212132034355966
"18","ABBY_002","M",2017,2017-10-19,4.38333333333333,5.18,0.11503622617825,0.310483493925201
"19","ABBY_002","M",2018,2018-04-18,4.71,5.58,0.0692820323027551,0.217944947177034
"20","ABBY_002","M",2018,2018-07-05,4.28,5.35,0.282842712474619,0.240416305603426
"21","ABBY_002","M",2018,2018-10-22,4.14,5.365,0.197989898732233,0.120208152801713
"22","ABBY_002","M",2019,2019-04-16,4.29,5.57,NA,NA
"23","ABBY_002","M",2019,2019-07-03,4.19666666666667,5.13666666666667,0.282193786843958,0.280059517483933
"24","ABBY_002","M",2019,2019-10-23,3.28,4.43,0.113137084989847,0.15556349186104
"25","ABBY_002","M",2020,2020-07-26,4.23,5.055,0.0848528137423858,0.120208152801713
"26","ABBY_002","O",2016,2016-10-04,3.98,4.88,0.405955662603689,0.376430604494374
"27","ABBY_002","O",2017,2017-05-11,3.38,4.59,NA,NA
"28","ABBY_002","O",2017,2017-06-05,3.87666666666667,4.79333333333333,0.402160830182818,0.455668007801001
"29","ABBY_002","O",2018,2018-07-05,4.27,5.27,NA,NA
"30","ABBY_002","O",2018,2018-10-22,4.51,5.54,NA,NA
"31","ABBY_002","O",2019,2019-04-16,3.98,5.29,0.5939696961967,0.353553390593274
"32","ABBY_002","O",2019,2019-10-23,3.02,4.03,NA,NA
"33","ABBY_002","O",2020,2020-07-26,4.12,4.95,NA,NA
