"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","samplingImpractical","subsampleIDList","subsampleCodeList","poolSampleID","poolSampleCode","cnSampleID","cnSampleCode","bgcArchiveID","bgcArchiveCode","toxicodendronPossible","measuredBy","recordedBy","dataQF","publicationDate","release"
"13039107-9ebf-4525-8673-e5b79e2b4978","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074830.20160714.NORTH.05-1.LIVE|BBC.BART074830.20160714.SOUTH.05-1.LIVE","|","BBC.BART074830.20160714.05-1.POOL",NA,"BBC.BART074830.20160714.05-1.POOL.CN",NA,"BBC.BART074830.20160714.05-1.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"a05fdb50-3b06-4f65-aeb5-3e686de0725d","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074830.20160714.NORTH.2-10.LIVE|BBC.BART074830.20160714.SOUTH.2-10.LIVE","|","BBC.BART074830.20160714.2-10.POOL",NA,"BBC.BART074830.20160714.2-10.POOL.CN",NA,"BBC.BART074830.20160714.2-10.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"5d15a697-545f-4bb4-add1-7c2336786326","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074830.20160714.NORTH.0-05.LIVE|BBC.BART074830.20160714.SOUTH.0-05.LIVE","|","BBC.BART074830.20160714.0-05.POOL",NA,"BBC.BART074830.20160714.0-05.POOL.CN",NA,"BBC.BART074830.20160714.0-05.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"5cd860ce-5499-49df-889a-5126acd0d06d","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074830.20160714.SOUTH.1-2.LIVE|BBC.BART074830.20160714.NORTH.1-2.LIVE","|","BBC.BART074830.20160714.1-2.POOL",NA,"BBC.BART074830.20160714.1-2.POOL.CN",NA,"BBC.BART074830.20160714.1-2.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"c3f3c660-9607-49b2-9723-cda0dd88b3b0","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074668.20160714.SOUTH.05-1.LIVE|BBC.BART074668.20160714.NORTH.05-1.LIVE","|","BBC.BART074668.20160714.05-1.POOL",NA,"BBC.BART074668.20160714.05-1.POOL.CN",NA,"BBC.BART074668.20160714.05-1.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"9bf8b57f-b52c-4ce4-aa3f-0149a48e8ceb","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074668.20160714.SOUTH.1-2.LIVE|BBC.BART074668.20160714.NORTH.1-2.LIVE","|","BBC.BART074668.20160714.1-2.POOL",NA,"BBC.BART074668.20160714.1-2.POOL.CN",NA,"BBC.BART074668.20160714.1-2.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"6388b85b-6357-4e4b-a2aa-4285719cca57","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074668.20160714.NORTH.2-10.LIVE|BBC.BART074668.20160714.SOUTH.2-10.LIVE","|","BBC.BART074668.20160714.2-10.POOL",NA,"BBC.BART074668.20160714.2-10.POOL.CN",NA,"BBC.BART074668.20160714.2-10.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"9fa34cc1-8266-4f02-b17c-c0dd29c082dd","BART_074.basePlot.bbc","D01","BART","BART_074",2016-07-14,2016-07-14,NA,"BBC.BART074668.20160714.NORTH.0-05.LIVE|BBC.BART074668.20160714.SOUTH.0-05.LIVE","|","BBC.BART074668.20160714.0-05.POOL",NA,"BBC.BART074668.20160714.0-05.POOL.CN",NA,"BBC.BART074668.20160714.0-05.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"46251666-e0fa-4802-82b2-25e1945fae4c","BART_046.basePlot.bbc","D01","BART","BART_046",2016-07-14,2016-07-14,NA,"BBC.BART046763.20160714.NORTH.2-10.LIVE|BBC.BART046763.20160714.SOUTH.2-10.LIVE","|","BBC.BART046763.20160714.2-10.POOL",NA,"BBC.BART046763.20160714.2-10.POOL.CN",NA,"BBC.BART046763.20160714.2-10.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"afcecf6e-5288-4cf3-8d47-a4f63342d10e","BART_046.basePlot.bbc","D01","BART","BART_046",2016-07-14,2016-07-14,NA,"BBC.BART046763.20160714.SOUTH.05-1.LIVE|BBC.BART046763.20160714.NORTH.05-1.LIVE","|","BBC.BART046763.20160714.05-1.POOL",NA,"BBC.BART046763.20160714.05-1.POOL.CN",NA,"BBC.BART046763.20160714.05-1.POOL.AR",NA,NA,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
