"uid","namedLocation","domainID","siteID","plotID","sampleID","dilutionSampleID","dilutionSubsampleID","collectDate","samplingImpractical","dilutionSubsampleVolume","sampleVolume","ovenStartDate","ovenEndDate","dryMass","somDryMass","remarks","measuredBy","recordedBy","publicationDate","release"
"fc004fcc-baf3-475b-a4fc-8acd8cb6c88b","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.04",2016-07-14,NA,20,3000,NA,NA,0.0035,0.153,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"d9fe6179-f949-4f3a-9e93-3c2dbeaabe2c","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.09",2016-07-14,NA,20,3000,NA,NA,0.5734,0.1481,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"f6dbe581-c284-40eb-aafd-c8eb1a8a49eb","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.05",2016-07-14,NA,20,3000,NA,NA,0.0049,0.1519,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"d55e5fa1-6e93-4d47-8ccc-9cff39656029","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.07",2016-07-14,NA,20,3000,NA,NA,0.0052,0.1246,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"9822f853-118b-4620-8d79-d6b60da7f406","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.02",2016-07-14,NA,20,3000,NA,NA,0.0034,0.119,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"962158b4-2c1d-46c3-b54c-6fb5fe02ed07","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.08",2016-07-14,NA,20,3000,NA,NA,0.0053,0.1309,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"262cb59f-95f2-41a6-9cc9-3bf82acfdc56","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.06",2016-07-14,NA,20,3000,NA,NA,0.0044,0.0839,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"b39d177f-540f-493e-8022-29f31e2bc32a","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.10",2016-07-14,NA,20,3000,NA,NA,0.0033,0.1567,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"e43c5eee-445b-459a-b5cf-243efacac812","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.03",2016-07-14,NA,20,3000,NA,NA,0.0042,0.0764,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
"4c10d0f3-0f0a-4b31-a73d-2af725f0afc3","BART_074.basePlot.bbc","D01","BART","BART_074","BBC.BART074830.20160714.SOUTH","BBC.BART074830.20160714.SOUTH.DIL","BBC.BART074830.20160714.SOUTH.DIL.01",2016-07-14,NA,20,3000,NA,NA,0.0045,0.1581,NA,NA,NA,"20201217T145608Z","RELEASE-2021"
