"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","poolSampleID","poolSampleCode","cnSampleID","cnSampleCode","sampleType","co2Trapped","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"62c3165c-5a7c-4129-bb82-d05fa0ec4555",2017-03-30,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 15:56:00,"BBC.BART074830.20160714.05-1.POOL",NA,"BBC.BART074830.20160714.05-1.POOL.CN",NA,"vegetation","N",-0.3,-29.1,0.8,49.9,60.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"298bffdc-1458-4a94-ba6e-3ceb65c64dfe",2017-03-30,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 15:56:00,"BBC.BART074830.20160714.0-05.POOL",NA,"BBC.BART074830.20160714.0-05.POOL.CN",NA,"vegetation","N",0.3,-29,1.3,48.7,36.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"506bb5b0-2c78-4006-aa1e-139c74bf0cb1",2017-04-22,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 15:56:00,"BBC.BART074830.20160714.2-10.POOL",NA,"BBC.BART074830.20160714.2-10.POOL.CN",NA,"vegetation","N",1.3,-28.2,0.3,48.2,135.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"55bf6511-f40e-465c-86f0-24e8c2eb0661",2017-03-30,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 15:56:00,"BBC.BART074830.20160714.1-2.POOL",NA,"BBC.BART074830.20160714.1-2.POOL.CN",NA,"vegetation","N",1,-28.8,0.7,49.5,75.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"fb6c4097-68b3-4c11-a372-3e0b4d93e31f",2017-03-30,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 15:56:00,"BBC.BART074830.20160714.05-1.POOL",NA,"BBC.BART074830.20160714.05-1.POOL.CN",NA,"vegetation","N",0,-28.9,0.9,50.2,59,"OK","OK",NA,NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"5ed84bf1-72b3-478d-9d6c-3edb24cc5e73",2017-04-22,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 16:24:00,"BBC.BART074668.20160714.2-10.POOL",NA,"BBC.BART074668.20160714.2-10.POOL.CN",NA,"vegetation","N",-0.3,-26.7,0.4,47.1,116.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"08813529-69c0-4738-8b02-4599c16fdfae",2017-04-22,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 16:24:00,"BBC.BART074668.20160714.2-10.POOL",NA,"BBC.BART074668.20160714.2-10.POOL.CN",NA,"vegetation","N",-0.7,-26.7,0.3,47.3,144.8,"OK","OK",NA,NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"f21d8584-f60a-4502-813b-28877fd302b9",2017-03-27,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 16:24:00,"BBC.BART074668.20160714.1-2.POOL",NA,"BBC.BART074668.20160714.1-2.POOL.CN",NA,"vegetation","N",-1.2,-27.9,0.6,48.3,83.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"6191daf3-b803-4787-9363-2701c4d545ba",2017-03-27,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 16:24:00,"BBC.BART074668.20160714.0-05.POOL",NA,"BBC.BART074668.20160714.0-05.POOL.CN",NA,"vegetation","N",-0.3,-28.3,1.1,49.1,46.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"edf7d76a-1b06-436c-9d54-1c6cb53cf54c",2017-03-27,"BART_074.basePlot.bbc","D01","BART","BART_074","tower",2016-07-14 16:24:00,"BBC.BART074668.20160714.05-1.POOL",NA,"BBC.BART074668.20160714.05-1.POOL.CN",NA,"vegetation","N",-1.3,-28.3,0.7,48.9,67.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"5a330a55-be46-44f9-8768-cd192a7bf14e",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:00:00,"BBC.BART046763.20160714.1-2.POOL",NA,"BBC.BART046763.20160714.1-2.POOL.CN",NA,"vegetation","N",-1,-28.7,0.5,49.4,97,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"da95926e-9218-4a11-a92c-a04eef9390d3",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:00:00,"BBC.BART046763.20160714.05-1.POOL",NA,"BBC.BART046763.20160714.05-1.POOL.CN",NA,"vegetation","N",0,-28.7,0.7,49.4,73.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"c904fb0b-c1ed-412b-b497-40efaf42198c",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:00:00,"BBC.BART046763.20160714.0-05.POOL",NA,"BBC.BART046763.20160714.0-05.POOL.CN",NA,"vegetation","N",0.8,-28.2,1.2,49.4,40.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"4b82efd8-9a2b-4b3a-906b-6f35f0bd6e52",2017-04-18,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:00:00,"BBC.BART046763.20160714.2-10.POOL",NA,"BBC.BART046763.20160714.2-10.POOL.CN",NA,"vegetation","N",-1.5,-28.4,0.3,46.6,146.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"2f760ac3-e070-45c4-8e61-23e4a04ed909",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:21:00,"BBC.BART046644.20160714.0-05.POOL",NA,"BBC.BART046644.20160714.0-05.POOL.CN",NA,"vegetation","N",0.9,-28.5,1.3,49.6,38.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"e463cf94-db34-4274-a3cc-5391870737a1",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:21:00,"BBC.BART046644.20160714.2-10.POOL",NA,"BBC.BART046644.20160714.2-10.POOL.CN",NA,"vegetation","N",0.3,-28.1,0.4,50.1,119.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"f778225e-5e78-4590-b09d-1b93362ec186",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:21:00,"BBC.BART046644.20160714.1-2.POOL",NA,"BBC.BART046644.20160714.1-2.POOL.CN",NA,"vegetation","N",-0.3,-28,0.5,49.6,102.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"552a76c7-6efd-4642-9321-525fe0016da2",2017-03-26,"BART_046.basePlot.bbc","D01","BART","BART_046","tower",2016-07-14 17:21:00,"BBC.BART046644.20160714.05-1.POOL",NA,"BBC.BART046644.20160714.05-1.POOL.CN",NA,"vegetation","N",-0.6,-28.8,0.7,50.4,76.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
