"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","cnSampleID","cnSampleCode","sampleType","co2Trapped","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"1519e6c5-6b04-41eb-bad2-416e2d36c97c",2017-03-30,"BART_034.basePlot.ltr","D01","BART","BART_034","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",NA,"vegetation","N",-4,-28.3,0.5,50.9,98.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"7993f614-65a9-4a2d-8317-1746a831797b",2017-03-30,"BART_073.basePlot.ltr","D01","BART","BART_073","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",NA,"vegetation","N",-3.6,-28.7,0.4,50.3,116.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"c2fa63a4-8ef6-4389-805a-4d6b24c80d75",2017-03-30,"BART_032.basePlot.ltr","D01","BART","BART_032","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",NA,"vegetation","N",2.6,-28.4,0.5,53,102.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"e1296a9d-f111-4c8a-b899-76d79a4437f4",2017-03-30,"BART_039.basePlot.ltr","D01","BART","BART_039","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",NA,"vegetation","N",-2.4,-27.4,0.5,50.4,97.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"2f0cea3f-1beb-419c-9f89-94b9ffcfef84",2017-03-30,"BART_041.basePlot.ltr","D01","BART","BART_041","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART041.20161010.NDL","NEON.LTR.BART041.20161010.NDL.CN",NA,"vegetation","N",-1.7,-28.9,0.5,53.1,107,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"5f6c4779-a61d-485c-87e1-420fa39415cc",2017-03-30,"BART_039.basePlot.ltr","D01","BART","BART_039","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART039.20161010.NDL","NEON.LTR.BART039.20161010.NDL.CN",NA,"vegetation","N",-3.1,-31.5,0.4,51.7,118.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"7e16d9c9-8a30-48a9-b185-19b2d794cf6a",2017-03-30,"BART_041.basePlot.ltr","D01","BART","BART_041","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",NA,"vegetation","N",-2.9,-28.2,0.6,50.6,81.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"589c15f4-078a-4cb0-b266-ad65a1ea97cf",2017-03-30,"BART_032.basePlot.ltr","D01","BART","BART_032","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",NA,"vegetation","N",-2.6,-28.7,0.5,50.6,98.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"7df3383a-1cfd-432c-9d0d-3e1eee6387c5",2017-03-31,"BART_073.basePlot.ltr","D01","BART","BART_073","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",NA,"vegetation","N",-1.8,-30.6,0.5,51.7,108.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"0f92c2d4-4ae9-47b2-940a-f3cdc8a56563",2017-03-30,"BART_071.basePlot.ltr","D01","BART","BART_071","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"vegetation","N",-2.4,-28.9,0.4,50.8,113.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"8cec0688-4df2-468a-9c33-23d204b6756a",2017-03-30,"BART_071.basePlot.ltr","D01","BART","BART_071","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",NA,"vegetation","N",1.9,-29.7,0.4,52.7,118.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"b0d44829-4bdb-44d7-8dfc-6a40ca73d51d",2017-03-30,"BART_071.basePlot.ltr","D01","BART","BART_071","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"vegetation","N",-2.5,-28.8,0.5,50.9,111.4,"OK","OK",NA,NA,2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
"f7f72569-471f-4fd3-8ab1-93457088d955",2017-03-30,"BART_033.basePlot.ltr","D01","BART","BART_033","tower",2016-09-19 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.CN",NA,"vegetation","N",-3.8,-28.8,0.6,49.5,86.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20210114T175312Z","RELEASE-2021"
