"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","ligninSampleID","ligninSampleBarcode","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"e4278396-a320-4a72-be93-2e1422c28352",2017-08-30,"BART_032.basePlot.ltr","D01","BART","BART_032","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.LIG",NA,1,0.479,16.84,18.75,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"7215422b-f63b-4875-84fd-db654d5bd8a1",2017-08-30,"BART_073.basePlot.ltr","D01","BART","BART_073","tower",2016-09-19 16:00:00,2016-10-10 16:00:00,"NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.LIG",NA,1,0.449,14.21,20.25,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"d8b2cde6-d1ab-49f0-89ed-680b70bac838",2017-08-30,"BART_033.basePlot.ltr","D01","BART","BART_033","tower",2016-09-19 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",NA,1,0.468,16.86,20.29,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"51db375e-4524-43c5-89fa-816104181acd",2017-08-30,"BART_033.basePlot.ltr","D01","BART","BART_033","tower",2016-09-19 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",NA,2,0.473,16.91,20.79,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"ca8f0178-a43e-4954-a9ea-5de6ff472f37",2017-08-30,"BART_072.basePlot.ltr","D01","BART","BART_072","tower",2016-09-20 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART072.20161011.NDL","NEON.LTR.BART072.20161011.NDL.LIG",NA,1,0.474,12.96,19.54,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"29aecd5c-3a16-411e-ab3e-993ba905f238",2017-08-30,"BART_044.basePlot.ltr","D01","BART","BART_044","tower",2016-09-20 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART044.20161011.LVS","NEON.LTR.BART044.20161011.LVS.LIG",NA,1,0.468,19.19,20.83,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"12f5abc4-0911-47cb-b2ef-31862d0c5604",2017-08-30,"BART_042.basePlot.ltr","D01","BART","BART_042","tower",2016-09-20 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART042.20161011.NDL","NEON.LTR.BART042.20161011.NDL.LIG",NA,1,0.467,18.76,22.12,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"3e34d359-abca-43ee-a2fc-4b60d7763aa5",2017-08-30,"BART_075.basePlot.ltr","D01","BART","BART_075","tower",2016-09-20 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART075.20161011.LVS","NEON.LTR.BART075.20161011.LVS.LIG",NA,1,0.478,16.27,22.07,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"1683beb4-0b3d-4bda-a551-f46196062f64",2017-08-30,"BART_075.basePlot.ltr","D01","BART","BART_075","tower",2016-09-20 16:00:00,2016-10-11 16:00:00,"NEON.LTR.BART075.20161011.NDL","NEON.LTR.BART075.20161011.NDL.LIG",NA,1,0.477,13.59,19.34,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T175312Z","RELEASE-2021"
"694cd23d-c856-4791-8cd4-c684c47c5e31",2018-12-17,"HARV_037.basePlot.ltr","D01","HARV","HARV_037","tower",2018-10-01 16:00:00,2018-10-15 16:00:00,"NEON.LTR.HARV037.20181015.NDL","NEON.LTR.HARV037.20181015.NDL.LIG","A00000032786",1,0.505,15.39,17.69,"OK","OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA,"20210114T173759Z","RELEASE-2021"
