"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"e37b222a-b4e6-459f-90df-576aae0d11ab","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS1","Bs1",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_9-15_ARCHIVE_BS1","NEON",9,15,NA,2169.4,"20201217T033307Z","RELEASE-2021"
"49af139c-ca27-4176-8357-305c91cf58de","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_OE","Oe",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_0-3_ARCHIVE_OE","NEON",0,3,NA,897,"20201217T033307Z","RELEASE-2021"
"743ea442-38bf-4abe-bdfa-93175d8fdd79","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BC","BC",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_40-73_ARCHIVE_BC","NEON",40,73,NA,3071.4,"20201217T033307Z","RELEASE-2021"
"bd73bd6e-f6e4-461e-9996-34801d2210b2","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C1","C1",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_73-140_ARCHIVE_C1","NEON",73,140,NA,3555.8,"20201217T033307Z","RELEASE-2021"
"e4e12f74-7e79-4ccd-ba25-72f1d0a34619","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_E","E",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_5-9_ARCHIVE_E","NEON",5,9,NA,1662.2,"20201217T033307Z","RELEASE-2021"
"2824f36b-0290-4b39-be84-856a59827b31","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BW","Bw",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_22-40_ARCHIVE_BW","NEON",22,40,NA,3150.9,"20201217T033307Z","RELEASE-2021"
"75c7372e-537f-47b2-a5bc-4ab01f557fe0","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS2","Bs2",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_15-22_ARCHIVE_BS2","NEON",15,22,NA,2519.6,"20201217T033307Z","RELEASE-2021"
"7e438b0d-b75b-4fb6-ad0e-d2e269a5a53f","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_A","A",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_3-5_ARCHIVE_A","NEON",3,5,NA,567.2,"20201217T033307Z","RELEASE-2021"
"472e5633-ee44-4bad-8754-cb49696cc78a","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C2","C2",2013-08-19,2013-08-19,"1_BARTLETT_PIT1_140-200_ARCHIVE_C2","NEON",140,200,NA,3601.2,"20201217T033307Z","RELEASE-2021"
"b66ebb04-33e0-4978-955d-d8c3e63a4205","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","Bw/E",2012-07-17,2012-07-17,"1_HARVARD_PIT1_17-32_ARCHIVE_BW/E","NEON",17,32,NA,1200,"20201216T230651Z","RELEASE-2021"
"50a870f5-ff6f-4d53-97eb-bf28b9ee8e16","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","2BC",2012-07-17,2012-07-17,"1_HARVARD_PIT1_82-96_ARCHIVE_2BC","NEON",82,96,NA,1201.3,"20201216T230651Z","RELEASE-2021"
"5e090c20-dbdb-4952-bcce-9a8a0a09e66a","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","Ap",2012-07-17,2012-07-17,"1_HARVARD_PIT1_9-17_ARCHIVE_AP","NEON",9,17,NA,1200.1,"20201216T230651Z","RELEASE-2021"
"32ce59f3-e771-4792-8347-351f7ad37c1f","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","Bw1",2012-07-17,2012-07-17,"1_HARVARD_PIT1_32-53_ARCHIVE_BW1","NEON",32,53,NA,1200,"20201216T230651Z","RELEASE-2021"
"94623572-9a91-45ee-941e-836ff00147a9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","2Cd2",2012-07-17,2012-07-17,"1_HARVARD_PIT1_133-160_ARCHIVE_2CD2","NEON",133,160,NA,1201.9,"20201216T230651Z","RELEASE-2021"
"7ff31a7f-049e-493c-a368-5f84af2e6ebf","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","Bw2",2012-07-17,2012-07-17,"1_HARVARD_PIT1_53-82_ARCHIVE_BW2","NEON",53,82,NA,1200.5,"20201216T230651Z","RELEASE-2021"
"ec946ffa-d942-4861-8e21-440d65f7191e","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","2Cd1",2012-07-17,2012-07-17,"1_HARVARD_PIT1_113-133_ARCHIVE_2CD1","NEON",113,133,NA,1200.3,"20201216T230651Z","RELEASE-2021"
"4239725e-39b6-4181-840f-cee9e4cc2680","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","Oi",2012-07-17,2012-07-17,"1_HARVARD_PIT1_0-4_ARCHIVE_OI","NEON",0,4,NA,665.6,"20201216T230651Z","RELEASE-2021"
"1d8f7410-bb16-4c1a-b45b-96cfbde86fae","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","A",2012-07-17,2012-07-17,"1_HARVARD_PIT1_4-9_ARCHIVE_A","NEON",4,9,NA,1200.3,"20201216T230651Z","RELEASE-2021"
"1bfaf789-d417-4f68-859f-7b1d5ba6900d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","2C",2012-07-17,2012-07-17,"1_HARVARD_PIT1_96-113_ARCHIVE_2C","NEON",96,113,NA,1200.8,"20201216T230651Z","RELEASE-2021"
"68077855-d958-45da-b278-6068333dd403","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C1","C1",2013-01-14,2013-01-14,"2_BLANDY_PIT1_84-128_ARCHIVE_C1","NEON",84,128,NA,1202,"20201217T021806Z","RELEASE-2021"
"b375b471-31fe-48d6-a6de-94c24cd6b4c4","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT2","Bt2",2013-01-14,2013-01-14,"2_BLANDY_PIT1_51-84_ARCHIVE_BT2","NEON",51,84,NA,1201.3,"20201217T021806Z","RELEASE-2021"
"38c5e824-299a-4f6d-9f45-6116b848b187","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_O","O",2013-01-14,2013-01-14,"2_BLANDY_PIT1_0-2_ARCHIVE_OI","NEON",0,2,NA,659,"20201217T021806Z","RELEASE-2021"
"b7b6e826-54f5-4c33-9d57-adcae0b47e20","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP2","Ap2",2013-01-14,2013-01-14,"2_BLANDY_PIT1_14-23_ARCHIVE_AP2","NEON",14,23,NA,1200.8,"20201217T021806Z","RELEASE-2021"
"c879511e-8cf0-4046-a30b-178676380749","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP1","Ap1",2013-01-14,2013-01-14,"2_BLANDY_PIT1_2-14_ARCHIVE_AP1","NEON",2,14,NA,1200.7,"20201217T021806Z","RELEASE-2021"
"6b28ee82-580b-4d65-aeac-9fef066d6469","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C2","C2",2013-01-14,2013-01-14,"2_BLANDY_PIT1_128-200_ARCHIVE_C2","NEON",128,200,NA,1202,"20201217T021806Z","RELEASE-2021"
"6bbd00c7-f0e9-4bd1-b7d3-9326118de6ae","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT1","Bt1",2013-01-14,2013-01-14,"2_BLANDY_PIT1_23-51_ARCHIVE_BT1","NEON",23,51,NA,1201.6,"20201217T021806Z","RELEASE-2021"
"867dce28-6925-4d7d-851d-34d7b6aedbaa","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","Bt1",2013-05-13,2013-05-13,"2_SCBI_PIT1_14-34_ARCHIVE_BT1","NEON",14,34,NA,1201.1,"20201217T032359Z","RELEASE-2021"
"7a84b2c4-5fde-4ece-aefc-27594b9d3279","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","Oi",2013-05-13,2013-05-13,"2_SCBI_PIT1_0-2_ARCHIVE_OI","NEON",0,2,NA,569.9,"20201217T032359Z","RELEASE-2021"
"68c922c7-6b38-498b-a126-19142d3cab0b","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR","2Cr",2013-05-13,2013-05-13,NA,NA,NA,NA,NA,NA,"20201217T032359Z","RELEASE-2021"
"12fc1bf5-10e7-4bf4-8926-3e7c69eafad5","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2BC",2013-05-13,2013-05-13,"2_SCBI_PIT1_179-200_ARCHIVE_2BC","NEON",179,200,NA,1200.3,"20201217T032359Z","RELEASE-2021"
"40c6700f-dbd3-4975-a294-b61c47d6a787","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2Bt4",2013-05-13,2013-05-13,"2_SCBI_PIT1_114-146_ARCHIVE_2BT4","NEON",114,146,NA,1200.2,"20201217T032359Z","RELEASE-2021"
