"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","biogeoID","horizonName","biogeoHorizonProportion","biogeoSampleType","setDate","collectDate","coarseFrag2To5","coarseFrag5To20","sandTotal","siltTotal","clayTotal","carbonateClay","clayFineContent","siltFineContent","siltCoarseContent","sandVeryFineContent","sandFineContent","sandMediumContent","sandCoarseContent","sandVeryCoarseContent","carbonTot","nitrogenTot","sulfurTot","estimatedOC","airDryOvenDry","alMjelm","caMjelm","feMjelm","kMjelm","mgMjelm","mnMjelm","naMjelm","pMjelm","siMjelm","srMjelm","tiMjelm","zrMjelm","phCacl2","phH2o","ec12pre","gypsumConc","caco3Conc","caNh4d","kNh4d","mgNh4d","naNh4d","cecdNh4","alSatCecd33","baseSumCecd10","bsesatCecd10","ececCecd33","alKcl","feKcl","mnKcl","bSatx","brSatx","caSatx","clSatx","co3Satx","ecSatp","flSatx","waterSatx","hco3Sx","kSatx","mgSatx","naSatx","no2Satx","no3Satx","pSatx","phSp","resist","so4Satx","laboratoryName","labProjID","biogeoTopDepth","biogeoBottomDepth","biogeoCenterDepth","remarks","publicationDate","release"
"4bd4542b-8250-4bb5-8fa3-88faba380bb9","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C1","1_BARTLETT_PIT1_73-140_BIOGEO_C1","C1",1,"Regular",2013-08-19,2013-08-19,190,167,74.6,25.1,0.3,NA,NA,10.6,14.5,13.1,18.6,14.7,18,10.2,2,0.5,0.1,2,1.004,61402,5117,15441,31911,1198,512,26589,248,318496,73,2004,212,5,5.5,0.02,NA,NA,0.4,0,0,0,1.3,33,0.4,31,0.6,0.2,NA,0,NA,0,0.1,0.3,0,0.09,0,16.9,0.1,0,0,0,0,0,0,5.1,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",73,140,106.5,NA,"20201217T033307Z","RELEASE-2021"
"c60aa40f-f68a-44d6-a538-6081086a06f4","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS2","1_BARTLETT_PIT1_15-22_BIOGEO_BS2","Bs2",1,"Regular",2013-08-19,2013-08-19,110,149,63.3,32.9,3.8,NA,NA,13.7,19.2,17.9,17.8,11.6,8.9,7.1,26.5,1.7,0.3,27,1.033,64948,4214,18729,26873,1099,439,21949,206,302333,70,2402,265,4.8,5.4,0.03,NA,NA,0.1,0,0,0,6.6,89,0.1,2,0.9,0.8,NA,0.1,NA,0,0,0.2,0,0.06,0,45,0,0,0,0,0,0.1,0,5.1,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",15,22,18.5,NA,"20201217T033307Z","RELEASE-2021"
"366cd853-131f-42fa-a0cc-ac6966235d2e","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_OE","1_BARTLETT_PIT1_0-3_BIOGEO_OE","Oe",1,"Regular",2013-08-19,2013-08-19,0,0,34.3,53.9,11.8,NA,NA,30.3,23.6,12.1,11.6,3.2,3.1,4.3,447.5,18.2,1.5,448,1.121,15571,3104,4744,5433,584,465,4890,942,88148,23,815,101,3.4,4.5,1.38,NA,NA,9.3,3.3,1.5,0,66,11,14.1,21,15.8,1.7,NA,29.8,NA,0.1,0.8,0.7,0,0.78,2,361.1,0,2.8,0.4,0,0,0,4.3,3.8,NA,1.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",0,3,1.5,NA,"20201217T033307Z","RELEASE-2021"
"0638e488-b39d-4e9a-b0cb-aaf9a7d9e6fd","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BW","1_BARTLETT_PIT1_22-40_BIOGEO_BW","Bw",1,"Regular",2013-08-19,2013-08-19,97,123,64.9,32.3,2.8,NA,NA,12.9,19.4,18.9,19.6,10.1,9.5,6.8,12.8,1.3,0.2,13,1.016,59478,4456,15449,27376,1099,375,22423,141,301537,72,2295,249,4.8,5.3,0.02,NA,NA,0,0,0,0,3.5,NA,0,1,NA,0.6,NA,0,NA,0,0,0.2,0,0.06,0,32.4,0,0,0,0,0,0.1,0,4.6,NA,0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",22,40,31,NA,"20201217T033307Z","RELEASE-2021"
"b83ca700-b18f-4a60-adae-08c11087aebd","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BC","1_BARTLETT_PIT1_40-73_BIOGEO_BC","BC",1,"Regular",2013-08-19,2013-08-19,125,170,71.5,26.9,1.6,NA,NA,11.4,15.5,15.5,18.3,15.6,12.4,9.7,8.8,0.8,0.1,9,1.011,60086,4721,15013,29895,1112,397,24605,165,311293,74,2138,243,4.9,5.4,0.02,NA,NA,0.1,0,0,0,2.4,80,0.1,4,0.5,0.4,NA,0,NA,0,0,0.1,0,0.05,0,24.7,0,0,0,0,0,0.1,0,4.9,NA,0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",40,73,56.5,NA,"20201217T033307Z","RELEASE-2021"
"4cb8bef7-e2a5-4156-bcf4-79c73507b3a1","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C2","1_BARTLETT_PIT1_140-200_BIOGEO_C2","C2",1,"Regular",2013-08-19,2013-08-19,102,155,73.9,26.1,0,NA,NA,11.5,14.6,15.7,19,16.1,15.3,7.8,1.2,0.9,0.1,1,1.003,60502,5011,12792,31768,1040,489,25917,267,329466,78,1826,225,5.2,5.6,0.02,NA,NA,0.5,0,0,0,0.9,17,0.5,56,0.6,0.1,NA,0,NA,0,0.1,0.3,0,0.08,0,13.3,0.3,0,0.1,0,0,0,0,5.1,NA,0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",140,200,170,NA,"20201217T033307Z","RELEASE-2021"
"2c2a9a1e-c231-45af-98ea-d6042c60efe1","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_E","1_BARTLETT_PIT1_5-9_BIOGEO_E","E",1,"Regular",2013-08-19,2013-08-19,78,63,59.3,37,3.7,NA,NA,16.3,20.7,20.5,16.1,11.9,5.9,4.9,58.8,2.7,0.3,59,1.023,49706,3679,12210,22254,796,475,18886,254,304921,63,2799,313,4.1,5,0.1,NA,NA,0.1,0.2,0.1,0,11.9,88,0.4,3,3.4,3,NA,7.9,NA,0,0.1,0.6,0,0.29,0.1,69.6,0,0.5,0.3,0,0.1,0,0,4.3,NA,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",5,9,7,NA,"20201217T033307Z","RELEASE-2021"
"3f0afa72-7d5e-4e8b-9c6f-a5a47aba06d7","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_A","1_BARTLETT_PIT1_3-5_BIOGEO_A","A",1,"Regular",2013-08-19,2013-08-19,37,55,46.8,47,6.2,NA,NA,24.9,22.1,17.2,14.2,4.4,6.5,4.5,385.7,15,1.5,386,1.098,22304,2124,5526,8065,561,191,7122,712,134752,27,1207,142,3.1,3.8,0.4,NA,NA,2.5,2,0.9,0,67.8,45,5.4,8,9.8,4.4,NA,6.1,NA,0,0.2,0.5,0,0.53,0,332.5,0,1.5,0.2,0,0,0,1.8,3.5,NA,0.8,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",3,5,4,NA,"20201217T033307Z","RELEASE-2021"
"49f255ae-124b-4182-8418-852764c39d67","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS1","1_BARTLETT_PIT1_9-15_BIOGEO_BS1","Bs1",1,"Regular",2013-08-19,2013-08-19,90,188,61.8,34.6,3.6,NA,NA,14.7,19.9,17.3,17.9,11,10,5.6,38,2.4,0.4,38,1.045,66787,3832,21572,24485,955,352,19966,266,292748,65,2478,274,4.8,5.4,0.03,NA,NA,0,0,0,0,10.1,NA,0,0,NA,1,NA,0.1,NA,0,0,0.2,0,0.06,0,55.5,0.1,0,0,0,0,0,0,5.1,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",9,15,12,NA,"20201217T033307Z","RELEASE-2021"
"3dfdc8a8-a48b-42d1-9067-ea367a96cfe2","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","1_HARVARD_PIT1_17-32_BIOGEO_BW/E","Bw/E",1,"Regular",2012-07-17,2012-07-17,32,123,63.9,26.2,9.9,NA,NA,15.3,10.9,10.2,22.1,20.2,8.7,2.7,32.9,2,0.1,33,1.026,59824,7967,23695,13050,2854,541,12611,883,290216,183,4632,72,4.5,4.9,0.05,NA,0,0,0,0,0,11,NA,0,0,NA,2.1,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",17,32,24.5,NA,"20201216T230651Z","RELEASE-2021"
