"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","bulkDensID","horizonName","setDate","collectDate","laboratoryName","labProjID","bulkDensCenterDepth","bulkDensTopDepth","bulkDensBottomDepth","bulkDensHorizonProportion","bulkDensSampleType","bulkDensExclCoarseFrag","remarks","publicationDate","release"
"2f768a56-a448-497d-8492-f0dbfe5f28d7","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C2","1_BARTLETT_PIT1_153-156_BULKD_C2","C2",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",154.5,153,156,1,"Regular",1.4733,NA,"20201217T033307Z","RELEASE-2021"
"387e806c-1b00-42d6-816e-28ef1681ed1b","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_OE","1_BARTLETT_PIT1_0-3_BULKD_OE","Oe",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",1.5,0,3,1,"Regular",0.1059,NA,"20201217T033307Z","RELEASE-2021"
"525a1042-5141-4127-873b-88afc2c18b4d","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_E","1_BARTLETT_PIT1_5-8_BULKD_E","E",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",6.5,5,8,1,"Regular",0.565,NA,"20201217T033307Z","RELEASE-2021"
"245df874-1a11-4209-86e8-7db137ae96b4","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_A","1_BARTLETT_PIT1_3-5_BULKD_A","A",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",4,3,5,1,"Regular",0.1658,NA,"20201217T033307Z","RELEASE-2021"
"df940090-49a7-410c-b9eb-de047e58bf05","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BC","1_BARTLETT_PIT1_50-60_BULKD_BC","BC",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",55,50,60,1,"Regular",1.2104,NA,"20201217T033307Z","RELEASE-2021"
"f78c6f1a-28bc-4405-9954-a94e0e37561f","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS2","1_BARTLETT_PIT1_16-21_BULKD_BS2","Bs2",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",18.5,16,21,1,"Regular",0.9176,NA,"20201217T033307Z","RELEASE-2021"
"ce0a2ca3-9422-4f43-9ede-ff20b8baa379","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS1","1_BARTLETT_PIT1_9-15_BULKD_BS1","Bs1",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",12,9,15,1,"Regular",0.7032,NA,"20201217T033307Z","RELEASE-2021"
"cb483791-609a-416d-a24b-38cf0356aa7d","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BW","1_BARTLETT_PIT1_28-38_BULKD_BW","Bw",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",33,28,38,1,"Regular",0.9195,NA,"20201217T033307Z","RELEASE-2021"
"f762379c-11ef-4034-8f6f-9f76e7abbbea","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C1","1_BARTLETT_PIT1_83-93_BULKD_C1","C1",2013-08-19,2013-08-19,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USNH119",88,83,93,1,"Regular",1.5689,NA,"20201217T033307Z","RELEASE-2021"
"7ba2f516-7231-48be-a9f7-d95b158e640c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","1_HARVARD_PIT1_20-30_BULKD_BW/E","Bw/E",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",25,20,30,1,"Regular",0.775,NA,"20201216T230651Z","RELEASE-2021"
"8a0ef15d-64dc-47b0-9932-90db025be618","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","1_HARVARD_PIT1_55-65_BULKD_BW2","Bw2",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",60,55,65,1,"Regular",1.4603,NA,"20201216T230651Z","RELEASE-2021"
"10af9c2d-0757-4b59-8609-2344a95d49b3","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","1_HARVARD_PIT1_85-95_BULKD_2BC","2BC",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",90,85,95,1,"Regular",1.4581,NA,"20201216T230651Z","RELEASE-2021"
"984cd624-d033-4e8b-8f18-29fefbac3685","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","1_HARVARD_PIT1_0-4_BULKD_OI","Oi",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",2.2,0,4.4,1,"Regular",0.4608,"Sample collected by cutting out a square of soil and measuring dimensions. Void caused by a rock was subtracted from sample volume.","20201216T230651Z","RELEASE-2021"
"b3623418-c25f-4d15-a1d9-f5eca6335aa9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","1_HARVARD_PIT1_115-125_BULKD_2CD1","2Cd1",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",120,115,125,1,"Regular",1.521,NA,"20201216T230651Z","RELEASE-2021"
"e4550fbd-627a-4bab-9f44-3fb96bbfeada","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","1_HARVARD_PIT1_101-106_BULKD_2C","2C",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",103.5,101,106,1,"Regular",1.7729,"2 x 5 cm long cores","20201216T230651Z","RELEASE-2021"
"60b679a3-4259-4dc1-99e9-fe2164c6f6fd","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","1_HARVARD_PIT1_9-15_BULKD_AP","Ap",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",12,9,15,1,"Regular",0.6562,NA,"20201216T230651Z","RELEASE-2021"
"2677de9a-102a-4b87-b836-6ecc028fb942","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","1_HARVARD_PIT1_32-42_BULKD_BW1","Bw1",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",37,32,42,1,"Regular",1.2805,NA,"20201216T230651Z","RELEASE-2021"
"6028ebb4-64e8-4854-b0d6-ddfc32fb2028","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","1_HARVARD_PIT1_4-9_BULKD_A","A",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",6.5,4,9,1,"Regular",0.4772,"2 x 5 cm long cores","20201216T230651Z","RELEASE-2021"
"4d573d16-55c4-4bcc-8b39-6712a1b89639","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","1_HARVARD_PIT1_133-137_BULKD_2CD2","2Cd2",2012-07-17,2012-07-17,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",135,133,137,1,"Regular",0.9727,NA,"20201216T230651Z","RELEASE-2021"
