"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","horizonTopDepth","horizonBottomDepth","nrcsDescriptionID","remarks","publicationDate","release"
"f7b921de-1b70-4bc6-9448-3780f9bd0fc7","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BC","BC",2013-08-19,2013-08-19,40,73,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"6ffc7d89-a5c9-4793-b58b-15525af9fcbc","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BW","Bw",2013-08-19,2013-08-19,22,40,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"7d99e418-712b-44db-a799-15577a215af5","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C1","C1",2013-08-19,2013-08-19,73,140,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"b5d060eb-3a84-4ed0-a125-053057c3b54a","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_OE","Oe",2013-08-19,2013-08-19,0,3,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"19a50c49-8a27-495a-b9a2-338a3137915b","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_A","A",2013-08-19,2013-08-19,3,5,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"dd6ac3e9-3309-49bd-9047-93a8860569a4","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS2","Bs2",2013-08-19,2013-08-19,15,22,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"1ca3eed9-af9e-4ddb-8125-470673a29671","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS1","Bs1",2013-08-19,2013-08-19,9,15,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"6f4987f1-1bca-4a8c-87a5-7fbbaac24b19","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_E","E",2013-08-19,2013-08-19,5,9,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"71ad4465-27b2-4168-a2e5-9dcb9708f11a","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C2","C2",2013-08-19,2013-08-19,140,200,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"945f83ae-68be-4bd7-b28e-d6ba603f7ccd","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","Ap",2012-07-17,2012-07-17,9,17,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"d3e1eb29-aabb-4cc8-a8dc-d2870b794683","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","Bw1",2012-07-17,2012-07-17,32,53,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"013079f4-538b-4d08-810e-dc962457982a","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","2BC",2012-07-17,2012-07-17,82,96,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"77f000c4-f925-45e7-9965-5f6a6af82dde","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","2Cd1",2012-07-17,2012-07-17,113,133,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"84dacac4-5183-4df9-84f4-305ccf04117c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","2Cd2",2012-07-17,2012-07-17,133,160,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"01514c9a-d223-4cbb-be90-bbea497d2f9d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","Oi",2012-07-17,2012-07-17,0,4,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"4cf4414c-922f-49de-8ac6-52fdf1dca1d9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","Bw/E",2012-07-17,2012-07-17,17,32,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
