"uid","domainID","siteID","pitNamedLocation","pitID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","samplingProtocolVersion","recordedByA","recordedByB","recordedByC","recordedByD","recordedByE","soilProfileDescriberA","soilProfileDescriberB","soilProfileDescriberC","soilProfileDescriberD","soilProfileDescriberE","soilProfileDescriberF","soilProfileDescriberInst","pitDepth","nrcsDescriptionID","publicationDate","release"
"9fb9b439-64c4-46ef-827e-466a5d898d37","D01","BART","MEGAPT100963","1_BARTLETT_PIT1",44.06516,-71.28834,NA,4.5,284,NA,2013-08-19,2013-08-19,"Sunapee","Coarse-loamy - isotic - frigid Aquic Haplorthods","Aquic Haplorthods","Haplorthods","Orthod","Spodosol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"tnTGlQn3paEbPj/GBrLtxg==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013NH003001","20201217T033307Z","RELEASE-2021"
"527c423b-8a64-4db6-9517-0205c323babc","D01","HARV","MEGAPT100973","1_HARVARD_PIT1",42.53562,-72.17562,NA,4,373,NA,2012-07-17,2012-07-17,"Henniker - taxadjunct","Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts","Oxyaquic Dystrudepts","Dystrudepts","Udept","Inceptisol","NEON.DOC.001307vA","Ed Ayres",NA,NA,NA,NA,"FJNYBhC120XDEZxah5W2lQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2012MA027001","20201216T230651Z","RELEASE-2021"
"f9428f7a-cee4-4eec-b4a1-5b234ecc441d","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1",39.06044,-78.07115,NA,4,177,NA,2013-01-14,2013-01-14,"Poplimento - taxadjunct","Fine - mixed - subactive - mesic Ultic Hapludalfs","Ultic Hapludalfs","Hapludalfs","Udalf","Alfisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"yZMoeD3zJoDlPuIsNjKKQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S13VA043001","20201217T021806Z","RELEASE-2021"
"b87c5759-700e-491b-a047-3c1d16ed26d1","D02","SCBI","MEGAPT100991","2_SCBI_PIT1",38.89209,-78.13764,NA,4,410,NA,2013-05-13,2013-05-13,"Lew","Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs","Ultic Hapludalfs","Hapludalfs","Udalf","Alfisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"yZMoeD3zJoDlPuIsNjKKQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S13VA-187-1-X-Lew","20201217T032359Z","RELEASE-2021"
"c0f55e74-ff99-4fcd-871f-288f92e83bfe","D02","SERC","MEGAPT100992","2_SERC_PIT1",38.89124,-76.55884,NA,4.7,27.4,NA,2014-05-05,2014-05-05,"Adelphia - Taxadjunct","Fine-loamy - mixed - active - mesic Aquic Hapludults","Aquic Hapludults","Hapludults","Udult","Ultisol","NEON.DOC.001307vA","Ed Ayres","Rommel Zulueta",NA,NA,NA,"FfGJ6keMDL12jkWNxjd1nw==","lvON+s4pWKtwhqmkotDMaQ==","+lH3vzz3JGqn6dZbXDFVbg==",NA,NA,NA,"Natural Resource Conservation Service",200,"2014MD003001","20201217T043440Z","RELEASE-2021"
"86796b16-9bab-4dd0-8940-deab41c9e7f4","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1",28.12919,-81.43394,NA,3,25,NA,2013-02-04,2013-02-04,"Smyrna","Sandy - siliceous - hyperthermic Aeric Alaquods","Aeric Alaquods","Alaquods","Aquod","Spodosol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"LLVq6n9hXGbQQG6lFqcgOQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"13FL097001","20201217T021903Z","RELEASE-2021"
"e671b593-3349-4bf7-a58c-a5744ef720f2","D03","JERC","MEGAPT100975","3_JONES_PIT1",31.19608,-84.46647,NA,3,49,NA,2012-12-10,2012-12-10,"Lucy","Loamy - kaolinitic - thermic Arenic Kandiudults","Arenic Kandiudults","Kandiudults","Udult","Ultisol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"0m0jmAVql/hf+OIxdqc0Rg==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2012GA007001","20201216T225139Z","RELEASE-2021"
"8fd6a8d3-24df-4293-900a-05f8502f04e9","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1",29.68819,-81.99345,NA,3,55,NA,2012-06-19,2012-06-19,"Astatula","Hyperthermic - uncoated Typic Quartzipsamments","Typic Quartzipsamments","Quartzipsamments","Psamment","Entisol","NEON.DOC.001307vA","Ed Ayres",NA,NA,NA,NA,"iAjAz32VlqrdEsno/3hKGQ==",NA,NA,NA,NA,NA,"University of Florida",NA,NA,"20201216T232230Z","RELEASE-2021"
"f611cbb9-9189-490a-ba07-accaeb19014a","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1",17.96882,-66.86888,NA,1.5,133,NA,2015-04-10,2015-04-10,"Altamira","Coarse-loamy - carbonatic - isohyperthermic Typic Haplocalcids","Typic Haplocalcids","Haplocalcids","Calcids","Aridisol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti","David Durden",NA,NA,"zOrmnyPBsIVk/36syHNUww==","8yLPS6+jvnXhlic5luBm0A==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"S2015PR055001","20201217T051942Z","RELEASE-2021"
"345473df-89ad-4953-a380-1b56db75b9f1","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1",18.02184,-67.07608,NA,3,40,NA,2014-04-07,2014-04-07,"Cartagena","Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts","Haplusterts","Ustert","Vertisol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti",NA,NA,NA,"8yLPS6+jvnXhlic5luBm0A==","zOrmnyPBsIVk/36syHNUww==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"2014PR079001","20201217T040239Z","RELEASE-2021"
