"uid","namedLocation","domainID","siteID","plotID","plotType","collectDate","samplingProtocolVersion","sampleID","sampleCode","kclSampleID","kclSampleCode","incubationPairID","nTransBoutType","incubationLength","extractionStartDate","kclReferenceID","soilFreshMass","kclVolume","extractionEndDate","sampleCondition","remarks","processedBy","recordedBy","dataQF","publicationDate","release"
"54d3801c-b44a-46bb-8e07-12968b0f34b9","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed",2018-04-17 14:09:00,"NEON.DOC.014048vK","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-KCL","B00000006284","HARV_002-M-9.5-1.5","tInitial",0,2018-04-18 15:44:00,"HARV-20180418-BRef1",10.03,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"bbdaa082-0d58-42f7-a67b-5d61512641c2","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed",2018-04-17 14:55:00,"NEON.DOC.014048vK","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-KCL","B00000006269","HARV_002-O-34.5-24","tInitial",0,2018-04-18 16:27:00,"HARV-20180418-BRef1",10.08,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"aaf1256e-5a26-4d66-965f-fdf6a0ecd407","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed",2018-04-17 14:55:00,"NEON.DOC.014048vK","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-KCL","B00000006271","HARV_002-M-34.5-24","tInitial",0,2018-04-18 16:50:00,"HARV-20180418-BRef1",10.11,100.1,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"845fb86b-e267-4bcc-929c-42c0ee872b54","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed",2018-04-17 15:07:00,"NEON.DOC.014048vK","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-KCL","B00000006287","HARV_002-M-28.5-1.5","tInitial",0,2018-04-18 15:52:00,"HARV-20180418-BRef1",10.04,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"38279cd9-9d2f-4407-a2db-124b6354c876","HARV_002.basePlot.bgc","D01","HARV","HARV_002","distributed",2018-04-17 15:07:00,"NEON.DOC.014048vK","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-KCL","B00000006278","HARV_002-O-28.5-1.5","tInitial",0,2018-04-18 16:10:00,"HARV-20180418-BRef1",9.93,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"f60a94ed-3a3c-48d7-b645-608557a6b556","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed",2018-04-17 16:36:00,"NEON.DOC.014048vK","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-KCL","B00000006321",NA,"tInitial",0,2018-04-18 16:30:00,"HARV-20180418-BRef1",10.07,100,2018-04-18 18:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"b958eb50-1972-459e-b8b5-55f431aaedd0","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed",2018-04-17 17:09:00,"NEON.DOC.014048vK","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-KCL","B00000006272",NA,"tInitial",0,2018-04-18 16:00:00,"HARV-20180418-BRef1",10.09,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"c33edf7e-6dea-486a-916c-010987fa1704","HARV_021.basePlot.bgc","D01","HARV","HARV_021","distributed",2018-04-17 17:16:00,"NEON.DOC.014048vK","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-KCL","B00000006291","HARV_021-O-1-22.5","tInitial",0,2018-04-18 16:24:00,"HARV-20180418-BRef1",10.3,100,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"185e2f11-4bab-4518-9e21-0991ec22b3b0","HARV_005.basePlot.bgc","D01","HARV","HARV_005","distributed",2018-04-17 17:24:00,"NEON.DOC.014048vK","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-KCL","B00000006308","HARV_005-O-36-21","tInitial",0,2018-04-18 16:34:00,"HARV-20180418-BRef1",10.14,100.1,2018-04-18 19:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
"b8978481-0ee9-4bf4-9e44-6be0dded927c","HARV_021.basePlot.bgc","D01","HARV","HARV_021","distributed",2018-04-17 17:26:00,"NEON.DOC.014048vK","HARV_021-M-1-22.5-20180417","A00000001262","HARV_021-M-1-22.5-20180417-KCL","B00000006275","HARV_021-M-1-22.5","tInitial",0,2018-04-18 13:26:00,"HARV-20180418-BRef1",10.05,100,2018-04-18 18:00:00,"OK",NA,"ewallis@battelleecology.org","hbartholomaus@battelleecology.org",NA,"20201218T092955Z","RELEASE-2021"
