"uid","domainID","siteID","plotID","namedLocation","collectDate","samplingProtocolVersion","horizon","ovenStartDate","ovenEndDate","sampleID","sampleCode","cnSampleID","cnSampleCode","bgcArchiveID","bgcArchiveCode","bgcArchiveMass","toxicodendronPossible","sampleCondition","bgcRemarks","processedBy","bgcDataQF","publicationDate","release"
"391a745c-c9f9-42e8-8acc-3579617e399f","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 12:47:00,"NEON.DOC.014048vC","M",NA,NA,"BART_004-M-3-28-20140819",NA,"BART_004-M-3-28-20140819-CN",NA,"BART_004-M-3-28-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"8f5c4e9c-56e3-4c7c-9011-b8db2aa8698c","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 12:47:00,"NEON.DOC.014048vC","O",NA,NA,"BART_004-O-3-28-20140819",NA,"BART_004-O-3-28-20140819-CN",NA,"BART_004-O-3-28-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"fda8089b-e2f3-4dbf-b3e4-35c23e0cc4a7","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 13:36:00,"NEON.DOC.014048vC","O",NA,NA,"BART_004-O-9-34-20140819",NA,"BART_004-O-9-34-20140819-CN",NA,"BART_004-O-9-34-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"e4d9cedd-7d39-412d-8035-08dac55013fa","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 13:36:00,"NEON.DOC.014048vC","M",NA,NA,"BART_004-M-9-34-20140819",NA,"BART_004-M-9-34-20140819-CN",NA,"BART_004-M-9-34-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"057020d8-1668-4b76-a0b5-40899b1b753f","D01","BART","BART_023","BART_023.basePlot.bgc",2014-08-19 13:51:00,"NEON.DOC.014048vC","M",NA,NA,"BART_023-M-23-8-20140819",NA,"BART_023-M-23-8-20140819-CN",NA,"BART_023-M-23-8-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"0bff8505-7867-4a82-acfc-00df10002fb8","D01","BART","BART_023","BART_023.basePlot.bgc",2014-08-19 13:51:00,"NEON.DOC.014048vC","O",NA,NA,"BART_023-O-23-8-20140819",NA,"BART_023-O-23-8-20140819-CN",NA,"BART_023-O-23-8-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"8adfb6da-9c52-4133-bd0e-49d4fb1ce668","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 14:15:00,"NEON.DOC.014048vC","M",NA,NA,"BART_004-M-19-1-20140819",NA,"BART_004-M-19-1-20140819-CN",NA,"BART_004-M-19-1-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"de53edc8-4f7b-4815-9104-577e4dc79545","D01","BART","BART_004","BART_004.basePlot.bgc",2014-08-19 14:15:00,"NEON.DOC.014048vC","O",NA,NA,"BART_004-O-19-1-20140819",NA,"BART_004-O-19-1-20140819-CN",NA,"BART_004-O-19-1-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"0103208d-f56e-41f7-90b0-15ffb9c60795","D01","BART","BART_023","BART_023.basePlot.bgc",2014-08-19 14:57:00,"NEON.DOC.014048vC","O",NA,NA,"BART_023-O-31-3-20140819",NA,"BART_023-O-31-3-20140819-CN",NA,"BART_023-O-31-3-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
"212fa891-52d9-47ed-9aa3-1159cf941360","D01","BART","BART_023","BART_023.basePlot.bgc",2014-08-19 14:57:00,"NEON.DOC.014048vC","M",NA,NA,"BART_023-M-31-3-20140819",NA,"BART_023-M-31-3-20140819-CN",NA,"BART_023-M-31-3-20140819-BA",NA,NA,NA,"OK",NA,NA,NA,"20201217T042530Z","RELEASE-2021"
