"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"ccc43384-e1c4-4ade-96b0-f80fa35b81aa",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 12:47:00,"BART_004-M-3-28-20140819",NA,"BART_004-M-3-28-20140819-CN",NA,"soil","N",5.7,-26.3,0.17,4.47,25.9,"OK","OK",NA,NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"3a98d39b-c110-49ea-b867-af96dedd31ea",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 12:47:00,"BART_004-O-3-28-20140819",NA,"BART_004-O-3-28-20140819-CN",NA,"soil","N",3.1,-26.7,2.01,46.64,23.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"60e9aeb9-66c8-4a03-958d-04eb4c8ef0bc",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 12:47:00,"BART_004-M-3-28-20140819",NA,"BART_004-M-3-28-20140819-CN",NA,"soil","N",5.4,-26.3,0.18,4.8,26.9,"OK","OK",NA,NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"49c79b5e-928e-4b4f-b9a1-c4430397e19a",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 13:36:00,"BART_004-O-9-34-20140819",NA,"BART_004-O-9-34-20140819-CN",NA,"soil","N",5.2,-26.3,1.92,40.02,20.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"d4b5b4bf-f545-477c-89b2-7560044c0505",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 13:36:00,"BART_004-M-9-34-20140819",NA,"BART_004-M-9-34-20140819-CN",NA,"soil","N",5.6,-26.2,0.11,2.69,24.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"afaa6b44-ccb9-424a-a2a0-f7736316b6a9",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 13:51:00,"BART_023-M-23-8-20140819",NA,"BART_023-M-23-8-20140819-CN",NA,"soil","N",4.7,-26.3,0.83,22.04,26.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"1891b7e3-9fa0-4898-bd4f-762f53f40e4c",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 13:51:00,"BART_023-O-23-8-20140819",NA,"BART_023-O-23-8-20140819-CN",NA,"soil","N",-0.9,-27.8,2.23,47.67,21.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"90615f2b-ff4f-4cfd-837e-af4f86fff6f2",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 14:15:00,"BART_004-M-19-1-20140819",NA,"BART_004-M-19-1-20140819-CN",NA,"soil","N",4.2,-26.6,0.11,2.71,25.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"a1602608-99d5-45d2-ab7a-68e71b5e6bd4",2015-04-28,"BART_004.basePlot.bgc","D01","BART","BART_004","distributed",2014-08-19 14:15:00,"BART_004-O-19-1-20140819",NA,"BART_004-O-19-1-20140819-CN",NA,"soil","N",3.2,-27.2,1.7,45.81,27,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"2a8c360e-06d5-4cbf-957b-a588e211e296",2015-04-28,"BART_023.basePlot.bgc","D01","BART","BART_023","distributed",2014-08-19 14:57:00,"BART_023-O-31-3-20140819",NA,"BART_023-O-31-3-20140819-CN",NA,"soil","N",-1.6,-27.7,1.87,49.34,26.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
