"uid","laboratoryName","processedDate","batchID","lipidID","analysisStandardID","lotNumber","analyteKnownValue","analyteObservedValue","analyteUnits","extractEffStdID","extractEffStdUnits","analyteStandardQF","dataQF","publicationDate"
"73ee051c-bec8-450a-ad45-e1118a7fb575",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.07,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"1fcf8170-277f-455d-adef-9e1a0e474722",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.58,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"ecaa5910-5499-4351-a0bb-5a99b318abfc",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.65,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"e3728244-c196-4920-b0b1-04208a98cf3d",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.86,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"770aba54-48ec-4805-9e7d-d9efd90fac79",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.52,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"de26fd30-ba81-4b13-9c8d-1b921d4e114e",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.09,"mg/ml",NA,NA,NA,NA,"20210123T023002Z"
"6f450a56-3b84-4cdb-85ad-f94ec4d8d3c9",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,28.78,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20210123T023002Z"
"4c0aa8e5-e6c9-4af7-9cb6-838b26087c1c",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.14,"mg/ml",NA,NA,NA,NA,"20210123T023002Z"
"d289e8b5-eb5b-4e1e-85f3-c10ffc2c0f2f",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,29.3,"mg/ml",NA,NA,NA,NA,"20210123T023002Z"
"99947868-07e2-4ae2-8c9b-605b7f70ea38",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,31.45,"mg/ml",NA,NA,NA,NA,"20210123T023002Z"
