"uid","analyte","analyteUnits","methodPub","method","methodDetectionLimit","practicalQuantitationLimit","analyteAccuracy","laboratoryName","qaReportingStartDate","qaReportingEndDate","dataQF","publicationDate"
"b922e8f3-9671-43eb-8038-e43e5d235fda","phH2o","pH","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a)",NA,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"4d4893ad-847a-45e1-a8f7-86254e3b1ec3","cecdNh4","centimolesChargePerKilogram","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Cation Exchange Capacity and Cations (4B1a1a)",0.1,0.6,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"4e1f3cfc-8613-4496-898e-2fea01bbb8dd","sTot","percent","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",0.04,0.2,0.01,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"cf9d4c22-cdb5-4cfb-868b-65d61e851cd1","cTot","percent","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",0.04,0.2,0.01,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"33d0720b-2b4f-4ad7-b34c-674dad610717","caNh4d","centimolesChargePerKilogram","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Cation Exchange Capacity and Cations (4B1a1a)",0.07,0.4,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"a884c232-f09e-4895-b9af-684511238175","kNh4d","centimolesChargePerKilogram","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Cation Exchange Capacity and Cations (4B1a1a)",0.06,0.3,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"67b869e0-7dfd-4ee5-8ece-d6b119fde483","feCitDithionate","percent","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Citrate Dithionate Extractable (4G1)",0.01,0.07,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"80c1528a-b5a4-4060-b98b-a675b48ab265","mnOxalate","milligramsPerKilogram","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Acid Oxalate Extractable (4G2)",0.1,0.6,1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"923e97ee-c9a9-4cc8-8632-54eebe3c0f8d","alOxalate","percent","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Acid Oxalate Extractable (4G2)",0.002,0.009,0.01,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
"c0cfc2f0-fcbf-47bb-aff5-4cf4be1e3c7a","OlsenPExtractable","milligramsPerKilogram","Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Mehlich III Phosphorus (4D6a1)",0.1,0.7,0.1,"USDA NRCS Kellogg Soil Survey Laboratory",2014-01-01,2019-06-12,NA,"20210123T023002Z"
