,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6377045198539906,,,,,,,12.5932,,,,
1,K00010,,,0.6759999999999999,,,,,,,3.5441,,,,
2,K00014,,,0.584,,,,,,,3.6486,,,,
3,K00019,,,0.628,,,,,,,9.0311,,,,
4,K00020,,,0.648,,,,,,,14.3664,,,,
5,K00029,,,0.5783434370098914,,,,,,,17.6732,,,,
6,K00031,,,0.6472665621841848,,,,,,,80.9228,,,,
7,K00033,,,0.632030166664955,,,,,,,59.18589999999999,,,,
8,K00034,,,0.654,,,,,,,5.4476,,,,
9,K00036,,,0.544,,,,,,,6.8246,,,,
10,K00053,,,0.6441794601104863,,,,,,,93.38060000000002,,,,
11,K00057,,,0.7148924226220144,,,,,,,10.3558,,,,
12,K00059,,,0.635992856381592,,,,,,,18.023,,,,
13,K00060,,,0.669,,,,,,,10.2909,,,,
14,K00064,,,0.737,,,,,,,5.588,,,,
15,K00067,,,0.59068311083072,,,,,,,22.1252,,,,
16,K00075,,,0.6207360314822006,,,,,,,66.9967,,,,
17,K00077,,,0.626284493381918,,,,,,,161.78300000000002,,,,
18,K00088,,,0.6588864058669034,,,,,,,11.9409,,,,
19,K00091,,,0.616,,,,,,,3.2647,,,,
20,K00099,,,0.6717461339508726,,,,,,,29.569100000000006,,,,
21,K00108,,,0.5969454820006174,,,,,,,12.8887,,,,
22,K00111,,,0.6465172150770369,,,,,,,80.6471,,,,
23,K00113,,,0.6920000000000001,,,,,,,9.3196,,,,
24,K00116,,,0.6280505425318187,,,,,,,32.691300000000005,,,,
25,K00124,,,0.5923060122152002,,,,,,,61.43319999999999,,,,
26,K00126,,,0.645916289043871,,,,,,,11.9453,,,,
27,K00127,,,0.6067085923610047,,,,,,,25.650399999999998,,,,
28,K00133,,,0.645495514478355,,,,,,,42.8304,,,,
29,K00134,,,0.5326857429641355,,,,,,,13.9651,,,,
30,K00140,,,0.7040000000000001,,,,,,,12.5105,,,,
31,K00145,,,0.6545532399735305,,,,,,,25.0747,,,,
32,K00163,,,0.6341195260042154,,,,,,,267.2244,,,,
33,K00175,,,0.595720558191984,,,,,,,23.357599999999998,,,,
34,K00180,,,0.6980913199759067,,,,,,,7.7942,,,,
35,K00201,,,0.6459999999999999,,,,,,,6.7465,,,,
36,K00208,,,0.621,,,,,,,6.8869,,,,
37,K00209,,,0.619,,,,,,,4.9373,,,,
38,K00215,,,0.6691532961605251,,,,,,,38.1438,,,,
39,K00228,,,0.636198835243011,,,,,,,24.4088,,,,
40,K00230,,,0.5529999999999999,,,,,,,2.0392,,,,
41,K00231,,,0.5960000000000001,,,,,,,3.383,,,,
42,K00232,,,0.49899999999999994,,,,,,,3.0663,,,,
43,K00240,,,0.6288381603182103,,,,,,,93.6071,,,,
44,K00241,,,0.6308939428648168,,,,,,,31.464400000000005,,,,
45,K00242,,,0.6440829811453902,,,,,,,36.2504,,,,
46,K00247,,,0.5511144418801915,,,,,,,7.5545,,,,
47,K00249,,,0.625,,,,,,,11.7131,,,,
48,K00254,,,0.6167983026855106,,,,,,,19.085,,,,
49,K00259,,,0.706,,,,,,,6.1198,,,,
50,K00273,,,0.6729999999999999,,,,,,,7.0795,,,,
51,K00275,,,0.6747107860111777,,,,,,,34.905699999999996,,,,
52,K00286,,,0.6336915126938313,,,,,,,34.2838,,,,
53,K00287,,,0.6967896148719945,,,,,,,11.0245,,,,
54,K00297,,,0.6894943675768549,,,,,,,12.589499999999997,,,,
55,K00304,,,0.6761512893366257,,,,,,,7.7448,,,,
56,K00311,,,0.6655794097358738,,,,,,,27.2667,,,,
57,K00330,,,0.5726878668552517,,,,,,,61.767700000000005,,,,
58,K00331,,,0.6629999999999999,,,,,,,18.8277,,,,
59,K00332,,,0.588,,,,,,,7.3132,,,,
60,K00334,,,0.6294249864694712,,,,,,,69.297,,,,
61,K00338,,,0.6053508995654261,,,,,,,58.6866,,,,
62,K00339,,,0.6469830682226804,,,,,,,38.904300000000006,,,,
63,K00340,,,0.5643873836111646,,,,,,,52.417199999999994,,,,
64,K00343,,,0.627,,,,,,,6.4253,,,,
65,K00344,,,0.5648113054690923,,,,,,,35.257099999999994,,,,
66,K00355,,,0.5530468914112779,,,,,,,8.0464,,,,
67,K00363,,,0.6548915047737186,,,,,,,8.5619,,,,
68,K00389,,,0.6012575551387435,,,,,,,21.9005,,,,
69,K00390,,,0.5966077864656774,,,,,,,41.626400000000004,,,,
70,K00406,,,0.611,,,,,,,5.6746,,,,
71,K00411,,,0.6515040173813349,,,,,,,32.9664,,,,
72,K00412,,,0.618,0.292,,,,,,12.7929,11.8031,,,
73,K00413,,,0.6419781835551306,,,,,,,19.5397,,,,
74,K00424,,,0.565,,,,,,,2.8469,,,,
75,K00425,,,0.5958530780491615,,,,,,,321.44609999999994,,,,
76,K00426,,,0.6031497953314217,,,,0.5579999999999999,,,209.53330000000005,,,,5.6712
77,K00428,,,0.6092133124794321,,,,,,,107.07409999999999,,,,
78,K00432,,,0.6249946489275199,,,,,,,23.4087,,,,
79,K00433,,,0.5877201812875187,,,,,,,65.89320000000001,,,,
80,K00446,,,0.622,,,,,,,7.1144,,,,
81,K00449,,,0.701,,,,,,,2.1854,,,,
82,K00450,,,0.6625622921257404,,,,,,,31.475300000000004,,,,
83,K00451,,,0.6499570179103711,,,,,,,87.22000000000001,,,,
84,K00452,,,0.655,,,,,,,9.4595,,,,
85,K00453,,,0.6303804069721956,,,,,,,35.0697,,,,
86,K00456,,,0.6061414734237249,,,,,,,5.8901,,,,
87,K00457,,,0.6003441036511543,,,,,,,34.8198,,,,
88,K00459,,,0.6355228656381852,,,,,,,184.68449999999999,,,,
89,K00469,,,0.5731163395621887,,,,,,,8.7624,,,,
90,K00477,,,0.653,,,,,,,6.5296,,,,
91,K00496,,,0.645,,,,,,,9.389,,,,
92,K00507,,,0.590232462940174,,,,,,,90.64160000000003,,,,
93,K00508,,,0.5479999999999999,,,,,,,8.4824,,,,
94,K00518,,,0.6154283168926844,,,,,,,16.4439,,,,
95,K00525,,,0.6318671088364477,,,,,,,17.3292,,,,
96,K00526,,,0.607,,,,,,,9.6252,,,,
97,K00528,,,0.687,,,,,,,6.0167,,,,
98,K00529,,,0.705,,,,,,,7.9115,,,,
99,K00537,,,0.6210170171174122,,,,,,,8.906600000000001,,,,
100,K00540,,,0.6116214570433381,,,,0.6855886873590782,,,60.3703,,,,4.2797
101,K00544,,,0.667,,,,,,,5.8969,,,,
102,K00545,,,0.6376217497156548,,,,,,,11.929599999999999,,,,
103,K00548,,,0.601567189405168,,,,,,,67.8911,,,,
104,K00549,,,0.6324053356860877,,,,,,,328.4460000000001,,,,
105,K00554,,,0.6514871539739452,,,,,,,38.8158,,,,
106,K00560,,,0.625694486882643,,,,,,,64.5067,,,,
107,K00564,,,0.746,,,,,,,2.6034,,,,
108,K00567,,,0.6715433515916488,,,,,,,11.575499999999998,,,,
109,K00570,,,0.6591370470643587,,,,,,,52.5506,,,,
110,K00573,,,0.646851451008503,,,,,,,108.9453,,,,
111,K00574,,,0.6372349245730135,,,,,,,104.0787,,,,
112,K00575,,,0.583,,,,,,,7.0384,,,,
113,K00577,,0.541,,,,,,,4.3324,,,,,
114,K00588,,,0.6025565182949617,,,,,,,11.128599999999999,,,,
115,K00595,,,0.7155032577077471,,,,,,,11.755,,,,
116,K00598,,,0.6722150778839519,,,,,,,8.681000000000001,,,,
117,K00600,,,0.643515512267844,,,,,,,120.0794,,,,
118,K00602,,,0.6568562271690125,,,,,,,115.61069999999998,,,,
119,K00606,,,0.6348712355111025,,,,,,,95.442,,,,
120,K00609,,,0.6670168192168723,,,,,,,25.7999,,,,
121,K00613,,,0.593,,,,,,,7.8529,,,,
122,K00615,,,0.6449376460894549,,,,,,,32.6623,,,,
123,K00616,,,0.6759999999999999,,,,,,,3.4563,,,,
124,K00620,,,0.6342736341383037,,,,,,,32.7451,,,,
125,K00625,,,0.6859999999999999,,,,,,,5.5857,,,,
126,K00626,,,0.669259951359406,,,,,,,143.05909999999997,,,,
127,K00635,,,0.639715073290594,,,,0.654,,,269.68319999999994,,,,2.124
128,K00640,,,0.6426013486960406,,,,,,,78.6066,,,,
129,K00641,,,0.6289476617948135,,,,,,,138.52420000000004,,,,
130,K00643,,,0.645,,,,,,,13.6807,,,,
131,K00648,,,0.6444466133744942,,,,,,,13.6312,,,,
132,K00652,,,0.747,,,,,,,8.5732,,,,
133,K00655,,,0.6336921363748679,,,,,,,48.5394,,,,
134,K00657,,,0.6206388402899189,,,,,,,20.2023,,,,
135,K00661,,,0.63159534954043,,,,,,,17.5853,,,,
136,K00662,,,0.6305365080590367,,,,,,,9.1207,,,,
137,K00674,,,0.6681425034380247,,,,,,,68.1959,,,,
138,K00677,,,0.6259277353269694,,,,,,,50.589,,,,
139,K00682,,,0.5870000000000001,,,,,,,2.3114,,,,
140,K00683,,,0.5920000000000001,,,,,,,2.9469,,,,
141,K00684,,,0.6652097258853324,,,,,,,50.2379,,,,
142,K00688,,,0.5962954336424403,,,,,,,329.0017999999999,,,,
143,K00694,,,0.5747366229080302,,,,,,,12.3657,,,,
144,K00700,,,0.6151993060660903,,,,,,,49.35079999999999,,,,
145,K00703,,,0.624707853156659,,,,,,,61.8502,,,,
146,K00705,,,0.6660292026949642,,,,,,,10.7592,,,,
147,K00720,,,0.6218951984540907,,,,,,,36.0485,,,,
148,K00729,,,0.58,,,,,,,6.6138,,,,
149,K00748,,,0.6542541978594547,,,,,,,13.5445,,,,
150,K00759,,,0.6348993574845465,,,,,,,68.55120000000001,,,,
151,K00760,,,0.6004457998515516,,,,,,,29.6037,,,,
152,K00762,,,0.654729306668087,,,,,,,21.9848,,,,
153,K00763,,,0.6413631316016558,,,,,,,36.5239,,,,
154,K00764,,,0.6405941213361267,,,,,,,173.4325,,,,
155,K00765,,,0.6187036807000998,,,,,,,29.1296,,,,
156,K00766,,,0.6782077951344998,,,,,,,35.676899999999996,,,,
157,K00767,,,0.7120000000000001,,,,,,,5.5201,,,,
158,K00768,,,0.6833105281843043,,,,,,,27.576800000000002,,,,
159,K00769,,,0.6839999999999999,,,,,,,4.0161,,,,
160,K00773,,,0.696,,,,,,,8.2305,,,,
161,K00783,,,0.6758314832614009,,,,,,,20.8698,,,,
162,K00784,,,0.6798487521489667,,,,,,,11.7964,,,,
163,K00788,,,0.7032280472667096,,,,,,,11.698599999999999,,,,
164,K00789,,,0.6538113336245881,,,,,,,221.34930000000003,,,,
165,K00790,,,0.6420689731850965,,,,,,,55.18729999999999,,,,
166,K00791,,,0.5743040642834287,,,,,,,8.3108,,,,
167,K00793,,,0.6649947512173906,,,,,,,18.0464,,,,
