,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7390000000000001,,,,,,,12.4198,,,,
1,K00010,,,0.711,,,,,,,8.5394,,,,
2,K00029,,,0.6869422562268888,,,,,,,14.8973,,,,
3,K00031,,,0.6200039129370752,,,,,,,39.4487,,,,
4,K00033,,,0.7049377239399673,,,,,,,40.6639,,,,
5,K00036,,,0.6970000000000001,,,,,,,22.4995,,,,
6,K00053,,,0.46231561648706,,,,,,,67.91,,,,
7,K00059,,,0.6843906785531407,,,,,,,13.879000000000001,,,,
8,K00067,,,0.7160945054671037,,,,,,,22.1214,,,,
9,K00075,,,0.7133603296573146,,,,,,,27.8508,,,,
10,K00077,,0.741,0.7095881120278615,,,,,,5.9712,15.9306,,,,
11,K00082,,,0.747,,,,,,,9.5709,,,,
12,K00096,,,0.677,,,,,,,2.9851,,,,
13,K00099,,,0.6682857097227939,,,,,,,25.8745,,,,
14,K00111,,,0.7226286191386038,,,,,,,23.4253,,,,
15,K00124,,,0.6676577983794674,,,,,,,24.9342,,,,
16,K00127,,,0.6268434595576557,,,,,,,10.3993,,,,
17,K00133,,,0.249,,,,,,,28.9248,,,,
18,K00145,,,0.3765641219910263,,,,,,,47.2285,,,,
19,K00162,,,0.7020000000000001,,,,,,,6.401,,,,
20,K00163,,,0.6884893335733504,,,,,,,175.53209999999999,,,,
21,K00169,,,0.705,,,,,,,11.3803,,,,
22,K00174,,,0.243,,,,,,,28.9248,,,,
23,K00175,,,0.2770656149139169,,,,,,,34.0801,,,,
24,K00215,,,0.4026220036976417,,,,,,,48.373400000000004,,,,
25,K00230,,,0.736,,,,,,,2.4688,,,,
26,K00240,,,0.6427491039732471,,,,,,,37.229,,,,
27,K00241,,,0.578421946783413,,,,,,,10.175,,,,
28,K00245,,,0.6450808900983864,,,,,,,12.1979,,,,
29,K00254,,,0.6698693787236623,,,,,,,12.2671,,,,
30,K00259,,,0.7067060400994079,,,,,,,21.2211,,,,
31,K00273,,,0.7170000000000001,,,,,,,6.7728,,,,
32,K00275,,,0.6937935290260432,,,,,,,31.822599999999998,,,,
33,K00286,,,0.7263959795780641,,,,,,,23.0469,,,,
34,K00287,,,0.61824475488503,,,,,,,4.2614,,,,
35,K00297,,,0.3818654791622409,,,,,,,44.112300000000005,,,,
36,K00299,,,0.6859999999999999,,,,,,,7.8245,,,,
37,K00311,,,0.581,,,,,,,3.548,,,,
38,K00330,,,0.6408660373731903,,,,,,,32.3269,,,,
39,K00332,,,0.698,,,,,,,10.4028,,,,
40,K00334,,,0.6315995234532894,,,,,,,22.753,,,,
41,K00338,,,0.674,,,,,,,28.4084,,,,
42,K00339,,,0.6940154677280397,,,,,,,10.7109,,,,
43,K00340,,,0.6418701984822605,,,,,,,34.1634,,,,
44,K00342,,,0.56,,,,,,,3.32,,,,
45,K00365,,,0.6809999999999999,,,,,,,8.1833,,,,
46,K00371,,,0.6827786560609286,,,,,,,20.971600000000002,,,,
47,K00373,,,0.7040000000000001,,,,,,,4.7289,,,,
48,K00384,,,0.276,,,,,,,28.9248,,,,
49,K00389,,,0.7281594887138578,,,,,,,12.322500000000002,,,,
50,K00390,,,0.6878926579683219,,,,,,,14.4189,,,,
51,K00407,,,0.674,,,,,,,2.9704,,,,
52,K00411,,,,,,,0.611,,,,,,,2.6782
53,K00412,,,,,0.28157377603306416,,,,,,,11.8839,,
54,K00425,,,0.6702079744314833,,,,,,,123.24369999999999,,,,
55,K00426,,,0.6978935844080014,,,,,,,56.7268,,,,
56,K00428,,,0.555,,,,,,,3.5518,,,,
57,K00432,,,0.6308708391770504,,,,,,,14.1486,,,,
58,K00433,,,0.6438466412923327,,,,,,,36.8682,,,,
59,K00446,,,0.6944002379821156,,,,,,,22.729599999999998,,,,
60,K00448,,,0.735,,,,,,,5.0271,,,,
61,K00449,,,0.6987418381735025,,,,,,,33.208299999999994,,,,
62,K00450,,,0.74,,,,,,,6.1752,,,,
63,K00451,,,0.6910002052888674,,,,,,,35.0467,,,,
64,K00452,,,0.688,,,,,,,2.9287,,,,
65,K00453,,,0.6741763477455744,,,,,,,26.4513,,,,
66,K00456,,,0.69,,,,,,,4.836,,,,
67,K00457,,,0.6417507321489747,,,,,,,10.7182,,,,
68,K00459,,,0.748188588719898,,,,,,,26.99,,,,
69,K00468,,,0.687,,,,,,,6.5562,,,,
70,K00477,,,0.631,,,,,,,4.5724,,,,
71,K00481,,,0.6996684149177205,,,,,,,16.9695,,,,
72,K00500,,,0.637,,,,,,,3.087,,,,
73,K00507,,,0.6309586382191061,,,,,,,63.950700000000005,,,,
74,K00518,,,0.6545658598841065,,,,,,,32.990899999999996,,,,
75,K00525,,,0.6052420373827652,,,,,,,25.7188,,,,
76,K00526,,,0.608,,,,,,,7.5894,,,,
77,K00540,,,0.7041052521733574,,,,0.6813676815174493,,,36.477399999999996,,,,9.8123
78,K00544,,,0.7260640233576812,,,,,,,23.4851,,,,
79,K00548,,,0.6709999999999998,,,,,,,3.3462,,,,
80,K00549,,,0.5067607383807671,,,,0.66,,,261.91,,,,4.8467
81,K00554,,,0.6374790095010536,,,,,,,11.4012,,,,
82,K00560,,,0.630074423669558,,,,,,,16.2485,,,,
83,K00563,,,0.7719999999999999,,,,,,,3.2751,,,,
84,K00564,,,0.77,,,,,,,6.1121,,,,
85,K00566,,,0.253,,,,,,,28.9248,,,,
86,K00567,,,0.6974980429183563,,,,,,,11.0709,,,,
87,K00570,,,0.7509999999999999,,,,,,,10.18,,,,
88,K00573,,,0.702536597598697,,,,,,,39.5968,,,,
89,K00574,,,0.6864199673366489,,,,,,,51.030300000000004,,,,
90,K00588,,,0.689201418141215,,,,,,,7.805400000000001,,,,
91,K00596,,,0.68,,,,,,,7.6463,,,,
92,K00598,,,0.7040000000000001,,,,,,,5.7567,,,,
93,K00600,,,0.5032003347967084,,,,,,,117.5241,,,,
94,K00602,,,0.6982417806436946,,,,,,,49.1106,,,,
95,K00606,,,0.7047055120721767,,,,,,,53.052400000000006,,,,
96,K00609,,,0.6867477896696137,,,,,,,25.431,,,,
97,K00615,,,0.5904599269452792,,,,,,,8.580400000000001,,,,
98,K00616,,,0.6314998189338091,,,,,,,9.78,,,,
99,K00626,,,0.6800156437986297,,,,,,,83.5883,,,,
100,K00635,,,0.7091314841502181,,,,0.7559999999999999,,,109.46800000000002,,,,1.8528
101,K00640,,,0.6918770136485157,,,,,,,8.3362,,,,
102,K00641,,,0.6783173500759511,,,,0.7229999999999999,,,37.383399999999995,,,,7.3216
103,K00648,,,0.6538025227664513,,,,,,,9.4838,,,,
104,K00655,,,0.6863272013628391,,,,,,,22.247200000000003,,,,
105,K00663,,,0.716,,,,,,,10.239,,,,
106,K00673,,,0.642,,,,,,,2.167,,,,
107,K00674,,,0.4051055064876916,,,,,,,49.5689,,,,
108,K00677,,,0.6576961075577313,,,,,,,9.5847,,,,
109,K00682,,,0.6933117944406527,,,,,,,7.9671,,,,
110,K00684,,,0.541,,,,,,,2.1759,,,,
111,K00688,,,0.6902013447208568,,,,,,,53.8195,,,,
112,K00700,,,0.6977183421999975,,,,,,,69.6023,,,,
113,K00703,,,0.528,,,,,,,3.4362,,,,
114,K00721,,,0.752,,,,,,,4.0248,,,,
115,K00728,,,0.6934744559129145,,,,,,,16.4436,,,,
116,K00759,,,0.6723626381582467,,,,,,,13.34,,,,
117,K00760,,,0.6390075550538209,,,,,,,43.1662,,,,
118,K00762,,,0.6927535455665949,,,,,,,16.0918,,,,
119,K00763,,,0.6947563477459878,,,,,,,20.232,,,,
120,K00764,,,0.6930444517336735,,,,,,,48.7831,,,,
121,K00765,,,0.2854831593800645,,,,,,,35.4601,,,,
122,K00766,,,0.345657556205635,,,,,,,48.063900000000004,,,,
123,K00768,,,0.7474571589280272,,,,,,,20.0419,,,,
124,K00782,,,0.7163246057988536,,,,,,,6.1190999999999995,,,,
125,K00783,,,0.6855937238414083,,,,,,,5.7667,,,,
126,K00784,,,0.7171556825258608,,,,,,,31.317999999999998,,,,
127,K00788,,,0.7356196994123043,,,,,,,16.2962,,,,
128,K00789,0.629,,0.6801120409245551,,,,,2.7855,,143.22490000000002,,,,
129,K00790,,,0.695733822599499,,,,,,,44.020199999999996,,,,
130,K00791,,,0.28177582917205396,,,,,,,32.9387,,,,
131,K00793,,0.743,0.6812082666622925,,,,,,2.3908,12.396899999999999,,,,
132,K00794,,,0.7010967994733212,,,,,,,14.863900000000001,,,,
133,K00796,,,0.6866382874816864,,,,,,,8.337,,,,
134,K00797,,,0.6460441827369398,,,,,,,12.212,,,,
135,K00798,,,0.7106025363188084,,,,,,,15.3169,,,,
136,K00799,,,0.6424308378987148,,,,,,,25.8425,,,,
137,K00800,,,0.35592154576687296,,,,,,,58.39470000000001,,,,
138,K00808,,,0.67,,,,,,,4.4016,,,,
139,K00817,,,0.708,,,,,,,8.5945,,,,
140,K00820,,,0.6596187621373579,,,,,,,60.5803,,,,
141,K00826,,,0.7189927642989487,,,,,,,19.9255,,,,
142,K00831,,,0.6233720452910126,,,,,,,5.4969,,,,
143,K00851,,,0.6752061816534718,,,,,,,7.195,,,,
144,K00856,,,0.7190000000000001,,,,,,,8.8142,,,,
145,K00857,,,0.58,,,,,,,3.3747,,,,
146,K00858,,,0.7016945815537758,,,,,,,40.962199999999996,,,,
147,K00859,,,0.7346603422260845,,,,,,,15.9856,,,,
148,K00865,,,0.7332122197509611,,,,,,,26.2147,,,,
149,K00867,,,0.653,,,,,,,4.8602,,,,
150,K00873,,,0.7072725045695684,,,,0.74,,,89.4448,,,,1.3463
151,K00876,,,0.5825364652847514,,,,,,,10.5334,,,,
152,K00886,,,0.699836681544013,,,,,,,13.4736,,,,
153,K00902,,,,,,,0.382,,,,,,,3.8919
154,K00912,,,0.5670000000000001,,,,,,,2.7651,,,,
155,K00919,,,0.7745338150118017,,,,,,,14.368300000000001,,,,
156,K00925,,,0.4219233089359326,,,,,,,75.30560000000001,,,,
157,K00926,,0.731,0.7285837030960518,,,,,,3.1084,17.0411,,,,
158,K00927,,,0.7162347500566382,,,,,,,33.133199999999995,,,,
159,K00930,,,0.6639999999999999,,,,,,,5.2641,,,,
160,K00936,,,0.7044794038166142,,,,,,,20.915,,,,
161,K00937,,,0.6758153549841505,,,,,,,22.8116,,,,
162,K00940,,,0.6531174209724431,,,,,,,27.643800000000002,,,,
163,K00942,,,0.705,,,,,,,6.8889,,,,
164,K00943,,,0.7033974502383055,,,,,,,29.147199999999998,,,,
165,K00945,,,0.7273154536045808,,,,,,,19.305300000000003,,,,
166,K00946,,,0.7505896331956852,,,,,,,12.641,,,,
167,K00948,,,0.681405692168626,,0.545,,,,,109.29450000000003,,2.1401,,
168,K00950,,,0.702641689778866,,,,,,,24.736300000000004,,,,
