,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7271945601810713,,,,,,,,,33.840599999999995,,,,,,
1,K00012,,,0.6451653827882667,,,,,,,,,13.9352,,,,,,
2,K00013,,,0.754,,,,,,,,,9.5758,,,,,,
3,K00014,,,0.6708808263973047,,,,,,,,,9.2689,,,,,,
4,K00018,,,0.618,,,,,,,,,3.7663,,,,,,
5,K00023,,,0.595,,,,,,,,,7.8482,,,,,,
6,K00029,,,0.6400484545944818,,,,,,,,,31.8186,,,,,,
7,K00031,,,0.6384486849888783,,,,,,,,,58.901199999999996,,,,,,
8,K00033,,,0.647257048438548,,,,,,,,,104.3115,,,,,,
9,K00036,,,0.662,,,,,,,,,20.0083,,,,,,
10,K00038,,,0.6709999999999999,,,,,,,,,16.0143,,,,,,
11,K00046,,,0.659,,,,,,,,,5.0,,,,,,
12,K00053,,,0.6732049677886262,,,,,,,,,56.796600000000005,,,,,,
13,K00055,,,0.581,,,,,,,,,8.9206,,,,,,
14,K00057,,,0.7052527108729788,,,,,,,,,21.3504,,,,,,
15,K00058,,,0.6806351271377878,,,,,,,,,19.1026,,,,,,
16,K00059,,,0.6493217620486662,,,,,,,,,52.2796,,,,,,
17,K00060,,,0.623,,,,,,,,,5.5514,,,,,,
18,K00065,,,0.644,,,,,,,,,3.8825,,,,,,
19,K00067,,,0.6764260843169038,,,,,,,,,39.6772,,,,,,
20,K00075,,,0.6716716157256992,,,,,,,,,40.1299,,,,,,
21,K00077,,0.674,0.664977858831796,,,,,,0.669,,6.085,156.7571,,,,,,4.7995
22,K00088,,,0.6794657980975121,,,,,,,,,30.165699999999998,,,,,,
23,K00096,,,0.7486317301585702,,,,,,,,,6.6053999999999995,,,,,,
24,K00098,,,0.664,,,,,,,,,5.032,,,,,,
25,K00099,,,0.686162107812927,,,,,,,,,67.255,,,,,,
26,K00108,,,0.6578855693154552,,,,,,,,,27.448700000000002,,,,,,
27,K00111,,,0.661288824976063,,,,,,,,,97.9191,,,,,,
28,K00116,,,0.5889374966746299,,,,,,,,,39.8001,,,,,,
29,K00122,,,0.5981362175040712,,,,,,,,,57.304300000000005,,,,,,
30,K00124,,,0.6381885891364474,,,,,,,,,37.0971,,,,,,
31,K00126,,,0.618,,,,,,,,,3.5301,,,,,,
32,K00127,,,0.5948627286856801,,,,,,,,,22.578700000000005,,,,,,
33,K00133,,,0.6656740275185494,,,,,,,,,21.413700000000002,,,,,,
34,K00134,,,0.6037429853337443,,,,,,,,,48.7723,,,,,,
35,K00135,,,0.547,,,,,,,,,4.5452,,,,,,
36,K00140,,,0.6604576742305825,,,,,,,,,25.1461,,,,,,
37,K00145,,,0.6975508473221143,,,,,,,,,41.2843,,,,,,
38,K00153,,,0.7225686432478942,,,,,,,,,20.7656,,,,,,
39,K00163,,,0.6704466558997397,,,,,,,,,393.12799999999993,,,,,,
40,K00166,,,0.6409999999999998,,,,,,,,,5.1997,,,,,,
41,K00167,,,0.636,,,,,,,,,5.1997,,,,,,
42,K00169,,,0.643,,,,,,,,,5.5893,,,,,,
43,K00172,,0.693,,,,,,,,,3.2506,,,,,,,
44,K00174,,,0.6353076401277212,,,,,,,,,47.3461,,,,,,
45,K00175,,,0.6600934566179099,,,,,,,,,40.8203,,,,,,
46,K00208,,,0.6195334709905714,,,,,,,,,18.6767,,,,,,
47,K00215,,,0.666598091639809,,,,,,,,,35.9095,,,,,,
48,K00217,,,0.643,,,,,,,,,3.0016,,,,,,
49,K00221,,,0.6640489823542024,,,,,,,,,11.2649,,,,,,
50,K00227,,,0.556,,,,,,,,,5.0017,,,,,,
51,K00228,,,0.6450629645963455,,,,,,,,,29.696099999999994,,,,,,
52,K00230,,,0.69,,,,,,,,,2.6785,,,,,,
53,K00231,,,0.7185217862524835,,,,,,,,,11.9606,,,,,,
54,K00240,,,0.6385375629184054,,,,,,,,,98.31249999999999,,,,,,
55,K00241,,,0.560462615960685,,,,,,0.516,,,39.4227,,,,,,4.1175
56,K00242,,,0.6394039397871407,,,,,,,,,11.8018,,,,,,
57,K00247,,,0.66,,,,,,,,,2.7773,,,,,,
58,K00249,,,0.7023417432616191,,,,,,,,,21.4679,,,,,,
59,K00252,,,0.6729456018070453,,,,,,,,,19.2214,,,,,,
60,K00254,,,0.6947636243277405,,,0.657,,,,,,34.5788,,,2.4462,,,
61,K00259,,,0.626,,,,,,,,,3.7375,,,,,,
62,K00273,,,0.7609999999999999,,,,,,,,,5.2456,,,,,,
63,K00275,,,0.6807835406916831,,,,,,,,,89.91789999999999,,,,,,
64,K00285,,,0.6624616601550485,,,,,,,,,6.7946,,,,,,
65,K00286,,,0.6572640469124741,,,,,,,,,33.1019,,,,,,
66,K00287,,,0.6875932761240958,,,,,,0.713,,,6.473800000000001,,,,,,7.4495
67,K00297,,,0.6722385962823785,,,,,,,,,57.62010000000001,,,,,,
68,K00299,,,0.7126172374523444,,,,,,,,,21.211399999999998,,,,,,
69,K00304,,,0.6828651590182924,,,,,,,,,7.5922,,,,,,
70,K00311,,,0.6362258148880133,,,,,,,,,16.9096,,,,,,
71,K00316,,,0.622,,,,,,,,,7.5217,,,,,,
72,K00318,,,0.7440000000000001,,,,,,,,,4.922,,,,,,
73,K00320,,,0.6960915684228381,,,,,,,,,11.7362,,,,,,
74,K00330,,,0.5922821514461499,,,,,,,,,67.7434,,,,,,
75,K00331,,,0.5539980367476652,,,,,,,,,22.556900000000002,,,,,,
76,K00332,,,0.6937881249078912,,,,,,,,,21.2856,,,,,,
77,K00333,,,0.561,,,,,,,,,8.0228,,,,,,
78,K00334,,,0.6395917714943522,,,,,,,,,38.928,,,,,,
79,K00337,,,,,,0.254,,,,,,,,,12.644,,,
80,K00338,,,0.6262217607858301,,,,,,,,,82.05640000000001,,,,,,
81,K00339,,,0.6097554768983492,,,,,,,,,33.2446,,,,,,
82,K00340,,,0.5993477912886576,,,,,,,,,54.0242,,,,,,
83,K00343,,,0.674132958991289,,,0.227,,,,,,41.0387,,,10.9876,,,
84,K00344,,,0.59746440874972,,,,,,,,,54.9617,,,,,,
85,K00355,,,0.6266557708757594,,,,,,,,,7.5684000000000005,,,,,,
86,K00365,,,0.6644607836954501,,,,,,,,,7.4031,,,,,,
87,K00368,,,0.5660000000000001,,,,,,,,,4.0255,,,,,,
88,K00371,,,0.6779999999999999,,,,,,,,,5.3234,,,,,,
89,K00374,,,0.6549765403585864,,,,,,,,,6.7942,,,,,,
90,K00375,,,0.7649999999999999,,,,,,,,,6.551,,,,,,
91,K00384,,,0.6594477545323787,,,,,,,,,34.2294,,,,,,
92,K00389,,,0.6761658114109599,,,,,,0.706,,,40.1029,,,,,,2.8467
93,K00390,,,0.6673323899080241,,,,,,,,,46.570800000000006,,,,,,
94,K00406,,,0.6201779570056706,,,,,,,,,10.6827,,,,,,
95,K00407,,,0.5760000000000001,,,,,,,,,3.9305,,,,,,
96,K00411,,,0.6447926274667205,,,,,,,,,23.4527,,,,,,
97,K00412,,,0.615,,,0.274,,,,,,11.3834,,,10.9876,,,
98,K00413,,,0.6231022964723938,,,,,,,,,9.845099999999999,,,,,,
99,K00425,,,0.6167302395620072,,,,,,,,,263.37629999999996,,,,,,
100,K00426,,,0.6363586681173335,,,,,,0.6809999999999999,,,208.5116,,,,,,2.2988
101,K00428,,,0.6169425730756645,,,,,,,,,99.48120000000002,,,,,,
102,K00432,,,0.6336337647894774,,,,,,,,,38.933899999999994,,,,,,
103,K00433,,0.579,0.6358342114018972,,,,,,,,5.7609,138.87340000000003,,,,,,
104,K00446,,,0.6718008336976928,,,,,,,,,25.801900000000003,,,,,,
105,K00448,,,0.741,,,,,,,,,6.4516,,,,,,
106,K00449,,,0.6818004371563631,,,,,,,,,49.79599999999999,,,,,,
107,K00450,,,0.7016180738010295,,,,,,,,,64.42090000000002,,,,,,
108,K00451,,,0.6500372226494564,,,,,,,,,115.0123,,,,,,
109,K00452,,,0.5794164859058704,,,,,,,,,7.335100000000001,,,,,,
110,K00453,,,0.6278347071811982,,,,,,,,,63.5706,,,,,,
111,K00455,,,0.72,,,,,,,,,8.3736,,,,,,
112,K00456,,,0.645527744738129,,,,,,,,,9.0875,,,,,,
113,K00457,,,0.6602430158185897,,,,,,,,,71.6381,,,,,,
114,K00459,,,0.6575075759147375,,,0.636,,,,,,220.05480000000003,,,5.1653,,,
115,K00469,,,0.515,,,,,,,,,3.6877,,,,,,
116,K00472,,,0.718,,,,,,,,,3.4804,,,,,,
117,K00479,,,0.6890000000000001,,,,,,,,,9.985,,,,,,
118,K00480,,,0.5670000000000001,,,,,,,,,2.6469,,,,,,
119,K00481,,,0.6558544167844766,,,,,,,,,22.935900000000004,,,,,,
120,K00483,,,0.6107877885206259,,,,,,,,,12.7995,,,,,,
121,K00500,,,0.594,,,,,,,,,4.3358,,,,,,
122,K00507,,,0.6454090400405749,,,,,,,,,130.9756,,,,,,
123,K00518,,,0.6418029361216255,,,,,,,,,21.403399999999998,,,,,,
124,K00525,,,0.631278877426273,,,,,,,,,81.33319999999999,,,,,,
125,K00528,,,0.6622825646124169,,,,,,,,,10.1479,,,,,,
126,K00529,,,0.7416884036093,,,,,,,,,16.2254,,,,,,
127,K00540,,,0.6521376770417655,,,,,,0.6068903087762436,,,140.20649999999998,,,,,,7.9277
128,K00544,,,0.6981458938670158,,,,,,,,,43.9971,,,,,,
129,K00548,,,0.6346492106804197,,,,,,,,,86.20079999999999,,,,,,
