,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,,0.6544388862504742,,,,,,28.8948,,,
1,K00033,,,0.6792767134332228,,,,,,19.9344,,,
2,K00053,,,0.6715040057740647,,,,,,42.39469999999999,,,
3,K00054,,0.636,0.746,,,,,2.0429,2.9122,,,
4,K00060,,,0.703,,,,,,7.6653,,,
5,K00067,,,0.7349333336326958,,,,,,8.8173,,,
6,K00075,,,0.683254651283041,,,,,,16.508699999999997,,,
7,K00077,,0.729,0.6953784666522678,,,0.669,,1.7773,65.8855,,,2.5215
8,K00096,,,0.735,,,,,,4.5829,,,
9,K00099,,,0.6923015879139514,,,,,,24.0153,,,
10,K00108,,,0.69,,,,,,4.3648,,,
11,K00111,,,0.6940066265691017,,,,,,16.5825,,,
12,K00124,,,0.6655635096983542,,,,,,12.844,,,
13,K00126,,,0.644,,,,,,2.6235,,,
14,K00127,,,0.677,,,,,,2.5701,,,
15,K00133,,,0.6376846765840946,,,,,,19.8632,,,
16,K00134,,,0.6740000000000002,,,,,,8.2766,,,
17,K00145,,,0.6985839567130842,,,,,,7.457599999999999,,,
18,K00163,,,0.6652121188909724,,,,,,167.4723,,,
19,K00174,,,0.7090000000000001,,,,,,4.4266,,,
20,K00175,,,0.579,,,,,,5.6923,,,
21,K00176,,,0.6709999999999999,,,,,,2.2627,,,
22,K00180,,,0.718,,,,,,4.0017,,,
23,K00208,,,0.5917577205067296,,,,,,11.9594,,,
24,K00215,,,0.7032042218348753,,,,,,29.5512,,,
25,K00221,,,0.642,,,,,,3.7166,,,
26,K00230,,,0.669,,,,,,2.5726,,,
27,K00231,,,0.76,,,,,,3.7301,,,
28,K00240,,,0.6504459335214814,,,,,,45.2839,,,
29,K00241,,,0.6302761512228461,,,,,,12.4698,,,
30,K00242,,,0.6629999999999999,,,,,,5.7587,,,
31,K00254,,,0.675255497650906,,,,,,5.129300000000001,,,
32,K00259,,,0.665,,,,,,2.2245,,,
33,K00275,,,0.6985642225270717,,,,,,25.259800000000002,,,
34,K00286,,,0.7090131042827501,,,,,,15.3799,,,
35,K00287,,,0.6449452386188498,,,,,,10.8646,,,
36,K00304,,,0.693,,,,,,1.9824,,,
37,K00313,,,0.691,,,,,,2.8374,,,
38,K00320,,,0.642,,,,,,4.4597,,,
39,K00330,,,0.6057517554456547,,,,,,37.628699999999995,,,
40,K00331,0.6509999999999999,,,,,,18.7372,,,,,
41,K00332,,,0.708,,,,,,4.6138,,,
42,K00334,,,0.6523442344992416,,,,,,9.3298,,,
43,K00338,,,0.6602758663856483,,,,,,80.335,,,
44,K00339,,,0.6803649932163595,,,,,,19.0034,,,
45,K00340,,,0.6188727813215817,,,,,,72.27219999999998,,,
46,K00355,,,0.635,,,,,,2.2215,,,
47,K00368,,,0.708,,,,,,4.5243,,,
48,K00371,,,0.6911971841586327,,,,,,10.1288,,,
49,K00373,,,0.7290000000000002,,,,,,7.2212,,,
50,K00389,,,0.6987731267533687,,,,,,20.4254,,,
51,K00390,,,0.69,,,,,,3.1788,,,
52,K00407,,,0.5954133216564177,,,,,,9.8783,,,
53,K00411,,,0.6345340440317423,,,,,,7.6894,,,
54,K00412,,,0.609,,,,,,11.458,,,
55,K00413,,,0.6384290939540914,,,,,,10.1579,,,
56,K00425,,,0.6563883294093068,,,,,,39.9992,,,
57,K00426,,,0.6596747475970401,,,,,,32.6171,,,
58,K00428,,,0.6617283983126397,,,,,,18.0674,,,
59,K00432,,,0.6217293186583631,,,,,,19.1267,,,
60,K00446,,,0.703,,,,,,4.4014,,,
61,K00448,,,0.7155936005521866,,,,,,6.8001000000000005,,,
62,K00449,,,0.6524445403874565,,,,,,6.8951,,,
63,K00450,,,0.6926066027284489,,,,,,24.1186,,,
64,K00451,,,0.6612668628991094,,,,,,42.4792,,,
65,K00452,,,0.632,,,,,,2.9367,,,
66,K00453,,0.706,0.6929804364638973,,,,,3.5746,8.4368,,,
67,K00456,,,0.547,,,,,,3.1222,,,
68,K00457,,,0.6838679232351016,,,,,,43.974199999999996,,,
69,K00459,,,0.7249840696253248,,,,,,17.1971,,,
70,K00463,,,0.654,,,,,,3.6496,,,
71,K00507,,,0.6444056497188408,,,,,,25.490900000000003,,,
72,K00518,,,0.6471180478736575,,,,,,20.6693,,,
73,K00525,,,0.6732716154660672,,,,,,67.118,,,
74,K00526,,,0.585,,,,,,10.1285,,,
75,K00528,,,0.6990000000000002,,,,,,5.0564,,,
76,K00537,,,0.611,,,,,,3.3066,,,
77,K00540,,,0.6546797913547704,,,,,,50.77459999999999,,,
78,K00544,,,0.701,,,,,,5.3333,,,
79,K00548,,,0.6596606250379314,,,,,,26.976200000000002,,,
80,K00549,,,0.6696591604096261,,,,,,260.32950000000005,,,
81,K00554,,,0.7020787969313111,,,,,,24.7067,,,
82,K00560,,,0.6215199375733976,,,,,,29.5634,,,
83,K00564,,,0.769,,,,,,3.7443,,,
84,K00566,,,0.7331820439624055,,,,,,7.9383,,,
85,K00567,,,0.722,,,,,,3.5033,,,
86,K00570,,,0.668040567728866,,,,,,11.4703,,,
87,K00573,,,0.6741816187376047,,,,,,40.97019999999999,,,
88,K00574,,,0.6681895801712555,,,,,,31.197,,,
89,K00575,,,0.654,,,,,,3.9584,,,
90,K00588,,,0.679,,,,,,3.1066,,,
91,K00600,,,0.6786931313500705,,,,,,60.3194,,,
92,K00602,,,0.7041537579908274,,,,,,46.07190000000001,,,
93,K00606,,0.381,0.644016610374975,,,,,2.3372,35.29820000000001,,,
94,K00609,,,0.685685488978054,,,,,,29.874299999999998,,,
95,K00615,,,0.6736361183864685,,,,,,19.615699999999997,,,
