,KEGG,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00088,,0.44700000000000006,,,,3.2574,,
1,K00368,0.687,,,,2.7551,,,
2,K00507,0.523,,,,4.3663,,,
3,K00606,0.6579999999999999,,,,1.485,,,
4,K00794,0.752,,,,1.6588,,,
5,K00986,0.6459999999999999,,,,4.4221,,,
6,K01047,,0.522,,,,7.554,,
7,K01251,0.6312051242427242,,,,10.2521,,,
8,K01358,0.63,,,,1.782,,,
9,K01497,0.6609999999999999,,,,4.4878,,,
10,K01507,0.6579999999999999,,,,1.5186,,,
11,K01596,0.684,,,,4.282,,,
12,K01858,0.631,,,,8.2071,,,
13,K01912,0.552,,,,2.9429,,,
14,K01915,0.614,,,,6.6452,,,
15,K01937,0.6509999999999999,,,,7.7364,,,
16,K01953,0.5760000000000001,,,,3.0474,,,
17,K01972,0.6809999999999999,,,,2.3144,,,
18,K02037,0.5429999999999999,,,,2.8066,,,
19,K02503,0.634,,,,3.1333,,,
20,K02566,0.713,,,,3.8975,,,
21,K02616,,,,0.723,,,,2.2222
22,K02874,0.67,,,,4.7747,,,
23,K02878,0.69,,,,3.2801,,,
24,K02950,0.6708073457672705,,,,11.9973,,,
25,K02952,0.653,,,,4.1567,,,
26,K02961,0.677,,,,4.7747,,,
27,K02982,0.6878941079199165,,,,6.3896,,,
28,K03040,0.649,,,,1.798,,,
29,K03088,0.603,,,,1.4683,,,
30,K03111,0.73,,,,11.4399,,,
31,K03147,0.634,,,,4.6224,,,
32,K03320,0.662,,,,1.9909,,,
33,K03497,0.557,,,,2.5661,,,
34,K03525,0.696,,,,2.0114,,,
35,K03534,0.659,,,,1.4357,,,
36,K03553,0.6670000000000001,,,,9.1049,,,
37,K03559,0.603,,,,1.4188,,,
38,K03561,0.688,,,,1.4188,,,
39,K03569,0.6782893331129924,,,,11.0528,,,
40,K03624,0.659,,,,3.4388,,,
41,K03665,0.703,,,,2.2817,,,
42,K03979,0.634,,,,2.8739,,,
43,K04077,0.6462444500662627,,,,19.6784,,,
44,K04802,0.4320000000000001,,,,5.5089,,,
45,K06384,0.693,,,,2.831,,,
46,K06901,0.541,,,,2.5107,,,
47,K06904,0.68,,,,11.4399,,,
48,K07058,0.659,,,,2.3602,,,
49,K07104,0.624,,,,1.4963,,,
50,K07107,0.667,,,,3.3535,,,
51,K07240,0.684,,,,1.4683,,,
52,K07460,0.6829999999999999,,,,1.5223,,,
53,K07480,0.626,,,,2.8578,,,
54,K07482,0.696,,,,4.4576,,,
55,K07483,0.71,,,,1.3651,,,
56,K07486,0.7293817050797107,,,,14.8233,,,
57,K07491,0.5998019721837252,,,,7.0428999999999995,,,
58,K07493,0.652,,,,3.1073,,,
59,K07495,0.6012009992087218,,,,8.9346,,,
60,K07497,0.4804445211782766,0.43,0.368,0.4347375249382691,82.57860000000001,14.9038,16.6756,31.1477
61,K07793,0.6409999999999999,,,,2.8333,,,
62,K09022,0.6869999999999999,,,,1.3115,,,
63,K09748,0.688,,,,1.8614,,,
64,K10026,0.523,,,,2.5935,,,
65,K10947,0.6759999999999999,,,,1.4613,,,
66,K10979,0.6890000000000001,,,,2.0394,,,
67,K12373,0.517,,,,2.5775,,,
68,K14059,0.693,,,,11.4399,,,
69,K15255,,0.33041997343916,,,,12.998999999999999,,
